en,es,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
											So there are lands
few and far between on Earth itself
											that are hospitable to humans
by any measure,
											but survive we have.
											Our primitive ancestors, when they found
their homes and livelihood endangered,
											they dared to make their way
into unfamiliar territories
											in search of better opportunities.
											And as the descendants of these explorers,
											we have their nomadic blood
coursing through our own veins.
											But at the same time,
											distracted by our bread and circuses
											and embroiled in the wars
that we have waged on each other,
											it seems that we have forgotten
this desire to explore.
											We, as a species, we're evolved uniquely
											for Earth, on Earth, and by Earth,
											and so content are we
with our living conditions
											that we have grown complacent
and just too busy
											to notice that its resources are finite,
											and that our Sun's life is also finite.
											While Mars and all the movies
made in its name
											have reinvigorated
the ethos for space travel,
											few of us seem to truly realize
that our species' fragile constitution
											is woefully unprepared
for long duration journeys into space.
									","
											En este planeta hay pocas tierras
y están distantes entre sí,
											no son hospitalarias con los humanos
de ningún modo,
											pero tenemos que sobrevivir.
											Nuestros antepasados primitivos, al ver
sus hogares y medios de vida en peligro,
											se atrevieron a adentrarse
en territorios desconocidos
											en busca de mejores oportunidades.
											Y como descendientes
de estos exploradores,
											su sangre nómada
corre por nuestras venas.
											Pero al mismo tiempo,
											distraídos por nuestro pan y circo
											y envueltos en las guerras que
hemos librado entre nosotros,
											parece que hemos olvidado
este deseo de explorar.
											Como especie, hemos evolucionado
de una forma única
											para la Tierra,
en la Tierra, y con la Tierra,
											y contentos con nuestras
condiciones de vida
											nos hemos vuelto complacientes
y estamos demasiado ocupados
											para darnos cuenta de que
sus recursos son finitos,
											y que la vida de nuestro sol
es también limitada.
											Mientras que Marte y todas las
películas creadas acerca de él
											han reforzado la ética del viaje espacial,
											pocos de nosotros parecemos darnos cuenta
											de que la frágil constitución
de nuestra especie
											está muy mal preparada para
los largos viajes espaciales.
									","
											Il y a peu de terres sur la Terre même
											qui sont habitables par les humains 
sous tous leurs aspects.
											En plus, elles sont très espacées
											mais nous avons survécu.
											Lorsque les maisons et les vies
de nos ancêtres primitifs
											se trouvaient en danger,
											ils osaient partir vers
des territoires non familiers,
											à la recherche de meilleures opportunités.
											En tant que descendants
de ces explorateurs,
											leur sang de nomade parcourt nos veines.
											Mais en même temps,
											distraits par notre pain et notre cirque,
											mêlés aux guerres que nous menons
les uns contre les autres,
											il semblerait que nous ayons oublié
ce désir d'exploration.
											En tant qu'espèce,
nous avons uniquement évolué
											pour la Terre, sur la Terre,
et par la Terre,
											et nous sommes si satisfaits 
de nos conditions de vie
											que nous sommes devenus complaisants
et tout simplement trop occupés
											pour remarquer
que ses ressources sont limitées
											et que la vie de notre soleil
est aussi limitée.
											Tandis que Mars et tous les films
créés en son nom
											ont revigoré l'ethos
du voyage dans l'espace,
											peu d'entre nous semblent
vraiment réaliser
											que la constitution
fragile de notre espèce
											est cruellement mal préparée aux voyages
de longue durée dans l'espace.
									","
											Há poucos locais na Terra
											que são acolhedores para os seres humanos,
											mas temos conseguido sobreviver.
											Os nossos antepassados primitivos, quando
viam os seus habitats e vidas em perigo,
											aventuravam-se em territórios
desconhecidos
											à procura de melhores oportunidades.
											Como descendentes desses exploradores,
											temos o seu sangue nómada
a correr nas nossas veias.
											Mas ao mesmo tempo,
											distraídos com o ""pão e circo""
											e com as guerras que travávamos
uns com os outros,
											parece que nos esquecemos
desta vontade de explorar.
											Como espécie, evoluímos
de forma única,
											para a Terra, na Terra e pela Terra,
											e estamos tão contentes
com as nossas condições de vida
											que nos tornámos complacentes
e demasiado ocupados
											para notarmos que os
seus recursos são finitos,
											e que a vida do nosso Sol também é finita.
											Enquanto que Marte
e todos os filmes sobre ele
											renovaram a vontade de viajar no espaço,
											poucos se apercebem de que
a frágil constituição da nossa espécie
											não está preparada para
longas viagens no espaço.
									","
											Her ne kadar Dünya'da
											insanların yaşayabileceği
sayılı yer olsa da,
											biz yine de hayatta kalabildik.
											İlkel atalarımız, evleri ve
canları tehlikede olunca
											bilinmeyen yerlere
yol almaya daha iyi fırsatlar
											bulabilmek için cesaret ettiler.
											Bu kaşiflerin torunları olarak
											bizim damarlarımızda onların
göçebe kanı dolaşıyor.
											Ama aynı zamanda,
											öyle görünüyor ki biz
											rahatlık ve eğlenceyle
ve içine karıştığımız savaşlarla

											bu keşif arzusunu unuttuk.
											Biz, tür olarak benzersizce
											Dünya için, Dünya'da,
Dünya ile geliştik.
											Yaşama koşullarımızdan
o kadar memnunuz ki
											Güneş'in hayatının ve kaynaklarının
sonlu olduğunu
											fark edemeyecek kadar
											meşgul ve umarsız kaldık.
											Mars ve onunla ilgili tüm filmler

											uzaya gitmek dürtüsünü
yeniden canlandırdıysa da ne yazık ki
											sadece birkaçımız, ırkımızın
kırılgan yapısının uzun uzay
											yolculukları için hazırlıksız olduğu
gerçeğini göz önüne alıyor.
									",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
","
","
","
","
",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
											Let us take a trek
to your local national forest
											for a quick reality check.
											So just a quick show of hands here:
											how many of you think you would be able
to survive in this lush wilderness
											for a few days?
											Well, that's a lot of you.
											How about a few weeks?
											That's a decent amount.
											How about a few months?
											That's pretty good too.
											Now, let us imagine
that this local national forest
											experiences an eternal winter.
											Same questions: how many of you think you
would be able to survive for a few days?
											That's quite a lot.
											How about a few weeks?
											So for a fun twist, let us imagine
that the only source of water available
											is trapped as frozen blocks
miles below the surface.
											Soil nutrients are so minimal
that no vegetation can be found,
											and of course hardly any atmosphere
exists to speak of.
									","
											Emprendamos una caminata
por el bosque más cercano
											y analicemos cuidadosamente la realidad.
											Levanten rápidamente la mano:
											¿Cuántos de Uds. piensan que podrían
sobrevivir en esta naturaleza exuberante
											unos días?
											Bueno, bastantes.
											¿Qué tal un par de semanas?
											Un buen número.
											¿Qué tal un par de meses?
											Bastante bien también.
											Ahora, imaginemos que este bosque
											pasa por un invierno eterno.
											La misma pregunta: ¿Cuántos de Uds.
piensan que podrían sobrevivir unos días?
											Unos cuantos.
											¿Qué tal un par de semanas?
											Ahora un toque divertido: imaginemos
que la única fuente de agua disponible
											está atrapada en bloques congelados
a kilómetros debajo de la superficie.
											La cantidad de nutrientes
en el suelo es tan reducida
											que no se encuentra en la vegetación,
											y, por supuesto, casi no hay atmósfera.
									","
											Partons pour une randonnée dans la forêt,
											et examinons la réalité attentivement.
											Faisons un rapide vote à main levée :
											combien d'entre vous pensent pouvoir
survivre dans cette nature luxuriante
											pendant quelques jours ?
											Vous êtes beaucoup.
											Et pendant quelques semaines ?
											Voilà une quantité raisonnable.
											Quelques mois ?
											C'est plutôt bien.
											Maintenant, imaginons que cette forêt
											connaisse un hiver éternel.
											Mêmes questions : combien d'entre vous
pensent pouvoir survivre
											pendant quelques jours ?
											C'est beaucoup.
											Et pendant quelques semaines ?
											Maintenant, imaginons pour rire
que la seule source d'eau disponible
											soit piégée comme des blocs de glace
des kilomètres sous la surface.
											La quantité de nutriments
dans le sol est si minime
											qu'on ne trouve pas de végétation et,
bien sûr, pratiquement pas d'atmosphère
											digne d'être mentionnée n'existe.
									","
											Vamos fazer uma caminhada
até à nossa floresta nacional
											para um rápido teste da realidade.
											Levantem as mãos:
											quantos de vocês acham
que conseguiam sobreviver aqui
											durante alguns dias?
											Bem, muitos de vocês.
											E durante algumas semanas?
											É uma quantidade razoável.
											E durante alguns meses?
											Também é bom.
											Vamos imaginar que,
sobre esta floresta,
											se abate um inverno eterno.
											As mesmas perguntas: quem
conseguia sobreviver durante uns dias?
											Muitos.
											E durante umas semanas?
											Numa reviravolta, vamos imaginar
que a única fonte de água disponível
											está presa em blocos gelados
a milhas abaixo da superfície.
											Os nutrientes do solo são tão poucos
que não se encontra nenhuma vegetação
											e, claro, quase não há atmosfera.
									","
											Hızlı bir gerçeklik testi için
											yerel ormanınıza yol alalım.
											Ellerinizi kaldırarak cevap verin:
											Aranızdan kaç kişi bu
bereketli doğada birkaç gün
											hayatta kalabileceğini düşünüyor?
											Sayınız bayağı fazla.
											Peki birkaç hafta desek?
											İyi bir miktar.
											Peki ya birkaç ay?
											Bu da bayağı iyi.
											Şimdi, diyelim ki bu yerel ormanda
											sürekli kış mevsimi var.
											Aynı soru: Aranızdan kaç kişi birkaç
gün hayatta kalabileceğini düşünüyor?
											Oldukça fazlasınız.
											Peki ya birkaç hafta?
											Eğlenceli olsun diye, farz edelim ki
uygun olan tek su kaynağı
											yerin yüzlerce metre altında
donmuş bloklar halinde bulunuyor.
											Topraktaki besin maddeleri o kadar az ki
yetişebilen bir bitki
											ve bahsedilebilecek bir atmosfer
bulunmuyor.
									",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
","
","
","
","
",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
											Such examples are only a few
of the many challenges we would face
											on a planet like Mars.
											So how do we steel ourselves for voyages
whose destinations are so far removed
											from a tropical vacation?
											Will we continuously ship supplies
from Planet Earth?
											Build space elevators,
or impossible miles of transport belts
											that tether your planet of choice
to our home planet?
											And how do we grow things like food
that grew up on Earth like us?
									","
											Estos ejemplos son solo unos pocos
de los muchos retos que enfrentaríamos
											en un planeta como Marte.
											¿Cómo podemos prepararnos para viajes
a destinos mucho más remotos
											que unas vacaciones al trópico?
											¿Enviaremos suministros de forma
continua desde la Tierra,
											construiremos ascensores espaciales
o kilómetros de cintas transportadoras
											que conecten ese nuevo planeta
a nuestro planeta natal?
											¿Y cómo cultivaremos alimentos que
crecen en la Tierra, como nosotros?
									","
											De tels exemples ne sont qu'une partie
des nombreux défis
											auxquels nous ferions face
sur une planète telle que Mars.
											Comment nous préparons-nous pour des
voyages vers des destinations si éloignées
											de vacances sous les tropiques ?
											Enverrons-nous des réserves
depuis la planète Terre ?
											Construirons-nous des escalators spatiaux,
ou d'impossibles kilomètres
											de convoyeurs, 
qui rattachent la planète de votre choix
											à notre planète maternelle ?
											Et comment cultiverons-nous des choses
telles que la nourriture
									","
											Estes exemplos são apenas alguns
dos muitos desafios que iríamos enfrentar
											num planeta como Marte.
											Como nos preparamos para viagens
cujos destinos estão tão longe
											de umas férias tropicais?
											Vamos continuamente enviar
recursos do planeta Terra?
											Construir elevadores espaciais,
ou enormes cintos de transporte
											que amarram o nosso planeta de escolha
ao nosso planeta nativo?
											Como podemos plantar coisas como alimentos
que cresceram na Terra como nós?
									","
											Mars gibi bir gezegende bu örnekler,
karşılaşılabilecek
											sorunlardan sadece birkaçı.
											O zaman, tropik bir tatilden 
kendimizi mesafeleri bu kadar uzak olan
											seyahatlere nasıl hazırlarız ?
											Sürekli ihtiyaçlarımızı Dünya
gezegeninden mi karşılayacağız ?
											Uzay asansörleri ya da seçtiğiniz
gezegeni oturduğunuz gezegene bağlayan
											inanılmaz uzunlukta 
taşıma bantları mı inşa edeceğiz ?
											Peki Dünya'da bizim gibi büyüyen
yiyecek gibi şeyleri nasıl yetiştireceğiz?
									",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
","
","
","
","
",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
											But I'm getting ahead of myself.
											In our species' journey
to find a new home under a new sun,
											we are more likely than not
going to be spending much time
											in the journey itself,
											in space,
											on a ship, a hermetic flying can,
											possibly for many generations.
									","
											Pero me estoy adelantando.
											En el viaje de nuestra especie
											para encontrar un nuevo hogar
bajo un nuevo sol,
											es muy probable que invirtamos
mucho tiempo en el viaje en sí,
											en el espacio,
											en una nave, una lata hermética voladora
											probablemente por muchas generaciones.
									","
											qui a poussé sur la Terre, comme nous ?
											Mais je m'emporte.
											Dans le voyage de notre espèce
											pour trouver une nouvelle maison
sous un nouveau soleil,
											il est très probable que nous passions
beaucoup de temps
											à faire le voyage lui-même,
											dans l'espace,
											sur un vaisseau, une boîte de conserve
hermétique volante,
											possiblement pour des générations.
									","
											Mas já estou a avançar muito.
											Na nossa viagem para encontrar
uma nova casa, debaixo de um novo sol,
											vamos, muito provavelmente,
passar muito tempo
											na viagem em si,
											no espaço,
											numa nave, um recipiente hermético voador,
											possivelmente durante muitas gerações.
									","
											Şimdi kendimi aşıyorum.
											Türümüzün yeni bir güneş altında
ev bulma yolculuğunda,
											birçok jenerasyon boyunca,
zamanımızın çoğunu
											yolculuğun kendisinde,
											uzayda,
											bir gemide,
hava geçirmez bir araçta
											geçirme olasılığımız
geçirmeme olasılığımızdan daha yüksek.
									",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
","
","
","
","
",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
"
											The longest continuous amount of time
that any human has spent in space
											is in the vicinity of 12 to 14 months.
											From astronauts' experiences in space,
											we know that spending time
in a microgravity environment
											means bone loss, muscle atrophy,
cardiovascular problems,
											among many other complications
											that range for the physiological
to the psychological.
											And what about macrogravity,
											or any other variation
in gravitational pull
											of the planet that we find ourselves on?
									","
											El ser humano ha pasado tiempo
de forma continuada en el espacio
											un máximo de 12 a 14 meses.
											A partir de las experiencias
espaciales de los astronautas
											sabemos que pasar tiempo en
un ambiente de microgravedad
											lleva a pérdida ósea, atrofia muscular,
y problemas cardiovasculares
											entre muchas otras complicaciones
											de índole fisiológico y psicológico.
											Para no hablar de la macrogravedad
											o cualquier otra variación
de la fuerza gravitacional
											ejercida por el planeta
en el que nos encontramos.
									","
											La durée continue la plus longue jamais
expérimentée par un être humain
											dans l'espace est d'environ 12 à 14 mois.
											À partir des expériences spatiales
des astronautes,
											nous savons que passer du temps
dans un environnement à microgravité
											signifie perte d'os, atrophie musculaire,
problèmes cardiovasculaires,
											parmi beaucoup d'autres complications
											qui s'étendent du physiologique
au psychologique.
											Et que dire de la macrogravité,
											ou de toute autre variation
de la force gravitationnelle
											de la planète sur laquelle
nous nous trouverons ?
									","
											A maior duração de tempo consecutivo
que o homem já passou no espaço
											foi, aproximadamente, 12 a 14 meses.
											Da experiência dos astronautas no espaço,
											sabemos que passar tempo
num ambiente de microgravidade
											resulta em perda óssea, atrofia dos
músculos, problemas cardiovasculares,
											e muitas outras complicações
											que variam de fisiológicas a psicológicas.
											E quanto à macrogravidade,
											e outras variações
na atracção gravitacional
											do planeta em que nos encontrarmos?
									","
											Bir insanın uzayda kesintisiz olarak
geçirdiği en uzun süre
											12-14 ay dolaylarında.
											Astronotların deneyimlerinden biliyoruz ki
											yer çekimsiz ortamda zaman geçirmek
											kemik erimesi, kas atrofisi,
kalp ve damar problemlerinin yanı sıra
											fizyolojik ve psikolojik olarak
											sıralanabilecek şikayetler
anlamına geliyor.
											Peki ya yerçekimi çok büyükse
											ya da içinde bulunacağımız 
gezegenin yerçekimi
											bir şekilde farklıysa?
									",How humans could evolve to survive in space,Lisa Nip,12:51,"TEDx,bacteria,biology,environment,engineering,exploration,evolution,future,innovation,microbiology,intelligence,nature,Planets,potential,science,astrobiology"
