es,en,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Liu Bolin: Al hacerme invisible,
											trato de cuestionar la relación
de cancelación mutua
											entre nuestra civilización
y su desarrollo.
											Intérprete: Al hacerme invisible,
trato de explorar y cuestionar
											la relación contradictoria y que
a menudo se cancela mutuamente
											entre nuestra civilización
y su desarrollo.
									","
											Liu Bolin: By making myself invisible,
											I try to question the inter-canceling relationship
											between our civilization and its development.
											Interpreter: By making myself invisible, I try to explore and question
											the contradictory and often inter-canceling relationship
											between our civilization and its development.
									","
											En me rendant invisible,
											je me confronte au lien contradictoire existant
											entre notre civilisation and son développement.
											En me rendant invisible,
											je me confronte au lien contradictoire existant
											entre notre civilisation and son développement.
									","
											In meiner Kunst lasse ich
meinen Körper verschwinden.
											Damit möchte ich 
das widersprüchliche Verhältnis
											zwischen unserer Zivilisation und 
der persönlichen Entwicklung darstellen.
											Indem ich meinen eigenen Körper 
zum Verschwinden bringe,
											erforsche ich den Widerspruch 
und die sexuelle Beschränkung,
											die sich aus dem Verhältnis 
von Zivilisation und Individualität ergeben.
									","
											Liu Bolin: (em chinês)
											Intérprete: Tornando-me invisível,
tento explorar e questionar
											a relação contraditória que,
frequentemente, existe
											entre a nossa civilização
e a sua evolução.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											LB: Esta es mi primera obra,
creada en noviembre de 2005.
											Y esto es el Beijing International
Art Camp donde trabajaba
											antes de que el gobierno lo demoliera por la fuerza.
He usado esta obra para expresar mi objeción.
											También quiero usar esta obra para que más gente
											preste atención a la condición de vida de los artistas
y a la condición de su libertad creativa.
											Mientras tanto, desde el principio,
esta serie tiene
											un espíritu de protesta,
											reflexiva e inquebrantable.
											Al aplicar el maquillaje, tomo prestado
el método del francotirador
											para protegerme mejor
											y detectar al enemigo,
como hizo él. (Risas)
									","
											LB: This is my first work, created in November 2005.
											And this is Beijing International Art Camp where I worked
											before the government forcibly demolished it.I used this work to express my objection.
											I also want to use this work to let more people
											pay attention to the living condition of artists and the condition of their creative freedom.
											In the meantime, from the beginning, this series has a
											protesting, reflective
											and uncompromising spirit.
											When applying makeup, I borrow a sniper's method
											to better protect myself
											and to detect the enemy, as he did. (Laughter)
									","
											Voici ma première oeuvre, créée en novembre 2005.
											and voici le Centre Artistique International de Beijing où j'ai travaillé
											avant que le gouvernement use de son autorité pour le faire démolir. J'ai exprimé mon mécontentement dans mon art.
											J'ai aussi l'ambition d'utiliser mon travail pour que les gens
											se rendent compte des conditions de vie des artistes
											En attendant,dès le début, cette série a un esprit
											protestataire, réfléchi,
											et sans compromis.
											Lors de l'application de maquillage, j'emprunte la méthode d'un sniper
											pour mieux me protéger
											et pour détecter l'ennemi, comme il l'a fait. (Rires)
									","
											Das ist mein erstes Kunstwerk
aus dem Jahre 2005.
											Das war mein Künstler-Dorf Suo Jia Cun
im Beijing International Art Camp,
											bevor es die Regierung niedergerissen hat.
Mit diesem Kunstwerk drücke ich meinen Protest aus.
											Es soll auch mehr Menschen auf die
											Lebens- und Arbeitsbedingungen 
von Künstlern aufmerksam machen.
											Zugleich ist diese Reihe an Kunstwerken
											dem Protest, der Reflexion
											und auch der Kompromisslosikeit gewidmet.
											Wie ein Heckenschütze trage ich Make-up auf,
											um mich selbst zu schützen und
											den Feind ausfindig zu machen. (Lachen)
									","
											LB (em chinês):
Esta é a minha primeira obra,
											criada em novembro de 2005.
											Este é o Campo Internacional de Arte
de Pequim, onde trabalhei
											antes de o governo o ter desmantelado.
											Usei este trabalho para exprimir
o meu descontentamento.
											Também quis usar este trabalho
para as pessoas prestarem atenção
											às condições de vida dos artistas
e à sua liberdade criativa.
											Entretanto, desde o início, esta série
tem tido um espírito de protesto,
											de reflexão e de ausência de compromisso.
											Quando aplico maquilhagem,
utilizo um método de franco-atirador
											para melhor me proteger
											e detetar o inimigo, como ele faz.
											(Risos)
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Después de terminar esta serie de protestas
											empecé a cuestionar 
por qué mi destino era así,
											y me di cuenta de que no era solo yo,
											todos los chinos están
tan confundidos como yo.
											Como pueden ver, estas obras
											son sobre planificación familiar,
elección de acuerdo con la ley
											y propaganda institucional
de la Asamblea Popular.
									","
											After finishing this series of protests,
											I started questioning why my fate was like this,
											and I realized that it's not just me —
											all Chinese are as confused as I am.
											As you can see, these works
											are about family planning, election in accordance with the law
											and propaganda of the institution of the People's Congress.
									","
											Après avoir terminé cette série de manifestations,
											J'ai commencé à interroger pourquoi mon destin était comme ça,
											et j'ai réalisé que ce n'est pas que moi,
											tous les chinois sont aussi confus que je le suis.
											Comme vous pouvez le voir, ces œuvres
											sont sur la planification familiale, les élections conformes à la loi
											et la propagande de l'institution de l'Assemblée populaire.
									","
											Nachdem ich diese Reihe
an Kunstwerken des Protests gemacht hatte,
											begann ich zu fragen, 
warum das mein Schicksal sei
											und erkannte, dass es nicht nur mein Schicksal, 
sondern das aller Chinesen ist.
											Alle sind verwirrt, genau so wie ich.
											Der Betrachter dieser Kunstwerke 
wird mit Themen wie
											der Geburtenkontrolle, 
gesetzmäßiger Wahlen
											und der Propaganda 
des Volkskongresses konfrontiert.
									","
											Depois de terminar esta série
de protestos,
											comecei a questionar
porque é que é este o meu destino,
											e percebi que não sou só eu.
											Todos os chineses estão
tão confusos como eu.
											Como veem, estes trabalhos
											são sobre o planeamento familiar,
											as eleições de acordo com a lei
											e a propaganda da instituição
do Congresso Popular.
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Esta obra se llama
Xia Gang (""puesto abandonado"").
											""Xia Gang"" es un eufemismo en chino
para ""despedido"".
											Se refiere a las personas que perdieron su empleo en la transición de China de una economía planificada a una de mercado.
											de 1998 a 2000,
											21,37 millones de personas
											perdieron su empleo en China.
											Las seis personas de la foto
											son obreros Xia Gang.
											Los hice invisibles en la tienda desierta 
donde habían vivido y trabajado toda su vida.
											En la pared de atrás se lee el lema
de la Revolución Cultural:
											""La fuerza principal que dirige nuestra causa
es el Partido Comunista de China"".
											Durante medio mes
											busqué a estas 6 personas
que participan en mi obra.
											En esta foto vemos solo 6 hombres pero,
de hecho, quienes están ocultos aquí
											son todas personas despedidas.
Han sido invisibilizados.
									","
											This work is called Xia Gang (""leaving post"").
											""Xia Gang"" is a Chinese euphemism for ""laid off"".
											It refers to those people who lost their jobs during China's transition from a planned economy to a market economy.
											From 1998 to 2000,
											21.37 million people
											lost their jobs in China.
											The six people in the photo
											are Xia Gang workers.
											I made them invisible in the deserted shop wherethey had lived and worked all their lives.
											On the wall behind them is the slogan of the Cultural Revolution:
											""The core force leading our cause forward is the Chinese Communist Party.""
											For half a month
											I looked for these 6 people to participate in my work.
											We can only see six men in this picture,but in fact, those who are hidden here
											are all people who were laid off. They have just been made invisible.
									","
											Ce travail s'appelle Xia Gang (« quitter la poste »).
											« Xia Gang » est un euphémisme chinois pour « licencié».
											ça se réfère à ceux qui ont perdu leur emploi au cours de la transition de la Chine d'une économie planifiée à une économie de marché.
											De 1998 à 2000,
											21,37 millions de personnes
											ont perdu leur emploi en Chine.
											Les six personnes sur la photo
											sont des travailleurs de Xia Gang.
											Je les ai fait invisibles dans la boutique déserte où ils avaient vécu et travaillé toute leur vie.
											Sur le mur derrière eux est le slogan de la Révolution Culturelle :
											« La force de base menant notre cause principale vers l'avant est le parti communiste chinois ».
											Pendant un demi-mois
											J'ai cherché ces 6 personnes pour qu'ils participent à mon travail
											Nous pouvons seulement voir six hommes dans cette image, mais en fait, ceux qui sont cachés ici
											sont tous des gens qui ont été mis à pied. 
Ils viennent d'être rendus invisibles.
									","
											Dieses Kunstwerk behandelt ""Xiagang"", 
den Arbeitsplatz verlassen,
											in China ein Euphemismus für Arbeitslosigkeit.
											Es geht um jene, die ihre Arbeit beim Übergang von Planwirtschaft zur Marktwirtschaft verloren haben.
											In nur zwei Jahren,
											von 1998 bis 2000, 
haben 21,37 Millionen Menschen
											ihre Arbeit verloren.
											Die sechs Menschen auf dem Foto
											sind Xia-Gang-Arbeiter.
											Ich habe sie unsichtbar gemacht in der Werkshalle, 
in der sie ihr Leben lang gearbeitet hatten.
											Dahinter geschrieben steht 
ein Slogan aus der Kulturrevolution:
											""Die Kraft, die unsere Arbeit leitet, 
ist die Kommunistische Partei Chinas.""
											Zwei Wochen habe ich
											nach 6 Männern gesucht, 
die an diesem Kunstwerk teilnehmen.
											Was wir auf diesem Foto sehen, sind zwar 6 Menschen, 
aber wirklich nicht zu sehen
											sind all die anderen, die ihre Arbeit verloren haben.
Sie sind einfach unsichtbar.
									","
											Este trabalho chama-se Xia Gang.
											Xia Gang é um eufemismo para "" despedido"".
											Refere-se às pessoas que perderam
o emprego durante a transição da China
											de uma economia planeada
para uma economia de mercado.
											De 1998 a 2000,
											mais de 21 milhões de pessoas
perderam o emprego na China.
											As seis pessoas nesta foto
											são trabalhadores Xia Gang.
											Tornei-os invisíveis na oficina deserta
onde viveram e trabalharam toda a vida.
											Na parede por detrás deles,
está o slogan da Revolução Cultural:
											""A força central que faz avançar
a nossa causa
											""é o Partido Comunista Chinês"".
											Durante meio mês, procurei estas pessoas
para participarem no meu trabalho.
											Só vemos seis homens nesta foto,
mas eles escondem
											todas as pessoas que foram despedidas
e que se tornaram invisíveis.
											Esta obra chama-se ""O Estúdio"".
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
","
","
","
","
",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
"
											Esta obra se llama El Estudio.
											En primavera,
											tuve la oportunidad de exponer en París
											en la redacción de noticias de France 3.
											Recogí las fotos de prensa del día.
											Una sobre la guerra en Medio Oriente,
											y otra sobre una manifestación pública 
en Francia.
											Encontré que toda cultura tiene
sus contradicciones irreconciliables.
									","
											This piece is called The Studio.
											This spring,
											I happened to have an opportunity during my solo exhibition in Paris
											to shoot a work in the news studio of France 3 —
											I picked the news photos of the day.
											One is about the war in the Middle East,
											and another one is about a public demonstration in France.
											I found that any culture has its irreconcilable contradictions.
									","
											Cette pièce est appelée The Studio.
											Ce printemps,
											Il m'est arrivé d'avoir l'occasion lors de mon exposition solo à Paris
											de faire une œuvre photo dans les studios de France 3.
											J'ai pris des photos de la presse de la journée.
											Une sur la guerre au Moyen-Orient,
											et une autre sur une manifestation en France.
											J'ai trouvé que toute culture a ses contradictions inconciliables.
									","
											Dieses Werk heißt ""Das Studio"".
											Diesen Frühling
											hatte ich über die Zeit einer Ausstellung 
in Paris die Möglichkeit,
											ein Werk in einem französischen 
Nachrichtenstudio zu erstellen,
											Ich wählte das Nachrichtenbild von jenem Tag aus.
											Ein Foto zeigt den Krieg im Nahen Osten und
											das andere eine Demonstration in Frankreich
											Ich fand heraus, dass es in jeder Kultur
unauflösbare Widersprüche gibt.
									","
											Esta primavera,
											tive a oportunidade,
durante a minha exposição em Paris,
											de fazer um trabalho
nos estúdios de France 3.
											Agarrei em fotos da imprensa do dia.
											Uma é sobre a guerra no Médio Oriente
											e outra é sobre uma manifestação
pública em França.
											Descobri que todas as culturas
têm contradições irreconciliáveis.
											(Em chinês)
									",The invisible man,Liu Bolin,7:46,"china,global issues,identity,photography,art"
