en,pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											The sky is inherently democratic.
											It's accessible, in principle, anyway,
by anyone, everywhere,
											just simply by the act of looking up.
											But like so many
beautiful things around us,
											it's slipping away from us,
and we haven't even noticed,
											because we're honestly not really looking.
											So what do we look at instead?
											Well, we look at our phones,
we look at our computers,
											we look at screens of all kinds.
											And honestly, we rarely
even take the trouble
											to look up enough to see each other,
											let alone taking that next step
to looking up at the actual sky.
											Now, there's a tendency to think
that the loss of our dark night skies
											is the inevitable outcome
of progress, change, technology.
											And you know, that's just simply not true.
											Later on, I'll tell you why.
									","
											O céu é intrinsecamente democrático.
											À partida, é acessível a todos, 
de qualquer forma, em todo o lado,
											basta apenas olhar para cima.
											Mas, como tantas coisas bonitas
à nossa volta,
											está a desaparecer
e ainda nem reparámos,
											porque, honestamente,
nem estamos a olhar.
											Em vez disso,
andamos a olhar para o quê?
											Bom, para os nossos telemóveis,
para os nossos computadores,
											para todo o tipo de ecrãs.
											E raramente nos damos ao trabalho
											de olhar uns para os outros,
											quanto mais dar o passo seguinte
de olhar para o próprio céu.
											Existe uma tendência para pensar
que a perda do nosso céu noturno
											é uma consequência inevitável
do progresso, da mudança, da tecnologia.
											E sabem, isso simplesmente
não é verdade.
											Mais adiante direi porquê.
									","
											El cielo es intrínsecamente democrático.
											En principio, es accesible
para todos, en cualquier parte,
											simplemente mirando hacia arriba.
											Pero, como tantas cosas bellas
que nos rodean,
											se nos está escapando, 
y ni siquiera nos damos cuenta
											porque, en realidad,
no lo estamos mirando.
											¿Qué miramos, entonces?
											Miramos el móvil, la computadora,
											miramos pantallas de todo tipo.
											Y, honestamente, rara vez
nos tomamos el trabajo
											de apartar la vista para mirarnos
entre nosotros,
											y mucho menos 
para mirar hacia arriba, al cielo.
											Suele pensarse que la pérdida
del cielo oscuro de noche
											es el inevitable resultado del progreso, 
del cambio, de la tecnología.
											Y según parece, no es verdad.
											Más adelante les diré por qué.
									","
											Gökyüzü, özü itibariyle demokratiktir.
											Prensipte, yalnızca yukarıya bakma
eylemi aracılığıyla, herkes tarafından
											herhangi bir yerde erişilebilirdir.
											Fakat etrafımızdaki
birçok güzel şey gibi,
											o da bizden uzaklaşıyor ve
henüz bunun farkına bile varmadık,
											çünkü gerçekten bakmıyoruz.
											Peki aslında neye bakıyoruz?
											Telefonlarımıza bakıyoruz,
bilgisayarlarımıza bakıyoruz,
											her tür ekrana bakıyoruz.
											Dürüst olmak gerekirse,
gökyüzüne gerçekten
											bakmak bir yana,
											birbirimize bile yeterince
bakma zahmetine girmiyoruz.
											Karanlık gece göğünü kaybetmenin;
süreçlerin, değişimin, teknolojinin
											kaçınılmaz bir sonucu olduğunu
düşünme eğilimi vardır.
											Biliyorsunuz, bu doğru değil.
											Nedenini daha sonra söyleyeceğim.
									","
											Le ciel est intrinsèquement démocratique.
											Il est accessible, en principe,
à tout le monde, de partout,
											juste en le regardant.
											Mais comme tant de belles choses
autour de nous,
											il nous échappe et nous ne l'avons
même pas remarqué
											car nous ne regardons pas vraiment.
											Que regardons-nous à la place ?
											Nous regardons nos téléphones,
nous regardons nos ordinateurs,
											nous regardons
toutes sortes d'écrans.
											Honnêtement, nous prenons
rarement la peine
											de lever assez la tête
pour voir les autres,
											encore moins celui d'aller plus loin
pour regarder le ciel.
											Nous avons tendance à penser
que la perte de nos ciels nocturnes noirs
											est le résultat inévitable du progrès,
du changement, de la technologie.
											Cela n'est simplement pas vrai.
											Plus tard, je vous dirai pourquoi.
									","
											Der Himmel ist von Natur aus demokratisch.
											Er ist prinzipiell immer,
für jeden, von überall zugänglich,
											einfach, indem man nach oben schaut.
											Doch wie viele schöne Dinge,
die uns umgeben,
											ist er uns entglitten,
ohne, dass wir es gemerkt haben,
											weil wir, offen gesagt,
nicht wirklich hinsehen.
											Was sehen wir uns stattdessen an?
											Wir gucken auf unsere Smartphones
und auf unsere Computer,
											auf viele Arten von Bildschirmen.
											Ehrlich gesagt,
wir bequemen uns nur selten
											hoch genug zu schauen,
um einander anzusehen.
											Geschweige denn,
											einen Schritt weiterzugehen
und in den Himmel hochzuschauen.
											Tendenziell denken wir, dass der Verlust
unseres dunklen Nachthimmels
											das unvermeidliche Ergebnis
von Fortschritt, Veränderung, Technik ist.
											Was schlicht und einfach nicht wahr ist.
											Später erkläre ich Ihnen warum.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											But first, I want to tell you
about my experience of the dark night sky.
											I never saw a truly dark night
sky until I was 15.
											I was here, in Arizona.
											I was on a road trip;
I pulled over somewhere.
											I have no idea where I was,
except I know what state.
											And I looked up,
											and the sky was just filled
with an impossible number of stars.
											You see, I'm from New York City,
											and in New York, you can see the moon,
you can see a couple of stars.
											More often than not, they turn out
to be airplanes when they land.
									","
											Mas antes quero contar 
a minha experiência com o céu noturno.
											Nunca tinha visto um céu
verdadeiramente escuro até aos 15 anos.
											Estava aqui, no Arizona.
											Estava numa viagem de carro.
Encostei algures.
											Não sei onde estava,
só sei que estado era.
											Olhei para cima,
											e o céu estava repleto
de milhões de estrelas.
											Eu sou da cidade de Nova Iorque,
											e em Nova Iorque podemos ver
a lua e algumas estrelas.
											A maior parte das vezes, 
acontece que são aviões a aterrar.
									","
											Primero, quiero contarles
mi experiencia con el cielo nocturno.
											Nunca vi un cielo nocturno realmente
oscuro hasta los 15 años de edad.
											Fue aquí, en Arizona.
											Viajaba en automóvil; 
me detuve en algún punto de la carretera.
											No tenía la menor idea de dónde estaba;
sólo sabía el nombre del estado.
											Miré hacia arriba,
											y vi un cielo lleno de un número
incalculable de estrellas.
											En Nueva York, ciudad de la que provengo,
											es posible ver la luna, 
un par de estrellas
											—por lo general, son aviones 
a punto de aterrizar—.
									","
											Öncelikle size karanlık gece göğü
deneyimimden bahsetmek istiyorum.
											15 yaşıma dek gerçek
karanlık bir gece göğü görmemiştim.
											Burada, Arizona'daydım,
											bir yolculuk esnasında
arabayı kenara çektim.
											Nerede olduğumu bilmiyordum,
yalnızca eyaleti biliyordum.
											Yukarıya baktım
											ve gökyüzü, sınırsız
sayıda yıldızla doluydu.
											Ben New York'luyum ve New York'ta
											ayı ve birkaç yıldızı görebilirsiniz.
											Çoğunlukla da yere indiklerinde
uçak olduğunu fark edersiniz.
									","
											Mais je veux d'abord vous parler
de mon expérience du ciel nocturne étoilé.
											Je n'ai jamais vraiment vu
de ciel nocturne étoilé avant mes 15 ans.
											J'étais ici, en Arizona.
											Je faisais une virée,
je me suis garée quelque part.
											Je n'ai aucune idée d'où j'étais,
mis à part l'Etat.
											J'ai levé la tête
											et le ciel était plein
d'un nombre incalculable d'étoiles.
											Je viens de la ville de New York
											et à New York, vous voyez la Lune,
vous voyez quelques étoiles.
											Souvent, ça s'avère être des avions
sur le point d'atterrir.
									","
											Erst möchte ich von meiner Erfahrung
mit dem dunklen Nachthimmel erzählen.
											Ich habe niemals einen wirklich dunklen
Nachthimmel gesehen, bis ich 15 war.
											Ich war hier, in Arizona.
											Ich fuhr mit dem Auto;
ich hielt irgendwo an.
											Bis auf den Namen des Staates
wusste ich nicht, wo ich war.
											Und ich schaute hoch
											und der Himmel war gefüllt
mit einer unglaublichen Anzahl an Sternen.
											Sehen Sie, ich bin aus New York City.
											In New York können Sie den Mond
und ein paar vereinzelte Sterne sehen.
											Welche sich meist
als landende Flugzeuge entpuppen.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											But there's really not much else.
									","
											Mas não há muito mais.
									","
											Pero, en verdad, no más que eso.
									","
											Fakat bundan daha fazlası var.
									","
											Mais il n'y a pas beaucoup plus.
									","
											Mehr gibt es da wirklich nicht.
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
","
","
","
","
","
",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
"
											As a result, most of my colleagues
who are astronomers
											spent at least part of their youth
looking up at the sky in their backyard.
											I never really had that experience,
											and, as a result, I'm really
disappointing on camping trips.
											I don't really know many constellations.
											The ones I do know,
you probably know them, too.
											But I'll never forget that experience
											of the first time I saw
the dark night sky.
											And I was just flabbergasted
at how many stars there were.
											And I felt tiny.
											Then I also felt like,
""Where's this been hiding this whole time?
											Who's been hiding this sky from me?""
									","
											Como resultado, a maior parte 
dos meus colegas astrónomos
											passaram uma parte da juventude
a olhar para o céu nos quintais.
											Nunca tive essa experiência
											e, como resultado, sou deplorável
em acampamentos.
											Não conheço muitas constelações.
											As únicas que conheço, 
vocês também as devem conhecer.
											Mas nunca esquecerei
aquela experiência
											da primeira vez em que vi 
o escuro céu noturno.
											E fiquei pasmada
com a quantidade de estrelas que havia.
											Senti-me minúscula.
											Depois também pensei: ""Onde é que isto 
esteve escondido este tempo todo?
											""Quem anda a esconder-me este céu?""
									","
											Como resultado, la mayoría 
de mis colegas astrónomos
											pasaron parte de su juventud observando
el cielo desde el patio de la casa.
											Yo nunca lo hice.
											Quizá por eso soy un caso perdido
en los campamentos.
											No conozco gran cantidad
constelaciones.
											Y las que conozco son probablemente
las mismas que conocen Uds.
											Pero nunca olvidaré aquella experiencia
											cuando por primera vez vi
el cielo oscuro de noche.
											Quedé anonadada ante la cantidad
de estrellas que había.
											Y me sentí muy pequeña.
											Y me pregunté: ""¿Dónde había 
estado esto escondido hasta ahora?
											¿Quién me estaba ocultando este cielo?""
									","
											Sonuç olarak, gök bilimci
meslektaşlarımın çoğu, gençliklerinin
											en azından yarısını, arka bahçede
gökyüzüne bakarak geçirdiler.
											Ben bunu hiç tecrübe etmemiştim
											ve, sonuç olarak, kamp
gezileriyle hayal kırıklığına uğradım.
											Çoğu takımyıldızını bilmiyorum.
											Muhtemelen benim
bildiklerimi siz de biliyorsunuz.
											Fakat ilk kez karanlık gece göğünü
											gördüğüm tecrübemi hiç unutmayacağım.
											Öyle çok yıldız vardı ki, çok şaşırmıştım.
											Ufacık olduğumu hissettim.
											Şöyle hissettim, ""Bu görüntü
bunca zamandır nerede saklanıyordu?
											Gökyüzünü benden kim saklıyordu?""
									","
											De fait, la plupart de mes collègues
qui sont astronomes
											passent une partie de leur jeunesse
à regarder les étoiles depuis leur jardin.
											Je n'ai jamais connu cela
											et je suis donc inutile
quand on part camper.
											Je ne connais pas beaucoup
de constellations.
											Celles que je connais,
vous les connaissez probablement aussi.
											Mais je n'oublierai jamais
cette expérience
											de la première fois où j'ai vu
un ciel nocturne étoilé.
											J'ai été sidérée par le nombre
d'étoiles qu'il y avait.
											Je me suis sentie minuscule.
											Et je me suis aussi demandé :
« Où tout ça s'était caché tout ce temps ?
											Qui m'avait caché ce ciel ? »
									","
											Die meisten meiner Astronomie Kollegen
											verbrachten Teile ihrer Jugend damit,
den Himmel aus ihren Gärten zu beobachten.
											Ich habe das nie erfahren können
											und folglich bin ich
sehr enttäuschend auf Campingtrips.
											Ich kenne nicht viele Sternbilder.
											Diejenigen, die ich kenne,
kennen Sie vermutlich auch.
											Aber ich werde nie das Erlebnis vergessen,
											das erste Mal den dunklen
Nachthimmel gesehen zu haben.
											Ich war total von den Socken,
wie viele Sterne dort waren.
											Und ich fühlte mich winzig.
											Ich fragte mich: ""Wo hat sich das
die ganze Zeit versteckt?
											Wer hat diesen Himmel vor mir versteckt?""
									",Look up for a change,Lucianne Walkowicz,11:09,"TED Fellows,TEDx,environment,global issues,science,space,NASA,pollution,Planets,activism,technology,universe"
