en,tr,de,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
											In the 13th Century,
											Genghis Khan embarked on a mission
to take over Eurasia,
											swiftly conquering countries and drawing 
them into his expanding Mongol Empire.
											With his vast armies he became almost 
unstoppable.
											But, legend has it that there was 
one obstacle
											that even the impressive Khan couldn’t 
overcome:
											A towering wall of ice,
											grown by locals across a mountain pass
											to stop the Khan’s armies from 
invading their territory.
									","
											13. yüzyılda
											Cengiz Han Avrasya'yı ele 
geçirmek için bir göreve başladı,
											hızlıca ülkeleri fethetti ve onları
genişleyen Moğol İmparatorluğu'na kattı.
											Muazzam ordularıyla birlikte 
neredeyse durdurulamaz oldu.
											Fakat bir efsaneye göre
											Müthiş Han'ın bile üstesinden 
gelemediği bir engel vardı:
											Han'ın ordularının bölgelerini
işgal etmekten engellemek için
											dağ geçiti boyunca yerliler tarafından 
yetiştirilen yüksek bir buzdan duvar.
									","
											Im 13. Jahrhundert begab sich
Genghis Khan auf die Mission,
											Eurasien zu erobern,
Länder rasch einzunehmen
											und sie in sein expandierendes
Mongolisches Reich zu integrieren.
											Mit seinen gigantischen Armeen
wurde er fast unaufhaltsam.
											Aber laut Legende gab es ein Hindernis,
											das nicht einmal der erhabene Khan
überwinden konnte:
											eine hoch aufragende Mauer aus Eis
quer durch einen Gebirgspass,
											von Einheimischen ""gezüchtet"",
											um Khans Armeen am Eindringen
in ihr Territorium zu hindern.
									","
											Au XIIIe siècle,
											Gengiis Khan se lança dans
la conquête de l'Eurasie,
											conquérant promptement des pays
qui dessinèrent son Empire mongol.
											Grâce à son immense armée,
il devint presque invincible.
											Mais la légende raconte qu'un obstacle
arrêta le grand Gengis Khan lui-même :
											un imposant mur de glace,
											bâti par les locaux dans
un défilé de montagne
											pour arrêter l'armée de Gengis Khan
et ainsi stopper son expansion.
									","
											No século XIII,
											Gengis Khan embarcou numa missão
para conquistar a Eurásia,
											conquistando rapidamente países
											e integrando-os no seu Império Mongol
em expansão.
											Com os seus grandes exércitos,
tornou-se quase imparável.
											Mas a lenda conta que havia um obstáculo
											que nem o impressionante Khan
conseguiria ultrapassar:
											uma enorme parede de gelo,
											criada pelos habitantes locais
bloqueando a passagem numa montanha
											para impedir que os exércitos do Khan
invadissem o seu território.
									",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
","
","
","
","
",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
											No one knows how historically accurate 
that particular story is,
											but remarkably, it draws on fact:
											For centuries, in the Karakoram 
and Himalayan mountain ranges,
											people have been growing glaciers 
and using these homemade bodies of ice
											as sources of drinking water and 
irrigation for their crops.
											But before we get to that fascinating 
phenomenon,
											it’s important to understand the 
difference between
											glaciers that grow in the wild,
											and those that humans create.
									","
											Bu hikâyenin tarihsel olarak 
doğruluğunu kimse bilmiyor
											fakat şaşırtıcı bir şekilde
gerçeğe dayanıyor:
											Yüzyıllardır, Karakurum 
ve Himalaya sıradağlarında
											insanlar buzullar yetiştiriyor 
ve içme suyu ile ürünleri için
											sulama kaynağı olarak bu ev yapımı
buz kütlelerini kullanıyorlar.
											Ama bu büyüleyici olguya gelmeden önce
doğal çevrede yetişen buzullar ile
											insan yapımı olanlar arasındaki 
farkı anlamak önemlidir.
									","
											Niemand weiß, wie historisch korrekt
diese Erzählung ist,
											aber bemerkenswerterweise
beruht sie auf Tatsachen:
											In den Gebirgsketten
des Karakorum und Himalaya
											züchten die Menschen
seit Jahrhunderten Gletscher,
											die sie als Trinkwasserquelle
und zur Bewässerung von Feldern benutzen.
											Aber bevor wir zu diesem
faszinierenden Phänomen kommen,
											muss der Unterschied
zwischen wild wachsenden
											und von Menschen erschaffenen
Gletschern geklärt werden.
									","
											Personne ne sait si cette histoire
a vraiment existé,
											mais étonnamment,
elle repose sur des faits.
											Pendant des siècles, dans les chaines de
montagnes du Karakoram et de l'Himalaya,
											les peuples ont créé des glaciers
et ont utilisé ces amas de glace
											comme sources d'eau potable
et d'irrigation pour leurs cultures.
											Mais avant de nous pencher
sur ce phénomène fascinant,
											vous devez comprendre la différence
											entre les glaciers que l'on trouve dans
la nature et ceux que les humains créent.
									","
											Ninguém sabe qual é o rigor histórico
desta história em especial
											mas, espantosamente,
baseia-se em factos.
											Durante séculos, na cordilheira
do Caracórum e dos Himalaias
											as pessoas têm criado glaciares
e usam esse gelo artesanal
											como fontes de água potável
e de irrigação para as culturas.
											Mas, antes de falarmos
desse fenómeno fascinante,
											é importante perceber a diferença
											entre glaciares que se formam naturalmente
											e os que são criados pelos seres humanos.
									",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
","
","
","
","
",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
											In the wild,
											glaciers require three conditions to grow:
											Snowfall, cold temperatures, and time.
											First, a great deal of snow falls and 
accumulates.
											Cold temperatures then ensure that the 
stacked up snow
											persists throughout the winter, spring, 
summer, and fall.
											Over the following years, decades, 
and centuries,
											the pressure of the accumulated snow
											transforms layers into highly compacted 
glacial ice.
									","
											Doğal çevrede buzulların 
olması için üç şart gerekiyor:
											Kar yağışı, soğukluk ve zaman.
											İlk olarak epey bir kar 
yağıyor ve birikiyor.
											Soğuk daha sonra yığılan karın 
kış, ilkbahar, yaz ve sonbahar boyunca
											devam ettiğinden emin oluyor.
											Geçen yıllar, on yıllar 
ve yüzyıllar boyunca
											biriken karın baskısı katmanları bir hâyli
sıkıştırılmış buzula dönüştürüyor.
									","
											In der Wildnis benötigen Gletscher
drei Bedingungen zum Wachsen:
											Schneefall, kalte Temperaturen und Zeit.
											Erst fällt eine Menge Schnee
und häuft sich an.
											Kalte Temperaturen stellen dann sicher,
											dass der angehäufte Schnee im Winter,
Frühling, Sommer und Herbst fortbesteht.
											Über die folgenden Jahre, 
Jahrzehnte und Jahrhunderte
											verwandelt der Druck
des angehäuften Schnees
											die Schichten in kompaktes Gletschereis.
									","
											Dans la nature,
											les glaciers ont besoin de trois
choses pour se développer :
											des chutes de neige, de basses
températures et du temps.
											D'abord, d'abondantes chutes
de neige s'accumulent.
											Ensuite, les basses températures
assurent que cet amas de neige
											subsiste pendant tout l'hiver,
le printemps, l'été et l'automne.
											Au fil des années, des décennies
et des siècles,
											la pression de cette neige accumulée
											transforme les couches en une glace
extrêmement compacte.
									","
											Para se formar um glaciar na Natureza,
são necessárias três condições:
											queda de neve, temperaturas
baixas e tempo.
											Primeiro, cai uma grande quantidade
de neve que se acumula.
											As temperaturas frias garantem 
que essa neve acumulada
											se mantém durante o inverno,
a primavera, o verão e o outono.
											Nos anos, décadas e séculos seguintes,
											a pressão da neve acumulada
											transforma as camadas
em gelo glaciar profundamente compacto.
									",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
","
","
","
","
",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
											Artificially growing a glacier,
											however, is completely different.
											At the confluence of three great 
mountain ranges,
											the Himalayas, Karakoram, and Hindu Kush,
											some local cultures have believed for
centuries that glaciers are alive.
											And what’s more,
											that certain glaciers can have different 
genders including male and female.
											Local Glacier Growers ‘breed’ new glaciers
by grafting together—or marrying—
											fragments of ice from male and 
female glaciers,
											then covering them with charcoal, 
wheat husks, cloths, or willow branches
											so they can reproduce.
											Under their protective coverings,
											these glacierets transform into fully 
active glaciers
											that grow each year with 
additional snowfall.
											Those then serve as lasting 
reserves of water
											that farmers can use 
to irrigate their crops.
									","
											Yapay olarak büyüyen bir buzul
ise tamamen farklı.
											Üç büyük sıradağın; Himalayalar, Karakurum
ve Hindukuş'un birleşmesinde
											bazı yerel kültürler yüzyıllar boyunca 
buzulların canlı olduğuna inandı.
											Dahası, belli buzulların 
dişi ve erkek olmak üzere
											farklı cinsiyetleri 
olabileceğine inandılar.
											Yerel buzul yetiştiricileri 
yeni buzulları birbirine ekleyerek
											—veya erkek ve dişi buzul parçalarını 
evlendirerek— çiftleştiriyorlar,
											daha sonra onları kömür, buğday kabukları,
kumaşlar veya söğüt dallarıyla
											çoğalabilsinler diye kaplıyorlar.
											Koruyucu örtülerin altında
											bu buzullar, her sene ekstra 
kar yağışıyla birlikte büyüyen
											aktif buzullara tamamen dönüşüyorlar.
											Bunlar böylelikle çiftçilerin 
ürünlerini sulamak için kullandığı
											su rezerveleri olarak işlev görüyorlar.
									","
											Künstliche Gletscher
entstehen allerdings ganz anders.
											An der Mündung dreier großer Gebirgszüge,
											dem Himalaya, Karakorum und Hindukusch,
											glaubten manche Einheimische
jahrhundertelang,
											dass Gletscher lebendig seien.
											Mehr noch: Gewisse Gletscher
seien unterschiedlichen Geschlechts,
											darunter männlich und weiblich.
											Örtliche Gletscherzüchter
verpflanzten — oder ""verheirateten"" —
											Eisbrocken von männlichen
und weiblichen Gletschern
											und bedeckten sie dann
zur Fortpflanzung mit Holzkohle,
											Weizenspreu, Tüchern oder Weidezweigen.
											Unter dieser schützenden Deckschicht
											verwandeln sich diese Gletscher
in voll aktive Gletscher,
											die jährlich mit jedem Schneefall wachsen.
											Diese dienen dann
als langfristige Wasserreserve,
											die Bauern zur Bewässerung
ihrer Pflanzen nutzen.
									","
											Mais faire pousser artificiellement
un glacier est complètement différent.
											À la confluence des trois grandes
chaînes de montagnes
											de l'Himalaya, du Karakoram
et de l'Hindou Kush,
											il fut longtemps coutume de croire
que les glaciers étaient vivants,
											et plus encore,
											que certains glaciers avaient des genres
différents, comme mâle et femelle.
											Les producteurs de glaciers 
« reproduisaient » ensemble les glaciers
											en greffant - ou mariant - des fragments
de glace de glaciers mâles et femelles,
											puis en les couvrant de charbon,
de cosses de blé, de vêtements
											ou de branches de saule
afin qu'ils se reproduisent.
											Sous ces couches protectrices,
											ces mini-glaciers se sont transformés
en de véritables glaciers
											qui grandissaient chaque année
grâce aux chutes de neige.
											Ceux-ci servaient alors
de réserves durables d'eau
											que les fermiers utilisaient
pour irriguer leurs champs.
											Ces pratiques se sont répandues
									","
											Criar um glaciar artificialmente,
											é totalmente diferente.
											Na confluência de três
grandes cordilheiras de montanhas,
											os Himalaias, o Caracórum
e o Hindu Kush,
											algumas culturas locais acreditaram
durante séculos,
											que os glaciares estavam vivos.
											E, mais ainda,
											que alguns glaciares podiam ser
de sexos diferentes, machos e fêmeas.
											Os criadores locais de glaciares
""alimentam"" novos glaciares
											enxertando — ou seja, casando —
											fragmentos de gelo de glaciares
machos e fêmeas,
											e cobrindo-os depois com carvão vegetal,
											palha de trigo, panos
ou ramos de salgueiro,
											para eles se reproduzirem.
											Sob a proteção desta cobertura,
											esses glaciares transformam-se
em glaciares ativos
											que crescem todos os anos
com a queda de neve adicional.
											Esses glaciares servem de reservas
duradouras de água
											que os agricultores podem usar
para irrigar as suas culturas.
									",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
","
","
","
","
",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
"
											These practices have spread 
to other cultures,
											where people are creating their own 
versions of glaciers
											and applying them to solve serious 
modern challenges around water supplies.
											Take Ladakh, a high-altitude desert region
in northern India.
											It sits in the rain shadow of the 
Himalayas
											and receives on average fewer than ten 
centimeters of rain per year.
											As local glaciers shrink because 
of climate change,
											regional water scarcity is increasing.
											And so, local people have started growing 
their own glaciers
											as insurance against this uncertainty.
											These glaciers come in two types: 
horizontal, and vertical.
									","
											Bu uygulamalar insanların kendi 
buzul versiyonlarını yarattığı
											ve su kaynakları etrafındaki 
ciddi zorlukları çözmek için
											bu adetleri uyguladıkları
diğer kültürlere yayıldı.
											Kuzey Hindistan'da yüksek rakımlı bir çöl 
bölgesi olan Ladakh'ı örnek alalım.
											Himalayalar'ın yağmur almayan bölgesinde
											ve yıllık 10 cm'den daha az 
ortalama bir yağış almaktadır.
											Yerel buzullar iklim değişikliği 
yüzünden küçüldüğü için
											bölgesel su kıtlığı artıyor.
											Bu yüzden yerel halk bu belirsizliğe
karşı bir güvence olarak
											kendi buzullarını yetiştiriyorlar.
											Bu buzullar iki türde: yatay ve dikey.
									","
											Diese Praktiken verteilten sich
auf andere Kulturen,
											wo Menschen ihre eigenen
Versionen von Gletschern erschaffen
											und damit ernste moderne Herausforderungen
bezüglich Wasserversorgung lösen.
											Zum Beispiel Ladakh, eine hochgelegene
Wüstenregion in Nordindien.
											Sie liegt im Regenschatten des Himalaya
											und erhält im Schnitt weniger
als zehn Zentimeter Regen im Jahr.
											Da lokale Gletscher
wegen des Klimawandels schwinden,
											nimmt die regionale Wasserknappheit zu.
											Und so begannen die Einheimischen,
											ihre eigenen Gletscher als Versicherung
gegen diese Ungewissheit zu züchten.
											Diese Gletscher gibt es in zwei Typen:
horizontal und vertikal.
									","
											et d'autres peuples créèrent leurs
propres versions de glaciers
											afin de résoudre d'importants problèmes
liés à l'approvisionnement en eau.
											Prenons le Ladakh, une région désertique
de haute altitude au nord de l'Inde.
											L'Himalaya lui bloque les nuages,
											et elle reçoit en moyenne moins
de 10 centimètres d'eau par an.
											Alors que les glaciers fondent
à cause du changement climatique,
											l'eau devient plus rare dans la région.
											Les locaux ont ainsi commencé
à créer leurs propres glaciers
											pour s'assurer de ne pas manquer d'eau.
											Ces glaciers existent sous deux formes :
horizontale et verticale.
											Les glaciers horizontaux se forment
lorsque les fermiers redirigent
									","
											Estas práticas espalharam-se
a outras culturas
											em que as pessoas estão a criar
as suas versões de glaciares
											e os utilizam para resolver
graves problemas modernos
											para o abastecimento de água.
											Vejam Ladakh, uma região desértica
a alta altitude, no norte da Índia.
											Fica situada na zona de sombra
da chuva, nos Himalaias
											e recebe, em média, menos
de 10 centímetros de água por ano.
											À medida que os glaciares diminuem
por causa da alteração climática,
											a escassez de água regional
vai aumentando.
											Assim, os habitantes locais começaram
a criar os seus glaciares
											como uma garantia contra esta incerteza.
											Estes glaciares são de dois tipos:
horizontais e verticais.
									",How to grow a glacier,M Jackson,4:59,"animation,history,TED-Ed,culture,world cultures,glacier,climate change,innovation,war,invention,science,oceans,water"
