en,title,speaker,duration,tags
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											(Music)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											À voir le sale temps qu'il fait,
je crois que je vais crever de froid
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											avec le pâle teint que j'ai, bah...
du noir je broie
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ça doit faire dix millions d'années
que je suis terrée chez moi
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je suis comme un lapin de neige,
j'attends que ça passe et voilà
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Et si le phone sonne,
c'est presque jamais pour moi
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ce qu'ils veulent, c'est personne,
c'est juste un miroir en soi
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Leurs mots résonnent comme les miens
et se cognent dans les coins
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je suis plus de bonne, bonne,
bonne, bonne humeur le matin
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											En autopilote
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je suis comme endormie
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans mon bordel je mets de l'ordre
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je rouvre les plaies guéries
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											En autopilote
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je ne serai pas lucide
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans ton bordel mettre de l'ordre
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ne cherche plus mon avis
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ne cherche plus mon avis
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											(Music)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Avec mes millions de nœuds
et même plus en arrière
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											je fais des millions de feux,
je cherche l'épine en fer
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Puis je regrette de n'avoir
pas eu trop de cran
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											C'est la même chose pour eux,
s'ils s'ouvrent, ils se ferment
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans des jours vaporeux
ils se retrouvent et se perdent
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ce qu'ils voudraient
juste un peu remonter le temps
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											En autopilote
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je suis comme endormie
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans mon bordel je mets de l'ordre
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je rouvre les plaies guéries
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											En autopilote
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je ne serai pas lucide
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans ton bordel mettre de l'ordre
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ne cherche plus mon avis
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ne cherche plus...
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											En autopilote
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je suis comme endormie
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans mon bordel je mets de l'ordre
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je rouvre les plaies guéries
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											En autopilote
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Je ne serai pas lucide
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Dans ton bordel mettre de l'ordre
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ne cherche plus mon avis
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Ne cherche plus mon avis
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											(Music)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Thank you for listening so carefully.
											Maybe you guys don't understand
what I'm talking about in the song
											as it is in French.
											It's called ""Autopilote,""
											it gave its name to my album
											because it explains the mood
I was in when I wrote it.
											It's a little deep and personal.
											It's like my body is a huge vessel,
											and there are some things
that need to be fixed inside,
											especially in the head.
											So, pilot, some mini me,
											has to get in there and dig a little,
											see what's going on,
											try to find out where my fears come from,
											where my anger comes from,
											and then try to repair them
by understanding them.
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											(Applause)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											So, thank you, little pilot.
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											(Applause)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											I bet some of you guys
											have little pilots working inside, too.
											There is actually somebody else
in my big vessel now, look.
											Whoo!
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											(Laughter)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Say hello to our new
band member, Belly Joe.
											He's an inside drummer,
and he's actually pretty good.
											He gives little hits
so we can keep the right rhythm.
											Because only he knows
what the right rhythm is,
											because he feels it
from the inside, you know.
											The next song is called ""Pumper.""
											I wrote it when I was in French Guiana.
											And there in French Guiana
it's really, really, really hot.
											So, Belly Joe is going to
give you guys the rhythm.
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Get a pumper
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Drop the water from above
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Send it here and there
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											This heat is hard to bear
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Get a pumper
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Drop the water from above
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Send it here and there
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											This heat is hard to bear
											(Synth music)
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											I'm so dizzy, the air is so hot
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Beads of sweat runnin' down my back
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											All my friends are made of wax
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											moving slowly, they gonna melt
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Knees are bending, the heat so high
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Wind's so heavy, the bees can't fly
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											What can stop it now?
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											What can stop it now?
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											Téh téh téh téh téh téh
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
"
											What can stop it now?
									","""Autopilote"" / ""Pumper""",Mai Lan,9:08,"music,live music,performance art,performance"
