pt,tr,es,en,fr,title,speaker,duration,tags
"
","
","
","
","
",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
											Junho de 2010.
											Aterrei pela primeira vez em Roma, Itália.
											Não estava lá para fazer turismo.
											Estava lá para acabar com a fome no mundo.
									","
											Haziran 2010.
											Roma, İtalya'ya ilk defa ayak bastım.
											Turist olarak gelmemiştim.
											Dünyadaki açlığa çözüm bulmak 
için oradaydım.
									","
											Junio de 2010.
											Aterricé por primera vez en Roma, Italia.
											No estaba allí de paseo.
											Estaba allí para resolver
el hambre en el mundo.
									","
											June 2010.
											I landed for the first time
in Rome, Italy.
											I wasn't there to sightsee.
											I was there to solve world hunger.
									","
											Juin 2010.
											J'ai atterri pour la première fois
à Rome, en Italie.
											Je n'étais pas là en tant que touriste.
											J'étais là pour résoudre 
la faim dans le monde.
									",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
","
","
","
","
",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
											(Risos)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
","
","
","
","
",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
											É verdade.
											Era uma aluna de doutoramento com 25 anos,
											armada com um protótipo
desenvolvido na minha universidade,
											e ia ajudar o Programa Alimentar Mundial
a acabar com a fome.
											Entrei decidida no edifício da sede
											e observei a fila de bandeiras
das Nações Unidas,
											enquanto sorria para mim mesma e pensava:
											""A engenheira chegou.""
									","
											Evet, doğru duydunuz.
											25 yaşında bir doktora öğrencisiydim,
											üniversitemde geliştirilmiş bir 
prototip aracını kuşanmış gelmiştim
											ve Dünya Gıda Programı'nın açlık
sorununu çözmesine yardım edecektim.
											Merkez ofis binasını 
uzun adımlarla yürüdüm,
											gözlerimle Birleşmiş Milletler 
sıra bayraklarını taradım
											ve kendi kendime düşünüp gülümsedim:
											""Mühendis burada.""
									","
											Así es.
											Era una estudiante de doctorado de 25 años
											armada con una herramienta prototipo
desarrollada en mi universidad,
											e iba a ayudar al Programa Mundial
de Alimentos a arreglar el hambre.
											Entonces entré a zancadas al edificio sede
											y mis ojos escanearon la fila
de banderas de la ONU,
											y sonreí mientras pensaba:
											""Ya llegó la ingeniera"".
									","
											That's right.
											I was a 25-year-old PhD student
											armed with a prototype tool
developed back at my university,
											and I was going to help
the World Food Programme fix hunger.
											So I strode into the headquarters building
											and my eyes scanned the row of UN flags,
											and I smiled as I thought to myself,
											""The engineer is here.""
									","
											C'est vrai.
											J'étais une étudiante en doctorat
de 25 ans
											avec un outil prototype
développé à l'université
											et j'allais aider le Programme Alimentaire
Mondial à éradiquer la famine.
											J'ai donc marché à grands pas
jusqu'au quartier général
											et j'ai scanné la rangée
des drapeaux de l'ONU,
											et, en souriant, j'ai pensé :
											« L'ingénieur est là. »
									",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
","
","
","
","
",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
											(Risos)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
","
","
","
","
",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
"
											Deem-me os vossos dados.
											Eu vou otimizar tudo!
									","
											Bana verileri gösterin.
											Her şeyi optimize edeceğim.
									","
											Denme su información.
											Voy a optimizarlo todo.
									","
											Give me your data.
											I'm going to optimize everything.
									","
											Donnez-moi vos données.
											Je vais tout optimiser.
									",Your company's data could help end world hunger,Mallory Freeman,11:15,"big problems,humanity,data,collaboration,decision-making,society,communication,innovation,technology"
