en,tr,pt,es,de,title,speaker,duration,tags
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											OK, so today I want to talk
about how we talk about love.
											And specifically,
											I want to talk about what's wrong
with how we talk about love.
									","
											Bugün aşkı konuşma şeklimizden 
söz etmek istiyorum.
											Özellikle de
											aşkı konuşma şeklimizde
yanlış olan şeyleri konuşmak istiyorum.
									","
											Ok, hoje quero falar sobre a forma 
como falamos do amor.
											Especificamente,
											quero falar do que está errado 
com a forma como falamos do amor.
									","
											Hoy quiero hablar de cómo 
hablamos del amor.
											Y, específicamente,
											quiero hablar de lo que está mal 
en la forma en que hablamos del amor.
									","
											Ich rede heute darüber,
wie wir über Liebe sprechen.
											Insbesondere darüber,
											woran unsere Art,
über Liebe zu sprechen krankt.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											Most of us will probably
fall in love a few times
											over the course of our lives,
											and in the English language,
this metaphor, falling,
											is really the main way that we
talk about that experience.
											I don't know about you,
											but when I conceptualize this metaphor,
											what I picture is straight
out of a cartoon —
											like there's a man,
											he's walking down the sidewalk,
											without realizing it, he crosses
over an open manhole,
											and he just plummets into the sewer below.
											And I picture it this way
because falling is not jumping.
											Falling is accidental,
											it's uncontrollable.
											It's something that happens to us
without our consent.
											And this —
											this is the main way we talk
about starting a new relationship.
									","
											Muhtemelen bir çoğumuz hayatı boyunca
											birkaç kez aşık olur
											ve İngiliz dilindeki 
bu ""düşmek"" benzetmesi
											gerçekten bu tecrübemizi anlatmanın
esas yoludur.
											Sizi bilmem ama,
											bu mecazı canlandırdığımda
											hayalimdeki resim bir karikatürden
çıkma gibi;
											sanki bir adam var,
											kaldırımda yürüyor,
											farkında olmadan açık
bir rögarın üstünden geçiyor
											ve altındaki kanalizasyona düşüyor.
											Bunu böyle resmediyorum çünkü,
düşmek atlamak değil.
											Düşmek kazara olur,
											önlenemez.
											Rızamız dışında başımıza gelir.
											Ve bu,
											yeni bir ilişkiye başlama konusunda
ilk konuşma şeklimizdir.
									","
											A maior parte de nós, provavelmente,
vai-se apaixonar algumas vezes
											ao logo da vida,
											e a metáfora ""cair"",
											é a principal forma que usamos
para falar desta experiência.
											Não sei quanto a vocês,
											mas quando avalio esta metáfora,
											imagino um desenho animado
											como se houvesse um homem,
											que está a caminhar pelo passeio
											e, sem se aperceber, passa
por uma tampa de esgoto aberta,
											e cai pelo esgoto abaixo.
											Imagino desta forma 
porque cair não é saltar.
											Cair é acidental,
											é incontrolável.
											É algo que nos acontece
sem o nosso consentimento.
											E esta é a principal forma que usamos
											para falar duma nova relação.
									","
											La mayoría quizá caiga en las redes
del amor unas cuantas veces
											a lo largo de la vida,
											y esta metáfora de ""caer""
											es de verdad la principal manera 
para hablar de esa experiencia.
											No sé Uds.,
											pero cuando conceptualizo esta metáfora,
											imagino directamente un dibujo animado...
											como si hubiera un hombre
											que camina por la acera
											y, sin darse cuenta, atraviesa 
una alcantarilla abierta,
											y simplemente cae en picado 
por el alcantarillado.
											Y me lo imagino de esta manera
porque caer no es saltar.
											La caída es accidental,
											es incontrolable.
											Es algo que nos sucede
sin nuestro consentimiento.
											Y esta...
											es la principal manera de hablar
del inicio de una nueva relación.
									","
											Die meisten von uns verlieben sich
											ein paar Mal im Laufe ihres Lebens,
											und die englische Metapher dafür
— ""to fall in love"" — zeigt,
											wie man hierzulande
über diese Erfahrung spricht.
											Ich weiß nicht, wie Sie es sehen,
aber ich stelle mir dabei
											eine comicreife Szene vor.
											Etwa einen Mann,
											der den Gehweg entlanggeht,
											versehentlich in einen
offenen Gullyschacht tritt
											und in den darunterliegenden
Abwasserkanal fällt.
											Ich stelle es mir so vor,
weil Fallen, anders als Springen,
											versehentlich geschieht
											und nicht kontrollierbar ist.
											Es geschieht ohne unsere Zustimmung.
											Und so ...
											beschreiben wir es,
wenn wir eine neue Beziehung eingehen.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											I am a writer and I'm also
an English teacher,
											which means I think
about words for a living.
											You could say that I get paid
to argue that the language we use matters,
											and I would like to argue
that many of the metaphors we use
											to talk about love —
											maybe even most of them —
											are a problem.
									","
											Ben bir yazarım, 
ayrıca İngilizce öğretmeniyim,
											yani kelimeleri düşünmek benim mesleğim.
											Kullandığımız dilin önemini savunmaktan
para kazandığımı söyleyebilirsiniz.
											Ben de aşkla ilgili 
kullandığımız mecazların,
											üztelik bir çoğunun
											problemli olduğunu
											savunmak istiyorum.
									","
											Eu sou escritora e também
professora de inglês,
											ou seja, ganho a vida 
a pensar em palavras.
											Podem dizer que me pagam
											para eu defender que a linguagem
que usamos é importante,
											e eu gostaria de dizer
que muitas das metáforas que usamos
											para falar do amor
											— talvez a maior parte delas —
											são um problema.
									","
											Soy escritora y profesora de inglés,
											es decir que me gano
la vida con las palabras.
											Se podría decir que me pagan para 
que el lenguaje que usamos importe,
											y me gustaría argumentar que 
muchas de las metáforas que usamos
											para hablar del amor
											- quizá incluso la mayoría de ellas -
											son un problema.
									","
											Ich bin Schriftstellerin
und Englischlehrerin.
											Es ist mein Beruf, über Worte nachzudenken
											und auf den Einfluss
unseres Sprachgebrauchs hinzuweisen.
											Viele der Metaphern,
mit denen wir über Liebe sprechen —
											vielleicht sogar die meisten —
											sind problematisch.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											So, in love, we fall.
											We're struck.
											We are crushed.
											We swoon.
											We burn with passion.
											Love makes us crazy,
											and it makes us sick.
											Our hearts ache,
											and then they break.
											So our metaphors equate
the experience of loving someone
											to extreme violence or illness.
									","
											Aşıkken, düşeriz.
											Vuruluruz.
											Çarpılırız.
											Bayılırız.
											Tutkuyla yanıp tutuşuruz.
											Aşk bizi çılgınlaştırır
											ve hasta eder.
											Kalplerimiz ağrır,
											sonra da kırılırlar.
											Yani kullandığımız mecazlar,
birini sevmeyi
											aşırı şiddet veya hastalıkla bir tutuyor.
									","
											Então, no amor, ""caímos"".
											Somos atingidos.
											Somos esmagados.
											Desmaiamos.
											Ardemos de paixão.
											O amor deixa-nos loucos,
											e deixa-nos doentes.
											O coração dói-nos,
											e depois parte-se.
											Assim, as nossas metáforas comparam
a experiência de amar alguém
											à violência ou à doença extremas.
									","
											Así que, en el amor, caemos.
											Estamos impresionados.
											Estamos aplastados.
											Nos extasía.
											Ardemos de pasión.
											El amor nos enloquece,
											y nos enferma.
											Nuestros corazones duelen,
											y luego se parten.
											Así que nuestras metáforas equiparan
la experiencia de amar a alguien
											a la violencia o la enfermedad extrema.
									","
											Also: In love, we fall
[In die Liebe fallen wir],
											wir sind verknallt,
											hingerissen,
											sind hin und weg
											und brennen vor Leidenschaft.
											Wir sind blind
											und krank vor Liebe.
											Unsere Herzen schmerzen
											und dann brechen sie.
											Unsere Metaphern beschreiben
die Erfahrung des Verliebtseins
											mit Gewalt und Krankheit.
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
","
","
","
","
",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Risas)
									","
											(Lachen)
									",A better way to talk about love,Mandy Len Catron,15:17,"love,humanity,relationships,mental health,writing,TEDx,collaboration,communication,compassion,depression,empathy,happiness,personality,trust"
