en,fr,de,es,tr,title,speaker,duration,tags
"
","
","
","
","
",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
											My son and the iPhone
were born three weeks apart
											in June 2007.
											So while those early adopters
were lined up outside,
											waiting to get their hands
on this amazing new gadget,
											I was stuck at home
with my hands full of something else
											that was sending out
constant notifications —
									","
											Mon fils et l'iPhone sont nés
à trois semaines d'écart
											en juin 2007.
											Pendant que ces premiers adoptants
faisaient la queue dehors,
											attendant pour mettre la main
sur ce super nouveau gadget,
											j'étais coincée à la maison,
les mains occupées à une autre chose
											qui envoyaient constamment
des notifications —
									","
											Mein Sohn und das iPhone
wurden drei Wochen auseinander geboren,
											im Juni 2007.
											Während die Early Adopters
draußen in der Schlange standen,
											um dieses tolle neue Gerät auszuprobieren,
											steckte ich zu Hause fest
und war mit etwas beschäftigt,
											das ständig Benachrichtigungen schickte —
									","
											Mi hijo y el iPhone nacieron 
con tres semanas de diferencia,
											en junio de 2007.
											Mientras esos primeros adoptantes 
aguardaban afuera,
											esperando tener en sus manos 
ese nuevo dispositivo increíble,
											yo estaba atrapada en casa 
con las manos colmadas con algo más
											que estaba enviando 
mensajes constantemente,
									","
											Oğlum ve iPhone, üç hafta arayla
											Haziran 2007'de doğdular.
											Erkenden benimseyenler bu
yeni muhteşem aleti ellerine almayı
											beklemek için dışarıda
sıraya girdiklerinde,
											ben ellerimde bana
sürekli bildirim gönderen
											başka bir şeyle, evde mahsur kalmıştım —
									",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
","
","
","
","
",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risas)
									","
											(Gülüşmeler)
									",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
","
","
","
","
",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
											a miserable, colicky baby
											who would only sleep in a moving stroller
with complete silence.
											I literally was walking
10 to 15 miles a day,
											and the baby weight came off.
											That part was great.
									","
											un bébé malheureux ayant des coliques
											et qui ne dormait que dans une poussette
en mouvement et le silence complet.
											Je marchais entre
15 et 25 kilomètres par jour
											et j'ai reperdu mes kilos.
											Ça, c'était génial.
									","
											einem unglücklichen Baby,
das an Koliken litt,
											und nur in einem rollenden Kinderwagen
bei kompletter Stille schlafen wollte.
											Ich bin täglich 16 bis 24 km gelaufen
											und habe dabei Gewicht verloren.
											Der Teil war großartig.
									","
											un bebé desgraciado con cólicos
											que solo se dormía en la sillita de paseo 
en movimiento en completo silencio.
											Literalmente caminaba 
de 16 a 24 km al día,
											y perdí el peso del embarazo.
											Esa parte fue genial.
									","
											yalnızca hareket eden bir pusette
											ve tamamen sessizlikte
uyuyabilen zavallı, sancılı bir bebek.
											Günde gerçekten
10 ila 15 mil yürüyordum
											ve bebeğin verdiği kilo gitmişti.
											Bu kısım muhteşemdi.
									",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
","
","
","
","
",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
											But man, was I bored.
											Before motherhood, I had been a journalist
											who rushed off when the Concorde crashed.
											I was one of the first
people into Belgrade
											when there was a revolution in Serbia.
											Now, I was exhausted.
											This walking went on for weeks.
											It was only until about three months in
that something shifted, though.
											As I pounded the pavement,
											my mind started to wander, too.
											I began imagining what I would do
when I finally did sleep again.
									","
											Mais qu'est-ce que je m'ennuyais !
											Avant la maternité,
j'avais été une journaliste
											qui avait accouru
lors de l'accident du Concorde.
											J'étais parmi les premiers à Belgrade
											quand il y a eu la révolution en Serbie.
											Maintenant, j'étais épuisée.
											Cette marche a duré des semaines.
											Ce n'est qu'au bout d'environ trois mois
que quelque chose a changé.
											En arborant le bitume,
											mon esprit a commencé
à vagabonder, lui aussi.
											J'ai commencé à imaginer
											ce que j'allais faire
quand je dormirai à nouveau.
									","
											Aber ich war so schrecklich gelangweilt.
											Bevor ich Mutter wurde,
war ich Journalistin,
											die losstürmte,
als die Concorde abstürzte.
											Ich war eine der ersten in Belgrad,
als es eine Revolution in Serbien gab.
											Jetzt war ich erschöpft.
											Diese Spaziergänge
erstreckten sich über Wochen.
											Nach ungefähr drei Monaten
änderte sich allerdings etwas.
											Als ich auf dem Gehweg umherlief,
											begannen meine Gedanken, abzuschweifen.
											Ich stellte mir vor, was ich tun würde,
wenn ich endlich wieder schlafen würde.
									","
											Pero yo estaba aburrida.
											Antes de la maternidad, 
había sido una periodista
											que se apresuró 
cuando el Concorde se estrelló.
											Fui una de las primeras 
personas en Belgrado
											cuando estalló una revolución en Serbia.
											Y ahora estaba agotada.
											Esta caminata continuó semanas.
											Sin embargo, fue solo hasta 
unos tres meses en que algo cambió.
											Mientras transitaba el pavimento,
											mi mente comenzó a vagar, también.
											Comencé a imaginar lo que haría 
cuando finalmente volviera a dormir.
									","
											Fakat, ben sıkılmıştım.
											Anne olmadan önce,
Concorde kaza yaptığında
											aceleyle oraya giden bir gazeteciydim.
											Sırbistan'da devrim
olduğunda Belgrad'a giden
											ilk kişilerden birisi bendim.
											Şimdi bitkinim.
											Yürüyüş haftalarca devam etti.
											Üç ay içerisinde bir şeyler
değişene dek sürdü.
											Ben kaldırımları arşınladıkça,
											zihnim de dolaşmaya başladı.
											Tekrar uyuduğumda ne yapacağımı
hayal etmeye başladım.
									",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
","
","
","
","
",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
"
											So the colic did fade,
											and I finally got an iPhone
											and I put all those hours
of wandering into action.
											I created my dream job
hosting a public radio show.
											So there was no more
rushing off to war zones,
											but thanks to my new smartphone,
											I could be a mother and a journalist.
											I could be on the playground
and on Twitter at the same time.
											Yeah, well, when I thought that,
											when the technology came in and took over,
											that is when I hit a wall.
									","
											Les coliques sont passées,
											j'ai fini par avoir un iPhone
											et j'ai mis à profit
toutes ces heures de vagabondage.
											J'ai créé le boulot de mes rêves :
											animatrice d'une émission
de radio publique.
											Plus de précipitation
vers les zones en guerre,
											mais grâce à mon nouveau smartphone,
											je pouvais être une mère
et une journaliste.
											Je pouvais être sur le terrain de jeux
et sur Twitter en même temps.
											Enfin, quand j'ai pensé cela,
											quand la technologie a pris le contrôle,
											je me suis heurtée à un mur.
									","
											Die Kolik verschwand,
											ich habe mir ein iPhone gekauft
											und all die Wanderstunden
in die Tat umgesetzt.
											Ich erschuf meinen Traumjob,
eine öffentliche Radioshow zu moderieren.
											Ich musste also
nicht mehr in Kriegsgebiete
											und dank meines neuen Smartphones
konnte ich Mutter und Journalistin sein.
											Ich konnte auf dem Spielplatz
und auf Twitter zugleich sein.
											Als ich daran dachte,
											als die Technik kam und übernahm,
											stieß ich an meine Grenzen.
									","
											Entonces desaparecieron los cólicos
											y finalmente tuve un iPhone
											y puse todas esas horas 
de deambular en acción.
											Creé el trabajo de mis sueños, anfitriona 
de un programa público de radio.
											Ya no hubo más corridas a zonas de guerra,
											pero gracias a 
mi nuevo teléfono inteligente,
											podía ser madre y periodista.
											Podía estar en el patio de recreo 
y en Twitter al mismo tiempo.
											Sí, bueno, cuando pensé eso,
											cuando la tecnología entró 
y lo inundó todo
											es cuando choqué contra una pared.
									","
											Sonra sancı yok oldu
											ve ben de bir iPhone aldım
											ve tüm o saatleri,
eyleme geçerek harcadım.
											Hayalimdeki iş olan radyo
şovu sunuculuğunu yarattım.
											Artık savaş bölgelerine
aceleyle gitmek yoktu,
											fakat akıllı telefonum sayesinde
											hem anne hem de gazeteci olabilirdim.
											Aynı anda hem oyun alanında
hem de Twitter'da olabilirdim.
											Evet, pekala, bunu düşündüğümde,
											teknoloji gelip her şeyi ele geçirdiğinde,
											bu, iğneyle kuyu kazdığım andı.
									",How boredom can lead to your most brilliant ideas,Manoush Zomorodi,16:13,"addiction,brain,cognitive science,creativity,communication,entertainment,social media,personal growth"
