en,es,title,speaker,duration,tags
"
","
","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
											Me and the boy wear the same shoe size.
											He wants a pair of
Air Jordan 4s for Christmas.
											I buy them,
											and then I steal them from his closet,
											like a twisted Grinch-themed
episode of ""Black-ish.""
									","
											Mi hijo y yo tenemos
el mismo número de calzado.
											Él quiere los zapatos
Air Jordan 4 para navidad.
											Se los compro,
											y luego los saco de su armario,
											como un capítulo de ""Black-ish"",
inspirado en el Grinch.
									","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
","
","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
											(Laughter)
									","
											(Risas)
									","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
","
","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
											The kicks are totems to my youth.
											I wear them like mercury
on my Black man feet.
											I can't get those young
freedom days back fast enough.
											Last time I was really fast I was 16,
											outrunning a doorman
on the Upper East Side.
											He caught me vandalizing his building,
											not even on some artsy stuff,
											just ... stupid.
											Of all the genders,
boys are the stupidest.
									","
											Los zapatos me hacen recordar mi juventud.
											Los uso como mercurio
en mis pies afroamericanos.
											Me encantaría que volvieran
los buenos tiempos.
											A los 16 años podía correr rapidísimo,
											que una vez aventajé a un portero
en el Upper East Side.
											Me pilló vandalizando su edificio,
											no con pintadas artísticas,
											sino con pintadas desagradables.
											Entre los dos sexos, los hombres
son los más estúpidos.
									","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
","
","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
											(Laughter)
									","
											(Risas)
									","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
","
","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
"
											Sixteen was a series of
barely getting away
											and never telling my parents.
											I assume that my son
is stewarding this tradition well.
											Sixteen was ""The Low End Theory""
and Marvin Gaye on repeat.
											Sixteen is younger than Trayvon
and older than Emmett Till.
											At the DMV, my boy's in line to officially
enter his prime suspect years:
											young, brown and behind the wheel,
											a moving semaphore, signaling
the threat of communities from below.
											On top of the food chain,
humans have no natural predator,
											but America plays out something
genetically embedded and instinctual
											in its appetite for the Black body.
											America guns down Black bodies
and then walks around them,
											bored,
											like laconic lions next to
half-eaten gazelles,
											bloody lips ...
											""America and the Black Body""
on some Nat Geo shit.
									","
											Mis 16 años se caracterizaron
por una serie de escapadas
											y mis padres nunca se enteraron de ello.
											Asumo que mi hijo
está siguiendo esta costumbre.
											Mis 16 años fueron ""The Low End Theory""
y Marvin Gaye en repetición.
											16 años, más joven que Trayvon
y más viejo que Emmett Till.
											En el departamento de vehículos (DMV),
											mi hijo está por convertirse
en el principal sospechoso:
											un joven afroamericano al volante,
											un semáforo móvil, señalando
una amenaza para las comunidades.
											En la cima de la cadena alimenticia
el hombre no tiene depredadores,
											pero los EE.UU. actúan instintivamente,
											ávidos por cuerpos afroamericanos.
											Disparan a los cuerpos afroamericanos
y caminan alrededor de ellos
											aburridos,
											como leones lacónicos
al lado de gacelas a medio comer,
											con labios sangrientos...
											""Los EE.UU. y el Cuerpo Afroamericano""
aparece en el National Geographic.
									","""You Have the Rite""",Marc Bamuthi Joseph,7:14,"poetry,race,spoken word,social change,society,United States,identity,art,performance,TED Fellows"
