en,pt,fr,es,title,speaker,duration,tags
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											Recently, the leadership team
of an American supermarket chain
											decided that their business
needed to get a lot more efficient.
											So they embraced their digital
transformation with zeal.
											Out went the teams
supervising meat, veg, bakery,
											and in came an algorithmic task allocator.
											Now, instead of people working together,
											each employee went, clocked in,
got assigned a task, did it,
											came back for more.
											This was scientific
management on steroids,
											standardizing and allocating work.
											It was super efficient.
									","
											Recentemente, a equipa de liderança 
de uma cadeia americana de supermercados
											decidiu que o negócio
necessitava ter maior eficiência.
											Então, adoptaram com zelo
uma transformação digital.
											Extinguiram as equipas de supervisão
do talho, dos vegetais, da charcutaria
											e introduziram um distribuidor
de tarefas algorítmico.
											Em vez de pessoas
a trabalharem em conjunto,
											cada empregado picava o ponto,
recebia uma tarefa, executava-a,
											e voltava para receber outra.
											Isto era uma gestão científica
no seu melhor,
											um trabalho padronizado e distribuído.
											Era altamente eficiente.
									","
											Il y a peu, la direction d'une chaîne
américaine de supermarchés
											a décidé d'optimiser
l'efficacité de ses opérations.
											Ils se sont lancés avec témérité
dans une transformation numérique.
											Aux oubliettes les équipes de gestion
											de la boucherie,
des légumes et de la boulangerie,
											pour faire place à un logiciel
d'allocation des tâches.
											Les gens qui travaillaient ensemble
											ont fait place aux employés qui pointaient
et réalisaient les tâches assignées,
											avant d'en redemander...
											C'était une gestion scientifique
sous stéroïdes
											qui standardisait et allouait le travail.
											C'était super efficient.
									","
											Recientemente el equipo de liderazgo de
una cadena de supermercados estadounidense
											decidió que su negocio 
debía ser mucho más eficiente.
											Entonces abrazaron con entusiasmo
su transformación digital.
											Salieron los equipos que 
supervisaban carne, verduras, panadería,
											y entró un asignador algorítmico de tareas.
											En lugar de personas que trabajan juntas,
											cada empleado llegaba, se registraba, 
se le asignaba una tarea, la realizaba
											y volvía a por más.
											Esta fue la gestión científica 
en su máxima expresión,
											trabajo de estandarización y asignación.
											Era supereficiente.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											Well, not quite,
											because the task allocator didn't know
											when a customer was going
to drop a box of eggs,
											couldn't predict when some crazy kid
was going to knock over a display,
											or when the local high school decided
											that everybody needed
to bring in coconuts the next day.
									","
											Bem, não totalmente,
											porque o distribuidor de tarefas não sabia
											quando um cliente deixava
cair uma caixa de ovos,
											não previa quando uma criança agitada
ia dar um pontapé num expositor
											ou quando a escola local decidia
											que toda a gente tinha de levar
um coco no dia seguinte.
									","
											En fait, pas vraiment
											car le logiciel ne savait pas
											quand un client allait
faire tomber une boîte d'œufs,
											quand un gosse turbulent allait
faire tomber un présentoir
											ou quand un lycée local décidait
											que les étudiants avaient
besoin de noix de coco le lendemain.
									","
											Bueno, no del todo
											porque el asignador de tareas no sabía
											cuándo a un cliente se le iba 
a caer una caja de huevos,
											no podía predecir cuándo a un niño alocado
se le iba a caer un muestrario
											o cuando la secundaria local iba a decidir
											que todos debían llevar cocos a clase 
al día siguiente.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											Efficiency works really well
											when you can predict
exactly what you're going to need.
											But when the anomalous
or unexpected comes along —
											kids, customers, coconuts —
											well, then efficiency
is no longer your friend.
									","
											A eficiência funciona muito bem
											quando se consegue prever
exactamente o que se vai necessitar.
											Mas quando o anómalo
ou inesperado surge
											— crianças, clientes, cocos —
											a eficiência deixa de ser nossa amiga.
									","
											L'efficience fonctionne très bien
											quand on peut prédire avec exactitude
ce dont on va avoir besoin.
											Mais quand survient une anomalie
ou une chose inattendue —
											des enfants, des clients,
des noix de coco —
											l'efficience n'est plus notre amie.
									","
											La eficiencia funciona muy bien
											cuando se puede predecir exactamente 
lo que vas a necesitar.
											Pero cuando aparece 
lo anómalo o inesperado,
											niños, clientes, cocos...
											entonces la eficiencia ya no es tu amiga.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
											This has become a really crucial issue,
											this ability to deal with the unexpected,
											because the unexpected
is becoming the norm.
											It's why experts and forecasters
are reluctant to predict anything
											more than 400 days out.
											Why?
											Because over the last 20 or 30 years,
											much of the world has gone
from being complicated
											to being complex —
											which means that yes, there are patterns,
											but they don't repeat
themselves regularly.
											It means that very small changes
can make a disproportionate impact.
											And it means that expertise
won't always suffice,
											because the system
just keeps changing too fast.
									","
											Isto tornou-se uma questão crucial,
											esta capacidade de lidar com o inesperado,
											porque o inesperado
está a tornar-se a norma.
											Assim, os especialistas e meteorologistas
estão relutantes em prever algo
											para além de 400 dias.
											Porquê?
											Porque nos últimos 20 ou 30 anos,
											grande parte do mundo
deixou de ser complicado
											e passou a ser complexo
											— o que significa que sim, há padrões,
											mas que não se repetem
com regularidade.
											Significa que pequenas mudanças podem
causar um impacto desproporcionado.
											Significa que a experiência
nem sempre será suficiente,
											porque o sistema continua 
a mudar muito rapidamente.
									","
											Ceci est devenu crucial,
											la capacité de gérer l'inattendu
											car l'inattendu est devenue la norme.
											C'est pour cette raison
que les experts et prévisionnistes
											hésitent à faire des prévisions
au-delà de 400 jours.
											Pourquoi ?
											Parce que ces 20 ou 30 dernières années,
											la plus grande partie du monde
est passée de compliquée
											à complexe.
											Cela signifie qu'il reste bien
des tendances,
											mais qu'elles ne se répètent pas
régulièrement.
											Cela signifie que des changements minimes
peuvent avoir un impact disproportionné.
											Cela signifie que l'expertise seule
n'est plus suffisante
											car le système change trop rapidement.
									","
											Esto se ha convertido
en un tema realmente crucial,
											esta capacidad de lidiar 
con lo inesperado,
											porque lo inesperado 
se está convirtiendo en la norma.
											Por eso los expertos y pronosticadores 
son reacios a predecir cualquier cosa
											más allá de 400 días.
											¿Por qué?
											Porque en los últimos 20 o 30 años,
											gran parte del mundo 
ha pasado de ser complicado
											a ser complejo
											lo que significa que sí, hay patrones,
											pero no se repiten regularmente.
											Significa que cambios muy pequeños 
pueden tener un impacto desproporcionado.
											Y significa que la experiencia
no siempre es suficiente,
											porque el sistema 
sigue cambiando demasiado rápido.
									",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
"
","
","
","
",The human skills we need in an unpredictable world,Margaret Heffernan,15:52,"government,business,technology,creativity,entrepreneur,future,work,AI,algorithm,innovation,social change,humanity,leadership,society"
