en,tr,es,de,title,speaker,duration,tags
"
","
","
","
",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
											The creative process — you know this —
											from the first idea to the final product,
											is a long process.
											It's super-iterative, lots of refinement,
											blood, sweat, tears and years.
											And we're not saying
you're going to go out for a walk
											and come back with the Sistine Chapel
in your left hand.
											So what frame of the creative
process did we focus on?
											Just this first part.
											Just brainstorming,
coming up with a new idea.
											We actually ran four studies
with a variety of people.
											You were either walking
indoors or outdoors.
											And all of these studies
found the same conclusion.
											I'm only going to tell you
about one of them today.
									","
											Yaratıcı süreç —biliyorsunuz—
											ilk fikirden son neticeye kadar
											uzun bir süreçtir.
											Müthiş tekrar, çok fazla düzeltme,
											kan, ter, gözyaşı ve yıllar alır.
											Şunu söylemiyoruz; yürüyüşe çıkacaksınız
											ve sol elinizde Sistina Şapel'i
ile geri geleceksiniz.
											O hâlde biz, yaratıcı sürecin 
hangi karesine odaklandık?
											Sadece bu ilk kısmına.
											Sadece beyin fırtınasına,
yeni bir fikir ortaya atmaya.
											Aslında farklı insanlarla dört 
çalışma yürüttük.
											Ya içerde ya da dışarda yürüyorlardı.
											Ve tüm bu çalışmalar aynı
sonuca ulaştı.
											Bugün size onlardan 
birinden bahsedeceğim.
									","
											El proceso creativo, como Uds. saben,
											de la idea inicial al producto final,
											es un largo proceso.
											Es superiterativo, con muchos ajustes,
											sangre, sudor, lágrimas, ¡y años!
											No es cuestión de ir a dar un paseo
											y volver con la Capilla Sixtina, ¿verdad?
											Entonces, ¿en qué etapa
del proceso nos centramos?
											Solo la primera parte.
											Solo la lluvia de ideas,
generar una nueva idea.
											Hicimos cuatro estudios
con una variedad de personas,
											caminando adentro o afuera,
											y todos estos estudios
llegaron a la misma conclusión.
											Hoy solo voy a hablarles
de uno de estos estudios.
									","
											Der kreative Prozess 
— Sie wissen schon —
											von der ersten Idee
zum endgültigen Produkt,
											ist ein langer Prozess.
											Ständige Wiederholungen, Verfeinerungen
											Blut, Schweiß, Tränen
und jahrelange Arbeit.
											Wir behaupten nicht, 
dass Sie spazierengehen
											und mit der Sixtinischen Kapelle
unterm Arm zurückkommen.
											Welchen Aspekt des kreativen
Prozesses haben wir anvisiert?
											Nur diesen ersten.
											Nur das Brainstorming,
eine neue Idee entwickeln.
											Wir haben vier Studien mit einer
Vielzahl von Menschen durchgeführt.
											Man lief entweder drinnen 
oder draußen umher.
											Alle Studien kamen zum selben Ergebnis.
											Ich berichte Ihnen heute
nur von einer dieser Studien.
									",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
","
","
","
",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
											One of the tests we used for creativity
was alternate uses.
											In this test, you have four minutes.
											Your job is to come up with as many other
ways to use common everyday objects
											as you can think of.
											So, for example,
what else would you do with a key,
											other than to use it
for opening up a lock?
											Clearly, you could use it
as a third eyeball for a giraffe, right?
											Maybe. That's sort of interesting,
kind of new. But is it creative?
											So people came up with
as many ideas as they could,
											and we had to decide:
											Is this creative or not?
									","
											Yaratıcılık için kullandığımız testlerden
biri alternatif kullanımlar idi.
											Bu testte, dört dakikanız var.
											İşiniz, düşünebileceğiniz kadar çok günlük
nesneyi kullanmanın
											pek çok başka yolunu bulmak.
											Örneğin, bir anahtarla 
bir kilidi açmaktan başka
											ne yapabilirsiniz?
											Açıkçası, zürafa için üçüncü bir göz 
küresi olarak kullanabilirsiniz, değil mi?
											Belki. Bu ilginç ve bir anlamda yeni.
Ama yaratıcı mı?
											İnsanlar yapabilecekleri pek
çok fikir ürettiler
											ve karar vermek zorundaydık:
											Bu yaratıcı mı değil mi?
									","
											Uno de los tests de creatividad que usamos
fue el test de los usos alternativos.
											Son cuatro minutos,
											y la tarea es generar
la mayor cantidad posible
											de usos alternativos
para objetos cotidianos.
											Por ejemplo, ¿qué otra cosa
se puede hacer con una llave,
											además de abrir una cerradura?
											Obviamente, podría servir como
tercer ojo para una jirafa, ¿no?
											Podría ser. Es interesante y novedoso
en cierta medida, pero ¿es creativo?
											Los participantes generaban
tantas ideas como podían
											y nosotros teníamos que decidir
si eran creativas o no.
									","
											Einer der genutzten Kreativitätstests
nannte sich alternative Nutzungen.
											Die Testpersonen haben 4 Minuten,
											um möglichst viele
alternative Gebrauchsmöglichkeiten
											für Alltagsgegenstände zu finden.
											Etwa, was kann ein Schlüssel noch tun
											außer etwas aufzuschließen?
											Er könnte als dritte Augenbraue
für eine Giraffe dienen, stimmt's?
											Das mag interessant sein,
auch neuartig, aber ist es kreativ?
											Die Testpersonen entwickelten
so vielen Ideen wie möglich
											und wir mussten entscheiden:
											Ist das kreativ oder nicht?
									",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
","
","
","
",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
											The definition of creativity
that a lot of people go with
											is ""appropriate novelty.""
											For something to be appropriate,
it has to be realistic,
											so unfortunately, you can't use
a key as an eyeball.
											Boo!
											But ""novel,"" the second thing,
is that nobody had to have said it.
											So for us, it had to be appropriate first,
											and then for novelty,
											nobody else in the entire population
that we surveyed could have said it.
											So you might think you could use
a key to scratch somebody's car,
											but if somebody else said that,
you didn't get credit for it.
											Neither of you did.
											However, only one person said this:
											""If you were dying
and it were a murder mystery,
											and you had to carve the name
of the murderer into the ground
											with your dying words.""
											One person said this.
									","
											Pek çok insanın bildiği 
yaratıcılık tanımı
											""uygun özgünlük"" tür.
											Bir şeyin uygun olması için,
gerçekçi olması gerekir,
											bu yüzden ne yazık ki, bir anahtarı
göz küresi olarak kullanamazsınız.
											Boo!
											Ancak ""özgün"", ikinci şey, 
kimse bahsetmedi bile.
											Bizim için, önce uygun,
											sonra özgün olmalıydı,
											anket yaptığımız tüm popülasyonda 
kimse bunu söyleyemedi.
											Belki anahtarı birinin arabasını çizmek
için kullanabileceğinizi düşünebilirsiniz
											ama eğer bunu başkası söylediyse,
takdir edilmezdiniz.
											Hiçbiriniz bunu yapmadı.
											Ancak, tek bir kişi şunu söyledi:
											""Eğer ölüyorsanız ve bu gizemli
bir cinayetse
											ve katilin adını son sözleriniz olarak
											yere kazımak zorundaysanız.""
											Bir kişi bunu söyledi.
									","
											La definición de creatividad
que mucha gente acepta
											es la de ""novedad adecuada"".
											Para que algo sea ""adecuado""
tiene que ser realista,
											así que, lamentablemente,
la llave no sirve como ojo.
											¡Buuu!
											Pero ""novedad"", el segundo aspecto,
significa que nadie lo haya dicho antes.
											Entonces la idea tenía que ser
adecuada, en primer lugar,
											y luego novedosa,
											o sea que no se le hubiera ocurrido
a ningún otro sujeto del estudio.
											O sea que se te podía ocurrir
usar la llave para rayar un auto,
											pero, si alguien más lo decía,
											no sumaba puntos para ninguno de los dos.
											Pero hubo una sola persona que dijo esto:
											""Si fueras la víctima
de un misterioso asesinato,
											y tuvieras que escribir el nombre
del asesino en el suelo
											con tus últimas palabras"".
											Una persona dijo esto.
									","
											Die meisten einigen sich darüber,

											dass Kreativität
eine ""geeignete Neuheit"" ist.
											Für geeignet hält man etwas,
das realistisch ist.
											Also ist ein Schlüssel leider nicht
als Augenbraue zu gebrauchen.
											Buh!
											Aber ""neu"" bedeutet,
dass keiner es zuvor gesagt hat.
											Für uns, muss es also erstens geeignet
											und zweitens eine Neuheit sein.
											Testpersonen durften nicht
dieselben Ideen haben.
											Vielleicht könnte ein Schlüssel
ein Auto zerkratzen,
											aber wenn noch jemand 
diese Idee hat, war sie wertlos.
											Keiner von beiden war kreativ.
											Allerdings sagte nur einer Folgendes:
											""Wenn du gerade in einem Krimi stirbst
											und den Namen deines Mörders
mit deinen letzten Worten
											auf den Boden kritzeln möchtest.""
											Eine einzige Person sagte das.
									",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
","
","
","
",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
","
","
","
",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
"
											And it's a creative idea,
because it's appropriate and it's novel.
									","
											Ve bu bir yaratıcı fikir, 
çünkü uygun ve özgün.
									","
											Y es una idea creativa,
porque es adecuada y es novedosa.
									","
											Das ist kreativ, denn es passt
und ist originell.
									",Want to be more creative? Go for a walk,Marily Oppezzo,5:25,"TEDx,creativity,human body,communication,innovation,personal growth,science,exercise"
