en,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
											He was a powerful king whose
break with the church of Rome
											would forever change 
the course of English history.
											But was he a charismatic reformer
or a bullying tyrant?
											Find out on History versus Henry VIII.
									","
											Fue un poderoso monarca 
que se separó de la iglesia de Roma,
											un hecho que cambiaría para
siempre la historia de Inglaterra.
											Pero ¿fue un reformador 
carismático o un tirano autoritario?
											Veámoslo en ""La historia
contra Enrique VIII"".
									","
											Foi um rei poderoso
cuja rotura com a igreja de Roma
											mudaria para sempre
o curso da História de Inglaterra.
											Mas foi um reformador carismático
ou um tirano opressor?
											Descubram isso em
""A História contra Henrique VIII"".
									","
											C'était un roi puissant,
dont la rupture avec l'église de Rome
											changea à jamais
le cours de l'histoire britannique.
											Mais était-il un réformateur charismatique
ou bien un tyran brutal ?
											Découvrez-le dans cette vidéo.
									","
											Er war ein mächtiger König,
dessen Bruch mit der Kirche Roms
											die englischen Geschichte
für immer verändern würde.
											Aber war er charismatischer Reformer
oder herrischer Tyrann?
											Hier die Antwort bei
""Heinrich VIII. gegen die Geschichte"".
									",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
","
","
","
","
",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
											Judge: Order, order. Now, who do we have
here? Looks like quite the dashing fellow.
									","
											Juez: Orden en la sala. Bien, ¿a quién
tenemos aquí? Un caballero muy elegante.
									","
											Juiz: Ordem, ordem. Quem temos aqui?
Parece um sujeito muito afoito.
									","
											Juge : Silence. Alors, qui avons-nous là ?
Il a l'air plutôt fringant.
									","
											""Ruhe, Ruhe. Wer ist das hier?
Ein gutaussehender Bursche.""
									",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
","
","
","
","
",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
											Defense: Indeed, your honour. 
This is Henry VIII, the acclaimed king
											who reformed England's
religion and government
											and set it on course to becoming
a modern nation.
									","
											Defensa: Así es, Su Señoría. Se trata 
del famoso monarca Enrique VIII
											que reformó la religión 
y el gobierno de Inglaterra,
											y sentó las bases para fundar
una nación moderna.
									","
											Defesa: Meritíssimo, este é
Henrique VIII, o rei aclamado
											que reformou a religião
e o governo de Inglaterra
											e a colocou no caminho
para uma nação moderna.
									","
											Défense : En effet, votre honneur.
Voici Henri VIII, le roi acclamé
											qui réforma la religion
et le gouvernement anglais
											et engagea le pays
sur la voie de la modernité.
									","
											""Ganz recht. Der gefeierte
König Heinrich VIII.,
											der Englands Religion
und Regierung reformierte
											und dem Land den Weg
zur modernen Nation ebnete.""
									",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
","
","
","
","
",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
											Prosecutor: I beg to differ. This is a
cruel, impulsive, and extravagant king
											who had as little regard for his 
people as he did for his six wives.
									","
											Fiscal: Lamento disentir, pero fue
un rey cruel, impulsivo y extravagante
											que tuvo muy poca consideración 
por su pueblo y por sus seis esposas.
									","
											Acusação: Discordo. É um rei cruel,
impulsivo e extravagante
											que teve tão pouco respeito pelo seu povo
como pelas suas seis mulheres.
									","
											Procureur : Je ne partage pas cet avis.
											C'était un roi cruel,
impulsif et extravagant
											qui avait aussi peu de considération
pour son peuple que pour ses six femmes.
									","
											""Das sehe ich anders. Der König ist
grausam, impulsiv und verschwenderisch
											und achtete sein Volk genauso wenig
wie seine sechs Ehefrauen.""
									",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
","
","
","
","
",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
											Judge: Six wives?
									","
											Juez: ¿Seis esposas?
									","
											Juiz: Seis mulheres?
									","
											Juge : Six femmes ?
									","
											""Sechs Ehefrauen?""
									",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
"
","
","
","
","
",History vs. Henry VIII,Mark Robinson and Alex Gendler,5:09,"TED-Ed,history,Christianity,war,religion"
