es,pt,en,fr,title,speaker,duration,tags
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
											He sido periodista desde los 17 años,
											y ahora mismo es una industria
interesante en la que estar,
											porque, como saben, en los medios
hay un gran revuelo
											y, probablemente la mayoría lo sepa:
											desde el punto de vista de los negocios, 
el modelo de negocio
											está bastante en crisis y,
como diría mi abuelo,
											a los beneficios se los ha tragado Google.
									","
											Sou jornalista desde os meus 17 anos
											e, neste momento, esta é 
uma indústria interessante
											porque, como todos sabem, 
há uma grande agitação
											a acontecer nos <i>media</i>, e a maioria de vocês 
provavelmente sabe disto
											do ponto de vista comercial. 
A questão é que o modelo comercial
											está bastante corrompido, 
como diria o meu avô:
											os lucros foram todos engolidos 
pelo Google.
									","
											I've been a journalist now since I was about 17,
											and it's an interesting industry to be in at the moment,
											because as you all know, there's a huge amount of upheaval
											going on in media, and most of you probably know this
											from the business angle, which is that the business model
											is pretty screwed, and as my grandfather would say,
											the profits have all been gobbled up by Google.
									","
											Je suis journaliste depuis l'âge de 17 ans,
											et c'est un secteur intéressant 
où travailler en ce moment,
											parce que vous le savez tous, 
il y a pas mal de bouleversements
											en cours dans les médias, 
et la plupart d'entre vous savez probablement
											du point de vue du business, 
que le modèle de business
											est plutôt fichu, et comme dirait mon grand-père
											Google avale tous les bénéfices.
									",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
											De modo que es un momento realmente 
interesante para ser periodista,
											sin embargo la agitación por la que estoy 
interesado no está en el rendimiento
											sino en la procedencia de la información. 
Se trata sobre todo
											de cómo nos informamos
y conseguimos las noticias.
											Y eso ha cambiado, porque ha habido
un gran desplazamiento
											en el equilibrio del poder desde
											las agencias de noticias a la audiencia.
											La audiencia durante mucho tiempo 
estuvo en una situación
											en la que no tenía forma
de influir en las noticias
											o producir algún cambio. 
Realmente no podía conectarse.
											Eso ha cambiado irreversiblemente.
									","
											Por isso, é uma época muito interessante 
para se ser jornalista,
											mas a agitação que me interessa 
não é a do lado da transmissão.
											É a do lado da recepção. Tem a ver com
											o modo como obtemos a informação 
e como reunimos as notícias.
											E isso mudou porque houve 
uma grande inversão
											no equilíbrio do poder,
											das agências noticiosas para o público.
											Durante muito tempo o público 
esteve numa posição
											em que não tinha maneira 
de afectar as notícias
											ou de fazer qualquer alteração. 
Não se podia verdadeiramente ligar.
											Isso mudou inevitavelmente.
									","
											So it's a really interesting time to be a journalist,
											but the upheaval that I'm interested in is not on the output side.
											It's on the input side. It's concern with
											how we get information and how we gather the news.
											And that's changed, because we've had a huge shift
											in the balance of power from
											the news organizations to the audience.
											And the audience for such a long time was in a position
											where they didn't have any way of affecting news
											or making any change. They couldn't really connect.
											And that's changed irrevocably.
									","
											C'est donc un moment intéressant 
pour être journaliste,
											mais le bouleversement qui m'intéresse 
n'est pas celui des résultats.
											C'est du côté de la contribution. 
Ça regarde
											la façon dont nous obtenons les informations
et comment nous les recueillons.
											Et ça a changé, parce que nous voyons
											que le pouvoir est largement passé
											des organisations qui s'occupent 
de l'actualité au public.
											Et le public pendant tout ce temps 
n'était pas en position
											de pouvoir influencer ou apporter 
un changement aux actualités
											Il ne pouvait pas vraiment se connecter.
											Ça a changé de manière définitive.
									",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
											Mi primer contacto
con un medio de comunicación
											fue en 1984; la BBC realizó
una huelga de un día.
											No era feliz, estaba enojado.
No podía ver los dibujos animados.
											Así que redacté una carta.
											Es una forma muy eficaz de acabar
un correo de protesta:
											""Con amor, Markham. 4 años"".
Aún funciona.
											No estoy seguro de si tuve algún 
efecto en aquella huelga,
											pero lo que sí sé es que tardaron
3 semanas en responderme.
											Y ese era el ciclo completo. 
Todo ese tiempo tardaba uno
											en producir algún impacto
y recibir alguna reacción.
											Esto ha cambiado por completo 
porque, como periodistas,
											interactuamos en tiempo real. 
No estamos supeditados
											a que la audiencia reaccione a las noticias. 
Somos nosotros quienes
											respondemos a la audiencia;
de hecho dependemos de ella.
											Nos ayudan a hallar las noticias
y también a discernir
											cuál es el enfoque a tomar
y qué material quieren oír.
											Así que es un proceso en tiempo real.
Es mucho más rápido. Sucede
											constantemente, por eso el periodista
siempre está poniéndose al día.
									","
											A minha primeira ligação com 
os meios de comunicação noticiosos
											foi em 1984. A BBC fez um dia de greve.
											Não fiquei contente. Fiquei zangado. 
Não podia ver os desenhos animados.
											Por isso escrevi uma carta.
											E uma maneira muito eficaz de terminar 
uma ""carta de ódio""
											""Beijinhos, Markham, 4 anos"". 
Ainda funciona.
											Não tenho a certeza se tive algum impacto 
na greve de um dia,
											mas o que sei é que eles demoraram 
três semanas a responder.
											Esse era o ciclo. 
Demorava todo esse tempo para alguém
											ter algum impacto e obter alguma resposta.
											Isso agora mudou porque, como jornalistas,
											interagimos em tempo real. 
Não estamos numa posição
											em que o público reage às notícias.
											Estamos a reagir ao público e, 
na realidade, estamos a confiar nele.
											Ele está a ajudar-nos a encontar as notícias. 
Está a ajudar-nos
											a perceber qual é a melhor perspectiva 
e o que é que ele quer ouvir.
											Por isso, é uma coisa em tempo real. 
É muito mais rápido. Está a acontecer
											numa base constante e o jornalista 
tem de estar sempre a actualizar-se.
									","
											My first connection with the news media was
											in 1984, the BBC had a one-day strike.
											I wasn't happy. I was angry. I couldn't see my cartoons.
											So I wrote a letter.
											And it's a very effective way of ending your hate mail:
											""Love Markham, Aged 4."" Still works.
											I'm not sure if I had any impact on the one-day strike,
											but what I do know is that it took them three weeks to get back to me.
											And that was the round journey. It took that long for anyone
											to have any impact and get some feedback.
											And that's changed now because, as journalists,
											we interact in real time. We're not in a position
											where the audience is reacting to news.
											We're reacting to the audience, and we're actually relying on them.
											They're helping us find the news. They're helping us
											figure out what is the best angle to take and what is the stuff that they want to hear.
											So it's a real-time thing. It's much quicker. It's happening
											on a constant basis, and the journalist is always playing catch up.
									","
											Mon premier échange avec les médias remonte
											à 1984, la BBC faisait un jour de grève.
											Je n'étais pas content. J'étais furieux. 
Je ne pouvais pas voir les dessins animés.
											J'ai donc écrit une lettre.
											Et c'est un moyen très efficace 
de terminer une lettre d'insultes :
											« Bien à vous Markham, 4 ans. ». 
Ça marche toujours.
											Je ne suis pas sûr d'avoir eu 
un impact quelconque sur la grève,
											mais ce que je sais, c'est qu'il leur a fallu
trois semaines pour me répondre.
											3 semaines entre ma lettre et la réponse. 
il fallait tout ce temps à n'importe qui
											pour avoir un impact et obtenir une réaction.
											Et maintenant c'est différent parce que, 
en tant que journalistes,
											nous interagissons en temps réel. 
Nous ne sommes pas dans une situation
											où le public réagit aux actualités.
											Nous réagissons au public, 
et en fait nous comptons sur lui..
											Il nous aident à trouver les informations. 
Il nous aide
											à découvrir quel est le meilleur point de vue 
et ce qu'il veut entendre.
											C'est en temps reel, c'est plus rapide. 
Ça arrive
											constamment et le journaliste 
est toujours en train de rattraper.
									",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
											Para dar un ejemplo de cómo
dependemos de la audiencia,
											el 5 de septiembre hubo
un terremoto en Costa Rica.
											Su magnitud fue de 7,6.
Fue bastante grande.
											60 segundos es el tiempo que le tomó
											viajar 250 kilómetros hasta Managua.
											El suelo se sacudió en Managua
60 segundos después que en el epicentro.
											Treinta segundos más tarde, 
el primer mensaje llegó a Twitter,
											alguien que decía ""temblor"".
											Fueron 60 segundos lo que empleó
											en viajar el terremoto físico.
											30 segundos después, las noticias de 
ese terremoto habían viajado
											instantáneamente por todo el mundo.
Todo el planeta,
											en teoría, tuvo la posibilidad
de saber que un terremoto
											ocurría en Managua.
											Y todo esto sucedió porque
una única persona tuvo
											el instinto documental de hacer 
una actualización de estado,
											Que es algo que hacemos hoy todos,
así que si algo sucede,
											subimos nuestra actualización de estado, 
una foto
											o un video, y todo va a parar a la ""nube""
(Internet) en un flujo constante.
									","
											Para dar um exemplo de como 
nós dependemos do público,
											no dia 5 de Setembro houve 
um terramoto na Costa Rica.
											Foi de magnitude 7,6. 
Foi relativamente grande.
											Demorou 60 segundos
											para percorrer 250 quilómetros até Manágua.
											A terra tremeu em Manágua 60 segundos 
depois de ter sido atingido o epicentro.
											Trinta segundos depois, a primeira mensagem 
apareceu no Twitter,
											e era de alguém a dizer ""temblor"", 
que significa terramoto.
											Portanto, demorou 60 segundos
											para o terremoto físico se deslocar.
											Trinta segundos mais tarde tinham sido 
transmitidas notícias do terramoto
											para todo o mundo, imediatamente. 
Toda a gente no mundo,
											hipoteticamente, tinha potencial 
para saber que um terramoto
											estava a acontecer em Manágua.
											E isso aconteceu porque uma pessoa
											teve o instinto de documentar, 
actualizando o seu perfil,
											que é o que todos fazemos agora, 
por isso se algo acontece
											actualizamos o nosso perfil, ou 
publicamos uma foto,
											publicamos um video e vai tudo para a nuvem,
num fluxo constante.
									","
											To give an example of how we rely on the audience,
											on the 5th of September in Costa Rica, an earthquake hit.
											It was a 7.6 magnitude. It was fairly big.
											And 60 seconds is the amount of time it took
											for it to travel 250 kilometers to Managua.
											So the ground shook in Managua 60 seconds after it hit the epicenter.
											Thirty seconds later, the first message went onto Twitter,
											and this was someone saying ""temblor,"" which means earthquake.
											So 60 seconds was how long it took
											for the physical earthquake to travel.
											Thirty seconds later news of that earthquake had traveled
											all around the world, instantly. Everyone in the world,
											hypothetically, had the potential to know that an earthquake
											was happening in Managua.
											And that happened because this one person had
											a documentary instinct, which was to post a status update,
											which is what we all do now, so if something happens,
											we put our status update, or we post a photo,
											we post a video, and it all goes up into the cloud in a constant stream.
									","
											Pour donner un exemple la façon dont 
nous comptons sur le public,
											le 5 septembre le Costa Rica a été frappé 
par un tremblement de terre.
											C'était un séisme de magnitude 7,6, plutôt grand.
											60 secondes, c'est le temps qu'il lui a fallu
											pour se parcourir 250 kilomètres jusqu'à Managua.
											La terre a tremblé à Managua 60 secondes 
après le tremblement à l'épicentre,
											30 secondes plus tard, le premier message 
est apparu sur Twitter,
											et c'était quelqu'un qui disait « temblor» ce qui signifie tremblement de terre.
											60 secondes, c'est le temps qu'il a fallu
											au tremblement de terre réel pour se déplacer.
											30 secondes plus tard, la nouvelle 
tremblement de terre avait fait
											le tour du monde, instantanément. 
Tout le monde
											en théorie, pouvait savoir qu'un tremblement de terre
											s'était produit à Managua.
											Et c'est arrivé parce que cette personne avait
											l'instinct de documenter, c’est-à-dire 
de poster un message
											qui est ce que nous faisons tous maintenant, 
donc s'il arrive quelque chose,
											nous mettons à jour notre statut, 
ou nous publions une photo,
											nous publions une vidéo, et tout va dans le nuage 
en un flux continu.
									",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
											Lo que significa un constante
y enorme volumen
											de información en aumento.
											Es realmente asombroso.
Al detallar las cifras
											cada minuto hay 72 horas más
											de videos en YouTube.
											Es decir, cada segundo, se sube a la red
más de una hora de vídeo.
											En cuanto a las fotos, en Instagram 
se suben 58 fotos por segundo.
											En Facebook se publican
más de 3500 fotos.
											De modo que para cuando termine
la presentación habrá 864
											horas más de vídeo en YouTube 
que cuando empecé,
											y 2,5 millones más de fotos
en Facebook e Instagram.
									","
											Isso significa que há um constante,
											enorme volume de dados a passar.
											É verdadeiramente surpreendente. 
Quando olhamos para os números,
											a cada minuto há mais 72 horas
											de vídeo no YouTube.
											Isto é, a cada segundo, é publicada 
mais de uma hora de video.
											Em fotografia, Instagram, são carregadas 
58 fotos por segundo.
											Mais do que três milhares e meio de fotos 
vão para o Facebook.
											Quando eu acabar de falar aqui, 
vai haver mais 864
											horas de video no YouTube do que 
quando comecei,
											e mais dois milhares e meio de fotos no Facebook 
e no Instagram do que quando comecei.
									","
											And what that means is just constant,
											huge volumes of data going up.
											It's actually staggering. When you look at the numbers,
											every minute there are 72 more hours
											of video on YouTube.
											So that's, every second, more than an hour of video gets uploaded.
											And in photos, Instagram, 58 photos are uploaded to Instagram a second.
											More than three and a half thousand photos go up onto Facebook.
											So by the time I'm finished talking here, there'll be 864
											more hours of video on Youtube than there were when I started,
											and two and a half million more photos on Facebook and Instagram than when I started.
									","
											Cela signifie un volume
											énorme et constant de données mises en ligne.
											C'est stupéfiant, en fait. En regardant ces chiffres,
											chaque minute 72 heures
											de vidéos sont publiées sur YouTube.
											C’est-à-dire que chaque seconde, 
plus d'une heure de vidéo est publiées.
											Côté photos, Instagram, 
58 photos sont publiées sur Instagram chaque seconde.
											Plus de 3500 photos vont sur Facebook.
											Quand j'aurai fini de parler ici, il y aura sur YouTube
											864 heures de vidéos de plus,
											et 2,5 millions de photos de plus 
sur Facebook et Instagram.
									",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
											Como periodista es una posición
interesante para estar,
											porque deberíamos tener acceso a todo.
											Debería tener la posibilidad de saber
de cualquier acontecimiento que acaeciera
											casi al instante, a medida
que tiene lugar, gratis.
											Y eso es aplicable a cada una
de las personas en este salón.
									","
											Portanto, é uma posição interessante 
para se estar enquanto jornalista
											porque devemos ter acesso a tudo.
											Qualquer acontecimento em qualquer sítio no mundo, 
tenho possibilidade de o saber
											quase instantaneamente, 
quando acontece, de graça.
											E isto aplica-se a todas as pessoas nesta sala.
									","
											So it's an interesting position to be in as a journalist,
											because we should have access to everything.
											Any event that happens anywhere in the world, I should be able to know about it
											pretty much instantaneously, as it happens, for free.
											And that goes for every single person in this room.
									","
											Les journalistes sont donc 
dans une position intéressante,
											parce que nous devrions avoir accès à tout.
											Chaque événement qui se produit dans le monde, 
je devrais pouvoir le savoir
											quasi instantanément, dès qu'il se produit, gratuitement.
											Et c'est valable pour chaque personne 
dans cette pièce.
									",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
"
","
","
","
",How to separate fact and fiction online,Markham Nolan,13:29,"Internet,culture,journalism,online video"
