en,tr,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
											I was six when I had the first chance
to learn what patience means.
											My grandmother gave me a magic box
as a birthday present,
											which neither of us knew
would become a gift for life.
											I became obsessed with magic,
											and at 20, I became
an amateur dove magician.
											This act of magic
requires that I train my doves
											to sit and wait inside my clothing.
											As a young magician, I was always
in a rush to make them appear,
											but my teacher told me
											the secret to the success
of this magical act
											is to make my doves appear
only after they've waited patiently
											in my tuxedo.
											It has to be a mindful kind of patience,
											the kind that took me
some years to master.
									","
											Sabrın ne olduğunu öğrendiğimde
altı yaşındaydım.
											Büyükannem doğum günü hediyesi olarak
bana sihirli bir kutu vermişti,
											bunun hayatımın hediyesi olacağını
ikimiz de bilmiyorduk.
											Sihirle aşırı ilgili oldum
											ve 20 yaşında 
amatör güvercin shirbazı oldum.
											Sihirbazlığın bu dalı gereği
güvercinlerime giysilerimin içinde
											oturup beklemelerini öğretiyorum.
											Genç bir sihirbazken
bir an önce ortaya çıkmalarını isterdim
											fakat eğitmenim bana
											bu gösterinin başarılı olabilmesi için
güvercinleri sadece
											pelerinin içinde sabırlı bir şekilde
bekledikten sonra ortaya çıkarmak
											gerektiğini söyledi.
											Önemli bir sabır şekliydi,
											buna hakim olabilmek
yıllarımı aldı.
									","
											J'avais six ans lorsque j'ai eu la chance

											d'apprendre le sens du mot patience.
											Ma grand-mère m'a offert
											une boite magique 
comme cadeau d'anniversaire.
											Aucun de nous n'aurait pensé
qu'elle deviendrait un cadeau à vie.
											Je suis devenue obsédée par la magie
											et à 20 ans, je faisais des tours
de magie amateurs avec des colombes.
											Pour ce tour de magie, je devais
entraîner mes colombes
											à s'asseoir
et à attendre dans mes vêtements.
											En tant que jeune magicienne, 
j'étais toujours impatiente
											de les faire apparaître.
											Mais mon professeur m'a dit
											que la clé du succès de ce tour de magie
											était de faire apparaître les colombes
après les avoir fait patiemment attendre
											dans mon smoking.
											Il doit s'agir d'une patience attentive,
											une patience que
j'ai mis des années à acquérir.
									","
											Tenía seis años cuando comprendí por
primera vez lo que significa la paciencia.
											Mi abuela me obsequió con una caja de 
magia como regalo de cumpleaños,
											y ninguna de nosotras sabía que sería
un regalo para toda la vida.
											Me obsesioné con la magia,
											y a los 20 años me convertí
en una maga novata de palomas.
											Este acto de magia
requiere que entrene a mis palomas
											para que reposen y esperen
dentro de mi traje.
											Como joven ilusionista, siempre estaba
ansiosa por hacerlas aparecer,
											pero mi profesor me decía
											que el secreto del éxito
en estos actos de magia
											era hacer aparecer las palomas únicamente
después de que esperaran con paciencia
											en mi esmoquin.
											Tiene que ser un tipo de paciencia
muy consciente,
											del mismo tipo que me llevó
varios años dominar.
									","
											Mit sechs Jahren hatte ich
die erste Gelegenheit, Geduld zu lernen.
											Meine Oma schenkte mir
zum Geburtstag einen Zauberkasten.
											Wir ahnten beide nicht,
											dass es ein Geschenk fürs Leben würde.
											Ich war besessen von der Zauberei
											und mit 20 Jahren wurde ich
eine Amateur-Tauben-Zauberkünstlerin.
											Für diese Zauberei
											musste ich meine Tauben trainieren,
											unter meiner Jacke zu bleiben.
											Als junge Zauberkünstlerin,
											hatte ich es immer eilig,
sie freizulassen.
											Mein Lehrer sagte aber,
											dass diese Nummer erst erfolgreich würde,
											wenn die Tauben erst erscheinen,
											nachdem sie geduldig
unter meinem Anzug gewartet hatten.
											Es sollte mit achtsamer Geduld geschehen.
											Ich brauchte ein paar Jahre,
um diese Art der Geduld zu lernen.
									",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
","
","
","
","
",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
											When life took me to Shanghai
seven years ago,
											the mindful patience I learned
became almost impossible to practice.
											In China, where everyone
and everything is in a hurry,
											you need to outperform
over 1.3 billion other people
											to build a better life.
											You hack the system, bend the rules,
											circumvent the boundaries.
											It is the same when it comes to food ...
											except that when it comes to food,
											impatience can have dire consequences.
											In the haste to grow more, sell more,
											4,000 years of agriculture
in a country of rich natural resources
											is spoiled by the overuse
of chemicals and pesticides.
											In 2016, the Chinese government revealed
											half a million food safety violations
in just nine months.
											Alarmingly, one in every four
diabetics in the world
											now comes from China.
											The stories around food
											are scary and somewhat overwhelming,
											and I told myself it's time to bring
a mindful patience into the impatience.
									","
											Hayat beni yedi yıl önce
Shanghai'ya götürdüğünde,
											edindiğim bu önemli sabır yetisi
neredeyse imkansız bir hale geldi.
											Çin'de her zaman
herkes bir şeyler için acele eder,
											daha iyi bir hayat sürebilmek için
1.3 milyar insanın
											önüne geçmeniz gerekir.
											Sistemin içine girer, 
kuralları değiştirir,
											sınırları aşarsınız.
											Konu gıdaya gelince de bu böyledir...
											Ancak konu gıda olunca
											sabırsızlık ciddi sonuçlar doğurabilir.
											Daha çok yetiştirip satma acelesi
											zengin doğal kaynaklara sahip bir ülkede
4.000 yıllık tarımı
											kimyasal ve tarım ilacı
fazlalığı ile mahveder.
											2016'da Çin Hükümeti
											yalnızca 9 ay içinde yarım milyon
güvenlik tedbiri yayınladı.
											Dahası, dünyadaki her dört
şeker hastasından biri
											artık Çin'den geliyor.
											Gıda hakkında duyduklarımız
											korkutucu ve bir şekilde şaşkınlık verici
											ve ben kendime bu sabırsızlığa
sağduyulu bir sabır getireceğimi söyledim.
									","
											Lorsque la vie m'a menée à Shanghai
il y a sept ans,
											il me fut impossible de continuer
à appliquer cette patience attentive.
											En Chine,
tout va toujours très vite.
											Vous devez surpasser
plus de 1 300 000 personnes
											pour bâtir une vie meilleure.
											Vous piratez le système,
contournez les règles et les limites.
											C'est la même chose avec la nourriture.
											Seulement, lorsque
la nourriture est concernée,
											l'impatience peut avoir
des conséquences désastreuses.
											Dans la course à une production
et à des ventes accrues,
											une agriculture de 4 000 ans dans un pays
regorgeant de ressources naturelles
											est détruite par le recours abusif
aux produits chimiques et pesticides.
											En 2016,
le gouvernement chinois a rapporté
											500 000 infractions en matière de
sécurité alimentaire en 9 mois seulement.
											Il est alarmant qu'un diabétique
sur quatre dans le monde
											vive à présent en Chine.
											Les histoires liées à la nourriture
											sont effrayantes
et quelque peu accablantes.
											Je me suis dit qu'il était temps
											d'intégrer la patience attentive
à l'impatience.
									","
											Cuando la vida me llevó a Shanghai
hace siete años,
											esa paciencia consciente que aprendí
se hizo casi imposible de practicar.
											En China, donde todo
y todos se apresuran,
											tienes que superar alrededor 
de 1300 millones de personas
											para tener una mejor vida.
											Juegas con el sistema, 
doblegas las reglas,
											evades los límites.
											Es igual cuando se trata de comida...
											excepto que cuando se trata de comida,
											la impaciencia puede tener
graves consecuencias.
											En el afán de crecer más, de vender más,
											los 4000 años de agricultura
en un país de grandes recursos naturales
											se arruinan por el uso excesivo
de químicos y pesticidas.
											En el año 2016 el gobierno chino reveló
											medio millón de violaciones a la seguridad
alimentaria en solo nueve meses.
											Increíblemente, uno de cada cuatro
diabéticos en el mundo
											proviene actualmente de China.
											Las historias alrededor de la comida
											son inquietantes y algo abrumadoras,
											y me pregunto si es tiempo de traer una
paciencia consciente a esta impaciencia.
									","
											Als ich vor sieben Jahren
nach Shanghai zog,
											war es fast unmöglich,
diese Art der achtsamen Geduld zu üben.
											Im hektischen China, wo alle in Eile sind,
											muss man gegen 1,3 Milliarden
Menschen ankämpfen,
											um voranzukommen.
											Man hackt das System,
missachtet die Regeln,
											umgeht die Grenzen.
											Das gilt auch bei Nahrung.
											Doch bei Nahrung
											kann Ungeduld harte Konsequenzen haben.
											Im Rennen um schnelleren Anbau
und größere Erträge,
											werden 4000 Jahre Landwirtschaft, eines
Landes reich an natürlichen Ressourcen,
											durch übermäßigen Gebrauch von
Chemikalien und Pestiziden verdorben.
											In 2016 hat die chinesische
Regierung in nur 9 Monaten
											eine halbe Million Verstöße
gegen das Lebensmittelgesetz aufgedeckt.
											Erschreckend ist, dass
jeder vierte Diabetiker weltweit
											aus China kommt.
											Die Schlagzeilen zum Thema Nahrung
sind gruselig und ziemlich überwältigend.
											Da dachte ich mir, dass ich achtsame
Geduld in die Ungeduld bringen wollte.
									",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
","
","
","
","
",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
											When I say mindful patience,
											I don't mean the ability to wait.
											I mean knowing how to act while waiting.
											And so, while I wait for the day
											when a sustainable food system
becomes a reality in China,
											I launched one of China's first
online farmers market
											to bring local, organically grown
produce to families.
											When we went live, 18 months ago,
											the food we could sell then
was somewhat dismal.
											We had no fruit
and hardly any meat to sell,
											as none that was sent to the lab
passed our zero tolerance test
											towards pesticides, chemicals,
antibiotics and hormones.
											I told our very anxious employees
											that we would not give up until we've met
every local farmer in China.
									","
											Sağduyulu sabır dediğimde,
											bekleme yeteneğini kastetmiyorum.
											Beklerken nasıl davranılması
gerektiğini kastediyorum.
											Sürdürülebilir gıda sisteminin
											Çin'de bir gerçek olacağı günü beklerken,
											Çin'de ailelere yerel 
ve organik şartlarda yetiştirilmiş
											mahsül ulaştıracak ilk internet çiftçi
pazarını açtım.
											18 ay önce, harekete geçirdiğimde
											o zamanlar sattığımız gıdalar
biraz sıkıntılıydı.
											Hiç meyvemiz yoktu
ve çok az etimiz vardı,
											çünkü laboratuvara gönderdiğimiz
hiçbir ürün tarım ilacı, kimyasallar,
											antibiyotik ve hormonlara karşı
sıfır tolerans testimizi geçemiyordu.
											Morali bozulan çalışanlarımıza
											Çin'deki her bir çiftçiyle tanışmadan
pes etmeyeceğimizi söyledim.
									","
											Lorsque j'évoque
la patience attentive,
											je ne parle pas de la capacité à attendre,
											je parle du fait de savoir
comment agir en attendant.
											En attendant le jour
											où un système alimentaire durable
deviendra réalité en Chine,
											j'ai lancé l'un des premiers
marchés en ligne de Chine pour fermiers
											pour offrir des produits bios et locaux
aux familles.
											Lorsqu'on a débuté il y a 18 mois,
											la nourriture qu'on pouvait vendre
était assez limitée.
											Il n'y avait pas de fruit
et très peu de viande à vendre,
											car aucun aliment envoyé au labo

											ne passait le test de tolérance zéro
											aux pesticides, aux produits chimiques
aux antibiotiques et aux hormones.
											J'ai dit à nos employés,
très anxieux,
											que nous n'abandonnerions pas
											avant d'avoir rencontré
chaque producteur local de Chine.
											Aujourd'hui, nous proposons
240 types de produits
											fournis par 47 producteurs locaux.
									","
											Cuando digo paciencia consciente,
											no hablo de la habilidad de esperar.
											Hablo de saber cómo actuar
mientras esperamos.
											Y así, mientras espero el día
											en que un sistema alimentario sostenible
sea una realidad en China,
											inauguré uno de los primeros mercados
agrícolas online de China
											para llevar a las familias productos
locales, cultivados orgánicamente.
											Cuando comenzamos, hace 18 meses,
											los alimentos que vendíamos
era algo ínfimo.
											No teníamos frutas
y difícilmente algo de carne para vender,
											ya que nada de lo enviado al laboratorio
pasaba nuestra prueba de cero tolerancia
											contra pesticidas, químicos,
antibióticos y hormonas.
											Le dije a nuestros ansiosos empleados
											que no nos rendiríamos hasta habernos
reunido con cada campesino local en China.
									","
											Mit achtsamer Geduld meine ich nicht
die Fähigkeit, zu warten,
											sondern zu wissen wie man handelt,
während man wartet.
											Also, während ich auf ein nachhaltiges
Lebensmittelsystem in China warte,
											habe ich einen von Chinas ersten
Online-Bauernmärkten eröffnet,
											um Familien mit regionalen, 
ökologischen Erzeugnissen zu versorgen.
											Als wir vor 18 Monaten online gingen,
											sah unser Angebot ziemlich trübselig aus.
											Wir hatten kein Obst
und kaum Fleisch zum Verkauf,
											weil keins der Lebensmittel,
im Labor unseren strengen Test
											auf Pestizide, Chemikalien,
Antibiotika und Hormone bestand.
											Ich sagte den sehr besorgten Mitarbeitern,
											dass wir weitermachen würden, bis wir 
jeden Kleinbauern Chinas getroffen hatten.
									",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
","
","
","
","
",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
											Today, we supply 240 types of produce
											from 57 local farmers.
											After almost one year of searching,
											we finally found chemical-free bananas
											grown in the backyards
of villagers on Hainan Island.
											And only two hours away from Shanghai,
											on an island that even Google Maps
does not have coordinates for,
											we found a place where cows eat grass
											and roam free under the blue sky.
											We also work hard on logistics.
											We deliver our customers' orders
in as fast as three hours
											on electric vehicles,
											and we use biodegradable, reusable boxes
											to minimize our environmental footprint.
									","
											Bugün 57 yerel çiftçiden
											240 tür farklı ürün tedarik ediyoruz.
											Neredeyse bir yıl aradıktan sonra
											sonunda Hainan Adası köylülerinin
bahçelerinde yetişmiş
											kimyasal karışmamış muz bulabildik.
											Üstelik Shangai'ydan sadece 2 saat uzak,
											Google Maps'in bile koordinatlarını
göstermediği bir adada,
											ineklerin ot yediği 
ve mavi gökyüzü altında
											özgürce koşabildikleri bir yer bulduk.
											Lojistik üzerine de çok çalışıyoruz.
											elektrikli araçlarla müşteri siparişlerini
3 saat kadar
											hızlı şekilde ulaştırıyoruz.
											Geri dönüşümlü, 
yeniden kullanılır kutular kullanarak
											çevreye olan etkimizi en aza indirgiyoruz.
									","
											Après un an de recherches environ,
											on a enfin trouvé des bananes
sans produit chimique
											cultivées dans les jardins
des villageois de l'île d'Hainan.
											Et à seulement deux heures de Shanghai,
											sur une île que même Google Maps
ne parvient pas à situer,
											on a trouvé un endroit
où les vaches mangent de l'herbe
											et se déplacent librement en plein air.
											On concentre aussi nos efforts
sur la logistique.
											Nous livrons les commandes des clients
en moins de trois heures
											avec des voitures électriques.
											On utilise des boîtes biodégradables
et réutilisables
											pour réduire
l'impact sur l'environnement.
											Je ne doute pas
que notre offre s'élargira,
											mais cela prend du temps.
									","
											Hoy proveemos 240 tipos de productos
											cultivados por 57 campesinos locales.
											Después de casi un año de búsqueda,
											finalmente encontramos bananas
libres de químicos
											cultivadas en los patios de aldeanos
de la Isla de Hainan.
											Y a solo dos horas de Shanghai,
											en una isla que incluso Google Maps
no tiene en sus coordenadas,
											encontramos un lugar 
donde las vacas comen pasto
											y deambulan libres bajo el cielo azul.
											También trabajamos con empeño
en la logística.
											Entregamos las órdenes de nuestros
compradores en máximo tres horas
											sobre vehículos eléctricos,
											y utilizamos cajas biodegradables
y reutilizables
											para disminuir nuestra huella ambiental.
									","
											Heute liefern wir 
240 verschiedene Erzeugnisse
											von 57 regionalen Bauern.
											Nachdem wir fast ein Jahr gesucht hatten,
											fanden wir endlich chemiefreie Bananen,
											aus den Hinterhöfen
von Dorfbewohnern auf Hainan.
											Auf einer Insel, nur zwei Stunden
von Shanghai entfernt,
											die selbst bei Google Maps
nicht verzeichnet ist,
											fanden wir einen Ort an dem Rinder
											auf grünen Weiden,
unter blauen Himmel frei grasen.
											Wir arbeiten auch schwer an der Logistik.
											Wir liefern Kundenbestellungen 
in nur 3 Stunden
											mit elektrischen Fahrzeugen
											und wir nutzen biologisch
abbaubare Mehrweg-Boxen,
											um unseren ökologischen
Fußabdruck zu minimieren.
									",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
","
","
","
","
",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
"
											I have no doubt that our offerings
will continue to grow,
											but it will take time,
											and I know a lot more people are needed
to shape the future of good food.
											So last year, I founded China's first
food tech accelerator and VC platform
											to help start-ups to shape
the future of good food
											the way they want,
											be that through using edible insects
as a more sustainable source of protein
											or using essential oils
to keep food fresh for longer.
									","
											Sunduklarımızın artmaya devam 
edeceğinden hiç şüphem yok
											ama bu zaman alacak
											ve iyi gıdanın geleceğini şekillendirmek
için daha çok kişiye gerek var.
											Geçen yıl Çin'de yeni işletmelerin
iyi gıdanın geleceğine
											yardım edebilmeleri için
bir gıda hızlandırıcı
											ve VC platformu kurdum;
											gerek sürdürülebilir protein kaynağı
olarak yenilebilir böceklerin kullanımı
											gerek gıdayı daha uzun süre taze tutacak
temel yağlar olsun.
									","
											Je sais qu'il faut plus de monde pour
dessiner l'avenir d'une nourriture saine.
											Donc j'ai créé une plateforme de
développement technologique alimentaire
											et de capital-risque
											pour que les start-up dessinent
l'avenir de la nourriture saine
											comme elles le souhaitent ;
											en utilisant des insectes comestibles
comme source de protéines plus durable
											ou des huiles permettant de conserver
la nourriture plus longtemps.
											Vous vous demandez peut-être encore :
											pourquoi essayez-vous de construire
un système alimentaire durable
											en introduisant un mouvement de patience
											dans un pays où prendre son temps
constitue presque un crime ?
									","
											No tengo duda de que nuestras ofertas
continuarán creciendo,
											pero llevará tiempo,
											y sé que muchas más personas necesitan dar
forma al futuro de los buenos alimentos.
											Hace un año fundé el primer programa

											de capital de riesgo de China 
en tecnología alimentaria
											para ayudar a las start-ups a dar forma
a este futuro
											tal como lo desean.
											Esto, por medio de insectos comestibles
como una fuente más sostenible de proteína
											o usando aceites esenciales para conservar
los alimentos frescos por más tiempo.
									","
											Ich habe keinen Zweifel daran,
dass unser Angebot weiter wachsen wird.
											Es wird aber Zeit kosten und ich weiß,
											dass wir viel mehr Menschen brauchen,
											um eine Zukunft mit
guten Lebensmitteln zu gestalten.
											Letztes Jahr gründete ich Chinas ersten
Food Tech Accelerator und VC Plattform
											damit Start-ups die Zukunft guter Nahrung
nach ihren Vorstellungen gestalten können.
											Sei es durch die Verwendung essbarer
Insekten, als nachhaltige Proteinquelle,
											oder die Verwendung von ätherischen Ölen,
um Essen haltbarer zu machen.
									",The future of good food in China,Matilda Ho,5:04,"agriculture,farming,china,entrepreneur,food,health,pollution,humanity,sustainability,TED Fellows"
