en,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
											Hello.
											My name is Matthew Williams,
											and I am a champion.
											I have won medals
in three different sports
											and national games in Canada,
											competed at the international
level in basketball
											and was proud to represent Canada
											on the world stage.
									","
											Olá.
											Chamo-me Matthew Williams
											e sou um campeão.
											Ganhei medalhas
em três desportos diferentes
											em jogos nacionais no Canadá,
											competindo a nível internacional
em basquetebol
											e tive a honra de representar o Canadá
											no palco mundial.
									","
											Bonjour.
											Mon nom est Matthew Williams,
											et je suis un champion.
											J'ai remporté des médailles
dans trois sports différents
											et des championnats nationaux au Canada,
											joué à un niveau international
au basketball
											et j'étais fier de représenter le Canada
											sur la scène mondiale.
									","
											Hallo!
											Ich heiße Matthew Williams
											und bin ein erfolgreicher Wettkämpfer.
											Ich gewann Medaillien in
drei verschiedenen Sportarten
											und bei den Länderspielen in Kanada,
											trat auf internationaler Ebene
im Basketball an,
											und war stolz, Kanada
auf der internationalen Bühne
											zu repräsentieren.
									",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
","
","
","
",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Applaus)
									",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
","
","
","
",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
											I train five days a week
for basketball and speed skating,
											work with top quality coaches
											and mental performance consultants
											to be at my best in my sport.
											By the way, all that
is through Special Olympics.
											Does that change the way you think of me
											and my accomplishments?
									","
											Treino cinco dias por semana,
em basquetebol e patinagem de velocidade,
											trabalho com treinadores
da máxima qualidade
											e consultores de desempenho mental
											para estar na melhor forma no desporto.
											A propósito, tudo isto se passa
nos Special Olympics.

											Isto muda o que pensam de mim
e das minhas façanhas?
											O mundo não vê as pessoas como eu
enquanto campeões.
									","
											Je m'entraîne 5 jours par semaine
au basketball et au patinage de vitesse,
											travaille avec des entraîneurs
de grande qualité
											et des consultants en performance mentale
											pour être le meilleur dans mon sport.
											Par ailleurs, je fais tout cela
avec les Jeux Olympiques Spéciaux.
											Est-ce que cela change la manière
dont vous percevez ma personne
											et mes réussites ?
									","
											Ich trainiere fünf Tage die Woche
Basketball und Eisschnelllauf,
											arbeite mit zwei Spitzentrainern
											und Mental-Trainern,
											um für meinem Sport
in Höchstform zu sein.
											Übrigens rede ich
von den Special Olympics.
											Ändert das, wie Sie über mich
											und meine Leistungen denken?
									",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
","
","
","
",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
											The world does not see
all people like me as champions.
											Not long ago, people like me
were shunned and hidden away.
											There has been lots of change
since Special Olympics began in 1968,
											but in too many cases,
											people with intellectual disabilities
											are invisible to the wider population.
											People use the r-word in front of me,
and they think it doesn't matter.
											That's the word ""retard"" or ""retarded""
											used in a derogatory manner.
											They're not thinking about how much
it hurts me and my friends.
									","
											Há bem pouco tempo, as pessoas como eu
eram rejeitadas e escondidas.
											Tem havido muitas mudanças
											desde que começaram
os Special Olympics em 1968
											mas, em muitos casos,
											as pessoas com deficiências intelectuais
											são invisíveis para a maior
parte da população.
											As pessoas usam a ""palavra-r""
à minha frente
											e pensam que não tem importância.
											É a palavra ""atrasado"" ou ""retardado""
											usada de modo depreciativo.
									","
											Le monde ne voit pas les personnes
comme moi comme des champions.
											Il n'y a pas si longtemps, les gens
comme moi étaient fuis et cachés.
											Les Jeux Olympiques Spéciaux ont beaucoup
évolué depuis le début en 1968,
											mais trop souvent,
											les personnes avec
des handicaps intellectuels
											sont invisibles du grand public.
											Les gens utilisent le mot « R » avec moi,
et ils pensent que ça n'est pas grave.
											C'est le mot « retardé » ou « arriéré »
											utilisé de manière désobligeante.
											Ils ne s'imaginent pas à quel point
cela nous blesse, moi et mes amis.
									","
											Die Welt sieht nicht alle Menschen
wie mich als erfolgreiche Wettkämpfer.
											Bis vor Kurzem wurden Menschen
wie ich gemieden und versteckt.
											Es hat sich seit den Anfängen der
Special Olympics, 1968, viel verändert,
											aber zu oft bleiben Menschen 
mit geistigen Behinderungen
											unsichtbar für den Großteil
der Bevölkerung.
											Leute benutzen das englische R-Wort
und glauben, es mache mir nichts aus.
											Ich meine das Wort ""retarded"",
oder ""zurückgeblieben"",
											und wird herabwürdigend verwendet.
											Es kümmert sie nicht, wie sehr es mich 
und meine Freunde verletzt.
									",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
","
","
","
",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
"
											I don't want you to think
I'm here because I'm a charity case.
											I am here because there is still
a big problem with the way
											many people see individuals
with intellectual disabilities,
											or, too often,
											how they don't see them at all.
									","
											Não pensam como isso me magoa,
a mim e aos meus amigos.
											Não quero que pensem que estou aqui
porque estou num processo de caridade.
											Estou aqui porque 
ainda há um grande problema
											com a forma como muita gente vê
indivíduos com deficiências intelectuais
											ou, demasiadas vezes,
									","
											Je ne veux pas que vous pensiez
que je suis là pour une œuvre de charité.
											Je suis ici parce qu'il y a toujours
un gros problème avec la manière
											dont beaucoup de personnes perçoivent
											les individus
à déficiences intellectuelles,
											ou, trop souvent,
											la manière dont 
ils ne les voient pas du tout.
									","
											Glauben Sie nicht, ich bin hier, 
weil ich ein Sozialfall wäre.
											Ich bin hier, weil es immer noch
ein großes Problem damit gibt,
											wie Personen mit geistigen Behinderungen 
durch viele Leute wahrgenommen werden,
											oder zu oft,
											wie sie sie überhaupt nicht wahrnehmen.
									",Special Olympics let me be myself — a champion,Matthew Williams,14:12,"bullying,community,disability,health,sports,identity,inequality,motivation,personal growth,play,potential,self,TEDx,social change"
