en,fr,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											The earliest time measurements were
											observations of cycles of the natural world,
											using patterns of changes from day to night
											and season to season to build calendars.
											More precise time-keeping, like sundials
											and mechanical clocks, eventually came along
											to put time in more convenient boxes.
											But what exactly is it that we’re measuring?
											Is time something that physically exists,
											or is it just in our heads?
											At first the answer seems obvious—
											of course time exists;
											it constantly unfolds all around us,
											and it’s hard to imagine the universe without it.
									","
											[ Qu'est-ce que le temps ? ]
											Les toutes premières mesures du temps
étaient l'observation des cycles naturels,
											s'appuyant sur les changements
entre le jour et la nuit
											et entre les saisons
pour établir des calendriers.
											Des mesures de temps plus précises,
comme les cadrans solaires
											et les horloges mécaniques
sont finalement apparus
											sont arrivés pour mettre le temps
dans des boites plus pratiques.
											Mais que mesure-t-on exactement ?
											Le temps existe-t-il physiquement,
											ou n'est-il que dans notre tête ?
											A première vue,
la réponse paraît évidente,
											- bien sûr que le temps existe -
											il se déroule constamment autour de nous,
											et il est difficile
d'imaginer l'univers sans lui.
									","
											Las medidas de tiempo más antiguas
											eran las observaciones de ciclos
del mundo natural,
											usando patrones de cambios 
del día a la noche,
											y de temporada a temporada
para construir los calendarios.
											Un registro del tiempo más preciso, 
como el reloj solar
											y al final los relojes mecánicos llegaron
											para poner al tiempo 
en cajas más convenientes.
											Pero ¿qué es precisamente lo que medimos?
											¿Es el tiempo algo que existe físicamente
											o solo está en nuestra cabeza?
											En principio la respuesta parece obvia.
											—claro que el tiempo existe—
											Se despliega constantemente
a nuestro alrededor,
											y es difícil imaginar el universo sin él.
									","
											En eski zaman ölçü birimleri
											doğal dünyanın döngülerini gözlemlemekti,
											takvimleri oluşturmak için
gündüzden geceye ve
											mevsimden mevsime oluşan
değişimlerin modelleri kullanılırdı.
											Daha doğru zaman ölçüsü -güneş saati
											ve mekanik saatler gibi- nihayetinde
											zamanı daha kullanışlı bölümlere
ayırmak için ortaya çıkmıştı.
											Peki ölçtüğümüz şey aslında neydi?
											Zaman fiziksel olarak var olan
											veya sadece zihnimizde var olan
bir şey miydi?
											İlk bakışta cevap belli olabilir-
											tabii ki zaman var olan bir şey;
											sürekli etrafımızda gelişiyor
											ve zamansız bir evren düşünmesi çok zor.
									","
											[Was ist Zeit?]
											Die frühesten Zeitmessungen
waren Beobachtungen
											von Zyklen der natürlichen Umwelt,
											indem man Veränderungsmuster
von Tag zu Nacht
											und Jahreszeit zu Jahreszeit nutzte,
um Kalender zu konstruieren.
											Präzisere Zeitmessung, wie Sonnenuhren
und mechanische Uhren
											ermöglichten schließlich,
Zeit praktischer zu klassifizieren.
											Aber was genau messen wir?
											Ist Zeit etwas, das physisch existiert,
											oder ist sie nur in unseren Köpfen?
											Zunächst scheint
die Antwort offensichtlich —
											natürlich existiert Zeit;
											sie entfaltet sich ständig um uns herum
											und es fällt schwer, sich das Universum
ohne sie vorzustellen.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											But our understanding of time started
											getting complicated thanks to Einstein.
											His theory of relativity tells us that time
											passes for everyone, but doesn’t always pass
											at the same rate for people in different situations,
											like those travelling close to the speed of light
											or orbiting a supermassive black hole.
											Einstein resolved the malleability of time
											by combining it with space to define space-time,
											which can bend, but behaves
in consistent, predictable ways.
									","
											Mais notre compréhension du temps
est devenue compliquée grâce à Einstein.
											Sa théorie de la relativité nous dit
que le temps passe pour tout le monde,
											mais ne passe pas toujours
à la même vitesse
											pour des gens
dans des situations différentes,
											comme ceux qui se déplacent
près de la vitesse de la lumière
											ou qui orbitent un trou noir supermassif.
											Einstein a résolu la plasticité du temps
											en le combinant avec l'espace
pour définir l'espace-temps,
											qui peut se courber, mais qui se comporte
de manière cohérente et prévisible.
									","
											Pero nuestro entendimiento del tiempo

											comenzó a complicarse gracias a Einstein.
											Su teoría de la relatividad 
nos dice que el tiempo
											pasa para todos, pero no siempre pasa
											al mismo ritmo para gente
en diferentes situaciones,
											como aquellos que viajan cerca
de la velocidad de la luz
											o que orbitan 
un agujero negro supermasivo.
											Einstein resolvió 
la maleabilidad del tiempo
											combinándolo con espacio
para definir espacio-tiempo,
											que puede curvarse pero se comporta 
de maneras consistentes y predecibles.
									","
											Fakat zaman anlayışımız
											Einstein sayesinde karmaşıklaştı.
											İzafiyet teorisi
											zamanın herkes için ilerlediğini ancak
											farklı durumlardaki insanlar için
hep aynı hızda ilerlemediğini söyler,
											tıpkı ışık hızına yakın hızla yol alan
											veya süper kütleli bir kara deliğin 
yörüngesinde dönen cisimler gibi.
											Einstein zamanın genleşmesini
											uzay-zamanı tanımlamak için
bunu uzayla bağdaştırarak çözdü,
											uzay-zaman bükülebilirdi ancak sürekli,
öngörülebilir yolda hareket ediyordu.
									","
											Aber unser Verständnis von Zeit begann,
dank Einstein, kompliziert zu werden.
											Seine Relativitätstheorie verrät uns,
											dass Zeit zwar für jeden vergeht,
											aber, je nach Situation, nicht immer
mit derselben Geschwindigkeit,
											wie für jene, die nahezu mit
Lichtgeschwindigkeit reisen
											oder um ein supermassives
schwarzes Loch kreisen.
											Einstein löste die Formbarkeit von Zeit,
											indem er sie mit dem Raum kombinierte
und die Raumzeit definierte,
											welche sich biegen kann, sich aber 
konsistent und vorhersagbar verhält.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											Einstein’s theory seemed to confirm that time
											is woven into the very fabric of the universe.
											But there’s a big question it didn’t fully resolve:
											why is it we can move through space in any direction,
											but through time in only one?
											No matter what we do, the past is always,
											stubbornly, behind us.
											This is called the arrow of time.
									","
											La théorie d'Einstein parait confirmer
											que le temps est tissé
dans la structure même de l'univers.
											Mais elle n'a pas totalement répondu
à une grande question :
											pourquoi peut-on voyager dans l'espace
dans n'importe quelle direction,
											mais dans une seule à travers le temps ?
											Quoi qu'on fasse, le passé est toujours
obstinément derrière nous.
											C'est ce qu'on appelle la flèche du temps.
									","
											La teoría de Einstein parecía 
confirmar que el tiempo
											está tejido en la tela del universo.
											Pero hay una gran pregunta 
que no resolvió por completo:
											¿por qué podemos movernos
por el espacio en cualquier dirección
											pero en el tiempo en una sola dirección?
											No importa lo que hagamos,
el pasado está siempre,
											obstinadamente, detrás de nosotros.
											Esto se llama el arco del tiempo.
									","
											Einstein'ın teorisinin
											zamanın evrenin dokusuna 
örüldüğünü doğruladığı görülüyor.
											Fakat tam olarak çözemediği 
büyük bir sorun var:
											Neden uzayda 
herhangi bir yönde gidebilirken
											zamanda sadece bir yönde gidebiliyoruz?
											Ne yaparsak yapalım, geçmiş her zaman
											inatla arkamızda duruyor.
											Buna ""zaman oku"" denir.
									","
											Einsteins Theorie schien zu bestätigen,
											dass Zeit in den Stoff
des Universums verwoben ist.
											Aber eine große Frage löste sie nicht:
											Warum können wir uns durch den Raum
in jede Richtung bewegen,
											aber durch die Zeit nur in eine?
											Egal was wir tun, die Vergangenheit
ist immer stur hinter uns.
											Das nennen wir den Zeitpfeil.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											When a drop of food coloring is
											dropped into a glass of water,
											we instinctively know that the coloring
											will drift out from the drop,
											eventually filling the glass.
											Imagine watching the opposite happen.
											Here, we’d recognize time as unfolding backwards.
											We live in a universe where the food coloring
											spreads out in the water, 

											not a universe where it collects together.

									","
											En déposant une goutte de colorant
dans un verre d'eau,
											nous savons instinctivement que la couleur
va s'écarter de la goutte,
											jusqu'à remplir le verre.
											Imaginez que l'opposé se déroule.
											Ici, on remarque
que le temps passe à l'envers.
											Nous vivons dans un univers où le colorant
se disperse dans l'eau,
											et non dans un univers où il se réunit.
									","
											Cuando una gota de colorante de comida
											cae en un vaso de agua,
											por instinto sabemos que el colorante
											saldrá de la gota,
											llenando finalmente el vaso.
											Imaginen ver que sucede lo contrario.
											Aquí reconoceríamos el tiempo
desplegándose hacia atrás.
											Vivimos en un universo
donde el colorante de comida
											se propaga en el agua,
											no en un universo donde se junta.
									","
											Bir damla gıda boyası
											bir bardak suya damladığında
											içgüdüsel olarak
											boyanın damladan ayrılıp
											sonunda bardağı dolduracağını biliriz.
											Tam tersini izlediğinizi hayal edin.
											Burada zamanın geriye doğru
işlediğini görüyoruz.
											Gıda boyasının suda yayıldığı bir dünyada
											yaşıyoruz,
											suda birleştiği bir dünyada değil.
									","
											Wenn ein Tropfen Lebensmittelfarbe
in ein Glas Wasser getropft wird,
											wissen wir instinktiv,
dass die Farbe aus dem Tropfen treiben
											und irgendwann das Glas füllen wird.
											Stellen Sie sich vor,
das Gegenteil würde passieren.
											Hier würden wir erkennen,
dass Zeit sich rückwärts entfaltet.
											Wir leben in einem Universum,
											in dem die Lebensmittelfarbe
sich im Wasser ausbreitet,
											nicht einem Universum,
in dem sie sich zusammensammelt.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
","
","
","
","
",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
"
											In physics, this is described by
											the Second Law of Thermodynamics,
											which says that systems will gain disorder,
											or entropy, over time.
											Systems in our universe move from order to disorder,
											and it is that property of the universe
											that defines the direction of time’s arrow.
									","
											En physique, ce phénomène est décrit
par la Seconde Loi de la Thermodynamique,
											qui énonce que les systèmes
gagnent en désordre,
											ou entropie, au cours du temps.
											Les systèmes de notre univers
vont de l'ordre au désordre,
											et c'est cette propriété de l'univers
qui définit le sens de la flèche du temps.
									","
											En Física esto se describe
											por la Segunda ley de la Termodinámica,
											que dice que los sistemas ganarán desorden
											o entropía con el tiempo.
											Los sistemas en nuestro universo
pasan del orden al desorden,
											y es esa propiedad del universo
											la que define la dirección
del arco del tiempo.
									","
											Fizikte bu,
											Termodinamiğin İkinci Yasası
olarak tanımlanır,
											buna göre sistemler zamanla
											düzensizlik veya entropi kazanır.
											Evrenimizdeki sistemler düzenden
düzensize doğru hareket eder,
											bu ise, zaman okunun yönünü tanımlayan
											evrenin özelliğidir.
									","
											In der Physik wird das durch das zweite
Gesetz der Thermodynamik beschrieben,
											das besagt, dass in Systeme über Zeit
die Unordnung, oder Entropie, zunimmt.
											In unserem Universum bewegen sich 
Systeme von Ordnung zu Unordnung
											und diese Eigenschaft des Universums
definiert die Richtung des Zeitpfeils.
									",Does time exist?,Andrew Zimmerman Jones,5:10,"TED-Ed,science,space,time,universe,humanity,big problems"
