en,es,tr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											I didn't know when I agreed to do this
											whether I was expected to talk or to sing.
											But when I was told that the topic was language,
											I felt that I had to speak about something for a moment.
									","
											No sabía, cuando acepté hacer esto,
											si esperaban que hablara o cantara.
											Pero cuando me dijeron que 
el tema era sobre el lenguaje,
											sentí que tenía que hablar 
de algo por un momento.
									","
											Bunu yapmayı kabul ettiğimde
											şarkı mı söylemem gerekecekti yoksa
konuşma mı yapacaktım bilmiyordum.
											Ama konunun dil üzerine olduğu söylendiğinde
											bir an bir şey hakkında konuşmak
zorunda olduğumu hissettim.
									","
											Als ich zustimmte, dies zu machen,
wusste ich nicht,
											ob ich nun sprechen oder singen sollte.
											Aber als mir gesagt wurde,
dass das Thema Sprache sei,
											hatte ich das Gefühl,
dass ich etwas darüber sagen sollte.
									","
											Quando concordei f-f-fazer isto,
											não sabia se queriam
que falasse ou cantasse.
											Mas quando me disseram 
que o tópico era a linguagem,
											senti que havia algo que tinha de dizer.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											I have a problem.
											It's not the worst thing in the world.
											I'm fine.
											I'm not on fire.
											I know that other people in the world
											have far worse things to deal with,
											but for me, language and music are
											inextricably linked through this one thing.
									","
											Tengo un problema.
											No es la peor cosa en el mundo.
											Estoy bien.
											No estoy quemándome.
											Sé que otras personas en el mundo
											tienen que lidiar con cosas peores,
											pero para mí, el lenguaje y la música
											están inextricablemente unidos 
a través de una sola cosa.
									","
											Bir sorunum var.
											Dünyanın en kötü şeyi değil.
											Gayet iyiyim.
											Yangının ortasına falan düşmedim.
											Biliyorum ki dünyada çok daha kötü şeylerle
											uğraşmak zorunda kalan insanlar var
											ama benim için dil ve müzik birbirlerine
											bir şeyle ayrılamaz şekilde bağlı.
									","
											Ich habe ein Problem.
											Es ist nicht das Schlimmste auf der Welt.
											Es geht mir gut.
											Ich stehe nicht in Flammen.
											Ich weiß, dass andere auf der Welt
											weitaus Schlimmeres ertragen müssen,
											aber für mich sind Sprache und Musik
											durch diese eine Sache
untrennbar miteinander verbunden.
									","
											Eu tenho um... problema.
											Não é a pior coisa do mundo.
											Estou bem.
											Não estou a arder.
											Eu sei que outras pessoas no mundo
											têm que lidar com coisas b-b-bem piores,
											mas para mim... a linguagem e a m-m-música
											estão intrinsecamente
ligadas por uma coisa.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											And the thing is that I have a stutter.
											It might seem curious given that I spend
											a lot of my life on the stage.
											One would assume that I'm comfortable
											in the public sphere and comfortable here,
											speaking to you guys.
											But the truth is that I've spent
my life up until this point
											and including this point, living in mortal dread
											of public speaking.
											Public singing, whole different thing. (Laughter)
											But we'll get to that in a moment.
											I've never really talked about it before so explicitly.
											I think that that's because I've always lived in hope
											that when I was a grown-up,
											I wouldn't have one.
											I sort of lived with this idea that when I'm grown,
											I'll have learned to speak French,
											and when I'm grown, I'll learn
how to manage my money,
											and when I'm grown, I won't have a stutter,
											and then I'll be able to public speak
and maybe be the prime minister
											and anything's possible and, you know.
											(Laughter)
											So I can talk about it now
											because I've reached this point, where —
											I mean, I'm 28.
											I'm pretty sure that I'm grown now.
											(Laughter)
											And I'm an adult woman
											who spends her life as a performer,
											with a speech impediment.
											So, I might as well come clean about it.
									","
											Y esa cosa es que tartamudeo.
											Podría parecer algo curioso 
ya que me paso
											gran parte de mi vida en el escenario.
											Uno asumiría que me siento bien
											en la esfera pública y 
que me acomoda estar aquí,
											hablándole a ustedes.
											Pero la verdad es que me he pasado 
mi vida hasta este punto,
											e incluído este punto, 
con el miedo mortal
											de hablar en público.
											Cantar en público es algo
totalmente diferente. (Risas)
											Pero ya llegaremos a eso en un momento.
											Nunca he hablado de ello antes 
de forma tan explícita.
											Creo que se debe a que 
he vivido con la esperanza
											de que cuando llegare a adulta,
											ya no lo tendría.
											En cierto modo viví con la idea 
de que cuando fuera grande,
											aprendería a hablar francés,
											que cuando fuera adulta, 
aprendería a administrar el dinero,
											que cuando fuera grande, 
no sería tartamuda,
											que podría hablar en público 
y tal vez llegar a ser primer ministro.
											Todo es posible, ya saben.
											(Risas)
											Así que puedo hablar de esto ahora
											porque he llegado al punto en que...
											Es decir, tengo 28 años.
											Estoy bien segura de ya ser grande.
											(Risas)
											Soy una mujer adulta
											que vive la vida de artista,
											con un impedimento en el habla.
											Así que, también podría 
liberarme de ello.
									","
											O şey şu ki, ben bir kekemeyim.
											Hayatımın çoğunu sahne önünde geçirdiğim
											düşünüldüğünde garip gelebilir.
											Bir kişi toplum önünde gayet rahat olduğumu
											düşünebilir hatta burada size konuşurken
											rahat olduğumu.
											Ama gerçek şu ki, şu ana
kadar ve şu an da dahil
											hayatımı toplum önünde
konuşma korkusuyla sürdürdüm
											Toplum önünde şarkı
söylemek ise, o çok ayrı bir şey.
											Ama bu konuya birazdan geleceğiz.
											Daha önce bunun hakkında
böylesine açık konuşmamıştım.
											Heralde hep umut içinde yaşamış olduğum için,
											yetişkin biri olduğumda
											kekeme olmayacağım umudu.
											Büyüdüğümde Fransızca konuşmayı öğreneceğim,
											paramı kontrol etmeyi öğreneceğim
											ve kekeme olmayacağım
düşüncesiyle yaşadım diyebiliriz.
											Sonra da toplum önünde konuşabilecektim,
											belki başbakan olacaktım,
											bilirsiniz, her şey olabilir.
											(Kahkahalar)
											Şimdi bunun hakkında konuşabiliyorum
											Çünkü belirli bir noktaya eriştim
											yani, 28 yaşındayım.
											Yetişkin olduğuma eminim artık.
											(Kahkahalar)
											Ve hayatını konuşma zorluğu olan
											bir müzisyen olarak geçiren
											yetişkin bir kadınım.
											Bunu kabul etmeliyim.
									","
											Die Sache ist die: Ich stottere.
											Es mag merkwürdig erscheinen,
da ich einen großen Teil meines Lebens
											auf der Bühne stehe.
											Man sollte meinen,
dass ich mich im öffentlichen Raum
											und hier wohl fühle,
											wenn ich zu Ihnen spreche.
											Aber eigentlich habe ich mein Leben lang,
											bis zu diesem Zeitpunkt,
einschließlich heute,
											Todesängste vor öffentlichem Reden
ausgestanden.
											Mit öffentlichem Singen
ist das etwas völlig anderes. (Gelächter)
											Aber dazu komme ich gleich.
											Ich habe noch nie so ausführlich
darüber gesprochen.
											Vermutlich hatte ich immer die Hoffnung,
											dass ich als Erwachsene
											nicht mehr stottern würde.
											Ich stellte mir wohl vor, 
dass ich als Erwachsene
											Französisch gelernt haben,
											besser mit Geld umgehen
											und nicht mehr stottern würde.
											Dann würde ich
in der Öffentlichkeit reden können
											und vielleicht Premierministerin sein.
Schließlich ist ja alles möglich —
											(Gelächter)
											Jetzt kann ich darüber reden,
											weil ich diesen Punkt
erreicht habe, an dem ...
											Mein Gott, ich bin 28.
											Ich bin mir sicher,
dass ich jetzt erwachsen bin.
											(Gelächter)
											Ich bin eine erwachsene Frau,
											die ihr Leben als Künstlerin zubringt
											und eine Sprachstörung hat.
											Da kann ich auch genauso gut
offen darüber sprechen.
									","
											Essa coisa é a minha g-g-gaguez.
											Pode parecer curioso,
											dado que eu passo muito tempo
da minha vida no p-p-palco.
											Talvez achem que me sinto à vontade
											a falar em público
											e à vontade aqui, a falar com vocês.
											Mas a verdade é que 
passei a minha vida até agora
											— e incluindo agora —
											no pânico mortal
de falar em público.
											Cantar em público, 
é completamente diferente.
											(Risos)
											Mas já vamos falar disso.
											Nunca falei sobre isto tão explicitamente.
											Acho que é porque
sempre tive a esperança
											de que, quando fosse adulta,
											já não gaguejasse.
											Sempre vivi com a ideia
de que, quando fosse crescida,
											teria aprendido a falar f-f-francês,
											e que, quando crescesse, 
teria aprendido a gerir o meu dinheiro,
											e, que quando crescesse, 
não gaguejaria,
											e conseguiria falar em público 
e talvez ser primeira-ministra,
											e tudo seria possível e... vocês sabem.
											(Risos)
											Eu consigo falar disto agora
											porque cheguei a um ponto em que
											— quer dizer, tenho 28 anos.
											Tenho a certeza de que já sou adulta.
											(Risos)
											E sou uma mulher adulta,
											que vive a sua vida como artista,
											com problemas de fala.
											Por isso, mais vale ser sincera.
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											There are some interesting
angles to having a stutter.
											For me, the worst thing that can happen
											is meeting another stutterer.
											(Laughter)
											This happened to me in Hamburg, when
											this guy, we met and he said,
											""Hello, m-m-m-my name is Joe,""
											and I said, ""Oh, hello, m-m-m-my name is Meg.""
											Imagine my horror when I realized
											he thought I was making fun of him.
											(Laughter)
									","
											Hay algunos ángulos interesantes 
cuando tartamudeas.
											Para mí, lo peor que me pudo suceder
											fue conocer a otro tartamudo.
											(Risas)
											Me sucedió en Hamburgo,
											cuando conocí a un chico que me dijo:
											""Hola, m-m-m-mi nombre es Joe""
											y yo le dije: ""Hola, 
m-m-m-mi nombre es Meg.""
											Imaginen mi horror cuando me di cuenta
											que pensó que me burlaba de él.
											(Risas)
									","
											Kekeme olmanın bazı ilginç yanları var.
											Benim için, başıma gelebilecek en kötü şey
											başka bir kekemeyle tanışmak.
											(Kahkahalar)
											Hamburg'da başıma geldi mesela
											bi adam yanıma geldi tanıştık ve dedi ki
											""Merhaba,b-b-b-benim adım Joe""
											ve ben de dedim ki
""Aa,merhaba b-b-benim adım Meg.""
											Onunla dalga geçtiğimi sandığını farkettiğimde
											yaşadığım dehşeti hayal edin.
											(Kahkahalar)
									","
											Es gibt einige interessante Aspekte,
wenn man stottert.
											Das Schlimmste ist für mich,
											auf einen anderen Stotterer zu treffen.
											(Gelächter)
											Das ist mir in Hamburg passiert.
											Dieser Typ ... Wir lernten
uns kennen und er sagte:
											""Hi, m-m-m-mein Name ist Joe"",
											und ich sagte:
""Oh, hi, m-m-m-mein Name ist Meg"".
											Stellen Sie sich mein Entsetzen vor,
als ich begriff,
											dass er annahm,
dass ich mich über ihn lustig machte.
											(Gelächter)
									","
											Há lados interessantes 
no que toca à gaguez.
											Para mim, o pior que pode acontecer
											é conhecer outro g-g-gago.
											(Risos)
											Isto aconteceu-me em Hamburgo,
											quando um rapaz que conheci disse:
											""Olá, o m-m-m-meu nome é Joe.""
											e eu disse:
""Ah, olá, o m-m-m-meu nome é Meg.""
											Imaginem o meu pânico
quando me apercebi
											de que ele pensou 
que eu estava a gozar com ele.
											(Risos)
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
","
","
","
","
",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
"
											People think I'm drunk all the time.
											(Laughter)
									","
											Las personas piensan 
que estoy borracha todo el tiempo.
											(Risas)
									","
											İnsanlar beni hep sarhoş sanıyorlar.
											(Kahkahalar)
									","
											Die Leute denken,
dass ich ständig betrunken bin.
											(Gelächter)
									","
											As pessoas pensam 
que eu estou sempre embriagada.
											(Risos)
									",Why I live in mortal dread of public speaking,Megan Washington,12:58,"TEDx,disability,live music,media,music,speech"
