en,pt,de,fr,title,speaker,duration,tags
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											Back home, my friends call me nicknames,
											such as ""The Giant Clam Girl,""
											""Clam Queen,""
											or, ""The Mother of Clams.""
									","
											Em casa, os meus amigos
chamam-me várias alcunhas,
											tais como ""a menina ostra-gigante"",
											""a rainha da ostra""
											ou ""a mãe das ostras"".
									","
											In meiner Heimat haben mir
meine Freunde Spitznamen gegeben:
											""Das Riesenmuschel-Mädchen"",
											""Muschel-Königin""
											oder ""Die Mutter der Muscheln"".
									","
											Là d'où je viens, mes amis 
me surnomment
											« la fille des bénitiers géants »,
											« la reine des mollusques »,
											ou « la mère des mollusques ».
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											This is because every time I see them,
											I talk nonstop about giant clams all day,
											every day.
											Giant clams are these massive
and colorful shelled marine animals,
											the largest of its kind.
											Just look at this shell.
											The biggest recorded individual
was four-and-a-half-feet long
											and weighed about 550 pounds.
											That is almost as heavy
as three baby elephants.
									","
											Porque, sempre que estou com eles,
											não consigo parar de falar
sobre as ostras-gigantes,
											todos os dias.
											As ostras-gigantes são animais marinhos
enormes e coloridos que vivem em conchas,
											os maiores da sua espécie.
											Olhem para esta concha.
											É o maior exemplar jamais visto
com 1,5 m de tamanho
											e um peso de 250 kg.
											É quase tão pesado
como três elefantes bebés.
									","
											Das liegt daran,
											dass ich bei jedem Treffen
pausenlos über Muscheln rede,
											ohne Ausnahme.
											Riesenmuscheln sind enorme,
bunte Schalentiere,
											die größten ihrer Art.
											Sehen Sie sich nur die Schale an.
											Der größte dokumentierte Fund
war über einen Meter lang
											und wog etwa 250 Kilogramm.
											Das ist fast so schwer
wie drei Elefantenjunge.
									","
											C'est parce qu'à chaque fois 
que j'en vois,
											je parle sans arrêt des mollusques géants,
											tous les jours.
											Les bénitiers géants sont 
des crustacés massifs et multicolores,
											les plus grands de leur espèce.
											Regardez cette coquille.
											Le plus grand individu répertorié
atteignait 1,37 m de longueur
											et pesait environ 250 kilos.
											C'est presque aussi lourd que
trois bébés éléphants.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											South Pacific legends once described
giant clams as man-eaters
											that would lie in wait on the seabed
to trap unsuspecting divers.
											A story goes that a diver
had lost his legs
											while trying to retrieve a pearl
from a giant clam.
											I thought, ""Really?""
											So out of curiosity,
											I did an experiment using myself as bait.
									","
											As lendas do Pacífico do Sul chegaram
a descrever estas ostras como canibais
											que esperavam pelos mergulhadores
no fundo do mar, para os surpreender.
											Há uma história em que um mergulhador
perdeu ambas as pernas,
											enquanto tentava tirar uma pérola
duma ostra-gigante.
											Eu pensei: ""A sério?""
											Por curiosidade,
											fiz uma experiência comigo mesma
enquanto isco.
									","
											In Südsee-Legenden wurden Riesenmuscheln
einst als Menschenfresser bezeichnet,
											die auf dem Meeresgrund lauerten,
um ahnungslose Taucher zu fangen.
											In einer Geschichte verlor
ein Taucher seine Beine,
											als er aus einer Riesenmuschel
eine Perle holen wollte.
											Ich dachte mir: ""Wirklich?""
											Aus Neugier machte ich ein Experiment
mit mir selbst als Köder.
									","
											Les légendes du Pacifique Sud décrivaient
ces mollusques comme des mangeurs d'hommes
											qui guettaient sur les fonds marins 
les plongeurs peu méfiants.
											Une histoire raconte qu'un plongeur 
avait perdu ses jambes
											alors qu'il essayait de récupérer
une perle d'un bénitier géant.
											Je me suis dit « Vraiment ? »
											Alors, par pure curiosité,
											j'ai essayé en m'utilisant
moi-même comme appât.
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
","
","
","
",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									",The fascinating secret lives of giant clams,Mei Lin Neo,5:27,"TED Fellows,biology,animals,conservation,environment,nature,pollution,oceans,science,marine biology"
