es,en,fr,de,title,speaker,duration,tags
"
","
","
","
",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
											Crecí viendo Star Trek.
Me encanta Star Trek.
											Star Trek me hizo querer
ver criaturas alienígenas,
											criaturas de un mundo distante.
											Pero básicamente, me di cuenta
de que podía encontrar
											esas criaturas extraterrestres
aquí en la Tierra.
									","
											I grew up watching Star Trek. I love Star Trek.
											Star Trek made me want to see alien creatures,
											creatures from a far-distant world.
											But basically, I figured out that I could find
											those alien creatures right on Earth.
									","
											J'ai grandit en regardant Star Trek.
J'adore Star Trek.
											Star Trek m'a donné envie
de voir des créatures extra-terrestres,
											des créatures d'un monde lointain.
											Mais en fait, je me suis rendu compte
que je pouvais trouver
											ces créatures étranges
ici-même sur la Terre.
									","
											Ich bin mit Star Trek aufgewachsen.
Ich liebe Star Trek.
											Wegen Star Trek wollte 
ich Aliens sehen,
											Kreaturen von einer weit 
entfernten Welt.
											Aber dann fand ich heraus,
											dass ich Aliens direkt auf 
der Erde finden konnte.
									",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
","
","
","
",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
											Y lo que hago es estudiar insectos.
											Estoy obsesionado con los insectos, 
particularmente con el vuelo de los insectos.
											Creo que la evolución del vuelo
de los insectos es quizás
											uno de los eventos más importantes 
en la historia de la vida.
											Sin insectos, no habría
ninguna planta de floración.
											Sin plantas con flores,
no habría
											inteligentes primates comedores
de fruta dando TEDTalks.
									","
											And what I do is I study insects.
											I'm obsessed with insects, particularly insect flight.
											I think the evolution of insect flight is perhaps
											one of the most important events in the history of life.
											Without insects, there'd be no flowering plants.
											Without flowering plants, there would be no
											clever, fruit-eating primates giving TED Talks.
									","
											Moi, j'étudie les insectes.
											Je suis passionné par les insectes,
et plus particulièrement par leur vol.
											Je pense que l'évolution du vol
des insectes est peut-être
											un des évenements les plus importants
de l'histoire de la vie.
											Sans les insectes,
il n'y aurait pas de plantes à fleurs,
											Sans les plantes à fleurs,
il n'y aurait pas de
											primates fructivores et intelligents
donnant des conférences TED.
									","
											Ich studiere nämlich Insekten.
											Ich bin besessen von Insekten, 
besonders von ihrem Flug.
											Ich halte die Entwicklung 
des Insektenflugs
											für eines der wichtigsten Ereignisse 
in der Geschichte des Lebens.
											Ohne Insekten gäbe es keine 
blühenden Pflanzen.
											Ohne blühende Pflanzen gäbe es keine
											cleveren, fruchtessenden 
Primaten, die TEDTalks halten.
									",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
","
","
","
",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
											(Risas)
									","
											(Laughter)
									","
											(Rires).
									","
											(Lachen)
									",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
","
","
","
",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
											Ahora,
											David, Hidehiko y Ketaki
											hicieron una historia
muy convincente sobre
											las similitudes entre las moscas de la fruta 
y los seres humanos,
											y hay muchas similitudes,
											así que, se podría pensar que si los seres humanos 
son similares a las moscas de la fruta,
											el comportamiento preferido de una mosca
de la fruta podría ser este, por ejemplo...
											(Risas)
											pero en mi charla no quiero 
hacer hincapié en las semejanzas
											entre los seres humanos y las moscas de la fruta, 
sino más bien en las diferencias,
											y centrarme en los comportamientos en que creo 
que sobresalen las moscas de la fruta.
									","
											Now,
											David and Hidehiko and Ketaki
											gave a very compelling story about
											the similarities between fruit flies and humans,
											and there are many similarities,
											and so you might think that if humans are similar to fruit flies,
											the favorite behavior of a fruit fly might be this, for example —
											(Laughter)
											but in my talk, I don't want to emphasize on the similarities
											between humans and fruit flies, but rather the differences,
											and focus on the behaviors that I think fruit flies excel at doing.
									","
											Alors,
											David, Hidehiko et Ketaki
											ont raconté une histoire très probante
											sur les similitudes entre les 
mouches drosophiles et les êtres humains,
											il y a de nombreuses similitudes,
											et vous pourriez penser que si les hommes 
et les mouches drosophiles sont similaires,
											le comportement préféré d'une drosophile
drosophile serait par exemple celui-ci -
											(Rires)
											mais, dans cette conférence, je ne souhaite pas
mettre l'accent sur les similitudes
											entre les hommes et les mouches drosophiles,
mais plutôt sur les différences
											et me concentrer sur les comportements pour 
lesquels les mouches sont particulièrement douées.
									","
											Nun,
											David, Hidehiko und Ketaki
											erzählten eine fesselnde 
Geschichte über
											die Gemeinsamkeiten von 
Fruchtfliegen und Menschen,
											und da gibt es viele.
											Und wenn sich beide ähnlich sind, 
könnte man denken,
											dass eine Fruchtfliege vielleicht
das hier am liebsten macht –
											(Lachen)
											aber in meiner Rede möchte ich 
nicht die Gemeinsamkeiten
											von Menschen und Fruchtfliegen herausstelllen, 
sondern eher ihre Unterschiede
											und mich auf die Verhaltensweisen konzentrieren, 
in denen Fruchtfliegen hervorragend sind.
									",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
","
","
","
",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
"
											Y por eso quiero mostrarles 
una secuencia de vídeo de alta velocidad
											de una mosca, a 7000 
fotogramas por segundo con luz infrarroja,
											y a la derecha, fuera de la pantalla, 
hay un depredador electrónico amenazador
											que atacará a la mosca.
											La mosca va a sentir este depredador.
											Va a extender sus piernas hacia fuera.
											Va a alejarse
											para vivir para volar un día más.
											He recortado cuidadosamente
esta secuencia
											para que dure exactamente
un parpadeo de ojo humano,
											así que en el tiempo
que tardarían en parpadear,
											la mosca ha visto este
depredador que se avecina,
											ha estimado su posición, ha iniciado
un patrón motor para irse volando,
											batiendo sus alas 220 veces por segundo 
mientras hace todo eso.
											Creo que este es un comportamiento fascinante
											que muestra la rapidez con la que 
el cerebro de la mosca puede procesar información.
									","
											And so I want to show you a high-speed video sequence
											of a fly shot at 7,000 frames per second in infrared lighting,
											and to the right, off-screen, is an electronic looming predator
											that is going to go at the fly.
											The fly is going to sense this predator.
											It is going to extend its legs out.
											It's going to sashay away
											to live to fly another day.
											Now I have carefully cropped this sequence
											to be exactly the duration of a human eye blink,
											so in the time that it would take you to blink your eye,
											the fly has seen this looming predator,
											estimated its position, initiated a motor pattern to fly it away,
											beating its wings at 220 times a second as it does so.
											I think this is a fascinating behavior
											that shows how fast the fly's brain can process information.
									","
											Alors, je vais vous montrer une 
vidéo à haute vitesse,
											d'une mouche filmée à 7000 images
seconde en lumière infra-rouge,
											et à droite, hors de l'écran, il y a 
un prédateur électronique qui approche,
											qui est prêt à sauter sur
la mouche.
											La mouche va sentir
ce prédateur,
											va tendre ses pattes,
											et va s'en aller en se pavanant
											pour vivre une nouvelle
journée de mouche.
											Alors, j'ai découpé cette séquence
											pour qu'elle dure exactement 
le temps d'un clignement d’œil humain,
											et pendant le temps qu'il 
vous faut pour cligner de l’œil,
											la mouche a vu ce prédateur
qui approche,
											a estimé sa position, a mis en route
un schéma pour s'enfuir,
											en battant des ailes 220 fois par seconde.
											Je trouve que c'est 
un comportement fascinant
											qui montre à quelle vitesse le cerveau
de la mouche peut traiter des informations.
									","
											Ich möchte Ihnen eine 
Hochgeschwindigkeits-Videosequenz zeigen,
											in der man eine Fliege mit 7 000 Bildern 
pro Sekunde in Infrarotlicht sieht,
											und rechts, außerhalb des Bildes, 
ist ein elektronisches Raubtier,
											das die Fliege angreift.
											Die Fliege nimmt 
den Räuber wahr.
											Sie breitet ihre Beine aus
											und huscht weg,
											um einen weiteren Tag zu leben.
											Diese Sequenz hat
bewusst die Länge
											eines menschlichen 
Augenblinzelns.
											In der Zeit, die Sie zum Blinzeln brauchen,
											hat die Fliege dieses 
bedrohliche Raubtier gesehen,
											seine Position abgeschätzt 
und die Flucht eingeleitet,
											während ihre Flügel 220 Mal 
pro Sekunde schlagen.
											Ein faszinierendes Verhalten, das zeigt,
											wie schnell die Fliege Informationen verarbeitet.
									",How a fly flies,Michael Dickinson,15:55,"TEDx,biology,insects,science,flight,evolution,ecology,animals,neuroscience,biomechanics,cognitive science,brain,nanoscale,mind,physiology"
