fr,en,tr,de,title,speaker,duration,tags
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Tous les week-ends,
aussi loin que je m'en souvienne,
											mon père se levait le samedi,
											enfilait un vieux pull
											et il décapait
											la vieille maison grinçante
dans laquelle nous vivions.
											Ce n'était pas de la restauration,
											c'était un rituel, une catharsis.
											Il passait toute l'année à décaper
la peinture avec son pistolet thermique
											et son couteau à enduire
											puis il repeignait
ce qu'il avait décapé
											et recommençait l'année suivante.
											Décaper et re-décaper,
peindre et repeindre :
											dans une vieille maison,
le travail n'est jamais terminé.
									","
											Every weekend for as long
as I can remember,
											my father would get up on a Saturday,
											put on a worn sweatshirt
											and he'd scrape away
											at the squeaky old wheel
of a house that we lived in.
											I wouldn't even call it restoration;
											it was a ritual, catharsis.
											He would spend all year
scraping paint with this old heat gun
											and a spackle knife,
											and then he would repaint
where he scraped,
											only to begin again the following year.
											Scraping and re-scraping,
painting and repainting:
											the work of an old house
is never meant to be done.
									","
											Hatırlayabildiğim her hafta sonu
											babam Cumartesi sabahları uyanır,
											eski bir kazak giyer,
											gıcırtılı evimizin
											boyasını kazıyıp dururdu.
											Buna restorasyon bile demeyeceğim;
											bu bir ritüel, bir arınma hâliydi.
											Bütün seneyi, eski bir kurutma tabancası
											ve alçı bıçağı ile boyayı
											kazıyarak geçirir, kazıdığı yerleri
											tekrar boyar, bu böyle devam ederdi.
											Kazıma ve boyama, tekrar tekrar:
											İş hiç bitmemek üzere tasarlanmıştı.
									","
											Jedes Wochenende,
soweit ich zurückdenken kann,
											stand mein Vater samstags auf,
											zog ein altes Sweatshirt an
											und werkelte an der alten Bude herum,
											in der wir lebten.
											Ich würde es kaum restaurieren nennen,
											es war ein Ritual, Entspannung.
											Er verbrachte das ganze Jahr damit,
Farbe mit einer alten Heißluftpistole
											und einem Spachtel abzukratzen,
											und dann übermalte er die Stelle,
											nur um im Folgejahr
wieder neu zu beginnen.
											Abkratzen und wieder abkratzen,
malen und übermalen:
											Die Arbeit an einem alten Haus endet nie.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Le jour des 52 ans de mon père,
j'ai reçu un appel.
											Ma mère m'appelait pour me dire
											que les médecins avaient trouvé
une tumeur dans son estomac —
											cancer en phase terminale, m'a-t-elle dit,
											il n'avait que 3 semaines à vivre.
									","
											The day my father turned 52,
I got a phone call.
											My mother was on the line
											to tell me that doctors had found
a lump in his stomach —
											terminal cancer, she told me,
											and he had been given
only three weeks to live.
									","
											Babamın 52 yaşına girdiği gün,
											annemden bir telefon geldi.
											Babamın midesinde küçük bir kitle vardı —
											ölümcül bir kanser dedi
											ve yaşaması için üç haftası vardı.
									","
											Am 52. Geburtstag meines Vaters
bekam ich einen Anruf.
											Meine Mutter war am Apparat,
											um mir zu sagen, dass Ärzte bei ihm
ein Magengeschwür gefunden hätten —
											unheilbarer Krebs, teilte sie mir mit,
											und er hätte nur noch drei Woche zu leben.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Je suis immédiatement retourné chez moi
à Poughkeepsie, État de New York,
											pour rester près de mon père
en attendant sa mort,
											ne sachant pas quoi attendre
des jours à venir.
											Pour m'occuper,
											je remontais mes manches
											et j'ai essayé de terminer
ce qu'il ne pouvait plus faire :
											la restauration de notre vieille maison.
									","
											I immediately moved home
to Poughkeepsie, New York,
											to sit with my father on death watch,
											not knowing what the next days
would bring us.
											To keep myself distracted,
											I rolled up my sleeves,
											and I went about finishing
what he could now no longer complete —
											the restoration of our old home.
									","
											Acilen Poughkeepsie, New York'a döndüm,
											günlerin ne getireceğini bilmeden,
											babam ölürken onunla olabilmek için.
											Kendimi meşgul etmek
											ve onun artık bitiremeyeceği işleri
											bitirmek için kolları sıvadım:
											Eski evimizin restorasyonu.
									","
											Ich zog sofort nach Hause
nach Poughkeepsie, New York,
											um bei meinem Vater
""Totenwache"" zu halten,
											ohne zu wissen, was die nächsten
Tage für uns bereithielten.
											Um mich abzulenken,
											krempelte ich die Ärmel hoch,
											um das fertigzustellen, was er jetzt
selbst nicht mehr beenden konnte —
											die Restauration unseres alten Hauses.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Quand cette date limite
de trois semaines est arrivée
											puis est passée,
											il était encore en vie.
											Après 3 mois,
											il s'est joint à moi.
											Nous avons vidé et repeint l'intérieur.
											Après 6 mois, les vieilles fenêtres
étaient repolies
											et après 18 mois,
											le porche pourri était enfin changé.
									","
											When that looming three-week deadline came
											and then went,
											he was still alive.
											And at three months,
											he joined me.
											We gutted and repainted the interior.
											At six months, the old windows
were refinished,
											and at 18 months,
											the rotted porch was finally replaced.
									","
											Üç haftalık sürenin sonu geldiğinde
											ve geçtiğinde,
											hâlâ yaşıyordu.
											Üç ay sonra
											bana katıldı.
											Evin iç kısmını temizledik ve tamir ettik.
											6 ay sonra eski pencereler tamamlanmıştı,
											18 ay sonra,
											çürümüş veranda yenilenmişti.
									","
											Als die drohende Drei-Wochen-Frist kam
											und dann vorbeizog,
											war er immer noch am Leben.
											Und nach drei Monaten half er mir.
											Wir entkernten und strichen
die Innenräume neu.
											Nach sechs Monaten hatten wir
die alten Fenster ausgebessert,
											und nach 18 Monaten
											war die morsche Veranda endlich ersetzt.
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
","
","
","
",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
"
											Et mon père était là,
											il se tenait dehors avec moi,
admirant le travail accompli ce jour-là,
											des cheveux sur la tête,
en pleine rémission,
											quand il s'est tourné vers moi et a dit :
											« Tu sais Michael,
											cette maison m'a sauvé la vie. »
									","
											And there was my father,
											standing with me outside,
admiring a day's work,
											hair on his head, fully in remission,
											when he turned to me and he said,
											""You know, Michael,
											this house saved my life.""
									","
											İşte babam oradaydı,
											yaptığımız işe hayran bir şekilde
											yanımda hafiflemiş dururken,
											bana baktı ve dedi ki,
											""Biliyor musun Michael,
											bu ev benim hayatımı kurtardı.""
									","
											Mein Vater stand da draußen mit mir
											und bewunderte unser Tagewerk,
											mit Haaren auf seinem Kopf,
vollständig genesen,
											als er sich umdrehte und zu mir sagte:
											""Weißt du, Michael,
											das Haus hat mein Leben gerettet.""
									",Architecture that's built to heal,Michael Murphy,15:38,"Africa,architecture,collaboration,beauty,community,design,health care,engineering,humanity,inequality,public health,materials,public spaces,social change,United States,society"
