en,fr,es,title,speaker,duration,tags
"
","
","
",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
											So, imagine that you had
your smartphone miniaturized
											and hooked up directly to your brain.
											If you had this sort of brain chip,
											you'd be able to upload
and download to the internet
											at the speed of thought.
											Accessing social media or Wikipedia
would be a lot like —
											well, from the inside at least —
											like consulting your own memory.
											It would be as easy
and as intimate as thinking.
											But would it make it easier
for you to know what's true?
											Just because a way
of accessing information is faster
											it doesn't mean it's more
reliable, of course,
											and it doesn't mean that we would all
interpret it the same way.
											And it doesn't mean that you would be
any better at evaluating it.
											In fact, you might even be worse,
											because, you know, more data,
less time for evaluation.
									","
											Imaginez que votre smartphone
soit miniaturisé
											et connecté directement à votre cerveau.
											Si vous aviez une telle puce
dans le cerveau,
											vous pourriez transférer
et télécharger depuis internet
											à la vitesse de la pensée.
											Accéder aux réseaux sociaux
ou à Wikipédia serait comme —
											vu de l'intérieur tout du moins —
											consulter votre mémoire.
											Cela serait aussi simple et intime
que de penser.
											Mais serait-il plus facile pour vous
de savoir ce qui est véridique ?
											Le fait que l'accès à l'information
soit plus rapide
											ne signifie pas qu'elle soit plus fiable,
											et cela ne signifie pas que
nous l'interprèterions de la même façon.
											Cela ne signifie pas que vous seriez
plus apte à l'évaluer.
											En fait, vous seriez sûrement moins apte,
											car plus de données,
c'est moins de temps pour l'évaluer.
									","
											Imaginen que tienen
su smartphone en miniatura
											conectado directamente al cerebro.
											Si tuvieran ese chip en el cerebro,
											podrían subir y bajar cosas de Internet
											a la velocidad del pensamiento.
											Consultar redes sociales o Wikipedia
se parecería mucho a...
											bueno, al menos desde dentro,
											a consultar su propia memoria.
											Sería tan fácil e íntimo como pensar.
											Pero ¿haría eso más fácil
saber qué es verdadero?
											El que una forma de acceder
a la información sea más rápida
											claramente no significa
que sea más confiable
											y tampoco significa que todos
la interpretemos de la misma manera.
											Tampoco significa que uno pueda
evaluar mejor esa información.
											De hecho, podríamos hacerlo peor,
											porque, ya saben, entre más datos,
menos tiempo de evaluación.
									",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
","
","
",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
											Something like this is already
happening to us right now.
											We already carry a world of information
around in our pockets,
											but it seems as if the more information
we share and access online,
											the more difficult it can be for us
to tell the difference
											between what's real and what's fake.
											It's as if we know more
but understand less.
									","
											Quelque chose de similaire est déjà
en train de nous arriver en ce moment.
											Nous portons déjà un monde
d'informations dans nos poches,
											mais on dirait que plus nous partageons
et accédons à de l'information en ligne,
											plus il nous est difficile
de faire la différence
											entre le vrai et le faux.
											C'est comme si nous en savions plus,
mais comprenions moins.
									","
											Algo así ya nos sucede hoy en día.
											Ya tenemos un mundo de información
en nuestros bolsillos,
											pero parece que cuanta más información
compartimos y accedemos en línea,
											más difícil nos resulta diferenciar
lo real de lo falso.
											Es como si supiéramos más
pero entendiéramos menos.
									",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
","
","
",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
											Now, it's a feature
of modern life, I suppose,
											that large swaths of the public
live in isolated information bubbles.
											We're polarized: not just over values,
but over the facts.
											One reason for that is, the data
analytics that drive the internet
											get us not just more information,
											but more of the information that we want.
											Our online life is personalized;
											everything from the ads we read
											to the news that comes down
our Facebook feed
											is tailored to satisfy our preferences.
											And so while we get more information,
											a lot of that information ends up
reflecting ourselves
											as much as it does reality.
											It ends up, I suppose,
											inflating our bubbles
rather than bursting them.
											And so maybe it's no surprise
											that we're in a situation,
a paradoxical situation,
											of thinking that we know so much more,
											and yet not agreeing
on what it is we know.
									","
											C'est une caractéristique
de la vie moderne, je suppose,
											qu'une grande partie du public vive
dans des bulles d'informations isolées.
											Nous sommes polarisés : pas juste
par rapport à nos valeurs,
											mais par rapport aux faits.
											Une raison à cela est que
l'analyse de données qui oriente internet
											ne nous transmet pas seulement
plus d'informations,
											mais plus d'informations que nous voulons.
Notre vie en ligne est personnalisée.
											Tout, des publicités que nous lisons
											aux articles qui apparaissent
sur notre Facebook,
											est adapté pour satisfaire
nos préférences.
											Alors que nous recevons
plus d'informations,
											la plupart de ces informations
finissent par nous refléter nous-mêmes
											autant qu'elles reflètent la réalité.
											Cela finit, je suppose,
											par faire gonfler nos bulles
plutôt que de les faire éclater.
											Et ce n'est peut-être donc pas
une surprise
											que nous soyons dans
une situation paradoxale,
											en pensant que nous en savons
tellement plus,
											tout en étant en désaccord
sur ce que nous savons.
									","
											Supongo que es una característica
de la vida moderna,
											mucha gente vive aislada 
en burbujas de información.
											Estamos polarizados: no solo
por los valores, sino por los hechos.
											Una de las razones es que el análisis
de datos que guía a Internet
											no solo nos brinda más información,
											sino más información de la que queremos.
											Nuestra vida en línea está personalizada;
											desde los anuncios que leemos
											hasta las noticias
que recibimos en Facebook
											están calculadas para satisfacer
nuestras preferencias.
											Y conforme recibimos más información,
											mucha de esa información termina
reflejándonos a nosotros mismos,
											tanto como lo hace la realidad.
											Termina, supongo,
											inflando nuestra burbuja,
en vez de hacerla explotar.
											Por eso quizá no sorprenda
											que estamos en una situación paradójica,
											de pensar que sabemos mucho más,
											pero no poder llegar a un acuerdo
de qué es lo que sabemos.
									",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
","
","
",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
											So how are we going to solve
this problem of knowledge polarization?
											One obvious tactic is to try
to fix our technology,
											to redesign our digital platforms,
											so as to make them less
susceptible to polarization.
											And I'm happy to report
											that many smart people at Google
and Facebook are working on just that.
											And these projects are vital.
											I think that fixing technology
is obviously really important,
											but I don't think technology alone,
fixing it, is going to solve the problem
											of knowledge polarization.
											I don't think that because I don't think,
at the end of the day,
											it is a technological problem.
											I think it's a human problem,
											having to do with how we think
and what we value.
									","
											Donc comment allons-nous régler
ce problème de polarisation du savoir ?
											Une tactique évidente est d'essayer
de corriger notre technologie
											afin de reconcevoir
nos plateformes digitales,
											pour les rendre moins sujettes
à la polarisation.
											Et je suis heureux de vous dire
											que beaucoup de gens intelligents chez
Google et Facebook travaillent là-dessus.
											Et ces projets sont vitaux.
											Je pense que corriger la technologie est
évidemment très important,
											mais je ne pense pas que corriger
la technologie en soi permettra
											de résoudre le problème
de la polarisation du savoir.
											Je ne le pense pas, car je ne pense pas
qu'en fin de compte,
											ce soit un problème technologique.
											Je pense que c'est problème humain,
											qui a trait à notre façon de penser
et à ce que nous valorisons.
									","
											¿Cómo vamos a resolver este problema
de polarización de conocimiento?
											Una táctica obvia es tratar
de corregir nuestra tecnología,
											de rediseñar nuestras
plataformas digitales,
											para que sean menos susceptibles
a la polarización.
											Me complace informarles
											que mucha gente inteligente en Google
y en Facebook está trabajando en eso.
											Esos proyectos son vitales.
											Y si bien corregir la tecnología
obviamente es muy importante,
											pienso que solo corregir la tecnología

											no va a resolver el problema
de la polarización de conocimiento.
											Y no lo va a resolver
porque, en definitiva,
											no es un problema tecnológico.
											Pienso que es un problema humano,
											que tiene que ver con nuestra
manera de pensar y nuestros valores.
									",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
","
","
",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
"
											In order to solve it, I think
we're going to need help.
											We're going to need help
from psychology and political science.
											But we're also going to need help,
I think, from philosophy.
											Because to solve the problem
of knowledge polarization,
											we're going to need to reconnect
											with one fundamental, philosophical idea:
											that we live in a common reality.
											The idea of a common reality
is like, I suppose,
											a lot of philosophical concepts:
											easy to state
											but mysteriously difficult
to put into practice.
											To really accept it,
											I think we need to do three things,
											each of which is a challenge right now.
									","
											Afin de résoudre cela,
nous aurons besoin d'aide.
											Nous aurons besoin d'aide
de la psychologie
											et de la science politique.
											Mais nous aurons aussi besoin d'aide
de la philosophie.
											Car afin de résoudre le problème
de la polarisation du savoir,
											nous allons devoir nous reconnecter
à une idée philosophique fondamentale :
											nous vivons dans une réalité commune.
											L'idée d'une réalité commune est
tout comme, je suppose,
											beaucoup de concepts philosophiques :
											facile à énoncer,
											mais mystérieusement difficile
à mettre en pratique.
											Afin de vraiment l'accepter,
											je pense que nous devons
faire trois choses,
											chacune est un défi en ce moment.
									","
											Para resolverlo, pienso
que vamos a necesitar ayuda,
											ayuda de la psicología
y de la ciencia política.
											Pero también vamos a necesitar ayuda,
pienso, de la filosofía.
											Porque para resolver el problema
de la polarización de conocimiento,
											vamos a tener que volver a conectar
											con una idea filosófica fundamental:
											que vivimos en una realidad común.
											La idea de realidad común
es como, supongo,
											muchos conceptos filosóficos:
											fácil de enunciar
											pero misteriosamente difícil
de poner en práctica.
											Para aceptarlo de verdad,
											pienso que tenemos que hacer tres cosas,
											y cada una de ellas es un desafío
en este momento.
									",How to see past your own perspective and find truth,Michael Patrick Lynch,14:26,"philosophy,communication,politics,democracy,identity,Internet,intelligence,personal growth,news,social media,social change,society"
