en,es,pt,de,fr,title,speaker,duration,tags
"
","
","
","
","
",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
											Here are two images of a house.
											There’s one obvious difference,
											but to this patient, P.S.,
											they looked completely identical.
									","
											Aquí hay dos imágenes de una casa.
											Hay una diferencia obvia,
											pero para esta paciente, P.S.,
											lucían completamente idénticas.
									","
											Estas são duas imagens duma casa.
											Há uma diferença óbvia,
											mas para esta paciente, P. S.,
											parecem totalmente idênticas.
									","
											Hier sind zwei Bilder eines Hauses
											mit einem deutlichen Unterschied,
											aber für die Patientin P. S.
											sehen sie komplett identisch aus.
									","
											Voici deux images d'une maison.
											Il existe une différence évidente,
											mais pour cette patiente, P.S.,
											elles semblent complètement identiques.
									",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
","
","
","
","
",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
											P.S. had suffered a stroke that 
damaged the right side of her brain,
											leaving her unaware of everything 
on her left side.
											But though she could discern no difference
between the houses,
											when researchers asked her 
which she would prefer to live in,
											she chose the house that wasn’t burning—
											not once, but again and again.
									","
											P.S. había sufrido un derrame
que dañó la parte derecha de su cerebro,
											dejándola inconsciente
de lo que ocurría en su lado izquierdo.
											Pero a pesar de que no podía 
discernir la diferencia entre las casas,
											cuando los investigadores le preguntaron
en cuál preferiría vivir,
											eligió la casa que no estaba ardiendo,
											no una vez, sino una y otra vez.
									","
											P. S. sofreu um AVC que danificou
a parte direita do cérebro,
											deixando-a inconsciente
de tudo do seu lado esquerdo.
											Mas embora não consiga distinguir
qualquer diferença entre as duas casas,
											quando os investigadores lhe perguntaram
em qual delas preferia viver,
											ela escolheu a casa que não estava a arder
											— não apenas uma vez,
mas vezes sem conta.
									","
											P. S. erlitt einen Schlaganfall,
der die rechte Gehirnhälfte schädigte
											und eine Wahrnehmungsstörung
ihrer linken Seite auslöste.
											Obwohl sie keinen Unterschied
zwischen den beiden Häusern erkannte,
											als sie Forscher fragten,
in welchem sie lieber leben möchte,
											wählte sie das Haus, das nicht brannte —
											nicht nur einmal, sondern immer wieder.
									","
											P.S. a eu une attaque qui a endommagé
le côté droit de son cerveau,
											ce qui l'a laissée inconsciente
de tout ce qui se passait à sa gauche.
											Bien qu'elle n'ait pas pu faire
la différence entre les deux maisons,
											quand les chercheurs lui ont demandé
dans laquelle elle préférerait habiter,
											elle a choisi la maison 
qui ne brûlait pas -
											et ce, à plusieurs reprises.
									",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
","
","
","
","
",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
											P.S.’s brain was still processing 
information
											from her whole field of vision.
											She could see both images
											and tell the difference between them,
											she just didn’t know it.
											If someone threw a ball at her left side,
											she might duck.
											But she wouldn’t have any 
awareness of the ball,
											or any idea why she ducked.
									","
											El cerebro de P.S. aún estaba
procesando información
											desde su campo completo de visión.
											Ella podía ver ambas imágenes
											y decir la diferencia entre ellas,
											simplemente no la sabía.
											Si alguien le lanzaba una pelota
al lado izquierdo,
											podría esquivarla.
											Pero no tendría ninguna 
consciencia de la pelota,
											o idea de por qué la esquivó.
									","
											O cérebro de P.S. continuava
a processar informações
											do seu campo de visão.
											Ela via as duas imagens
											e percebia a diferença entre elas,
											mas não tinha consciência disso.
											Se alguém atirasse uma bola
para o lado esquerdo,
											ela encolhia-se.
											Mas não tinha consciência dessa bola
											nem sabia porque é que se encolhera.
									","
											Das Gehirn von P. S. verarbeitete
weiterhin Informationen
											aus ihrem gesamten Blickfeld.
											Sie konnte beide Bilder sehen
											und ihren Unterschied erkennen,
											nur wusste sie es nicht.
											Wenn jemand einen Ball auf ihre
linke Seite werfen würde,
											würde sie sich ducken.
											Nur würde sie keine Kenntnis
über diesen Ball haben
											oder wieso sie sich geduckt hat.
									","
											Le cerveau de P.S traitait
toujours l'information
											qui venait de son champ de vision entier.
											Elle pouvait voir les deux images
											et les différencier,
											sans s'en rendre compte.
											Si quelqu'un lançait une balle 
à sa gauche,
											elle pourrait l'esquiver.
											Mais elle ne serait pas du tout
consciente de la balle,
											et elle ne saurait pas
pourquoi elle s'est baissée.
									",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
","
","
","
","
",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
											P.S.’s condition,
											known as hemispatial neglect,
											reveals an important distinction between 
the brain’s processing of information
											and our experience of that processing.
											That experience is what 
we call consciousness.
											We are conscious of both the external 
world and our internal selves—
											we are aware of an image
											in much the same way we are aware of 
ourselves looking at an image,
											or our inner thoughts and emotions.
											But where does consciousness come from?
											Scientists, theologians, and philosophers
											have been trying to get to the bottom of 
this question for centuries—
											without reaching any consensus.
									","
											La condición de P.S.,
											conocida como negligencia hemiespacial,
											revela una importante diferencia 
entre el cerebro procesando información
											y nuestra experiencia
de ese procesamiento.
											Esa experiencia es
lo que llamamos consciencia.
											Somos conscientes tanto del mundo exterior
como de nosotros mismos,
											somos conscientes de una imagen
											igual que somos conscientes
de nosotros mismos
											mirando una imagen,
											o nuestros pensamientos
internos y emociones.
											Pero ¿de dónde viene la consciencia?
											Científicos, teólogos y filósofos
											han tratado de llegar al fondo
de esta cuestión durante siglos,
											sin llegar a un consenso.
									","
											O estado de P.S.
											conhecido por negligência unilateral,
											revela uma distinção importante
											entre o processamento
de informações do cérebro
											e a nossa experiência desse processamento.
											Essa experiência é aquilo
a que chamamos consciência.
											Temos consciência do mundo exterior
e do nosso interior
											— temos consciência duma imagem
											do mesmo modo que temos consciência
de nós mesmos, olhando para uma foto
											ou dos nossos pensamentos e emoções.
											Mas de onde surge a consciência?
											Cientistas, teólogos e filósofos
											têm tentado chegar ao fundo
desta questão, desde há séculos,
											sem chegarem a um consenso.
									","
											Der Zustand von P. S.,
											bekannt als visueller Neglect,
											offenbart eine wichtige Unterscheidung
											zwischen der Verarbeitung
von Informationen in unserem Gehirn
											und unserer Erfahrung dieser Verarbeitung.
											Diese Erfahrung nennen wir Bewusstsein.
											Wir sind uns über die Außenwelt, als auch
über unser inneres Selbst bewusst.
											Wir sind uns auch über ein Bild bewusst,
											wie wir uns über uns selbst
beim Betrachten des Bildes
											oder über unsere inneren Gedanken
und Emotionen bewusst sind.
											Nur woher kommt das Bewusstsein?
											Naturwissenschaftler, Theologen
und Philosophen
											versuchen seit Jahrhunderten
dieser Frage auf den Grund zu gehen —
											ohne eine Übereinstimmung zu erzielen.
									","
											La maladie de P.S.,
											s'appelle négligence spatiale unilatérale,
											et révèle une distinction importante entre
le traitement de l'information du cerveau
											et notre expérience de ce traitement.
											Cette expérience est ce que 
nous appelons la conscience.
											Nous sommes conscients
du monde extérieur et de nous-mêmes -
											nous sommes conscients d'une image
											autant que nous sommes conscients
de nous-mêmes en regardant une image,
											ou de nos pensées intérieures et émotions.
											Mais d'où vient la conscience ?
											Scientifiques, théologiens et philosophes
											essayent de répondre à cette question
depuis des siècles —
											sans parvenir à aucune conclusion.
									",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
","
","
","
","
",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
											One recent theory is that
											consciousness is the brain’s imperfect 
picture of its own activity.
									","
											Una teoría reciente es que
											la consciencia es la imagen imperfecta
del cerebro de su propia actividad.
									","
											Uma teoria recente é que
											a consciência é a imagem imperfeita
que fazemos da nossa atividade cerebral.
									","
											Eine neuere Theorie besagt,
											Bewusstsein ist das unvollkommene Bild
des Gehirns von seiner eigenen Tätigkeit.
									","
											Une théorie récente suggère que
											la conscience est l'image imparfaite 
du cerveau de son propre activité.
									",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
"
","
","
","
","
",What is consciousness?,Michael S. A. Graziano,5:00,"TED-Ed,consciousness,animation,brain,neuroscience,health"
