tr,es,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Hem dünyanın
											hem de ülkemizin,
											politik tartışmaların daha
											iyi yönetilmesine ihtiyacı var.
											Yitirdiğimiz demokratik
											tartışma sanatını geri kazanmalıyız.
											(Alkışlar)
											Televizyonda şahit olduklarımız
											bağrış çığrış içinde bir laf yarışı,
											Meclis'te izlediğimiz tartışmalar,
											siyasi bir ekmek kavgası gibi.
											Bir önerim var.
											Sağlık sistemi üzerine,
											borsanın verdiği ikramiyeler ve mali yardımlar üzerine,
											zenginle yoksul arasındaki fark üzerine,
											pozitif ayrımcılık ve eşcinsel evlilikleri üzerine,
											son zamanda süren tartışmalara bir bakalım.
											Her iki tarafı da hırslandıran
											bu tartışmaların ardında,
											büyük sorular yatıyor:
											ahlak felsefesine,
											adalet anlayışına ilişkin
											büyük sorular.
											Ne var ki, pek nadiren
											bu soruları vurguluyor ve
											siyasetimizin bu büyük
											ahlaki sorunları üzerinde duruyoruz.
									","
											Algo que el mundo necesita,
											algo que este país necesita desesperadamente
											es una forma mejor
											de articular nuestros debates políticos.
											Necesitamos redescubrir
											el arte perdido del debate democrático.
											(Aplausos)
											Si piensan en las discusiones que tenemos,
											la mayoría de la veces son
											gritos en la televisión por cable,
											discusiones ideológicas en el Congreso.
											Tengo una sugerencia.
											Observen las discusiones que tenemos actualmente
											sobre la reforma de salud,
											los bonos, y el salvataje a Wall Street,
											sobre la brecha entre ricos y pobres,
											la discriminación positiva y el matrimonio del mismo sexo.
											Bajo de la superficie
											de esas discusiones,
											con fervientes pasiones por todos lados,
											hay grandes interrogantes
											de filosofía moral,
											grandes interrogantes de justicia.
											Pero muy pocas veces
											articulamos y defendemos
											y discutimos
											aquellos grandes interrogantes morales en nuestra política.
									","
											One thing the world needs,
											one thing this country desperately needs
											is a better way
											of conducting our political debates.
											We need to rediscover
											the lost art of democratic argument.
											(Applause)
											If you think about the arguments we have,
											most of the time it's shouting matches
											on cable television,
											ideological food fights on the floor of Congress.
											I have a suggestion.
											Look at all the arguments we have these days
											over health care,
											over bonuses and bailouts on Wall Street,
											over the gap between rich and poor,
											over affirmative action and same-sex marriage.
											Lying just beneath the surface
											of those arguments,
											with passions raging on all sides,
											are big questions
											of moral philosophy,
											big questions of justice.
											But we too rarely
											articulate and defend
											and argue about
											those big moral questions in our politics.
									","
											Une chose dont le monde a besoin,
											une chose dont ce pays a vraiment besoin,
											c'est une meilleure façon
											de mener nos débats politiques.
											On doit retrouver
											l'art perdu du débat démocratique.
											(Applaudissements)
											Voyez les débats que nous avons.
											La plupart du temps, il s'agit d'invectives
											à la télévision,
											de barouf idéologique au Congrès.
											J'ai une proposition.
											Regardez tous ces débats que nous avons actuellement
											sur le système de santé,
											sur les bonus et les renflouages à Wall Street,
											sur le fossé entre les riches et les pauvres,
											sur la discrimination positive et les mariages homosexuels.
											Juste sous la surface
											de ces débats,
											avec de la passion de part et d'autre,
											il y a des grandes questions
											de philosophie morale,
											de justice.
											Ce n'est que trop rarement
											que l'on formule, défend
											et débat sur
											ces grandes questions morales dans notre politique.
									","
											Etwas, was die Welt braucht
											etwas, was dieses Land verzeifelt braucht
											ist ein besserer Weg
											politische Auseinandersetzung zu führen.
											Wir brauchen die Wiederentdeckung
											der verlorenen Kunst der demokratischen Auseinandersetzung.
											der verlorenen Kunst der demokratischen Auseinandersetzung.
											Wenn Sie bedenken was für Auseinandersetzungen wir sonst haben:
											die meisten von Ihnen das sind
											Geschreiwettkämpfe im Kabelfernsehen
											und ideologische Schlammschlachten in den Fluren des Kongresses.
											Ich habe einen Vorschlag.
											Schauen Sie sich alle Auseinandersetzungenan an, die wir
											in diesen Tagen haben über das Gesunheitssystem,
											über Boni und Helfen für die Wallstreet,
											über Kluft zwischen Arm und Reich,
											Förderung von Minderheiten und gleichgeschlechtlichen Ehen.
											Unter der Oberfläche dieser Diskussionen,
											die mit Leidenschaften
											auf allen Seiten ausgetragen werden,
											liegen große Fragen
											der Moralphilosophie,
											große Fragen über Gerechtigkeit.
											Aber wir formulieren
											diese große Moralfragen zu selten aus,
											veteidigen oder diskutieren über sie
											nicht oft genug in unserer Politik.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Bugün burada,
											bir tartışma açmak istiyorum.
											Öncelikle,
											ünlü bir filozofun
											bu konular üzerine,
											adalet ve ahlak hakkında yazdıklarına ilişkin
											kısa bir ders vermek isterim.
											Sonra Atina'lı Aristo'nun
											adalet kuramından hareketle
											bir tartışma yapalım ve
											Aristo'nun fikirlerinin,
											üzerinde düşündüğümüz
											ve tartıştığımız güncel sorunlara
											bir cevap verip vermediğine bakalım.
											Derse hazır mısınız?
											Aristo'ya göre
											adalet, insanlara hak ettiğini vermektir.
											Bitti. Ders bu kadardı.
									","
											Así que lo que me gustaría hacer hoy
											es discutir un poco.
											Primero, déjenme mencionar
											a un filósofo famoso
											que escribió sobre esas cuestiones
											de justicia y moralidad,
											y darles una pequeña lección
											sobre Aristóteles de la Antigua Grecia,
											la teoría aristotélica de justicia,
											y luego discutiremos
											para ver si las ideas de Aristóteles
											en realidad guían
											la forma en que pensamos y debatimos
											hoy diferentes cuestiones.
											Entonces, ¿Están listos para la lección?
											Según Aristóteles
											la justicia significa dar a cada cual lo que se merece.
											Eso es todo, esa es la lección.
									","
											So what I would like to do today
											is have something of a discussion.
											First, let me take
											a famous philosopher
											who wrote about those questions
											of justice and morality,
											give you a very short lecture
											on Aristotle of ancient Athens,
											Aristotle's theory of justice,
											and then have a discussion here
											to see whether Aristotle's ideas
											actually inform
											the way we think and argue
											about questions today.
											So, are you ready for the lecture?
											According to Aristotle,
											justice means giving people what they deserve.
											That's it; that's the lecture.
									","
											Aujourd'hui, je voudrais donc
											avoir un genre de discussion.
											D'abord, laissez-moi évoquer
											un célèbre philosophe
											qui a écrit sur ces sujets
											de justice et de morale
											pour vous parler brièvement
											d'Aristote - de la Grèce Antique -
											de sa théorie de la justice.
											Nous aurons ensuite une discussion
											pour voir si les idées d'Aristote
											nous apprennent des choses
											sur la façon dont on pense et argumente
											sur ces questions aujourd'hui.
											Vous êtes prêts pour cette petite conférence ?
											Selon Aristote,
											la justice, c'est donner aux gens ce qu'ils méritent.
											Voilà, c'était la conférence !
									","
											Was ich heute machen möchte
											ist eine Art von Diskussion.
											Zuerst lassen Sie mich
											mit einem bekannten Philosophen beginnen,
											der über diese Fragen
											der Gerechtigkeit und Moral geschrieben hat.
											Ich werde Ihnen einen sehr kurzen Vortrag
											über Aristoteles aus dem antiken Athen halten,
											über seine Theorie der Gerechtigkeit
											und dann diskutieren wir hier
											um sehen, ob seine Ideen
											die Art und Weise wie wir heute denken und diskutieren
											noch immer beeinflusen.
											über diese Fragen denken und diskutieren.
											Also, sind Sie bereit für den Vortrag?
											Gemäß Aristoteles
											bedeutet Gerechtigkeit den Menschen das zu geben, was sie verdienen.
											Das ist alles, das ist die ganze Aussage!
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											Şimdi, ""eh, gayet açık"" diyebilirsiniz.
											Ancak asıl sorun
											kimin neyi
											neden hak ettiğinde yatıyor.
											Mesela elimizde dağıtacağımız
											birkaç flüt var, diyelim.
											En iyi flütleri kimlere vermeli?
											Ne dersiniz?
											Söyleyin,
											En iyi flüt kimin olmalı?
											Atın bir şeyler.
									","
											Ahora, ustedes pueden decir, bien, eso es muy obvio.
											El problema comienza cuando
											hay que discutir
											quién merece ""qué"" y ""por qué"".
											Tomemos el ejemplo de las flautas.
											Supongamos que estamos repartiendo flautas.
											¿Quiénes deberían tener las mejores flautas?
											Veamos lo que dice la gente:
											¿Qué diría usted?
											¿Quién debería tener la mejor flauta?
											Pueden contestar.
									","
											Now, you may say, well, that's obvious enough.
											The real questions begin
											when it comes to arguing about
											who deserves what and why.
											Take the example of flutes.
											Suppose we're distributing flutes.
											Who should get the best ones?
											Let's see what people —
											What would you say?
											Who should get the best flute?
											You can just call it out.
									","
											Vous pourriez dire que c'était assez évident.
											La vraie question,
											c'est quand on commence à débattre
											de qui mérite quoi et pourquoi.
											Prenez l'exemple des flûtes.
											Supposons que l'on distribue des flûtes.
											Qui devrait avoir les meilleures ?
											Alors.
											Qu'en dites-vous ?
											Qui doit avoir la meilleure flûte ?
											Vous pouvez juste me le dire.
									","
											Jetzt, können Sie sagen, es ist nahe liegend genug.
											Die richtigen Fragen entstehen,
											wenn es zu einer Diskussion darüber kommt
											wer verdiene was und warum.
											Nehmen wir das Beispiel der Flöten.
											Angenommen wir verteilen Flöten.
											Wer sollte die besten bekommen?
											Lass uns sehen welche Leute-
											Was würden sie sagen?
											Wer sollte die besten Flöten bekommen?
											Sie können einfach rufen.
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
","
","
","
","
",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
"
											(Dinleyici: Rastgele verelim)
									","
											(Audiencia: al azar)
									","
											(Audience: Random.)
									","
											Public : Au hasard.
									","
											(Auditorium: per Zufall)
									",The lost art of democratic debate,Michael Sandel,19:42,"democracy,government,law,philosophy,politics,sports"
