es,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
											Cuando tenía 27 años,
											dejé un trabajo muy exigente
en consultoría gerencial
											por un trabajo que era aún más exigente:
la docencia.
											Fui a enseñarles matemáticas 
a alumnos de séptimo grado
											en las escuelas públicas de Nueva York.
											Y como cualquier profesor,
apliqué exámenes y pruebas.
											Les dí tareas.
											Cuando el trabajo volvía,
calculaba las calificaciones.
									","
											27 yaşındayken,
											yönetim danışmanlığında çok zorlu bir işten ayrıldım
											peki ne için, daha da zahmetli bir iş için : öğretmenlik
											New York devlet okullarında 7. sınıflara
											matematik öğretecektim.
											Ben de her öğretmen gibi quizler, testler yaptım.
											Ev ödevleri verdim.
											Ödevler geri geldiğinde, notları hesapladım.
									","
											Quand j'avais 27 ans,
											j'ai abandonné un travail très exigeant 
de consultante en management
											pour un travail 
encore plus exigeant : l'enseignement.
											Je suis allée enseigner les maths 
à des élèves de cinquième
											dans les écoles publiques de New York.
											Et comme n'importe quel enseignant, 
je faisais des questionnaires et des tests.
											Je donnais des devoirs à la maison.
											Quand mes élèves me rendaient le travail, 
je calculais les notes.
									","
											Im Alter von 27 verließ ich
											einen anstrengenden Job in der Unternehmensberatung
											für einen noch anstrengenderen: Unterrichten.
											An öffentlichen Schulen in New York
											unterrichtete ich Mathe für Siebtklässler.
											Wie jeder Lehrer führte ich 
Tests und Prüfungen durch.
											Ich gab Hausaufgaben auf.
											Als die Arbeiten zurückkamen, berechnete ich Noten.
									","
											Quando tinha 27 anos,
											troquei um trabalho muito exigente
na área de consultoria
											por outro ainda mais exigente: o ensino.
											Fui ensinar matemática
a alunos do sétimo ano
											nas escolas públicas de Nova Iorque.
											Como qualquer outro professor, 
fiz exames e testes.
											Dei trabalhos para a casa.
											Quando o trabalho voltava, 
calculava as notas.
									",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
","
","
","
","
",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
											Lo que me llamó la atención fue que 
el C.I. no era la única diferencia
											entre mis mejores y mis peores estudiantes.
											Algunos de los que tenían un mejor desempeño
											no tenían puntuaciones de C.I. estratosféricas.
											A algunos de mis niños más inteligentes 
no les estaba yendo tan bien.
									","
											Beni üzen şey, en iyi ve en kötü öğrencilerim arasındaki
											tek farkın I.Q. olmamasıydı.
											Azimle çalışan öğrencilerimdem bazıları
											astronomik I.Q. seviyelerine sahip değildi.
											Zeki öğrencilerimin bazıları ise o kadar da başarılı değildi.
									","
											Ce qui m'a frappée, c'est que le Q.I. 
n'était pas la seule différence
											entre mes meilleurs élèves et les moins bons.
											Certains de ceux qui avaient 
les meilleurs résultats
											n'avaient pas un Q.I. phénoménal.
											Certains de mes élèves parmi les plus intelligents 
ne réussissaient pas très bien.
									","
											Dabei war der IQ nicht der einzige Unterschied
											zwischen den besten und schlechtesten Schülern.
											Die IQ's einiger meiner stärksten Schüler
											waren nicht stratosphärisch.
											Einige meiner schlauesten Kinder 
schnitten nicht besonders gut ab.
									","
											O que me impressionava era que 
o Q.I. não era a única diferença
											entre os meus melhores e piores alunos.
											Alguns dos meus alunos
com melhor desempenho
											não tinham um Q.I. estratosférico.
											Alguns dos meus alunos mais inteligentes
não estavam indo muito bem.
									",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
","
","
","
","
",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
											Y eso me puso a pensar.
											El tipo de cosas que necesitan aprender
en matemáticas en séptimo grado,
											seguro, son difíciles: proporciones, decimales,
											el área de un paralelogramo.
											Pero estos conceptos no son imposibles
											y estaba muy convencida de que
cada uno de mis estudiantes
											podía aprender la lección
											si trabajaban duro y durante el tiempo suficiente.
									","
											Ve bu beni düşünmeye sevketti.
											7. sınıf matematiğinde öğrenmeniz gereken şeyler
											oranlar, ondalıklar ya da bir paralelkenarın
											alanı gibi gerçekten zor şeylerdir.
											Fakat bu kavramları öğrenmek imkansız değildir.
											Öğrencilerimin her birini, eğer yeteri kadar çok çalışırlarsa
											kesin olarak bunları
											öğrenebileceklerine inandırdım.
									","
											Et ça m'a fait réfléchir.
											Les choses qu'on doit apprendre 
en maths en cinquième,
											bien sûr, c'est dur : les fractions, les décimales,
											la surface d'un parallélogramme.
											Mais ces concepts 
ne sont pas impossibles à comprendre,
											et j'étais fermement convaincue 
que tous mes élèves
											pouvaient apprendre ces notions
											s'ils travaillaient assez dur 
et assez longtemps.
									","
											Das ließ mich nachdenken.
											Was man im 7. Schuljahr in Mathe lernt,
											ist schon schwierig: Rationale Zahlen, Dezimalzahlen,
											die Fläche eines Parallelogramms.
											Aber unmöglich sind diese Konzepte nicht.
											Ich war fest davon überzeugt, 
dass alle meine Schüler
											den Stoff lernen könnten,
											wenn sie lang und hart genug arbeiteten.
									","
											Isso fez-me pensar.
											As coisas que é preciso aprender 
na matemática do sétimo ano,
											claro, são difíceis: rácios, 
casas decimais,
											a área de um paralelogramo.
											Mas não são conceitos impossíveis,
											e eu estava plenamente convencida 
de que cada um dos meus alunos
											era capaz de aprender a matéria
											caso se dedicassem
tanto quanto necessário.
									",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
","
","
","
","
",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
											Después de varios años más de docencia,
											llegué a la conclusión de que
lo que necesitamos en educación
											es una mejor comprensión
de los estudiantes y del aprendizaje
											desde una perspectiva motivacional,
											desde una perspectiva psicológica.
											En educación, la única cosa que
sabemos cómo medir de mejor manera
											es el C.I., pero ¿qué pasa si 
tener éxito en la escuela y en la vida
											depende de mucho más
											que la habilidad para aprender 
de manera rápida y fácil?
									","
											Öğretmenlikle geçen birçok yılın ardından,
											eğitimde asıl ihtiyaç duyduğumuz şeyle ilgili bir sonuca vardım.
											Bu sonuç; motive edici ve psikolojik bir bakış açısı ile verilen eğitimin
											öğrencilerin anlaması ve öğrenmesinde
											çok daha etkili olmasıydı.
											Eğitimde bildiğimiz tek şey en iyiyi ölçmenin zeka seviyesiyle olduğu
											fakat okulda ve gerçek hayatta başarılı olabilmeniz
											yeterliliğinizden daha çok
											hızlı ve kolay öğrenmenize bağlıysa ne yapardınız?
									","
											Après plusieurs années 
passées à enseigner,
											je suis arrivée à la conclusion que 
ce dont nous avons besoin, dans l'éducation,
											c'est d'une meilleure compréhension 
des élèves et du processus d'apprentissage
											du point de vue de la motivation,
											du point de vue psychologique.
											Dans l'éducation, 
ce que nous savons le mieux mesurer,
											c'est le quotient intellectuel. 
Mais si réussir à l'école et dans la vie
											dépendait de bien plus
											que de la capacité à apprendre 
rapidement et facilement ?
									","
											Nach einigen weiteren Jahren in der Schule
											kam ich zu dem Schluss, dass wir im Bildungswesen
											ein viel besseres Verständnis für Schüler und Lernen
											aus einer Perspektive der Motivation benötigten,
											aus einer psychologischen Perspektive.
											Was wir im Bildungswesen 
am besten messen können
											ist der IQ. Aber was, wenn 
Vorankommen in Schule und Leben
											von viel mehr abhängt als
											der Fähigkeit schnell und leicht zu lernen?
									","
											Após vários anos de ensino,
											cheguei à conclusão que 
o que precisamos na educação
											é de uma melhor compreensão
dos alunos e do ensino
											sob uma perspetiva motivacional,
											sob uma perspetiva psicológica.
											Na educação, a única coisa
que sabemos bem como medir é o Q.I.,
											mas, e se estar bem
na escola e na vida
											depender de muito mais
											do que da capacidade de aprender
rápida e facilmente?
									",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
","
","
","
","
",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
"
											Así que dejé las aulas
											y fui a la universidad para convertirme en psicóloga.
											Comencé estudiando a niños y adultos
											en todo tipo de escenarios desafiantes,
											y en cada estudio mi pregunta era,
											¿quién tiene éxito aquí y por qué?
											Mi equipo de investigación y yo
fuimos a la Academia Militar West Point.
											Intentamos predecir qué cadetes
											permanecerían en el entrenamiento 
militar y quiénes se retirarían.
											Fuimos al Concurso Nacional de Deletreo
											e intentamos predecir qué niños avanzarían
											lo más lejos posible en la competición.
											Estudiamos a profesores novatos
											trabajando en barrios
realmente difíciles, preguntándonos
											qué profesores aún estarán enseñando
											para el final del año escolar
											y de aquellos, ¿quién será el más efectivo
											en mejorar los resultados del
aprendizaje de sus estudiantes?
											Nos asociamos con empresas privadas, preguntando,
											¿cuáles de estos vendedores van a 
mantener su puesto de trabajo?
											y ¿quién va a ganar más dinero?
											En todos esos contextos muy diferentes,
											surgió una característica
											como un importante predictor del éxito.
											Y no fue la inteligencia social.
											No fue la buena apariencia, la salud física y no fue el C.I.
											Fue la determinación.
									","
											Böylece öğretmenliği bıraktım
											ve bir psikolog olmak için yüksek lisansa başladım.
											Her türlü süper özendirici şartlar içerisinde
											çocuk ve yetişkinleri incelemeye başladım
											ve her çalışmamda sorduğum soru şuydu;
											burada kim, neden başarılı olmuş?
											Araştırma ekibim ve ben Batı Noktası Askeri Akademisi'ne gittik
											Bu akademide kalacak ve bu akademiyi
											bırakacak askeri öğrencileri tahmin etmeye çalıştık.
											Ulusal Heceleme Yarışması'na gittik
											ve hangi çocukların en az gelişim göstereceğini
											tahmin etmeye çalıştık.
											Gerçekten baş belası muhitlerde
											acemi öğretmenleri inceledik, hangi öğretmenlerin
											öğretim yılı sonuna kadar, burada eğitim vermeye
											devam ettiklerini sorduk
											ve bunlardan hangisinin öğrencilerin
											öğrenme düzeylerini geliştirmede en etkili olduğunu sorduk.
											Özel şirketlerle ortak çalıştık, satış temsilcilerinden
											hangilerinin işlerine devam edebileceklerini sorduk.
											Ve en fazla parayı kimin kazanacağını sorduk.
											Birbirinden farklı tüm bu şartlar içerisinde
											başarının önemli bir habercisi
											olan karakteristik bir özellik su yüzüne çıktı.
											Bu sosyal zeka değildi.
											Bu güzel görünüş, fiziksel sağlık ya da I.Q. da değildi.
											Bu metanetti.
									","
											J'ai donc quitté ma salle de classe,
											et je suis allée passer mon diplôme 
pour devenir psychologue.
											J'ai commencé à étudier 
les enfants et les adultes
											dans toutes sortes 
de situations très exigeantes,
											et dans chaque étude, 
ma question était :
											qui réussit dans cette situation 
et pourquoi ?
											Je suis allée avec mon équipe de recherche 
à l'Académie militaire de West Point.
											Nous avons essayé de prédire quels cadets
											poursuivraient leur formation militaire 
et lesquels abandonneraient.
											Nous sommes allés au National Spelling Bee 
[NdT : concours d'orthographe aux Etats-Unis]
											et nous avons essayé 
de prédire quels enfants
											iraient le plus loin dans la compétition.
											Nous avons étudié 
des professeurs débutants
											qui travaillaient dans des quartiers 
vraiment difficiles, et nous nous sommes demandé
											quels professeurs enseigneraient encore là
											à la fin de l'année scolaire,
											et parmi ceux-là, 
lesquels réussiraient le mieux
											à améliorer les résultats d'apprentissage 
de leurs élèves.
											Nous nous sommes associés à des compagnies 
privées, et nous nous sommes demandé :
											lesquels de ces vendeurs garderont leur travail ?
											Et qui va gagner le plus d'argent ?
											Dans tous ces contextes très différents,
											une caractéristique est ressortie
											comme un facteur significatif de succès.
											Et ce n'était pas l'intelligence sociale.
											Ce n'était pas l'apparence, la santé physique, 
et ce n'était pas le Q.I.
											C'était la ténacité.
									","
											Also verließ ich das Klassenzimmer
											und machte ein Aufbaustudium zur Psychologin.
											Ich fing an Kinder und 
Erwachsene in allen möglichen
											ultra-herausfordernden 
Situation zu untersuchen.
											Immer fragte ich mich,
											wer erfolgreich ist und warum?
											Mein Forschungsteam und ich gingen 
zur West Point Militärakademie.
											Wir versuchten vorauszusagen, welche Kadetten
											bei der Truppenausbildung bleiben 
würden und welche nicht.
											Wir gingen zum nationalen 
Buchstabierwettbewerb
											und versuchten vorauszusagen, welche Kinder
											am weitesten kommen würden.
											Wir untersuchten Junglehrer,
											die in sehr schwierigen Wohngegenden
arbeiteten und fragten,
											welche Lehrer zum Ende des Schuljahres
											noch dort unterrichten würden
											und welche von ihnen die Lernresultate
											ihrer Schüler am effektivsten 
verbessern würden.
											Wir schlossen Partnerschaften 
mit Privatunternehmen
											und fragten, welche Verkäufer 
ihre Arbeitsstelle behalten
											und wer das meiste Geld verdienen würde.
											In all diesen unterschiedlichen Kontexten
											trat eine Eigenschaft
											als bedeutender Hinweis auf Erfolg hervor.
											Uns es war nicht soziale Intelligenz.
											Es war nicht gutes Aussehen, 
körperliche Gesundheit und es war nicht IQ.
											Es war Durchhaltevermögen.
									","
											Então deixei as salas de aula,
											e fui para a universidade, 
para me tornar psicóloga.
											Comecei a estudar crianças e adultos
											em todos os tipos de cenários 
extremamente desafiadores,
											e em todos os estudos,
a minha pergunta era:
											""Quem é que aqui é bem-sucedido 
e porquê?""
											A minha equipa de pesquisa e eu
fomos à Academia Militar de West Point.
											Tentámos prever quais os cadetes
											que ficariam no treino militar 
e quais iriam desistir.
											Fomos ao Concurso Nacional
de Soletração (CNS)
											e tentámos prever quais as crianças 
que chegariam mais longe na competição.
											Estudámos professores novatos
											que trabalhavam em bairros 
muito difíceis, perguntando
											quais deles ainda estariam ali a dar aulas
											no final do ano letivo,
											e desses, quais iriam ser os mais eficazes
											em melhorar os resultados de 
aprendizagem dos seus alunos.
											Fizemos parcerias com empresas 
privadas, perguntando:
											""Quais destes vendedores vão conseguir
manter os seus empregos?""
											E ""Quem vai ganhar mais dinheiro?""
											Em todos esses contextos muito diferentes,
											destacou-se uma característica
											como um significativo 
indicador de sucesso.
											Não foi a inteligência social.
											Não foi a boa aparência,
a saúde física, nem o Q.I.
											Foi a determinação.
									",Grit: The power of passion and perseverance,Angela Lee Duckworth,6:12,"business,education,psychology,success"
