en,es,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
","
",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
											So I know for sure there's at least
one thing I have in common with dentists.
											I absolutely hate
the holiday of Halloween.
											Now, this hatred stems
not from a dislike of cavities,
											nor was it a lifetime in the making.
											Rather, this hatred stems
from a particular incident
											that happened nine years ago.
									","
											Sé que tengo por lo menos
una cosa en común con los dentistas.
											Odio con toda el alma
la festividad de Halloween.
											Este odio no proviene
de que no me gusten las caries,
											ni viene de toda la vida,
											proviene de un hecho en particular
											que sucedió hace nueve años.
									","
											Je suis certain d'avoir
une chose en commun avec les dentistes.
											Je déteste la fête d'Halloween.
											Cette haine ne résulte pas
d'une aversion pour les caries
											et il n'a pas fallu toute ma vie
pour en arriver là.
											Cette haine résulte plutôt
d'un incident en particulier
											qui a eu lieu il y a neuf ans.
									","
											Eminim ki diş doktorları ile 
en az bir ortak yanım var.
											Kesinlikle Cadılar Bayramından 
nefret ediyorum.
											Bu nefretin kökeni çürükler değildi
											ve tüm ömrüm boyunca böyle değildi.
											Daha doğrusu, bu nefret dokuz yıl önce 
yaşanan bir olaya dayanıyor.
									","
											Sei que há, pelo menos, uma coisa
que tenho em comum com os dentistas.
											Tenho um ódio absoluto
pelo dia de Halloween.
											Agora, este ódio não advém
do desagrado de cáries,
											nem durou toda a vida.
											Em vez disso, este ódio advém
de um incidente em particular
											que aconteceu há nove anos.
									",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
","
","
","
","
",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
											Nine years ago, I was even younger,
I was 20 years old,
											and I was an intern in the White House.
											The other White House.
											And my job was to work
with mayors and councilors nationwide.
											November 1, 2010
began just like any other day.
											I turned on the computer, went on Google
and prepared to write my news clips.
											I was met with a call from my mother,
which isn't that out the norm,
											my mom likes to text, call,
email, Facebook, Instagram, all that.
											So I answered the phone expecting
to hear maybe some church gossip,
											or maybe something from WorldStarHipHop
she had discovered.
											But when I answered the phone,
											I was met with a tone that was unlike
anything I had ever heard from my mother.
											My mother's loud.
											But she spoke in a hush,
still, muffled tone
											that conveyed a sense of sadness.
											And as she whispered, she said, ""Michael,
											your cousin Donnell
was murdered last night,
											on Halloween,
											at a house party in Stockton.""
									","
											Hace nueve años, a los 20, más joven aún,
											era pasante en la Casa Blanca.
											La otra Casa Blanca.
											Me tocaba trabajar con alcaldes
y concejales de todo el país.
											El 1 de noviembre 2010
comenzó como todos los días.
											Prendí la computadora, empecé a googlear
y estaba listo para escribir las noticias.
											Y recibí una llamada de mi mamá
que era normal para ella ya que le gusta
											enviar textos, mails, hacer llamadas, 
Facebook, Instagram, todas esas cosas.
											Contesté la llamada pensando que 
hablaría de chismes de la iglesia,
											o para contarme sobre WorldStarHipHop
que acababa de descubrir.
											Pero, al contestar el teléfono,
											mi mamá tenía un tono de voz
que nunca había escuchado.
											Mi mamá habla fuerte.
											Me estaba hablando en un tono
muy suave, casi apagado,
											que transmitía una sensación de tristeza.
											En un susurro, me dijo: ""Michael,
											anoche asesinaron a tu primo Donnell,
											en Halloween,
											en una fiesta en una casa de Stockton"".
									","
											Il y a neuf ans, j'étais encore
plus jeune, j'avais 20 ans
											et j'étais stagiaire à la Maison-Blanche.
											L'autre Maison-Blanche.
											Mon boulot était de travailler
avec des maires et conseillers.
											Le 1er novembre 2010 a commencé
comme n'importe quel autre jour.
											J'ai allumé l'ordinateur,
je suis allé sur Google
											et me suis préparé à écrire
mes bulletins d'informations.
											J'ai reçu un appel de ma mère,
ce qui n'est pas si inhabituel,
											ma mère aime les SMS, les appels,
les mails, Facebook, Instagram, tout ça.
											J'ai répondu au téléphone en m'attendant
à entendre des commérages de l'église
											ou quelque chose qu'elle avait découvert
sur un blog d'actualités.
											Mais quand j'ai répondu au téléphone,
											j'ai entendu un ton
											qui ne ressemblait en rien
à ce que j'avais entendu de ma mère.
											Ma mère est bruyante.
											Mais elle a parlé avec un ton
étouffé, calme, feutré
											qui communiquait une certaine tristesse.
											En chuchotant, elle a dit : « Michael,
											ton cousin Donnell
a été tué la nuit dernière,
											à Halloween,
											lors d'une soirée à Stockton. »
									","
											Dokuz yıl önce, ben daha gençken
ve 20 yaşındayken
											Beyaz Saray'da stajyerdim.
											Diğer Beyaz Saray.
											İşim, ülke çapında belediye 
başkanları ve meclis ile çalışmaktı.
											1 Kasım 2010 tıpkı diğer 
günler gibi başladı.
											Bilgisayarımı açtım, Google'a girdim
ve yeni kliplerimi yazmaya hazırlandım.
											Annemden gelen çağrıyı gördüm,
şaşırtıcı bir durum değildi.
											Annem mesaj, arama, e-posta, Facebook, 
Instagram, hepsini seviyor.
											Telefonu, belki biraz kilise dedikodusu
											ya da WorldStarHipHop'da gördüğü
bir şeyi duymayı bekleyerek açtım.
											Fakat telefonu açtığımda
											annemden hiç beklemediğim bir tonla
karşılaştım.
											Annemin yüksek sesi.
											Aceleyle, üzüntü duygusu taşıyan
											boğuk sesi.
											''Michael'' diye fısıldadı.
											''Kuzenin Donnell dün gece öldürüldü,
											Cadılar Bayramında,
											Stockon'da bir ev partisinde.''
									","
											Há nove anos, quando era mais jovem,
quando tinha 20 anos,
											era estagiário na Casa Branca,
											a Casa Branca anterior.
											Eu trabalhava com presidentes
e conselheiros de todo o país.
											O dia 1 de novembro de 2010,
começou como qualquer outro dia.
											Liguei o computador, fui ao Google
e preparei-me para escrever notícias.
											Deparei-me com uma chamada
da minha mãe, uma coisa normal.
											A minha mãe gosta de mandar mensagens,
telefonar, Facebook, Instagram, tudo isso.
											Então atendi o telemóvel à espera de ouvir
algo como uma bisbilhotice da igreja,
											ou alguma coisa do WorldStarHipHop
que ela tivesse encontrado.
											Mas quando atendi o telemóvel,
											deparei-me com um tom que era diferente
de tudo o que havia ouvido da minha mãe.
											A minha mãe estava a falar alto,
											mas num tom taciturno, calmo, e abafado,
											que transmitia um sentimento de tristeza.
											Num murmúrio, disse:
											""Michael, o teu primo Donnel,
foi morto a noite passada,
											""na noite de Halloween,
											""numa festa em Stockton.""
									",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
","
","
","
","
",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
											And like far too many people
in this country,
											particularly from communities like mine,
											particularly that look like me,
											I spent the better part of the year
dealing with anger, rage, nihilism,
											and I had a choice to make.
											The choice was one
between action and apathy.
											The choice was what could I do
to put purpose to this pain.
											I spent a year dealing
with feelings of survivor's guilt.
											What was the point of me
being at Stanford,
											what was the point
of me being at the White House
											if I was powerless to help my own family?
											And my own family was dying,
quite literally.
											I then began to feel
a little selfish and say,
											what's the point of even trying
to make the world a better place?
											Maybe that's just the way it is.
											Maybe I would be smart to take advantage
of all the opportunities given to me
											and make as much money as possible,
											so I'm comfortable,
and my immediate family is comfortable.
									","
											Y como demasiados en este país,
											especialmente de comunidades como la mía,
											especialmente si son parecidos a mí,
											pasé la mayoría del año luchando contra
el enojo, la rabia, el nihilismo,
											y tuve que tomar una decisión.
											Tuve que elegir
entre la acción y la apatía.
											La elección era sobre qué hacer
para canalizar este dolor.
											Pasé un año lidiando con mis sentimientos
de culpa de sobreviviente.
											¿De qué me servía estar en Stanford,
											para qué me servía estar en la Casa Blanca
											si era incapaz de ayudar a mi familia?
											Mi familia propia
estaba muriéndose, literalmente,
											y me empecé a sentir
un poco egoísta preguntándome:
											¿para qué sirve tratar de hacer
que el mundo sea un lugar mejor?
											Quizás las cosas son así.
											Quizás pudiera sacar provecho de todas
las oportunidades que se me han dado
											y ganar la mayor
cantidad de dinero posible,
											para poder estar bien económicamente
y que mi familia cercana también lo esté.
									","
											Comme trop de personnes dans ce pays,
											surtout de communautés comme la mienne,
											surtout qui me ressemblent,
											je passe la majeure partie de l'année
à gérer à la colère, la rage, le nihilisme
											et j'avais un choix à faire.
											Le choix était
entre l'action et l'apathie.
											Le choix était ce que je pouvais faire
pour donner du sens à cette douleur.
											Pendant un an, j'ai géré les sentiments
de culpabilité du survivant.
											A quoi cela servait-il
que je sois à Stanford,
											que je sois à la Maison-Blanche
											si je ne pouvais pas aider ma famille ?
											Ma propre famille mourait, littéralement.
											Puis j'ai commencé
à me sentir un peu égoïste,
											à quoi servait-il d'essayer
de rendre le monde meilleur ?
											Peut-être était-il simplement ainsi.
											Je serais malin de tirer avantage
des opportunités qui m'étaient offertes
											et de faire autant d'argent que possible
											pour que moi et ma famille proche
vivions dans le confort.
									","
											Özellikle benim gibi topluluklardan olan,
											benim gibi gözüken
											bu ülkedeki birçok insan gibi
											yılın daha iyi zamanlarını öfke, 
hiddet, nihilizm ile harcadım
											ve bir seçim yapmam gerekti.
											Harekete geçme ve umursamazlık 
arasında bir seçim.
											Bu acıya nasıl bir yön verebileceğime 
ilişkin bir seçim.
											Hayatta kalmaktan suçluluk duyarak
bir yıl harcadım.
											Stanford'da olmamın amacı neydi,
											Beyaz Saray'da olmamın amacı neydi,
											aileme yardım edemeyecek 
kadar güçsüz olduktan sonra?
											Kelimenin tam anlamıyla
kendi ailem ölüyordu.
											Biraz bencilce düşünmeye 
başladım ve dedim ki;
											dünyayı daha iyi bir yer haline 
getirmeye çalışmanın amacı ne?
											Belki de olması gereken bu.
											Belki de bana verilen tüm fırsatlardan
avantaj sağlayacak kadar zeki olmalı,
											olabildiğince çok para kazanarak
											kendimi ve yakın aile bireylerimi 
rahata erdirmeliyim.
									","
											Tal como muitas outras pessoas neste país,
											particularmente, 
de comunidades como a minha,
											que têm o mesmo aspeto que eu,
											passei a maior parte do ano a lidar
com indignação, fúria, niilismo,
											e tinha uma escolha a fazer.
											A escolha era entre agir ou ficar apático.
											Esta escolha era sobre o que fazer
para definir um propósito a esta dor.
											Passei um ano a lidar
com sentimentos de culpa.
											Para que servia estar em Standford,
											estar na Casa Branca,
											se não podia ajudar
a minha própria família?
											E a minha família
estava literalmente a morrer.
											Depois comecei a sentir-me
um pouco egoísta e pensei:
											""Para quê tentar fazer
do mundo um lugar melhor?
											""Talvez seja assim por ser mesmo assim.
											""Talvez fosse mais esperto
se aproveitasse todas as oportunidades
											""para ganhar o mais possível.
											""para ficar confortável
e os meus familiares diretos também.""
									",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
","
","
","
","
",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
											But finally, towards the end of that year,
											I realized I wanted to do something.
											So I made the crazy decision,
as a senior in college,
											to run for city council.
											That decision was unlikely
for a couple of reasons,
											and not just my age.
											You see, my family
is far from a political dynasty.
											More men in my family
have been incarcerated than in college.
											In fact, as I speak today,
my father is still incarcerated.
											My mother, she had me as a teenager,
											and government wasn't something
we had warm feelings from.
											You see, it was the government
											that red-lined the
neighborhoods I grew up in.
											Full of liquor stores
and no grocery stores,
											there was a lack of opportunity
and concentrated poverty.
											It was the government and the politicians
											that made choices,
											like the war on drugs and three strikes,
											that have incarcerated
far too many people in our country.
											It was the government and political actors
											that made the decisions
that created the school funding formulas,
											that made it so the school I went to
receive less per pupil spending
											than schools in more affluent areas.
											So there was nothing about that background
that made it likely for me to choose
											to be involved in being
a government actor.
									","
											Al final de ese año
											me di cuenta de que quería hacer algo.
											Así que tomé la loca decisión,
como lo había hecho en la facultad,
											de postularme para el concejo municipal.
											Esa fue una decisión improbable
por varios motivos,
											no solo por mi edad.
											Mi familia está lejos de ser
una dinastía política.
											Más miembros de mi familia
fueron a la cárcel que a la universidad.
											De hecho, a la hora de dar esta charla,
mi padre sigue preso.
											Mi mamá me tuvo de adolescente,
											y no queríamos mucho al gobierno.
											Eso fue porque el gobierno había diseñado
											los barrios en los que me crie
con muchas tiendas de alcohol
											y no de comestibles,
											con falta de oportunidades
y un foco de pobreza.
											Los que decidían sobre
la guerra contra la droga
											y la condena tras el tercer delito grave
											eran el gobierno y los políticos,
											quienes encarcelaron
a demasiada gente en nuestro país.
											El gobierno y los actores políticos
											que tomaron las decisiones de
cómo dar fondos a las escuelas,
											que hicieron que mi escuela recibiera
menos dinero por cada alumno
											que otras escuelas en zonas más ricas.
											No había nada en mi historial personal
											que hiciera probable que yo llegara
a ser un actor en el gobierno.
									","
											Mais finalement,
vers la fin de cette année-là,
											j'ai réalisé vouloir agir.
											J'ai pris la décision folle,
étant en dernière année universitaire,
											de me présenter au conseil municipal.
											Cette décision était improbable
pour plusieurs raisons,
											pas seulement mon âge.
											Ma famille est loin d'être
une dynastie politique.
											Plus d'hommes dans ma famille
ont été en prison qu'à l'université.
											En fait, pendant que je vous parle,
mon père est toujours incarcéré.
											Ma mère était adolescente
quand elle m'a eu
											et nous n'avions pas de sentiments
chaleureux envers le gouvernement.
											C'est le gouvernement
											qui a pratiqué le redlining
là où j'ai grandi.
											Plein de magasins d'alcools
et sans épiceries,
											il y avait un manque d'opportunités
et une pauvreté concentrée.
											Ce sont le gouvernement et les politiciens
											qui ont pris la décision
											de la guerre contre les drogues
et les trois infractions,
											qui ont incarcéré bien trop de gens
dans notre pays.
											Ce sont le gouvernement
et les acteurs politiques
											qui ont pris la décision
des formules de financement des écoles,
											qui ont fait que l'école où j'allais
recevait moins d'argent par élève
											que les écoles dans les zones plus riches.
											Rien dans cet historique
ne rendait probable mon choix
											d'être impliqué en tant
qu'acteur gouvernemental.
									","
											Fakat, yılın sonlarına doğru
fark ettim ki
											bir şey yapmak istiyorum.
											Böylece son sınıf üniversite öğrencisi
olarak çılgın bir karar aldım;
											belediye başkanlığına aday olmak.
											Bu karar sadece yaşımdan dolayı
değil, birkaç sebepten dolayı
											gerçekleşmesi güç bir durumdu.
											Anlayacağınız gibi, ailem 
politik soydan uzak.
											Ailemin içinde daha üniversitedeyken
hapse atılan çok erkek var.
											Aslında, bugün için konuşmak 
gerekirse babam hala hapiste.
											Annem hâlâ gençken 
beni dünyaya getirdi
											ve devlet ile yakın
bir ilişkimiz yoktu.
											Büyüdüğüm mahallelere
kırmızı çizgi koyan devletti.
											Bir sürü içki dükkânı ve sıfır bakkal,
											fırsat eksikliği ve yoğun yoksulluk vardı.
											Devlet ve politikacılar,
											uyuşturucuyla savaş 
ve 3 hata hakkı gibi
											ülkemizde birçok insanı hapse attıran
											kararları veriyorlardı.
											Devlet ve politikacılar,
											okul fonu kuralı yaratma
ve gittiğim okulların
											varlıklı bölgelerdeki okullara kıyasla
öğrenci harcamasının
											daha az olmasına yol açan 
kararı veren aktörlerdi.
											Yani bu geçmişte beni devlet aktörü
olmak istemeye itecek
											hiçbir şey yoktu.
									","
											Mas finalmente, lá para o final do ano,
											percebi que queria fazer alguma coisa.
											Então, quando era finalista
da universidade, tomei a decisão louca
											de me candidatar à câmara municipal.
											Essa decisão era inverosímil
por várias razões,
											e não só pela idade.
											A minha família é bem distante
de uma dinastia política.
											Houve mais homens encarcerados
do que os que foram para a universidade.
											De facto, hoje, enquanto falo,
o meu pai ainda está preso.
											Nasci quando a minha mãe
ainda era adolescente,
											e o governo não era algo
pelo qual tínhamos muita simpatia.
											Isto porque foi o governo
											que pôs na lista negra
os bairros onde eu cresci.
											Cheias de lojas de bebidas alcoólicas,
											sem mercearias, sem oportunidades,
e cheias de pobreza.
											Foram o governo e os políticos,
											que tomaram decisões
											como a guerra às drogas
e a Lei das três infrações,
											decisões que encarceraram
demasiadas pessoas no nosso país.
											Foram o governo e os atores
políticos, que tomaram as decisões
											que criaram as fórmulas
de financiamento escolar,
											que fizeram a minha escola
receber menos dinheiro por cada aluno,
											em comparação com escolas
em áreas mais beneficiadas.
											Portanto, tendo em conta esse passado,
não havia nada nele,
											que contribuísse para eu querer
participar no governo.
									",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
","
","
","
","
",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
"
											And at the same time,
Stockton was a very unlikely place.
											Stockton is my home town,
a city of 320,000 people.
											But historically, it's been a place
people run from, rather than come back to.
											It's a city that's incredibly diverse.
											Thirty-five percent Latino,
35 percent white,
											20 percent Asian,
10 percent African American,
											the oldest Sikh temple in North America.
											But at the time I ran for office,
											we were also the largest city
in the country at that time
											to declare bankruptcy.
											At the time I decided to run for office,
											we also had more murders
per capita than Chicago.
											At the time I decided to run for office,
											we had a 23 percent poverty rate,
											a 17 percent college attainment rate
											and a host of challenges and issues
beyond the scope of any 21-year-old.
									","
											A la vez, Stockton era ese lugar 
improbable para ello.
											Stockton es mi ciudad natal
y tiene 320 000 habitantes.
											Tradicionalmente es un lugar
del cual uno se marcha y no al revés.
											Es una ciudad sumamente diversa.
											35 % son latinos, 35 % blancos,
											20 % asiáticos, 10% afroamericanos,
											con el templo Sikh más antiguo en EE. UU.
											Durante mi candidatura,
											fue la ciudad más grande en ese momento
											en declararse en bancarrota.
											Durante esa campaña
											se registraron más asesinatos
por cápita que en Chicago.
											Cuando decidí postularme
											la tasa de pobreza llegaba al 23 %,
											el rendimiento escolar al 17 %
											y una cantidad de problemas
fuera del alcance de alguien de 21.
									","
											En même temps, Stockton était
un endroit très improbable.
											Stockton est ma ville natale,
une ville de 320 000 personnes.
											Mais historiquement, c'est un endroit
											d'où les gens fuient
plutôt qu'y retournent.
											C'est une ville
incroyablement diversifiée.
											35% d'Hispaniques, 35% de Blancs,
											20% d'Asiatiques, 10% d'Afro-Américains,
											le temple sikh le plus vieux
d'Amérique du Nord.
											Mais quand je me suis porté candidat,
											nous étions à l'époque
la plus grande ville du pays
											à s'être déclarée en faillite.
											Quand je me suis porté candidat,
											nous avions plus de meurtres
par habitant que Chicago.
											Quand je me suis porté candidat,
											nous avions un taux de pauvreté de 23%,
											nous avons un taux
de réussite scolaire de 17%
											et un tas de défis et de problèmes
hors de portée de quelqu'un de 21 ans.
									","
											Aynı zamanda Stockton
alışılmadık bir yerdi.
											320.000 kişilik bir şehir olarak
Stockton benim memleketim.
											Fakat tarihsel olarak insanların geri
dönmek yerine, kaçtığı bir yerdi.
											Şehir inanılmaz derecede çeşitli.
											%35'i Latin, %35'i beyaz,
											%20 Asyalı, %10 Afrikalı Amerikan,
											Kuzey Amerika'daki 
en eski Sih tapınağına sahip.
											Fakat ofise girdiğimde
											biz aynı zamanda iflas ilan eden

											en büyük şehirdik.
											Seçimlere adaylık
koymaya karar verdiğimde
											aynı zamanda Chicago'ya kıyasla 
kişi başı daha çok cinayet vardı.
											Seçimlere adaylık koymaya 
karar verdiğimde
											%23 fakirlik oranımız,
											%17 üniversiteye gitme oranımız
											ve 21 yaşında birisinin kaldıramayacağı
kadar zorluklar ve sorunlar vardı.
									","
											Mas ao mesmo tempo, Stockton
também era um lugar muito improvável.
											Stockton é a minha cidade,
uma cidade de 320 mil pessoas.
											Porém, historicamente, é um lugar
de onde as pessoas preferem fugir.
											Também é uma cidade incrivelmente diversa,
											onde 35% são latinos, 35% são brancos,
											20% são asiáticos,
e 10% são afro-americanos.
											Tem o templo Sique mais antigo
da América do Norte.
											Mas quando me candidatei,
											também foi a maior cidade
do país, naquela época,
											a declarar falência.
											Quando decidi candidatar-me,
											também havia mais homicídios
per capita do que em Chicago.
											Quando decidi candidatar-me,
											a taxa de pobreza era de 23%,
											a taxa de quem ia para a universidade
era de 17%,
											e havia uma série de problemas
fora do alcance de quem tinha 21 anos.
									",The political power of being a good neighbor,Michael Tubbs,17:25,"politics,activism,social change,government,society,community,history,leadership,inequality,poverty,United States"
