en,fr,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
											A rabbit attempts to play a church organ,
											while a knight fights a giant snail
											and a naked man blows a trumpet 
with his rear end.
											Painted with squirrel-hair brushes 
on vellum or parchment
											by monks, nuns, and urban craftspeople,
											these bizarre images populate the 
margins of the most prized books
											from the Middle Ages.
									","
											Un lapin qui s'essaie à jouer de l'orgue,
											pendant qu'un chevalier
combat un escargot géant
											et un homme nu joue de la trompette
avec son derrière.
											Peints avec pinceaux en poil d'écureuil
sur du vélin ou du parchemin
											par des moines, des sœurs
et des artisans urbains
											les livres du Moyen Âge sont remplis
de ces images étranges.
									","
											Bir tavşan, bir kilise orgunu
çalmaya kalkışırken,
											bir şövalye, dev bir salyangozla savaşıyor
											ve çıplak bir adam,
kalçasıyla bir trompet çalıyor.
											Rahiplerin, rahibelerin
ve kentteki zanaatkârların
											sincap tüyü fırçalarıyla
parşömen veya tirşe üzerine çizdiği
											bu tuhaf resimler, Orta Çağda
en değer verilen kitapların
											kenarlıklarına yerleştiriliyordu.
									","
											Um coelho tenta tocar órgão
numa igreja,
											enquanto um cavaleiro luta
com um caracol gigante
											e um homem nu sopra
numa trompete com o traseiro.
											Pintadas com pincel de pelo de esquilo
sobre velo ou pergaminho,
											por monges, freiras e artesãos urbanos,
											estas imagens bizarras povoam as margens
											dos livros mais apreciados da Idade Média.
									","
											Un conejo se esmera
en tocar un órgano de iglesia
											mientras un caballero
lucha contra un caracol gigante
											y un hombre desnudo ejecuta
una tuba con su parte trasera.
											Pintadas con pinceles de cerda
de ardilla sobre vitela o pergamino
											por monjes, monjas o artesanos urbanos,
											estas bizarras imágenes adornan
los márgenes de los libros más preciados
											de la Edad Media.
									",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
","
","
","
","
",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
											Their illustrations often tell a second 
story as rich as the text itself.
											Some images appear in many 
different illuminated manuscripts,
											and often reinforce the religious 
content of the books they decorated.
											For example, a porcupine picking 
up fruit on its spines
											could represent the devil stealing 
the fruits of faith—
											or Christ taking up the sins of mankind.
											Medieval lore stated that a hunter 
could only capture a unicorn
											when it lay its horn in 
the lap of a virgin,
											so a unicorn could symbolize 
either sexual temptation
											or Christ being captured by his enemies.
											Rabbits, meanwhile, could represent 
human’s lustful natures—
											and could redeem themselves through 
attempts to make sacred music
											despite their failings.
									","
											Ces illustrations racontent souvent une
seconde histoire aussi riche que le texte.
											Certaines images apparaissent dans 
divers manuscrits enluminés,
											et renforcent le message religieux
des livres où elles apparaissent.
											Par exemple, un porc-épic ramassant
des fruits sur ses épines
											peut représenter le Diable
dérobant les fruits sacrés -
											ou le Christ acceptant 
les péchés des hommes.
											D'après les légendes médiévales, 
un chasseur peut capturer une licorne
											seulement si elle repose sa corne
sur le giron d'une vierge,
											donc une licorne représente
soit la tentation sexuelle
											soit le Christ étant capturé
par ses ennemis.
											Les lapins représenteraient la nature
libidineuse de l'Homme
											et les faire jouer de la musique
sacrée serait une tentative de rédemption
											pour leurs péchés.
									","
											İllüstrasyonları genelde metin kadar
zengin olan ikinci bir hikâye anlatırdı.
											Bazı resimler
birçok farklı tezhipte bulunur
											ve genelde süslediği kitapların
dini içeriğini pekiştirir.
											Örneğin bir kirpinin
dikenlerinden meyveler toplaması,
											şeytanın tevekkül meyvelerini
çalmasını temsil edebilir —
											veya İsa'nın, insanların
günahlarını çekmesini.
											Orta Çağ ilmine göre, bir avcı
bir tek boynuzlu atı yalnızca
											boynuzunu bir bakirenin kucağına
yatırdığında avlayabilirdi,
											böylece tek boynuzlu at
ya cinsel kışkırtmayı
											ya da İsa'nın düşmanları tarafından
yakalanmasını simgeler.
											Aynı zamanda bir tavşan, bir insanın
şehvetli tabiatını temsil edebilir —
											ve kendilerini, başarısızlıklarına rağmen

											kutsal müzik yapma girişiminde
bulunarak kurtarabilirlerdi.
									","
											Estas ilustrações contam, muitas vezes,
											uma segunda história
tão rica como o texto.
											Algumas destas iluminuras aparecem
em muitos manuscritos diferentes,
											e reforçam o conteúdo religioso
dos livros que ornamentam.
											Por exemplo, um porco-espinho
a apanhar frutos com os seus espinhos
											podia representar o demónio
a roubar os frutos da fé
											ou Cristo a carregar
os pecados da Humanidade.
											A tradição medieval afirmava
											que um caçador
só podia capturar um unicórnio
											quando ele poisasse o seu corno
no colo de uma virgem,
											por isso, um unicórnio podia simbolizar
tanto a tentação sexual
											como Cristo a ser capturado
pelos seus inimigos.
											Entretanto, os coelhos podiam representar
a natureza lasciva dos seres humanos
											e podiam redimir-se através
de tentativas para fazer música sacra,
											apesar dos seus pecados.
									","
											Las ilustraciones suelen 
relatar una segunda historia
											que es tan rica como la del texto mismo.
											Algunas imágenes se repiten
en varios manuscritos ilustrados
											y a menudo resaltan 
el contenido religioso
											de los libros que decoran.
											Por ejemplo, un puercoespín 
que recoge frutos con sus púas
											podría representar al diablo
que roba los frutos de la fe,
											o a Cristo que carga
con los pecados de la humanidad.
											Según la leyenda medieval, un cazador
solo podía atrapar un unicornio
											mientras apoyaba su cuerno
en la falda de una virgen,
											de manera que el unicornio podría
simbolizar la tentación sexual
											o a Cristo capturado por sus enemigos.
											Por su parte, los conejos
											podían representar la naturaleza
lasciva del ser humano
											y se podían redimir tratando
de crear música sacra,
											a pesar de sus debilidades.
									",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
","
","
","
","
",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
											All of these references would have 
been familiar to medieval Europeans
											from other art forms and oral tradition,
											though some have grown more 
mysterious over the centuries.
											Today,
											no one can say for sure what the common 
motif of a knight fighting a snail means—
											or why the knight so often 
appears to be losing.
											The snail might be a symbol of the 
inevitability of death,
											which defeats even the strongest knights.
											Or it could represent humility, and a 
knight’s need to vanquish his own pride.
									","
											Toutes ces références étaient probablement
connues des Européens du Moyen Âge,
											transmises par toutes formes d'art
et de traditions orales,
											bien que certaines soit devenues
mystérieuses au fil du temps.
											Aujourd'hui,
											on ne peut affirmer ce que signifie
l'image du chevalier affrontant l'escargot
											ni pourquoi le chevalier semble
si souvent être le perdant.
											L'escargot pourrait être le symbole
de notre fin inéluctable,
											qui défait même
les plus puissants chevaliers.
											Ou il pourrait représenter l'humilité, 
et la nécessité pour un chevalier
											de vaincre son propre orgueil.
									","
											Bu referansların bir kısmı
yüzyıllar boyunca
											daha gizemli bir hâle gelmiş olsa da,
Orta Çağ Avrupalıları
											diğer sanat biçimleri ve sözlü
anlatım aracılığıyla onlara aşinadır.
											Günümüzde kimse bir şövalyenin,
											bir salyangozla savaşması
motifinin ne anlama geldiğinden
											veya şövalyenin neden genelde
kaybettiğinden emin olamaz.
											Salyangoz, en güçlü şövalyeleri bile yenen
											ölümün kaçınılmazlığının sembolü olabilir.
											Tevazuyu ve bir şövalyenin kendi gururunu
yenme ihtiyacını da temsil edebilir.
									","
											Todas estas referências seriam
conhecidas dos europeus medievais
											de outras formas de arte e tradição oral,
											embora algumas se tenham tornado
mais misteriosas,
											com o passar dos séculos.
											Hoje, ninguém sabe ao certo
o que pode significar
											o vulgar motivo de um cavaleiro a lutar 
com um caracol gigante
											ou porque é que, tantas vezes,
parece que o cavaleiro está a ser vencido.
											O caracol pode ser um símbolo
da inevitabilidade da morte
											que derrota até os cavaleiros mais fortes.
											Ou podia representar a humildade
											de que um cavaleiro precisa
para vencer o seu orgulho.
									","
											Los europeos del Medioevo 
seguramente conocían estas referencias
											plasmadas en otras expresiones 
artísticas y en la tradición oral,
											aunque algunas de ellas fueron
acrecentado su misterio con los siglos.
											Actualmente, no se sabe a ciencia cierta
											qué representa el consabido caballero
que lucha contra un caracol gigante,
											o por qué suele ser 
derrotado en la contienda.
											El caracol podría simbolizar
la muerte inexorable,
											capaz de doblegar 
al más fuerte de los caballeros.
											También podría representar la humildad
											y la necesidad del caballero 
de vencer su propio orgullo.
									",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
","
","
","
","
",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
											Many illuminated manuscripts were 
copies of religious or classical texts,
											and the bookmakers incorporated their 
own ideas and opinions in illustrations.
											The butt tuba, for example,
											was likely shorthand to 
express disapproval with—
											or add an ironic spin to—
the action in the text.
									","
											La plupart des manuscrits illustrés sont
copiés de textes classiques ou religieux
											auxquels les auteurs ont ajouté leurs
propres idées à l'aide d'illustrations.
											Par exemple, le tuba dans le derrière
											était probablement un symbole
de désaccord avec le texte -
											ou un moyen de le rendre ironique.
									","
											Tezhiplerin birçoğu, dini
veya klasik metinlerin kopyalarıydı
											ve kitapçılar illüstrasyonlara
kendi fikirlerini, görüşlerini katıyordu.
											Örneğin kalça tubası, muhtemelen
											metindeki eylemi kabul etmemek
— veya ona alaycı bir dönüş eklemek —
											amacı güden bir stenograftı.
									","
											Muitos dos manuscritos com iluminuras
											eram cópias de textos
religiosos ou clássicos
											e os livreiros incorporavam as suas ideias
e opiniões nas ilustrações.
											A tuba no traseiro, por exemplo,
											era provavelmente uma abreviatura
para exprimir a reprovação
											— ou adicionar um toque irónico —
quanto à ação no texto.
									","
											Muchos manuscritos ilustrados eran
copias de textos religiosos o clásicos,
											y quienes las hacían incorporaban
sus propias ideas y opiniones
											en forma de ilustraciones.
											La tuba ejecutada con la parte 
trasera, por ejemplo,
											era probablemente una forma
de manifestar desaprobación
											o de darle un efecto irónico 
a la acción descrita en el texto.
									",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
","
","
","
","
",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
"
											Illuminations could also be used to 
make subversive political commentary.
											The text of the ""Smithfield Decretals""
											details the Church’s laws and 
punishments for lawbreakers.
											But the margins show a fox being 
hanged by geese,
											a possible allusion to the common people 
turning on their powerful oppressors.
											In the ""Chronica Majora,""
											Matthew Paris summarized a 
scandal of his day,
											in which the Welsh prince Griffin
											plummeted to his death 
from the tower of London.
											Some believed the prince fell, 
Paris wrote,
											while others thought he was pushed.
											He added his own take in the margins,
											which show the prince falling to his death
											while trying to escape on a rope 
made of bed-sheets.
									","
											Les enluminures pouvaient être utilisées
comme un commentaire politique subversif.
											Le texte « Les décrets de Smithfield »
											détaille les lois de l'Église et les
punitions pour les contrevenants.
											Mais dans la marge, on voit 
un renard pendu par une oie,
											une allusion aux masses se retournant
contre leurs puissants oppresseurs.
											Dans les « Chroniques Majora »,
											Matthew Paris mentionne
le scandale du jour,
											dans lequel le prince gallois Griffin
											fait une chute mortelle du sommet
de la tour de Londres.
											Paris a écrit que certains
croyaient qu'il était tombé,
											quand d'autres pensaient
qu'il avait été poussé.
											Il a ajouté son opinion dans la marge,
											qui montre le prince chutant
											alors qu'il essayait de s'échapper
avec une corde faite de ses draps.
									","
											Tezhipler ayrıca baltalayıcı politik
yorumlama yapmak için de kullanılabilirdi.
											""Smithfield Külliyatı"" metni,
											kilisenin kanunlarını ve suçlular için
cezaları detaylandırıyor.
											Fakat kenarlıkta,
kazlar bir tilkiyi asıyor,
											halkın kendi güçlü zulümcülerine
saldırmalarının olası bir kinayesi.
											""Chronica Majora"" metninde
											Matthew Paris, Galler prensi Griffin'in

											Londra kulesinden düşerek ölmesini,
											yani döneminin skandalını özetliyor.
											Paris'in yazdığına göre
kimisi düştüğüne inanıyor,
											kimisi de itildiğine inanıyor.
											Paris, kenarlığa kendi fikrini ekledi,
											prensin yatak örtülerinden yapılmış
bir ip üzerinde kaçmaya çalışırken
											düşerek öldüğünü gösterdi.
									","
											As iluminuras também podiam ser usadas
											para fazer comentários
políticos subversivos.
											O texto dos ""Decretos Smithfield""
											pormenoriza as leis da Igreja
e as punições para os prevaricadores.
											Mas as margens mostram 
uma raposa a ser enforcada pelos gansos,
											uma possível alusão ao povo comum
a castigar os seus poderosos opressores.
											Na ""Chronica Majora"",
											Matthew Paris resumiu
um escândalo da sua época
											em que o príncipe galês Griffin
											morreu ao cair da Torre de Londres.
											""Uns acreditavam que o príncipe
tinha caído"", escreveu Paris,
											""enquanto outros pensavam
que ele tinha sido empurrado"".
											E acrescentou a sua opinião nas margens
											que mostram o príncipe
na sua queda mortal
											ao tentar fugir
por uma corda feita com lençóis.
									","
											Las ilustraciones también servían
											para hacer alusiones 
subversivas de tono político.
											El texto ""Las decretales de Smithfield""
											detalla las leyes de la Iglesia 
y el castigo impuesto a los infractores.
											Pero las ilustraciones marginales
muestran un zorro ahorcado por gansos,
											quizá una alusión a la gente común
que se venga de sus poderosos opresores.
											En ""Chronica Majora"",
											Matthew Paris resume 
el escándalo que sacudió su época,
											cuando el príncipe galés Griffin
											murió tras caer en picada
de la torre de Londres.
											En su relato, Paris escribió
que, para algunos, se cayó
											y, para otros, lo empujaron.
											Paris dibujó su propia 
versión en los márgenes,
											donde el príncipe escapa
con una soga de sábanas
											y, en el intento, muere al caer.
									",What is a butt tuba and why is it in medieval art?,Michelle Brown,4:22,"animation,arts,TED-Ed,art,history,anthropology,religion,ancient world,book,writing,books"
