en,es,tr,title,speaker,duration,tags
"
","
","
",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
											To kick the bucket,
											bite the dust,
											cash in your chips,
											check out, depart, expire,
											launch into eternity ...
											These are all euphemisms we use in humor
											to describe the one life event
we are all going to experience:
											death.
											But most of us don't want
to acknowledge death,
											we don't want to plan for it,
											and we don't want to discuss it with
the most important people in our lives.
									","
											Estirar la pata,
											morder el polvo,
											pasar a mejor vida,
											ir al cielo, partir, expirar,
											pasar a la inmortalidad ...
											Son todos eufemismos usados con humor
											para describir esa experiencia única
por la que todos pasaremos en la vida:
											la muerte.
											Pero la mayoría no queremos
aceptar la muerte,
											no queremos hacer planes
para cuando suceda,
											y no queremos hablarlo con las personas
más importantes de nuestra vida.
									","
											Tahtalı köyü boylamak,
											nalları dikmek,
											ecel şerbetini içmek,
											terk etmek, göçmek, son nefesini vermek
											sonsuzluğa uğurlanmak...
											Hepimizin deneyimleyeceği 
bu mizahi tabirler
											bir yaşam olayını açıklamada kullanılır:
											Ölüm.
											Ama çoğumuz ölümü kabullenmeyi,
											onun için plan yapmayı
											ve hayatımızdaki önemli kişilerle onu 
tartışmayı istemeyiz.
									",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
","
","
",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
											I grew up in an Australian community
where people got old or sick
											and passed away,
											and only the adults attended the funeral.
											My parents would come home
looking sad and drained,
											but they didn't discuss it with us.
											So I was ignorant to death
and of the grieving process.
											At 15, I got my invitation.
											A dear neighbor who was like an aunt to me
											died suddenly of a heart attack,
											and I attended my first funeral
and did my first reading.
											I didn't know the tightness in my chest
and the dryness in my mouth was normal.
											The celebrant got some of the facts wrong,
and it made me really angry.
											He talked about how she loved knitting.
											Knitting.
									","
											Crecí en una comunidad australiana

											donde la gente envejecía
o se enfermaba, y moría,
											y solo los adultos asistían al funeral.
											Mis padres volvían tristes y agotados,
											pero no lo hablaban con nosotros.
											De manera que yo desconocía la muerte
y el proceso de duelo.
											A los 15 años recibí una invitación.
											Una querida vecina, que era 
como una tía para mí,
											murió inesperadamente
de un ataque cardíaco.
											Asistí entonces a mi primer funeral
y leí allí mis primeras palabras.
											No sabía que sentir el pecho oprimido
y la boca seca era normal.
											El oficiante se equivocó en algunos datos
y eso me enfureció.
											Se puso a hablar de lo mucho
que a mi vecina le gustaba tejer.
											Tejer.
									","
											İnsanların yaşlı veya hasta olduğu 
ve öldüğü
											sadece yetişkinlerin 
cenazelere katıldığı
											bir Avustralya topluluğunda büyüdüm.
											Ebeveynlerim eve geldiğinde mutsuz ve
bitkin görünürlerdi
											ama bunu bizimle konuşmazlardı.
											Bu yüzden ölüm ve yas sürecinden
haberim yoktu.
											15 yaşımda, davetiyemi aldım.
											Bana teyzem gibi olan kıymetli komşum
											aniden kalp krizi sonucu öldü
											ve ben ilk cenaze törenime katıldım ve ilk
okumamı yaptım.
											Göğsümdeki sıkışıklık ve ağzımın kuruluğu
normal miydi bilmiyorum.
											Papaz bazı gerçekleri yanlış anlattı
ve bu beni gerçekten sinirlendirdi.
											Onun örgü örmeyi ne kadar
sevdiğinden bahsetti.
											Örgü örmek.
									",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
","
","
",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
","
","
",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
											He didn't mention that, at 75,
she still mowed her own lawn,
											built an amazing fish pond
in her front yard
											and made her own ginger beer.
											I'm pretty sure ""keen knitter""
											isn't what she would
have chosen for her eulogy.
									","
											No mencionó que a los 75 años
todavía cortaba el césped,
											que había hecho un maravilloso 
estanque de peces en su jardín
											y hacía su propia cerveza de jengibre.
											Estoy segura de que ""excelente tejedora""
											no es lo que ella habría escogido
para su elegía.
									","
											75 yaşında hâlâ kendi çimlerini 
kendi biçtiğinden
											ön bahçesine harika bir balık göleti
inşa ettiğinden
											ve kendi zencefilli birasını yaptığından
bahsetmedi.
											Eminim ""örgü düşkünü"" onun
											kendi anma konuşması için 
seçeceği bir şey olmazdı.
									",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
","
","
",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									",Talk about your death while you're still healthy,Michelle Knox,13:45,"death,family,personal growth,communication,life"
