en,es,tr,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											It is almost the end of the winter,
											and you've woken up to a cold house,
											which is weird, because
you left the heater on all night.
											You turn on the light.
											It's not working.
											Actually, the coffee maker, the TV —
none of them are working.
											Life outside also seems to have stopped.
											There are no schools,
											most of the businesses are shut,
											and there are no working trains.
											This is not the opening scene
of a zombie apocalypse movie.
									","
											Ya casi termina el invierno,
											y se despiertan en una casa congelada,
											lo cual es raro ya que habían dejado
la calefacción prendida toda la noche.
											Prenden la luz,
											no funciona.
											Tampoco funcionan
ni la cafetera ni la tele.
											La vida afuera parece haberse detenido.
											No hay escuelas,
											la mayoría de los negocios están cerrados,
											no funcionan los trenes.
											Esta no es la primera escena
de una película de zombis apocalíptica.
									","
											Hemen hemen kış sonuydu,
											soğuk bir evde uyanmıştın,
											bu tuhaftı, çünkü kombi bütün gece açıktı.
											Işığı açtın,
											yanmıyor.
											Aynı şekilde, kahve makinesi,
televizyon - hiçbiri çalışmıyor.
											Dışarıdaki hayat da durmuş gibi.
											Okullar yok.
											İşyerlerinin neredeyse hepsi kapalı,
											trenler çalışmıyor.
											Bu, bir zombinin ortaya çıkışı
filminin açılış sahnesi değil.
									","
											Estamos quase no fim do inverno
											e vocês acordam numa casa fria
											o que é esquisito, porque deixaram
o aquecimento ligado toda a noite.
											Acendem a luz,
											não funciona.
											A máquina do café, a TV,
nada disso funciona.
											A vida lá fora também parece ter parado.
											Não há escola,
											a maior parte das lojas estão fechadas
											e não há comboios a funcionar.
											Isto não é a cena de abertura
dum filme de apocalipse com ""zombies"".
									","
											L’hiver touche presque à sa fin,
											et à votre réveil,
il fait froid chez vous.
											C’est bizarre ; vous aviez laissé
votre chauffage allumé toute la nuit.
											Vous allumez la lumière,
											mais ça ne fonctionne pas.
											D’ailleurs, la cafetière, la télé...
rien ne fonctionne.
											Dehors, la vie semble
également s’être arrêtée.
											Il n’y a pas école,
											la plupart des activités ont cessé,
											et aucun train ne circule.
											Ce n’est pas le début d’un film
sur une invasion de zombies.
									","
											Es ist fast Winterende.
											Sie wachen in einem kalten Haus auf,
											was ungewöhnlich ist, denn Sie lassen
die Heizung auch über Nacht an.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											This is what happened in March 1989
in the Canadian province of Quebec,
											when the power grid lost power.
											The culprit?
											A solar storm.
									","
											Esto sucedió en la provincia canadiense 
de Quebec en marzo de 1989
											cuando la red eléctrica dejó de funcionar.
											¿La culpable?
											Una tormenta de sol.
									","
											Bu, 1989'da Kanada'nın Quebec
eyaletinde meydana gelen olay,
											elektrik şebekesinin çökmesiydi.
											Suçlu?
											Güneş fırtınası.
									","
											É o que aconteceu em março de 1989
na província canadiana do Quebeque
											quando a rede elétrica foi abaixo.
											O culpado?
											Uma tempestade solar.
									","
											C'est ce qui s’est passé
en mars 1989 au Québec,
											lorsque le réseau électrique
est tombé en panne.
											Le coupable ?
											Un orage solaire.
									","
											Sie schalten das Licht an.
											Es funktioniert nicht.
											Die Kaffeemaschine, der Fernseher —
nichts funktioniert.
											Draußen scheint das Leben
ebenso aufgehört zu haben.
											Es gibt keinen Schulunterricht,
											die meisten Geschäfte haben geschlossen
											und kein Zug fährt.
											Dies ist nicht die Eröffnungsszene
eines apokalyptischen Zombie-Filmes.
											Dies ist im März 1989 in Kanada,
in der Provinz von Quebec, geschehen,
											als das Stromnetz ausfiel.
											Der Auslöser?
											Ein Sonnensturm.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											Solar storms are giant clouds of particles
											escaping from the Sun from time to time,
											and a constant reminder that we live
in the neighborhood of an active star.
											And I, as a solar physicist,
											I have a tremendous chance
to study these solar storms.
											But you see, ""solar storm chaser""
											is not just a cool title.
											My research helps to understand
where they come from,
											how they behave
											and, in the long run,
											aims to mitigate their effects
on human societies,
											which I'll get to in a second.
									","
											Las tormentas solares son gigantes
nubes de partículas
											que se escapan del Sol 
de cuando en cuando,
											y nos recuerdan constantemente que vivimos
en la vecindad de una estrella activa.
											Y yo, como física solar,
											tengo la oportunidad increíble de
estudiar esas tormentas solares.
											Pero, ser ""cazadora de tormentas solares""
											no es solamente un título genial.
											Mi investigación me ayuda a entender
de dónde vienen,
											cómo se comportan
											y, a la larga,
											intenta mitigar su efecto en las
sociedades humanas,
											a lo que llegaré en un momento.
									","
											Güneş fırtınaları,
											zaman zaman güneşten kopan
											ve bize aktif bir yıldıza
yakın yaşadığımızı
											sürekli olarak hatırlatan
dev bulut parçacıklarıdır.
											Bir güneş fizikçisi olarak
											güneş fırtınaları üzerinde çalışmak
için büyük bir şans elde ettim.
											Ama gördüğün üzere,
""güneş fırtınası avcısı""
											pek de havalı bir lakap değil.
											Araştırmam, onların nereden geldiğini,
											nasıl hareket ettiklerini anlamaya
yardım etmekte ve uzun vadede,
											insan üzerindeki etkilerini
azaltmayı amaçlamaktadır,
											ki biraz sonra bunları ele alacağım.
									","
											As tempestades solares são
gigantescas nuvens de partículas
											que se escapam do Sol, de vez em quando,
											e um lembrete permanente de que vivemos
na vizinhança de uma estrela ativa.
											E eu, enquanto física solar,
											tenho uma oportunidade tremenda
para estudar tempestades solares.
											Mas, estão a ver,
""perseguidora de tempestades solares""
											não é apenas um título muito fixe.
											A minha investigação ajuda a perceber
de onde elas vêm,
											como se comportam,
											e, a longo prazo,
											pretendem minimizar os seus efeitos
sobre as sociedades humanas
											de que falarei mais adiante.
									","
											Les orages solaires sont des
nuages de particules géants
											qui, de temps en temps,
sont émis par le Soleil
											et nous rappellent constamment
que nous vivons près d’une étoile active.
											Et en tant que physicienne solaire,
											j’ai la très grande chance
d’étudier ces orages solaires.
											Mais « chasseuse d'orages solaires »,
											c’est plus qu'un nom de poste cool.
											Mes recherches nous aident
à comprendre d’où ils proviennent,
											leur comportement,
											et, à long terme,
											cherchent à mitiger leurs effets
sur les sociétés humaines.
											J’y reviendrai dans une seconde.
									","
											Sonnenstürme sind riesige Partikelwolken,
											welche gelegentlich der Sonne entweichen,
											und uns daran erinnern, dass wir 
einen aktiven Stern als Nachbarn haben.
											Und ich, als Sonnenphysikerin,
											habe die großartige Möglichkeit
diese Sonnenstürme zu studieren.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											At the beginning of the space
exploration age 50 years ago only,
											the probes we sent in space
											revealed that the planets
in our Solar System
											constantly bathe in a stream of particles
that are coming from the Sun
											and that we call the solar wind.
											And in the same way that global wind
patterns here on Earth
											can be affected by hurricanes,
											the solar wind is sometimes
affected by solar storms
											that I like to call ""space hurricanes.""
											When they arrive at planets,
											they can perturb the space environment,
											which in turn creates
the northern or southern lights,
											for example, here on Earth,
											but also Saturn
											and also Jupiter.
									","
											Al principio de la exploración
del espacio, hace solo 50 años,
											se enviaron sondas al espacio
											que revelaron que los planetas de
nuestro sistema solar
											se bañan permanentemente en una corriente
de partículas que vienen del Sol
											a la que llamamos viento solar.
											Y, así como los patrones del viento
global de la Tierra
											pueden ser afectados por huracanes,
											el viento solar a veces también se ve
afectado por tormentas solares
											a las que llamamos 
""huracanes del espacio"".
											Cuando llegan a los planetas,
											pueden perturbar el ambiente espacial,
											lo que a la vez crea la luces 
del norte o del sur,
											por ejemplo, aquí en la Tierra,
											pero también en Saturno,
											y en Júpiter.
									","
											Uzay araştırmalarının başlangıcında
yani sadece 50 yıl öncesinde,
											uzaya gönderdiğimiz sondalar,
											güneş sistemimizdeki gezegenlerin
											güneşten gelen ve güneş rüzgarı olarak
adlandırdığımız parçacıklar tarafından
											sürekli olarak yıkandığını ortaya çıkardı.
											Aynı şekilde dünyadaki rüzgar modelleri,
											kasırgalar tarafından etkilenebilirken,
											güneş rüzgarları da bazen
“uzay kasırgaları” dediğimiz
											güneş fırtınalarından etkilenirler.
											Bunlar gezegenlere ulaştıklarında
											uzay ortamını bozabilirler,
											bir de kuzey ve güney ışıklarını,
											örneğin sadece dünyada değil,
											Satürn
											ve Jüpiter’de de oluştururlar.
									","
											No início da exploração espacial,
apenas há 50 anos,
											os veículos espaciais
que enviámos para o espaço
											revelaram que os planetas
do nosso sistema solar
											estão sempre banhados numa corrente
de partículas que emanam do Sol
											e a que chamamos o vento solar.
											Do mesmo modo que os padrões
dos ventos globais, aqui na Terra
											podem ser afetados pelos furacões,
											também o vento solar, por vezes,
é afetado por tempestades solares
											a que eu gosto de chamar
""furacões espaciais"".
											Quando chegam aos planetas
											podem perturbar o ambiente espacial,
											que, por sua vez, cria
as luzes do norte ou do sul
											por exemplo, aqui na Terra,
											mas também em Saturno
											e também em Júpiter.
									","
											Aux débuts de l’exploration spatiale,
il y a seulement 50 ans,
											les sondes qui ont été
envoyées dans l'espace
											ont révélé que les planètes
de notre système solaire
											baignent dans un flux de particules
qui proviennent du Soleil
											et que nous appelons le vent solaire.
											Et tout comme ici, sur Terre,
la configuration des vents
											peut être affectée par les ouragans,
											le vent solaire peut parfois être
affecté par les orages solaires
											que j’aime appeler
les « ouragans spatiaux ».
											Lorsqu’ils arrivent sur une planète,
											ils peuvent perturber
l'environnement spatial,
											ce qui, à son tour,
crée par exemple les aurores
											boréales ou australes ici, sur Terre,
											mais également sur Saturne
											et sur Jupiter.
									","
											Aber sehen Sie, ""Sonnensturmjägerin""
											ist nicht nur ein cooler Titel.
											Meine Forschung unterstützt
das Verstehen derer Ursprünge,
											ihres Verhaltens,
											und versucht langfristig,
											ihren Einfluss auf die menschliche 
Gesellschaft, zu mindern,
											was ich gleich erläutern werde.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
","
","
","
","
","
",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
"
											Luckily, here on Earth,
											we are protected
by our planet's natural shield,
											a magnetic bubble that we call
the magnetosphere
											and that you can see here
on the right side.
											Nonetheless, solar storms
can still be responsible
											for disrupting satellite
telecommunications and operations,
											for disrupting navigation
systems, such as GPS,
											as well as electric power transmission.
											All of these are technologies
on which us humans rely more and more.
											I mean, imagine if you woke up tomorrow
without a working cell phone —
											no internet on it,
											which means no social media.
											I mean, to me that would be worse
than the zombie apocalypse.
									","
											Por suerte, aquí, en la Tierra
											estamos protegidos
por un escudo natural de nuestro planeta,
											una burbuja magnética a la que llamamos
la magnetosfera
											que pueden ver aquí a la derecha.
											Sin embargo, las tormentas solares
pueden ser responsables
											de perturbar las telecomunicaciones
y operaciones de los satélites,
											alterando los sistemas de navegación 
como el GPS,
											así como la transmisión
de energía eléctrica.
											Estas son tecnologías de las cuales
los humanos dependemos más y más.
											Por ejemplo, imagínense si se despertaran
mañana sin que funcionara el celular,
											sin que anduviera internet,
											o sea, sin medios sociales.
											Para mí eso sería peor que 
un apocalipsis de zombis.
									","
											Şanslıyız ki dünyada,
											gezegenimizin doğal kalkanı olan
											manyetosfer olarak adlandırdığımız
ve sağ tarafta görebileceğiniz
											manyetik kabarcık tarafından korunuyoruz.
											Bununla birlikte güneş fırtınaları,
											uydu haberleşmesi ve çalışmalarının,
elektrik güç iletiminin yanısıra,
											GPS gibi navigasyon
sistemlerinin bozulmasından
											sorumlu olabilir.
											Ki bunların hepsi bizlerin gitgide
daha da bağımlı olduğu teknolojilerdir.
											Demek istediğim, yarına cep telefonun
çalışmıyor bir şekilde uyandıysan -
											bu, internetin olmaması,
											yani sosyal medyanın olmaması demektir.
											Yani bana göre bu, zombi
kıyametinden daha kötü olurdu.
									","
											Felizmente, aqui na Terra,
											estamos protegidos
pelo escudo natural do nosso planeta,
											uma bolha magnética a que chamamos
a magnetosfera
											e que podem ver
aqui do lado direito.
											Apesar disso, as tempestades solares
podem ser responsáveis
											pela perturbação das telecomunicações
e operações por satélite,
											por interferir nos sistemas
de navegação, como o GPS,
											assim como na transmissão
da energia elétrica.
											Tudo isso são tecnologias
											de que os seres humanos
cada vez dependem mais.
											Imaginem que acordam amanhã 
e o vosso telemóvel não funciona,
											não tem Internet,
											ou seja, nada de redes sociais.
											Para mim, seria pior
do que um apocalipse com ""zombies"".
									","
											Heureusement, sur Terre,
											nous sommes protégés par
le bouclier naturel de notre planète,
											une bulle magnétique que
nous appelons la magnétosphère
											et qui est visible ici sur la droite.
											Mais les orages solaires peuvent
tout de même causer
											une perturbation des télécommunications
et des opérations satellites,
											une perturbation des systèmes
de navigation, comme les GPS,
											et une perturbation du réseau électrique.
											Autant de technologies dont nous,
les humains, dépendons de plus en plus.
											Imaginez que vous vous réveilliez demain
et que votre portable ne marche plus.
											Qu’il n’ait plus Internet,
											et donc plus de réseaux sociaux.
											Pour moi, ce serait pire
qu’une invasion de zombies.
									","
											Zu Beginn des Zeitalters
der Weltraumforschung, vor nur 50 Jahren,
											haben die Sonden, die wir
in das Weltall sandten, offenbart,
											dass die Planeten in unserem Sonnensystem
											ununterbrochen in einem
Teilchenstrahl der Sonne baden,
											den wir Sonnenwind nennen.
									",Lessons from a solar storm chaser,Miho Janvier,5:34,"physics,space,TED Fellows,science,Sun,nature,NASA,solar system,universe"
