en,pt,es,title,speaker,duration,tags
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											So I've experienced
a lot of success in my life.
											Over a decade ago,
											I started a business straight out of uni
with my mate, Scott.
											Now, having no prior business experience
											and not really any grand plan —
											in fact, our goals when we started were
not to have to get a real job
									","
											Tive muito sucesso na minha vida.
											Há cerca de uma década,
comecei um negócio
											mal saí da universidade,
com o meu colega, Scott.
											Sem qualquer experiência em negócios
											e sem grande plano
											— os nossos planos eram
não ter um trabalho a sério,
									","
											En mi vida experimenté muchos éxitos.
											Hace más de una década,
											recién salido de la universidad,
inicié un negocio con mi amigo Scott.
											Ahora bien, sin experiencia previa
											y sin un plan importante...
											nuestros objetivos eran no tener 
que conseguir un trabajo real
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											and to not have to wear
a suit to work every day.
											Check and check.
									","
											e não ter de levar fato
para o trabalho diariamente.
											Feito e feito.
									","
											y no tener que llevar traje cada día.
											Chequeado y chequeado.
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Today, we have thousands
of amazing employees,
											and millions of people use
our software around the planet.
											And technically, even outside the planet,
											if you count those that are currently
on their way to Mars.
											So you'd think that I know
what I'm doing every day
											when I go to work.
											Well, let me let you in on something:
											most days, I still feel like
I often don't know what I'm doing.
											I've felt that way for 15 years,
											and I've since learned that feeling
is called ""impostor syndrome.""
									","
											Hoje, temos milhares 
de funcionários fantásticos,
											e milhões de pessoas em todo o planeta
utilizam o nosso ""software"".
											Tecnicamente, até fora do nosso planeta,
											se tiverem em conta
as que estão a caminho de Marte.
											Devem pensar que, todos os dias,
sei perfeitamente o que tenho a fazer
											quando vou trabalhar.
											Deixem-me que vos diga:
											quase todos os dias ainda sinto
que não sei o que estou a fazer.
											Senti-me assim durante 15 anos,
											e vim a saber que esse sentimento
se chama ""síndrome de impostor"".
									","
											En la actualidad, tenemos miles
de empleados maravillosos,
											y millones de personas usan 
nuestro software en todo el planeta.
											Y, técnicamente, también
fuera del planeta,
											si cuentan los que ahora 
están camino a Marte.
											Así que deben pensar que sé 
lo que hago todos los días
											cuando voy a trabajar.
											Bien, les diré algo:
											la mayoría de los días todavía siento
que a menudo no sé lo que hago.
											Durante 15 años me he sentido así,
											y he aprendido que esa sensación
se llama el ""síndrome del impostor"".
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Have you ever felt out of your depth,
											like a fraud,
											and just kind of guessed/bullshitted
your way through the situation —
									","
											Alguma vez se sentiram sem pé,
											como uma fraude,
											que apenas adivinharam
ou ludibriaram a vossa solução
									","
											¿Han sentido alguna vez 
que no están a la altura,
											como que son un fraude,
											que están adivinando
o mintiendo en lo que hacen...
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											petrified that anytime,
											someone was going to call you on it?
											Well, I can think of many examples
where I felt like this.
									","
											petrificados que, em qualquer altura,
											iriam ser apanhados?
											Consigo lembrar-me de muitas situações
em que me senti assim.
									","
											aterrorizados de que,
en cualquier momento,
											alguien va a descubrirlos?
											Bien, puedo pensar muchos ejemplos
de cuando me he sentido así,
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											Interviewing our first HR manager,
											having never worked in a company
that had an HR department —
									","
											Na entrevista do nosso primeiro
director de RH,
											como nunca trabalhei numa empresa
com departamento de RH
									","
											como al entrevistar al
primer gerente de RR. HH.
											sin haber trabajado
en una empresa que tuviera uno...
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
"
","
","
",How you can use impostor syndrome to your benefit,Mike Cannon-Brookes,13:42,"personal growth,society,identity,entrepreneur,TEDx,self,work"
