es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
											El equipo de Trabajo Sucio
y yo nos llamaron
											a un pequeño pueblo 
en Colorado, llamado Craig,
											de unos cuantos km cuadrados
											y está en las Rocallosas.
											El trabajo en cuestión era 
ser ganadero de ovejas.
									","
											""Kirli İşler"" ekibi ve ben Colorado'da
											küçük bir kasabaya çağırılmıştık.
											Birkaç bin hektar kadar. Rocky Dağları'nda.
											Mevzubahis iş de koyun çiftçiliği.
									","
											L'équipe de Dirty Jobs et moi-même sommes allés
											dans la petite ville de Craig, dans le Colorado.
											Ça fait seulement quarante kilomètres carrés, dans les Rocheuses.
											Et le boulot en question était éleveur de moutons.
									","
											Die Crew von Dirty Jobs und ich wurden
											zu einer kleinen Ortschaft in Colorado beordert, genannt Craig.
											Sie erstreckt sich nur über ein paar Dutzend Quadratmeilen und liegt in den Rocky Mountains.
											Und der betreffende Job war Schafzüchter.
									",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
","
","
","
",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
											Mi rol en el programa, para quienes 
no lo han visto, es muy sencillo:
											soy aprendiz y trabajo con la gente 
que hace realmente el trabajo en cuestión.
											Mis responsabilidades 
son sólo tratar, aguantar
											y contar honestamente 
que se siente ser estas personas,
											por un día en su vidas.
											El trabajo en cuestión: 
arrear ovejas. Estupendo.
									","
											Benim programdaki rolüm, izlememiş olanlarınız için söylüyorum— epey basit.
											Ben bir çırağım ve bahsi geçen işi gerçekte yapan insanlarla birlikte çalışıyorum.
											Ve yapmam gereken de sadece ayak uydurmaya çalışmak
											ve hayatlarının bir gününde bu insanların yerinde olmanın nasıl
											bir şey olduğunun dürüst bir hesabını çıkarmak.
											Mevzubahis iş: koyun gütmek. Harika.
									","
											Mon rôle dans l'émission, pour ceux qui ne l'ont pas vue... c'est assez simple.
											Je suis un apprenti, et je travaille avec les gens qui exercent le métier en question.
											Et mes responsabilités sont juste d'essayer et de suivre
											et de faire une présentation honnête de ce que ça fait d'être ces gens-là,
											une journée dans leur vie.
											Le job en question : élever des moutons. Génial.
									","
											Meine Rolle in der Show, für diejenigen unter Ihnen, die sie noch nicht gesehen haben - sie ist recht banal.
											Ich bin ein Lehrling und ich arbeite mit den Leuten zusammen, die die betreffenden Berufe tatsächlich ausüben.
											Und meine Aufgabe ist es, einfach zu versuchen, dranzubleiben
											und einen wahrheitsgetreuen Eindruck davon zu vermitteln, wie es ist, in der Haut dieser Leute zu stecken,
											einen Tag in ihrem Leben.
											Der betreffende Job - Schafe hüten. Alles klar.
									",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
","
","
","
",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
											Vamos a Craig y 
nos registramos en un hotel;
											y me doy cuenta al día siguiente
											que la castración será 
parte esencial de este trabajo.
											Así que, normalmente, 
nunca hago investigación alguna.
											Pero este es un tema delicado 
y trabajo para el Discovery Channel
											y queremos representar con precisión 
lo que sea que es lo que hacemos,
											y ciertamente queremos hacerlo 
con mucho respeto a los animales.
											Así que llamé a 
la Sociedad Humanitaria
											y dije ""Miren, voy a 
castrar unos corderos,
											¿me pueden decir cómo se hace?""
									","
											Craig'e gidip bir otele yerleşiyoruz
											ve ertesi gün fark ediyorum ki hadım etmek
											bu işin kesin bir parçası olacak.
											Normalde hiçbir araştırma yapmam.
											Ama bu hassas bir konu ve ben Discovery Channel'da çalışıyorum,
											yaptığımız ne varsa doğru olarak göstermek istiyoruz
											ve elbette bunu hayvanlara büyük bir saygıyla yapmak istiyoruz.
											Ben de Humane Society'yi aradım
											ve ""Bakın, ben birkaç kuzu kadım edeceğim,
											bana durumun nasıl olduğunu anlatır mısınız?"" dedim.
									","
											Nous allons à Craig et nous arrivons à l'hôtel
											et je me rends compte que le lendemain ce travail
											concernera surtout la castration des animaux.
											D'habitude, je ne fais aucune recherche.
											Mais, c'est un sujet sensible, et je travaille pour Discovery Channel,
											et nous voulons décrire avec exactitude tout ce que nous faisons,
											et nous voulons le faire avec beaucoup de respect envers les animaux.
											Donc j'ai appelé l'Humane Society
											et je leur ai dit ""Voilà, je vais castrer des agneaux,
											Est-ce que vous pouvez me faire un topo ?""
									","
											Wir fahren nach Craig und checken in ein Hotel ein
											und am nächsten Tag stelle ich fest, dass Kastration
											ein zentraler Bestandteil dieser Arbeit sein wird.
											Also, normalerweise stelle ich gar keine Nachforschungen an.
											Aber das hier ist eine heikle Sache, und ich arbeite für den Discovery Channel,
											und wir wollen das, was wir auch immer tun, korrekt darstellen,
											und wir wollen auf jeden Fall mit viel Respekt für die Tiere vorgehen.
											Also rief ich die die Humane Society an
											und sagte: ""Leute, ich werde ein paar Lämmer kastrieren,
											könnt ihr mir sagen, wie das funktioniert?""
									",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
","
","
","
",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
											Y me contestaron, 
""Si, es bastante sencillo"".
											Usan básicamente una banda elástica, 
como esta, sólo que un poco más pequeña.
											Ésta sujetaba los naipes que obtuve ayer,
											pero tenía una cierta 
familiaridad con ella.
									","
											Bunlar da ""Evet, bayağı basit"" filan dediler.
											Bir bant kullanıyorlar — böyle lastik bir bant, sadece daha ufak.
											Bu aslında dün aldığım oyun kağıtlarının etrafındaydı,
											ama onunla bir benzerliği var.
									","
											Et ils répondent ""Oui, c'est assez simple.""
											On utilise un élastique, comme ça, juste un peu plus petit.
											Celui-ci était autour du jeu de cartes que j'ai reçu hier,
											mais je lui trouve un air familier.
									","
											Und sie daraufhin: ""Klar, das ist ganz einfach.""
											Sie benutzen ein Band - im Grunde genommen ein Gummiband, wie das hier, nur etwas kleiner.
											Dieses hier war eigentlich um die Spielkarten gewickelt, die ich gestern bekommen habe,
											aber es hatte eine gewisse Vertrautheit.
									",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
","
","
","
",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
"
											Y dije, ""Bien, ¿exactamente 
cuál es el proceso?
									","
											Ben de ""Pekiii, işlem tam olarak nedir?"" dedim.
									","
											Et j'ai dit ""Bon, comment ça se passe ?""
									","
											Und ich sagte: ""Nun, wie genau geht man vor?""
									",Learning from dirty jobs,Mike Rowe,20:02,"economics,entertainment,work,Best of the Web"
