pt,en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Como construímos uma sociedade
											sem combustíveis fósseis?
									","
											How do we build a society
											without fossil fuels?
									","
											¿Cómo podemos construir una sociedad
											sin combustibles fósiles?
									","
											Fosil yakıtların olmadığı bir toplum
											nasıl mümkün olabilir?
									","
											Comment construire une société
											sans énergies fossiles ?
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Este é um problema muito complexo.
											Acredito que os países em desenvolvimento
poderiam liderar esta transição.
											Estou ciente de que esta
é uma afirmação controversa
											mas a realidade é que está
muita coisa em risco nos nossos países
											se deixarmos que os combustíveis fósseis
											continuem a ser o centro
do nosso desenvolvimento
											Podemos fazer de modo diferente.
											É tempo disso, é mesmo tempo disso,
											de desmistificar o mito
											que um país tem de escolher
entre desenvolvimento, por um lado,
											e proteção ambiental, energia renovável,
qualidade de vida, por outro.
									","
											This is a very complex challenge,
											and I believe developing countries
could take the lead in this transition.
											And I'm aware that this
is a contentious statement,
											but the reality is that so much
is at stake in our countries
											if we let fossil fuels stay
at the center of our development.
											We can do it differently.
											And it's time, it really is time,
											to debunk the myth
											that a country has to choose
between development on the one hand
											and environmental protection,
renewables, quality of life, on the other.
									","
											Este es un reto muy complejo,
											y creo que los países en desarrollo
podrían tomar la iniciativa.
											Soy consciente de que es 
una afirmación polémica,
											pero la realidad es que hay mucho
en juego en nuestros países
											si dejamos que los combustibles fósiles
estén en el centro de nuestro desarrollo.
											Podemos hacerlo de manera diferente.
											Y es hora, es realmente el momento,
											de desenmascarar el mito
											de que un país tiene que elegir
entre desarrollo o calidad de vida,
											protección del medio ambiente 
y energías renovables.
									","
											Bu oldukça karmaşık bir soru.
											Bence gelişmekte olan ülkeler 
bu geçişte öncülük edebilir.
											Bunun çelişkili bir ifade 
olduğunun farkındayım,
											ama, aslına bakarsanız 
fosil yakıtların gelişimimizin
											merkezinde kalmasına müsaade edersek
											bu, ülkelerimizdeki birçok şeyi 
tehlikeye atmak demektir.
											Bunu başka şekillerde yapabiliriz.
											Artık gerçekten bir ülkenin gelişmek ve
											çevreyi korumak, yenilenebilir enerji, 
yaşam kalitesi gibi şeyler arasında
											seçim yapmak zorunda olduğu efsanesini
											çürütmenin vakti geldi.
									","
											C'est une question très complexe
											et je pense que les pays en développement
peuvent nous guider vers cette transition.
											Je suis consciente que
cette déclaration est controversée,
											mais la réalité, c'est qu'il y a
tant en jeu dans nos pays
											si nous laissons notre développement
dépendre des énergies fossiles.
											On peut faire différemment.
											Et il est temps, il est vraiment temps,
											de déboulonner le mythe
											qu'un pays doive choisir
entre le développement d'une part
											et la protection environnementale,
les énergies renouvelables
											et la qualité de vie, de l'autre.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											Eu sou da Costa Rica,
um país em desenvolvimento.
											Somos quase cinco milhões de pessoas,
											e vivemos mesmo no centro das américas,
											por isso é muito fácil
saber onde vivemos.
											Quase 100% da nossa eletricidade
											vem de energias renováveis,
											cinco delas.
									","
											I come from Costa Rica,
a developing country.
											We are nearly five million people,
											and we live right in the middle
of the Americas,
											so it's very easy
to remember where we live.
											Nearly 100 percent of our electricity
											comes from renewable sources,
											five of them.
									","
											Soy de Costa Rica, un país en desarrollo.
											Somos casi cinco millones de personas
											y vivimos en el centro de América,
											así que es muy fácil recordar
el lugar donde vivimos.
											Casi el 100 % de nuestra electricidad
											proviene de fuentes renovables,
											cinco de ellas.
									","
											Ben gelişmekte olan bir ülkeden, 
Kosta Rika'dan geliyorum.
											Nüfusumuz neredeyse beş milyon
											ve Amerika kıtasının tam 
ortasında yer alıyoruz,
											bu yüzden nerede yaşadığımızı
hatırlamak çok kolay.
											Elektriğimizin yaklaşık yüzde 100'ü,
											beş yenilenebilir enerji kaynağından
											sağlanıyor.
									","
											Je viens du Costa Rica,
un pays en développement.
											Nous sommes
près de cinq millions d'habitants
											et nous vivons juste au milieu
du continent américain,
											il est donc très facile
de se rappeler où nous vivons.
											Près de 100 % de notre électricité
											provient de sources d'énergie
renouvelables de cinq types différents.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											(Aplausos)
									","
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","
											(Applaudissements)
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
","
","
","
","
",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
"
											A energia hidroelétrica, a geotérmica,
											a eólica, a solar e a biomassa.
									","
											Hydropower, geothermal,
											wind, solar, biomass.
									","
											La energía hidráulica, geotérmica,
											eólica, solar, y la biomasa.
									","
											Hidrolik, jeotermal,
											rüzgâr, güneş, biyokütle enerjileri.
									","
											L'hydroélectricité, la géothermie,
l'éolien, le solaire et la biomasse.
									",A small country with big ideas to get rid of fossil fuels,Monica Araya,15:52,"alternative energy,activism,climate change,collaboration,community,environment,communication,future,global development,global issues,history,humanity,infrastructure,innovation,law,natural resources,nature,policy,pollution,social change,transportation,electricity"
