en,fr,es,pt,title,speaker,duration,tags
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											I am an astrodynamicist —
											you know, like that guy Rich Purnell
in the movie ""The Martian.""
											And it's my job to study and predict
motion of objects in space.
											Currently we track about one percent
of hazardous objects on orbit —
											hazardous to services like location,
											agriculture, banking,
											television and communications,
											and soon — very soon —
											even the internet itself.
									","
											Je suis spécialiste en astrodynamique –
											comme le personnage de Rich Purnell
dans le film « Seul sur Mars ».
											C'est mon travail d'étudier et de prévoir
le mouvement des objets dans l'Espace.
											Actuellement, nous traçons environ
1% des objets dangereux en orbite –
											dangereux pour des services
comme la géolocalisation,
											l'agriculture, les banques,
											la télévision, les télécommunications
											et bientôt – très bientôt –
											pour Internet lui-même.
									","
											Soy experto en astrodinámica
											como ese tipo Rich Purnell 
de la película ""The Martian"".
											Y mi trabajo es estudiar y predecir el 
movimiento de los objetos en el espacio.
											Actualmente, rastreamos alrededor del 1 % 
de los objetos peligrosos en órbita:
											peligroso para servicios 
como localización,
											agricultura, banca,
											televisión y comunicaciones,
											y pronto, muy pronto,
											incluso la propia internet.
									","
											Eu sou um astrodinamicista
											— vocês sabem, como o Rich Purnell
no filme ""Perdido em Marte"".
											E o meu trabalho é estudar e prever
o movimento de objetos no espaço.
											Hoje, rastreamos cerca de 1%
de objetos perigosos em órbita
											— perigosos para serviços
como a localização,
											agricultura, setor bancário,
											televisão e comunicações,
											e em breve — muito em breve —
											até a própria Internet.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											Now these services are not protected
from, roughly, half a million objects
											the size of a speck of paint
											all the way to a school bus in size.
											A speck of paint,
											traveling at the right speed,
											impacting one of these objects,
											could render it absolutely useless.
											But we can't track things
as small as a speck of paint.
											We can only track things
as small as say, a smartphone.
											So of this half million objects
that we should be concerned about,
											we can only track
about 26,000 of these objects.
											And of these 26,000,
only 2,000 actually work.
											Everything else
											is garbage.
											That's a lot of garbage.
									","
											Ces services ne sont pas protégés
d'à peu près un demi-million d'objets
											qui vont de la taille
d'une tache de peinture
											à celle d'un bus scolaire.
											Une tache de peinture,
											se déplaçant à une certaine vitesse,
											percutant l'un de ces objets,
											pourrait le rendre
complètement inutilisable.
											Mais nous ne pouvons pas tracer des choses
aussi petites qu'une tache de peinture.
											Nous pouvons seulement tracer des choses
aussi petites que, disons, un smartphone.
											Donc, sur ce demi-million d'objets
qui devraient nous inquiéter,
											nous ne pouvons tracer
qu'environ 26 000 d'entre eux.
											Et parmi ces 26 000,
seulement 2 000 sont en activité.
											Tout le reste,
											il s'agit de débris.
											Beaucoup de débris.
									","
											Estos servicios no están protegidos de, 
aproximadamente, medio millón de objetos
											desde el tamaño de una mota de pintura
											hasta el tamaño de un autobús escolar.
											Una mota de pintura,
											que viaja a la velocidad correcta,
											que impacta uno de estos objetos,
											podría volverlo absolutamente inútil.
											Pero no podemos rastrear cosas 
tan pequeñas como una mota de pintura.
											Solo podemos rastrear cosas tan pequeñas
como, por ejemplo, un teléfono.
											Y, de este medio millón de objetos 
que deberían preocuparnos,
											solo podemos rastrear unos 26 000.
											Y de estos 26 000, 
solo 2000 funcionan realmente.
											Todo lo demás
											es basura.
											Eso es mucha basura.
									","
											Estes serviços não estão protegidos
dos cerca de meio milhão de objetos
											do tamanho de uma partícula de tinta
											até ao tamanho de um autocarro escolar.
											Uma partícula de tinta,
											a viajar à velocidade certa,
											chocando com um destes objetos,
											poderia torná-lo absolutamente inútil.
											Mas nós não conseguimos rastrear coisas
tão pequenas como um salpico de tinta.
											Apenas conseguimos rastrear coisas
tão pequenas como um telemóvel.
											Assim, deste meio milhão de objetos
com que nos devemos preocupar,
											apenas conseguimos rastrear
cerca de 26 000 destes objetos.
											E, destes 26 000, apenas 2000
realmente funcionam.
											Tudo o resto
											é lixo.
											É bastante lixo.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											To make things a little bit worse,
											most of what we launch into orbit
never comes back.
											We send the satellite in orbit,
											it stops working, it runs out of fuel,
											and we send something else up ...
											and then we send up something else ...
											and then something else.
									","
											Pour assombrir encore un peu le tableau,
											la plupart de ce que nous envoyons
en orbite ne revient jamais.
											Nous envoyons un satellite en orbite,
											il s'arrête de fonctionner,
il est à court de carburant
											et nous en renvoyons un autre...
											et puis un autre...
											et puis un autre.
									","
											Para empeorar un poco las cosas,
											la mayor parte de lo que lanzamos 
en órbita nunca vuelve.
											Enviamos el satélite en órbita,
											deja de funcionar, 
se queda sin combustible,
											y enviamos algo más
											y luego enviamos algo más.
											Y luego algo más.
									","
											Para tornar as coisas um pouco piores,
											a maioria do que lançamos
em órbita nunca regressa.
											Enviamos o satélite em órbita,
											ele deixa de trabalhar,
fica sem combustível,
											e nós enviamos outro ...
											e depois enviamos mais outro...
											e depois outro.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											And every once in a while,
											two of these things
will collide with each other
											or one of these things will explode,
											or even worse,
											somebody might just happen to destroy
one of their satellites on orbit,
											and this generates many, many more pieces,
											most of which also never come back.
									","
											Et de temps à autre,
											deux de ces objets
vont entrer en collision,
											ou l'un d'eux va exploser,
											ou, pire encore,
											il se pourrait que quelqu'un détruise
un de ses satellites en orbite,
											ce qui créerait encore plus de morceaux
											dont la majorité ne reviendra
jamais sur Terre.
									","
											Y, de vez en cuando,
											dos de estas cosas chocarán entre sí
											o una de estas cosas explotará,
											o incluso peor
											alguien podría destruir 
uno de sus satélites en órbita,
											y esto genera muchas, 
muchas más piezas,
											la mayoría de las cuales 
tampoco vuelven.
									","
											E, de vez em quando,
											duas destas coisas
vão colidir entre si
											ou uma destas coisas vai explodir,
											ou ainda pior,
											alguém pode simplesmente destruir
um de seus satélites em órbita,
											e isto gera muitos mais fragmentos,
											a maioria dos quais
também nunca regressará.
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
","
","
","
",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
"
											Now these things are not
just randomly scattered in orbit.
											It turns out that given
the curvature of space-time,
											there are ideal locations
											where we put some of these satellites —
											think of these as space highways.
											Very much like highways on earth,
											these space highways can only take up
a maximum capacity of traffic
											to sustain space-safe operations.
											Unlike highways on earth,
											there are actually no space traffic rules.
											None whatsoever, OK?
											Wow.
											What could possibly go wrong with that?
									","
											Ces morceaux ne sont pas dispersés
au hasard en orbite.
											Il s'avère que, compte tenu de
la courbure de l'espace-temps,
											il existe des emplacements idéaux
											où placer certains de ces satellites –
											voyez-les comme
les autoroutes de l'espace.
											Un peu comme les autoroutes sur Terre,
											ces autoroutes de l'espace ont
une capacité maximale de circulation
											pour garantir une activité
sécurisée dans l'espace.
											A la différence des autoroutes sur Terre,
											il n'y a pas de code de la route
dans l'espace.
											Absolument aucune règle.
											Ouah.
											Que pourrait-il bien arriver de mal ?
									","
											Estas cosas no están dispersas 
aleatoriamente en órbita.
											Resulta que, dada la curvatura 
del espacio-tiempo,
											hay lugares ideales
											donde ponemos 
algunos de estos satélites...
											Piensen en estos 
como carreteras espaciales.
											Muy parecido
a las carreteras en la tierra,
											estas autopistas espaciales solo pueden 
ocupar una capacidad máxima de tráfico
											para mantener operaciones seguras 
en el espacio.
											A diferencia de las carreteras 
en la tierra,
											en realidad no hay reglas 
de tráfico espacial.
											Ninguna en absoluto, ¿de acuerdo?
											Guau.
											¿Qué podría salir mal con eso?
									","
											Estas coisas não estão simplesmente
espalhadas aleatoriamente em órbita.
											Acontece que, dada a curvatura
do espaço-tempo,
											existem localizações ideais
											onde colocamos alguns destes satélites
											— pensem nisto como se fossem
estradas no espaço.
											Tal como as estradas na terra,
											estas estradas espaciais têm
uma capacidade máxima de tráfego
											para poderem sustentar
operações espaciais seguras.
											Ao contrário das estradas na terra,
											não existem regras de trânsito no espaço.
											Absolutamente nenhuma, ok?
											Uau.
											O que poderia correr mal?
									",The world's first crowdsourced space traffic monitoring system,Moriba Jah,5:29,"space,environment,exploration,communication,science,technology,TED Fellows"
