en,pt,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
											About two years ago,
											I got a phone call that changed my life.
									","
											Há cerca de dois anos,
											recebi um telefonema
que mudou a minha vida.
									","
											Neredeyse iki sene önce
hayatımı değiştiren bir telefon aldım.
									","
											Vor etwa 2 Jahren bekam ich einen Anruf,
											der mein Leben veränderte.
									","
											Il y a environ deux ans,
											j'ai reçu un appel qui a changé ma vie.
									",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
","
","
","
","
",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
											""Hey, this is your cousin Hassen.""
									","
											""Olá, sou o teu primo Hassen"".
									","
											""Hey, ben kuzenin Hassen.""
									","
											""Hallo, hier spricht dein Cousin Hassan.""
									","
											« Allô, c'est ton cousin Hassen. »
									",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
","
","
","
","
",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
											I froze.
											You see, I have well over
30 first cousins,
											but I didn't know anybody named Hassen.
									","
											Fiquei paralisado.
											Tenho mais de 30 primos direitos
											mas não conhecia nenhum
chamado Hassen.
									","
											Donup kaldım.
											Şöyle ki 30'u aşkın kuzenim var
											ama Hassen adında birini tanımıyordum.
									","
											Ich erstarrte.
											Ich habe nämlich gut über 30 Cousins,
											aber einen Hassan kannte ich nicht.
									","
											Je me suis figé.
											Vous voyez, j'ai bien plus de 30 cousins,
											mais je ne connaissais personne de ce nom.
									",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
","
","
","
","
",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
											It turned out that Hassen
was actually my mom's cousin
											and had just arrived
in Montreal as a refugee.
											And over the next few months,
											I would have three more relatives
coming to Canada to apply for asylum
											with little more than
the clothes on their back.
											And in the two years
since that phone call,
											my life has completely changed.
											I left academia
											and now lead a diverse team
of technologists, researchers and refugees
											that is developing customized
self-help resources for newcomers.
											We want to help them overcome
language, cultural and other barriers
											that make them feel like they've lost
control over their own lives.
											And we feel that AI can help restore
the rights and the dignity
											that many people lose when seeking help.
									","
											Acontece que Hassen era
primo da minha mãe
											e acabara de chegar a Montreal
como refugiado.
											Durante os meses seguintes,
											havia mais três familiares meus
a chegar ao Canadá, pedindo asilo
											com pouco mais do que a roupa 
que traziam vestida.
											Dois anos depois daquela chamada,
											a minha vida estava totalmente alterada.
											Saí da academia
											e agora lidero uma equipa diversificada
de tecnólogos, investigadores e refugiados
											que está a trabalhar em recursos 
de autoajuda para recém-chegados.
											Queremos ajudá-los a ultrapassar
as barreiras da língua, culturais e outras
											que lhes fazem sentir que perderam
o controlo da sua vida.
											Sentimos que a IA pode ajudar a repor
os direitos e a dignidade
											que muita gente perde
quando procura ajuda.
									","
											Hassen'ın aslında annemin kuzeni 
olduğu ortaya çıktı
											ve Montreal'a bir mülteci olarak 
henüz varmıştı.
											Sonraki birkaç ay boyunca
											yanlarında kıyafetleri dışında 
pek fazla bir eşyaları olmaksızın
											Kanada'ya sığınma için başvuran
3 akrabam daha gelecekti.
											O telefondan beri iki yıl içinde
hayatım tamamen değişti.
											Akademiyi bıraktım 
ve şimdi yeni gelenler için
											kişileştirilmiş yardım kaynakları 
geliştiren teknologların, araştırmacıların
											ve mültecilerin oluşturduğu 
çeşitli bir takımı yönetiyorum.
											Kendi hayatlarının kontrolünü kaybetmiş 
gibi hissettiren dilsel, kültürel
											ve diğer engellerin üstesinden gelmeleri 
için yardım etmek istiyoruz.
											Çoğu insanın yardım isterken 
kaybettiği itibarı ve hakları
											tekrar elde etmelerine yapay zekanın
yardım edeceğini hissediyoruz.
									","
											Hassan war eigentlich
der Cousin meiner Mutter
											und er war gerade als Flüchtling
in Montreal angekommen.
											Während der nächsten Monate kamen
drei weitere asylsuchende Verwandte
											mit kaum mehr als dem,
was sie am Leib trugen, nach Kanada.
											In den 2 Jahren seit diesem Anruf
hat sich mein Leben komplett verändert.
											Ich verließ die Universität
											und führe nun ein Team von Technologen,
Forschern und Flüchtlingen,
											das individuelle 'Hilfe zur Selbsthilfe'
für Neuankömmlinge entwickelt.
											Wir wollen ihnen helfen, Sprach-, Kultur-
und andere Barrieren zu überwinden,
											die ihnen das Gefühl geben, die Kontrolle
über ihr Leben verloren zu haben.
											KI könnte dabei helfen,
die Rechte und Würde zurückzugeben,
											die viele Menschen
auf der Suche nach Hilfe verlieren.
									","
											Il s'est avéré que Hassen était
le cousin de ma mère
											et venait d'arriver à Montréal
en tant que réfugié.
											Et au cours des mois suivants,
											trois autres proches sont venus au Canada
pour demander l'asile
											avec à peine plus
que les vêtements sur leur dos.
											Au cours des deux années depuis cet appel,
											ma vie a complètement changé.
											J'ai quitté l'université
											et je mène une équipe diversifiée
de technologues, chercheurs et réfugiés
											qui conçoit des ressources personnalisées
pour les nouveaux arrivants.
											On veut les aider à franchir les barrières
linguistiques, culturelles et autres
											qui leur donnent le sentiment d'avoir
perdu le contrôle de leur propre vie.
											Et on pense que l'IA peut aider
à rétablir les droits et la dignité
											que beaucoup perdent
en demandant de l'aide.
									",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
","
","
","
","
",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
"
											My family's refugee experience
is not unique.
											According to the UNHCR,
											every minute, 20 people
are newly displaced
											by climate change, economic crisis
											and social and political instability.
											And it was while volunteering
at a local YMCA shelter
											that my cousin Hassen
and other relatives were sent to
											that we saw and learned to appreciate
											how much effort and coordination
resettlement requires.
									","
											A experiência dos refugiados
da minha família não é única.
											Segundo a UNHCR
— a agência da UE para os refugiados —
											em cada minuto,
há mais 20 pessoas desalojadas,
											por causa da alteração climática,
da crise económica,
											e da instabilidade social e política.
											Foi quando fazíamos trabalho voluntário
num abrigo local do YMCA,
											para onde o meu primo Hassen
e outros familiares foram enviados
											que vimos e aprendemos a apreciar
											o esforço e a coordenação
que um realojamento exige.
									","
											Ailemin sığınmacı deneyimi nadir değil.
											UNHCR'ye göre, her dakika,
											20 insan iklim değişikliği, ekonomik kriz,
sosyal ve politik dengesizlik nedeniyle
											yerinden edilmektedir.
											Kuzenim Hassen ve diğer akrabalarımın 
gönderilmiş olduğu
											yerel bir YMCA barınağında 
gönüllü olarak çalışırken
											yeni bir ülkeye yerleşmenin ne kadar 
çaba ve koordinasyon gerektirdiğini gördük
											ve takdir etmeyi öğrendik.
									","
											Die Migrationserfahrung
meiner Familie ist nicht einzigartig.
											Laut UNHCR werden jede Minute
20 Menschen in die Flucht getrieben —
											aufgrund von Klimawandel,
Wirtschaftskrisen
											und sozialer und politischer Unsicherheit.
											Während meines Freiwilligendienstes
bei einem christlichen Verein,
											zu dem auch mein Cousin Hassan
und andere Verwandte geschickt wurden,
											erkannten und schätzten wir,
											wie viel Einsatz und Koordination
eine Eingliederung erfordert.
									","
											L'expérience des réfugiés
dans ma famille n'est pas unique.
											Selon l'UNHCR,
											chaque minute, 20 nouvelles
personnes sont déplacées
											pour des raisons climatiques, économiques
											et d'instabilité sociale et politique.
											Et c'est en faisant du bénévolat
dans un YMCA local
											qui a accueilli mon cousin Hassan
et mes autres proches
											que nous avons vu et appris à mesurer
											l'effort et la coordination
que nécessite la réinstallation.
									",What refugees need to start new lives,Muhammed Idris,6:07,"refugees,society,identity,community,humanity,culture,immigration,social change,global issues,collaboration,TED Residency"
