en,tr,title,speaker,duration,tags
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											So, imagine a company hires
a new employee,
											best in the business,
											who's on a multimillion-dollar contract.
											Now imagine that whenever this employee
went to go meet with her team members,
											the appointments
were ignored or dismissed,
											and in the meetings that did happen,
											she was yelled at or kicked out
after a few minutes.
											So after a while, she just
went quietly back to her desk,
											sat there with none of her skills
being put to use,
											of course, being ignored by most people,
											and of course, still getting paid
millions of dollars.
											This hotshot employee
who can't seem to catch a break
											is that company's technology.
									","
											Bir şirketin, işinde çok iyi birini,

											multi-milyon dolarlık
											sözleşmeyle işe aldığını hayal edin.
											Şimdi de, bu çalışanın, ne zaman
takım arkadaşlarıyla görüşecek olsa,
											toplantının yok 
sayıldığını ya da reddedildiğini,
											gerçekleşen toplantılarda da
											birkaç dakika sonra ona bağrıldığını 
ya da kovulduğunu hayal edin.
											Kısa bir süre sonra 
sessizce masasına gider,
											yeteneklerini kullanamadan oturur,
											çoğunluk tarafından yoksayılır,
											tabii ki hala milyonlar kazanmaya 
devam eder.
											Mola vermeyen bu yetenekli çalışan,
											bu şirketin teknolojisidir.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											This scenario is not an exaggeration.
											In my job as a technology advisor,
											I've seen so many companies
make the well-meaning decisions
											to put huge investments into technology,
											only to have the benefits
fail to live up to the expectation.
											In fact, in one study I read,
											25 percent of technology projects
											are canceled or deliver things
that are never used.
											That's like billions of dollars
just being wasted each year.
									","
											Bu senaryo mübalağa değil.
											Teknoloji danışmanı olarak,
											teknolojiye iyi niyetle, 
çok büyük yatırımlar
											yapma kararı alan fakat beklentilerini
											karşılayamayan birçok firma gördüm.
											Bir çalışma okudum,
											teknoloji projelerinin %25'i
											ya iptal oluyor ya da yapılan 
geliştirmeler kullanılmıyor.
											Böylelikle milyarca dolar 
boşa harcanıyor.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											So why is this?
											Well, from what I've seen,
											the expectation from the top management
is high but not unreasonable
											about the benefits from the technology.
											They expect people will use them,
											it will create time savings,
											and people will become
genuinely better at their jobs.
											But the reality is that
the people on the front line,
											who are supposed to be using
these softwares and tools,
											they're skeptical or even afraid.
											We postpone the online trainings,
											we don't bother to learn the shortcuts,
											and we get frustrated
at the number of tools
											we have to remember
how to log into and use.
											Right?
											And that frustration,
that guilt — it's racking up,
											the more that technology is inserting
itself into our daily working lives,
											which is a lot.
									","
											Peki neden?
											Kişisel gözlemim;
											üst yönetimin teknolojinin 
faydaları ile ilgili beklentilerinin
											yüksek ama mantıksız olmadığı yönünde.
											Çalışanların teknolojiyi kullanmasını,
											zamandan tasarruf etmeyi,
											insanların işinde daha
iyi olmasını bekliyorlar.
											Gerçekte ise, bu yazılımları ve araçları
											kullanması beklenen insanlar,
											şüpheciler ya da korkuyorlar.
											Online eğitimleri erteliyoruz,
											kısayolları öğrenmek istemiyoruz,
											bir sürü aracın içinde bocalıyoruz,
											nasıl kullanıldığını
hatırlamak zorundayız.
											Doğru mu ?
											Bu hüsran ve suçluluk,
											teknoloji günlük hayatımıza girdikçe
											bizi daha çok mahvediyor.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											Brookings says that 70 percent
of jobs today in the US
											require at least mid-level digital skills.
											So basically, to work these days,
											you need to be able
to work with technology.
											But from what I've seen,
											we are not approaching this
with the right mindset.
									","
											Brookings, ABD'deki işlerin %70'nin 
en az orta seviye teknoloji bilgisi
											gerektirdiğini söylüyor.
											Basitçe; günümüzde çalışmak için,
											teknolojiyi kullanabilmelisin.
											Gözlemlerim, bu konuya
											doğru yaklaşmadığımızı gösteriyor.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											So here's the idea
that I've been toying with:
											What if we treated technology
like a team member?
											I've been writing my own
personal experiment about this.
											I've spoken to people
from all different industries
											about how they can treat
their core technologies like colleagues.
											I've met with people
from the restaurant industry,
											medical professionals, teachers, bankers,
											people from many other sectors,
											and the first step with anybody
that I would meet with
											was to draw out
the structure of their teams
											in an organization chart.
									","
											Bir süredir kafa yorduğum bir fikrim var:
											Teknolojiye takım arkadaşımız gibi
davranırsak ne olur?
											Konuyla ilgili kişisel deneylerim
üzerine yazıyorum.
											Farklı sektörlerden insanlarla,
teknolojiye nasıl
											iş arkadaşı gibi 
davranabileceklerini konuştum.
											Restoran sektörü, sağlık çalışanları,
											öğretmenler, bankacılar ve başka birçok
											sektörden insanlarla tanıştım.
											Bu insanlarla ilk yaptığım şey,
											organizasyon şeması üzerinden,
											takım yapılarını çıkartmak oldu.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											Now, I'm a total geek
when it comes to organization charts.
											Org charts are really cool
because, if they are drawn well,
											you can quickly get a sense
of what individual roles are
											and also how a team works well together.
											But if you look at a typical org chart,
											it only includes the boxes and lines
that represent people.
											None of the technology
team members are there.
											They're all invisible.
											So for each of the organizations
that I met with for my experiment,
											I had to draw a new type of org chart,
											one that also included the technology.
											And when I did this, people I spoke to
											could actually visualize
their technologies as coworkers,
											and they could ask things like:
											""Is this software reporting
to the right person?""
											""Does this man and machine team
work well together?""
											""Is that technology
actually the team member
											that everybody's awkwardly avoiding?""
									","
											Tam bir organizasyon şeması delisiyim.
											Organizayon şemaları,
iyi çizildikleri takdirde
											kişilerin görevleri ve takımın 
nasıl daha doğru işleyeceğini
											anlamamızı sağlarlar.
											Sıradan bir şemaya baktığınızda,
											insanları temsil eden kutu ve çizgilerden 
oluştuğunu görürüz.
											Takım arkadaşı olarak teknoloji yer almaz.
											Hepsi görünmezdir.
											Deney kapsamında karşılaştığım
her organizasyon için
											teknolojiyi de içeren yeni bir şema
											çizmek zorunda kaldım.
											Ben bunu yaptıkça insanlar teknolojiyi
											artık bir iş arkadaşı olarak 
görmeye başladılar ve
											şu tip sorular sordular:
											""Yazılım doğru kişiye mi rapor veriyor?""
											""Bu adam ve makina takımı
düzgün işliyor mu?""
											""Bu teknoloji garip şekilde 
herkesin görmezden
											geldiği takım arkadaşımız mıydı?""
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											So I will walk you through an example
of a small catering company
											to bring this experiment to life.
											This is the top layer of people
who work at Bovingdons Catering Company.
											There's a sales director, who manages
all of the customer interactions,
											and there's an operations director,
who manages all the internal activities.
											And here's the people who report
to the sales and operations directors.
											And finally, here's the view
											where we've overlaid
the software and the hardware
											that's used by the Bovingdons staff.
											Using this amazing org chart,
we can now explore
											how the human team members
and the technology team members
											are interacting.
									","
											Gözünüzde canlandırmanız için
size küçük bir yemek şirketinden
											örnek vereceğim.
											Bunlar, Bovingdons Yemek 
şirketinde üst düzey çalışanlar.
											Müşteri ilişkilerini yöneten 
bir satış müdürü ve
											şirketin iç işlerini yöneten bir 
operasyon müdürü var.
											Bunlar da satış ve operasyon 
müdürleri altında çalışan insanlar.
											Bovingdons çalışanları tarafından
											kullanılan yazılım ve donanım eklendiğinde
											şema bu hale geliyor.
											Bu müthiş şemayı kullanarak insan ve
											teknoloji üyelerinin 
nasıl etkileşime girdiklerini
											görebiliyoruz.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
											So the first thing
that I'm going to look for
											is where there's a human
and machine relationship
											that's extra critical.
											Usually, it's somebody using a technology
											on a day-to-day basis
to do his or her job.
											At Bovingdons,
											the finance director with
the accounting platform would be one.
											Next, I would check on the status
of their collaboration.
											Are they working well together?
											Getting along?
											In this case, it turned out to be
a tenuous relationship.
									","
											Bakacağım ilk şey insan ve teknoloji
											ilişkisinin nerede en kritik
											olduğunu bulmak olacak.
											Genelde bu kişi, işinde teknolojiyi günlük
											bazda kullanan birisidir.
											Bovingdons'da,
											muhasebe platformu kullanan 
finans direktörü bunlardan biri.
											Sonra, iş birliklerinin durumunu
kontrol ederim.
											Birlikte iyi çalışıyorlar mı?
											Anlaşabiliyorlar mı?
											Elimizdeki durumda oldukça
zayıf bir ilişki var.
									",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
"
","
",Why you should treat the tech you use at work like a colleague,Nadjia Yousif,11:36,"business,technology,work,entrepreneur,potential,success,happiness,personal growth"
