fr,en,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
											Les arbres sont de merveilleux champs de découverte
											de par leur stature, leur structure complexe,
											la biodiversité dont ils encouragent le développement, et de par leur beauté tranquille.
											J'avais l'habitude de monter aux arbres tout le temps pour m'amuser
											et maintenant que je suis adulte, comprendre les arbres et les forêts
											est devenu ma profession, que j'exerce à travers la science.
									","
											Trees are wonderful arenas for discovery
											because of their tall stature, their complex structure,
											the biodiversity they foster and their quiet beauty.
											I used to climb trees for fun all the time
											and now, as a grown-up, I have made my profession understanding trees
											and forests, through the medium of science.
									","
											Ağaçlar harikulade keşif sahalarıdır.
											Yüksek boyları, karmaşık yapıları vardır,
											biyoçeşitliliği desteklerler ve dingin bir güzelliğe sahiptirler.
											Eğlence olsun diye her zaman ağaçlara tırmandım ve
											şimdi ise, bir yetişkin olarak, bilimi kullanarak,
											ağaçları ve ormanları anlamayı mesleğim haline getirdim.
									","
											Bäume sind eine wundervolle Arena für Entdeckungen
											aufgrund ihrer großen Statur, ihrer komplexen Struktur,
											der Artenvielfalt, die sie fördern, und ihrer stillen Schönheit.
											Früher bin ich ständig aus Spaß auf Bäume geklettert,
											und jetzt, als Erwachsene, habe ich es zu meinem Beruf gemacht,
											Bäume und Wälder durch das Medium der Wissenschaft zu verstehen.
									","
											Los árboles son maravillosas zonas de descubrimiento
											a causa de su alta estatura, su estructura compleja,
											la biodiversidad que fomentan y su belleza sutil.
											Solía subir a los árboles para divertirme todo el tiempo
											y ahora, como adulto, he dedicado mi vida profesional al estudio de los árboles
											y de los bosques, por medio de la ciencia.
									",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
","
","
","
","
",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
											La partie la plus mystérieuse de la forêt est la canopée.
											En 1983, le docteur Terry Erwin
											a appelé la canopée ""la dernière frontière biotique"".
											Je voudrais tous vous emmener voir la canopée,
											et partager avec vous les questions que se posent les chercheurs de la canopée
											et aussi vous montrer comment ils communiquent avec les non-scientifiques.
									","
											The most mysterious part of forests is the upper tree canopy.
											And Dr. Terry Erwin, in 1983,
											called the canopy, ""the last biotic frontier.""
											I'd like to take you all on a journey up to the forest canopy,
											and share with you what canopy researchers are asking
											and also how they're communicating with other people outside of science.
									","
											Ormanların en gizemli kısmı ağaç üstü tepe örtüsüdür.
											Dr. Terry Erwin, 1983 yılında,
											orman tepe örtüsü için ""son biyotik sınır"" ismini verdi.
											Sizi orman tepe örtüsüne bir geziye götürmek,
											tepe örtüsü araştırmacılarının neler aradığını,
											ve bilim dünyası dışında, insanlarla nasıl iletişim kurduklarını paylaşmak isterim.
									","
											Der geheimnisvollste Teil des Waldes sind die oberen Baumkronen.
											Und Dr. Terry Erwin bezeichnete 1983
											die Baumkronen als ""das letzte biotische Grenzgebiet"".
											Ich möchte Sie alle gern mit auf eine Reise hinauf zum Baumkronendach mitnehmen,
											und mit Ihnen teilen, was Baumkronen-Forscher fragen,
											und auch wie sie mit anderen Menschen außerhalb der Wissenschaft kommunizieren.
									","
											El aspecto más misterioso de los bosques es el dosel forestal superior de los árboles.
											Y el doctor Terry Erwin, en 1983,
											bautizó al dosel forestal como “la última frontera biótica.""
											Me gustaría hacer un viaje con ustedes hacia el dosel forestal del bosque,
											y hablarles de algunas de las preguntas que se están haciendo los investigadores del dosel forestal
											y también de cómo se comunican con otras personas fuera del mundo científico.
									",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
","
","
","
","
",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
											Commençons notre exploration sur le sol de la forêt
											de l'un de mes sites de recherche au Costa Rica.
											A cause des feuilles et des branches en surplomb,
											vous remarquerez que le sous-bois est très sombre,
											très calme.
											Ce que je voudrais faire, c'est vous emmener en haut, à la canopée,
											sans utiliser ni cordes ni harnais,
											mais en vous montrant plutôt un clip vidéo très court
											extrait d'un film de National Geographic, ""Les héros de la frontière haute"".
											Ce film a été tourné à Monteverde, au Costa Rica
											et je pense qu'il nous montre très bien ce que c'est que
											d'escalader un figuier étrangleur.
											(Musique)
											(Grognements)
											(Bruissement)
									","
											Let's start our journey on the forest floor
											of one of my study sites in Costa Rica.
											Because of the overhanging leaves and branches,
											you'll notice that the understory is very dark,
											it's very still.
											And what I'd like to do is take you up to the canopy,
											not by putting all of you into ropes and harnesses,
											but rather showing you a very short clip
											from a National Geographic film called ""Heroes of the High Frontier.""
											This was filmed in Monteverde, Costa Rica
											and I think it gives us the best impression of what it's like
											to climb a giant strangler fig.
											(Music)
											(Growling)
											(Rustling)
									","
											Geziye önce Costa Rica'da
											benim araştırma alanlarımdan birinin orman tabanından başlayalım.
											Yukarıdan sarkan yaprak ve dallardan dolayı,
											aşağının epey karanlık olduğunu fark edeceksiniz.
											Oldukça durgun.
											Yapmak istediğim sizi yukarı tepe örtüsüne çıkarmak.
											Ancak bunu hepinizi halat ve iplerle çekerek yapmayacağım.
											Size, National Geographic'den ""Yüksek Hudutların Kahramanları"" isimli
											kısa bir klip göstererek yapacağım.
											Bu film Costa Rika - Monteverde'de çekildi ve
											sanıyorum, kökleri toprak dışında da uzayabilen dev incir ağacına
											tırmanmayı hissetmenin en iyi yolu.
											(Müzik)
											(homurtu)
											(hışırtı)
									","
											Lassen Sie uns unsere Reise auf dem Waldboden
											einer meiner Forschungsstätten in Costa Rica beginnen.
											Aufgrund der überhängenden Blätter und Äste
											ist es im Unterholz sehr dunkel
											und sehr ruhig.
											Und ich würde Sie gerne hoch ins Blätterdach mitnehmen,
											nicht indem ich Sie alle in Seile und Klettergurte stecke,
											sondern indem ich Ihnen einen sehr kurzen Clip
											aus einem Film von National Geographic namens ""Heroes of the High Frontier"" zeige.
											Er wurde in Monteverde, Costa Rica, gedreht
											und ich denke, er gibt uns den besten Eindruck davon, wie es ist,
											eine gigantische Würgefeige zu erklettern.
											(Musik)
											(Affe brüllt)
											(Rascheln)
									","
											Empecemos nuestro viaje en el piso forestal
											de uno de mis sitios de estudio en Costa Rica.
											A causa de las ramas y hojas colgantes del árbol,
											notarán que el sotobosque está muy oscuro,
											y muy quieto.
											Y lo que me gustaría hacer es llevarlos hasta el dosel forestal,
											no por ponerles cuerdas y arreos,
											sino por mostrarles un fragmento cortito
											de una película de National Geographic que se llama “Héroes de la frontera alta.”
											La película se filmó en Monteverde, Costa Rica
											y creo que nos da la mejor idea de cómo es la experiencia de
											subir un árbol de higo estrangulador gigante.
											(Música)
											(Gruñidos)
											(Crujidos)
									",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
","
","
","
","
",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
											Ce que vous voyez là-haut c'est que c'est vraiment comme dans une prairie,
											et il y a un nombre incroyable de plantes et d'animaux qui se sont adaptés
											pour se développer et vivre dans la canopée.
											Des familles communes, comme le paresseux ici, ont développé des adaptations précises
											pour la canopée, ils se servent de leurs griffes très puissantes pour s'accrocher.
											Mais j'aimerais vous décrire une forme plus subtile de diversité
											and vous parler des fourmis.
											Il y a 10.000 espèces de fourmis que les taxonomistes —
											les gens qui décrivent et nomment les animaux — ont nommé.
											4.000 de ces fourmis vivent exclusivement dans la canopée.
									","
											So what you'll see up there is that it's really like the atmosphere of an open field,
											and there are tremendous numbers of plants and animals that have adapted
											to make their way and their life in the canopy.
											Common groups, like the sloth here, have clear adaptations
											for forest canopies, hanging on with their very strong claws.
											But I'd like to describe to you a more subtle kind of diversity
											and tell you about the ants.
											There are 10,000 species of ants that taxonomists —
											people who describe and name animals — have named.
											4,000 of those ants live exclusively in the forest canopy.
									","
											Yukarıda göreceğiniz şey, oranın gerçekten bir açık alana benzediği ve
											tepe örtüsünde yaşayabilmek için
											çok sayıda bitki ve hayvanın ortama uyum sağladığıdır.
											Yaygın grupların -örneğin tembel hayvanın- tepe örtüsünde yaşamak için
											çok güçlü pençeleri ile asılmak gibi belirli adaptasyonları vardır.
											Ancak size daha ince ayar bir çeşitliliği tanımlamak
											ve karıncalardan bahsetmek istiyorum.
											Hayvanları tanımlayan ve isimlendiren taksonomistlere göre,
											10,000 tür karınca vardır.
											Bunların 4,000'i orman tepe örtüsünde yaşar.
									","
											Sie sehen also, dass da oben wirklich die Atmosphäre eines offenen Feldes herrscht,
											und es gibt eine gewaltige Anzahl von Pflanzen und Tieren, die sich angepasst haben,
											um ihr Leben im Blätterdach zu bestreiten.
											Bekannte Gruppen, wie dieses Faultier hier, haben eindeutige Anpassungen
											an das Blätterdach, wie die Art, in der sie sich mit ihren sehr starken Krallen festhalten.
											Aber ich möchte Ihnen gerne eine subtilere Art der Diversität zeigen
											und Ihnen von den Ameisen erzählen.
											Es gibt 10.000 Arten von Ameisen, die Taxonomen –
											Menschen, die Tiere beschreiben und bestimmen – benannt haben.
											4.000 dieser Ameisen leben ausschließlich in den Baumkronen.
									","
											Entonces lo que ven aquí es que es muy parecido a la atmósfera de un campo abierto,
											y que hay numerosos especies de plantas y de animales que se han adaptado
											para sobrevivir en el dosel forestal.
											Los grupos comunes, como el perezoso que ven aquí, tienen maneras claras de adaptarse
											para los doseles forestales, agarrando con sus garras muy fuertes.
											Pero me gustaría describirles una diversidad más sutil
											y contarles de las hormigas.
											Hay 10.000 especies de hormigas que los taxonomistas—
											expertos que describen y dan nombres a los animales— han nombrado.
											4.000 de éstas viven exclusivamente en el dosel forestal.
									",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
","
","
","
","
",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
"
											Une des raisons pour lesquelles je vous parle des fourmis
											est parce que mon mari, qui est en fait un taxonomiste pour les fourmis,
											et lorsque nous nous sommes mariés, il m'a promis de nommer une fourmi d'après moi, ce qu'il a fait —
											Procryptocerus nalini, une fourmi de la canopée.
											Nous avons eu deux enfants, August Andrew et Erika
											et de fait, il a nommé des fourmis d'après eux.
											Nous sommes probablement la seule famille dont chaque membre a une fourmi nommé d'après lui.
									","
											One of the reasons I tell you about ants
											is because of my husband, who is in fact an ant taxonomist
											and when we got married, he promised to name an ant after me, which he did —
											Procryptocerus nalini, a canopy ant.
											We've had two children, August Andrew and Erika
											and actually, he named ants after them.
											So we may be the only family that has an ant named after each one of us.
									","
											Karıncalardan bahsetmemin bir sebebi
											kocamın da bir karınca taksonomisti olması.
											Evlendiğimizde, bir karıncaya benim ismimi takma sözü vermişti, ve sözünü tuttu.
											Procryptocerus nalini, bir tepe örtüsü karıncası.
											İki çocuğumuz oldu, August Andrew ve Erika
											ve onların da isimlerini karıncalara verdi.
											Bu şekilde, herbiri adına bir karıncası olan tek aile biz olabiliriz.
									","
											Einer der Gründe, warum ich Ihnen von Ameisen erzähle,
											ist mein Ehemann, der tatsächlich ein Ameisen-Taxonom ist,
											und als wir heirateten, versprach er, dass er eine Ameise nach mir benennen würde, was er auch getan hat –
											Procryptocerus nalini, eine Baumkronen-Ameise.
											Wir haben zwei Kinder, August Andrew und Erika
											und er hat sogar Ameisen nach ihnen benannt.
											Also sind wir vielleicht die einzige Familie, in der nach jedem Mitglied eine Ameise benannt ist.
									","
											Una de las razones por las cuales les hablo de hormigas
											es a causa de mi esposo, quien es de hecho un taxonomista de hormigas
											y cuando nos casamos, él me prometió que bautizaría a una hormiga con mi nombre, lo cual hizo—
											Procryptocerus nalini, una hormiga de los doseles forestales.
											Tenemos dos hijos, August Andrew y Erika
											y en efecto, él puso sus nombres a dos especies de hormigas también.
											Puede que seamos la única familia en que cada uno de los miembros tiene una hormiga con su nombre.
									",Conserving the canopy,Nalini Nadkarni,16:30,"activism,animals,biodiversity,biology,children,environment,insects,trees,plants,ecology"
