en,tr,pt,de,title,speaker,duration,tags
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											My name is Nanfu.
											In Chinese, ""nan"" means ""man.""
											And ""fu"" means ""pillar.""
											My family had hoped for a boy,
											who would grow up
to be the pillar of the family.
											And when I turned out to be a girl,
											they named me Nanfu anyway.
									","
											Benim adım Nanfu.
											Çincede ""nan"" ""erkek"" demek.
											""Fu"" da ""direk"" demek.
											Ailem bir erkek çocuk istemişti,
											büyüyecek ve evin direği olacaktı.
											Ben kız olunca da
											yine de adıma Nanfu koydular.
									","
											Chamo-me Nanfu.
											Em chinês, ""nan"" significa ""homem"",
											e ""fu"" significa ""pilar"".
											A minha família esperava
que fosse um rapaz
											que crescesse e viesse a ser
o pilar da família.
											Quando aconteceu ser uma rapariga,
											chamaram-me Nanfu na mesma.
									","
											Ich heiße Nanfu.
											""Nan"" auf chinesisch bedeutet ""Mann"",
											""fu"" bedeutet ""Säule"".
											Meine Familie wünschte sich einen Jungen,
											der die Säule der Familie werden sollte.
											Als ich ein Mädchen wurde,
											haben sie mich trotzdem Nanfu getauft.
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risos)
									","
											(Lachen)
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											I was born in 1985,
											six years before China announced
its one-child policy.
											Right after I was born,
											the local officials came
and ordered my mom to be sterilized.
											My grandpa stood up to the officials,
											because he wanted a grandson
to carry on the family name.
											Eventually, my parents were allowed
to have a second child,
											but they had to wait for five years
											and pay a substantial fine.
									","
											1985 yılında doğdum,
											Çin'in tek çocuk politikasını 
ilan etmesinden altı yıl önce.
											Ben doğduktan hemen sonra da
											yerel yetkililer gelmiş ve annemin 
kısırlaştırılması emrini vermişlerdi.
											Büyük babam yetkililere karşı çıkmıştı
											çünkü o ailenin adını taşıyacak
erkek bir torun istiyordu.
											Sonunda ailem ikinci bir çocuk 
sahibi olma hakkını elde ettiler
											ama beş yıl beklemeleri
											ve yüklü miktarda para ödemeleri gerekti.
									","
											Nasci em 1985,
											seis anos antes de a China
anunciar a política de filho único.
											Logo depois de eu ter nascido,
											os funcionários locais ordenaram
que a minha mãe fosse esterilizada.
											O meu avô opôs-se aos funcionários
											porque queria um neto
para transmitir o nome de família.
											Por fim, os meus pais tiveram
permissão para ter um segundo filho
											mas tiveram de esperar cinco anos
											e pagar uma multa substancial.
									","
											Ich wurde 1985 geboren,
											sechs Jahre bevor China
die Ein-Kind-Politik einführte.
											Direkt nachdem ich geboren wurde,
											erschienen Beamte und ordneten
die Sterilisation meiner Mutter an.
											Mein Großvater 
widersetzte sich den Beamten,
											denn er wollte einen Enkelsohn haben,
um den Namen der Familie fortzuführen.
											Schließlich durften meine Eltern
ein zweites Kind bekommen,
											aber sie mussten fünf Jahre warten
											und eine beträchtliche Strafe zahlen.
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											Growing up, my brother and I
											were surrounded by children
from one-child families.
											I remember feeling a sense of shame
											because I had a younger brother.
											I felt like our family did something wrong
for having two children.
											At the time, I didn't question
											where this sense of shame
and guilt came from.
									","
											Kardeşim ve ben büyürken
											etrafımız tek çocuklu 
ailelerle çevriliydi.
											Utanma duygusunu hissettiğimi hatırlıyorum
											çünkü küçük bir erkek kardeşim vardı.
											İki çocuk sahibi olarak ailemin
yanlış bir şey yaptığını hissederdim.
											O zamanlar bu utancın ve suçluluğun
nereden geldiğini sorgulamadım.
									","
											Em miúdos, o meu irmão e eu
											estávamos rodeados de crianças
de famílias de um filho único.
											Lembro-me de sentir uma certa vergonha
											por ter um irmão mais novo.
											Tinha a sensação de que a minha família
tinha feito uma coisa errada
											por ter dois filhos.
											Na altura, eu não questionava
											de onde provinha esta sensação
de vergonha e de culpa.
									","
											Mein Bruder und ich
wuchsen inmitten von Kindern
											aus Ein-Kind Familien auf.
											Ich erinnere mich daran,
mich geschämt zu haben,
											weil ich einen jüngeren Bruder hatte.
											Ich dachte, zwei Kinder zu haben,
sei falsch von unserer Familie.
											Damals habe ich nicht hinterfragt,
											woher dieses Gefühl der Scham
und Schuld stammte.
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											A year and a half ago,
I had my own first child.
											It was the best thing
that ever happened in my life.
											Becoming a mother
											gave me a totally new perspective
on my own childhood,
											and it brought back
my memories of early life in China.
											For the past three decades,
											everyone in my family had to apply
for a permission from the government
											to have a child.
											And I wondered
											what it was like for people
who lived under the one-child policy.
									","
											Bir buçuk yıl önce
kendi ilk çocuğum oldu.
											Hayatımda meydana gelen en iyi şeydi.
											Anne olmak
											çocukluğuma tamamen 
yeni bir bakış açısı sağladı
											ve Çin'deki çocukluk yıllarımdaki 
anılarımı geri getirdi.
											Geçen otuz yılda
											ailemdeki herkes çocuk yapmak için
hükümetten izin almak zorundaydı.
											Ben de şunu merak ettim:
											Tek çocuk politikası altında yaşayan 
insanlar için nasıl bir şeydi?
									","
											Há ano e meio, tive o meu primeiro filho.
											Foi a melhor coisa
que já aconteceu na minha vida.
											Ser mãe deu-me uma perspetiva
totalmente nova
											sobre a minha infância
											e fez-me recordar a minha vida
de criança na China.
											Durante os últimos 30 anos,
											todos na minha família tiveram
de pedir autorização ao governo
											para terem um filho.
											E fiquei a pensar
											o que seria a vida das pessoas
com a política de filho único.
									","
											Vor anderthalb Jahren,
habe ich mein erstes Kind bekommen.
											Es ist das Beste, was mir je passiert ist.
											Mutter zu werden,
											hat mir eine neue Sichtweise
auf meine eigene Kindheit gegeben.
											Meine frühen Erinnerungen
an China wurden wieder geweckt.
											In den letzten dreißig Jahren,
musste jeder in meiner Familie
											einen Antrag bei der Regierung stellen,

											um die Erlaubnis für ein Kind zu bekommen.
											Ich habe mich gefragt,
wie das für die Menschen war,
											mit der Ein-Kind-Politik
in China zu leben.
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											So I decided to make
a documentary about it.
											One of the people I interviewed
											was the midwife who delivered
all of the babies born in my village,
											including myself.
											She was 84 years old
when I interviewed her.
											I asked her,
											""Do you remember how many babies
you delivered throughout your career?""
											She didn't have a number for deliveries.
											She said she had performed
											60,000 forced abortions
and sterilizations.
											Sometimes, she said,
											a late-term fetus
would survive an abortion,
											and she would kill the baby
after delivering it.
											She remembered how her hands would tremble
											as she did the work.
									","
											Ben de bununla ilgili bir belgesel 
yapmaya karar verdim.
											Röportaj yaptığım insanlardan birisi
											ben de dahil olmak üzere köyümde doğan
bütün bebekleri doğurtan ebeydi.
											Röportajı yaptığım zaman 84 yaşındaydı.
											Ona şöyle sordum:
											“Kariyerin boyunca kaç bebek 
doğurttuğunu hatırlıyor musun?”
											Tam bir sayı veremedi.
											60.000 tane zorunlu kürtaj 
ve kısırlaştırma operasyonu
											gerçekleştirdiğini söyledi.
											Dedi ki bazen geç dönem 
fetüs kürtajdan kurtulurmuş
											ve bebeği doğduktan sonra öldürürmüş.
											Bu işi yaparken ellerinin 
nasıl da titrediğini hatırladı.
									","
											Por isso, decidi fazer
um documentário sobre isso.
											Uma das pessoas que entrevistei,
											foi a parteira que ajudou a nascer
todos os bebés na minha aldeia,
											a mim mesma, inclusive.
											Tinha 84 anos, quando a entrevistei.
											Perguntei-lhe:
											""Lembras-te quantos bebés
ajudaste a nascer, durante a tua vida?""
											Ela não tinha um número
para todos esses partos.
											Mas disse que tinha realizado
											60 000 abortos forçados
e esterilizações.
											Contou-me que, por vezes,
											um feto no fim do tempo
sobrevivia a um aborto
											e ela tinha de matar o bebé,
depois de o ajudar a nascer.
											Lembrava-se de como as suas mãos tremiam,
											ao realizar essa tarefa.
									","
											Also machte ich
eine Dokumentation darüber.
											Eine der Personen, die ich interviewte,
											war eine Hebamme, die alle Babies
unseres Dorf zu Welt gebracht hatte.
											Auch mich.
											Sie war 84 Jahre alt,
als ich sie interviewte.
											Ich fragte sie:
											""Können Sie sich erinnern, wie viele
Babies sie zu Welt gebracht haben?""
											Sie hatte keine Zahlen
für die Geburten parat,
											sie sagte, sie hat
60.000 Zwangsabtreibungen

											und Sterilisationen durchgeführt.
											Sie erzählte,
											manchmal habe ein älterer Fötus
die Abtreibung überlebt,
											dann hat sie das Baby getötet,
nachdem sie zur Welt gebracht hatte.
											Sie konnte sich an das Zittern
ihrer Hände erinnern,
											als sie diese Arbeit erledigte.
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
											Her story shocked me.
											When I set out to make the film,
											I expected it would be a simple story
of perpetrators and victims.
											People who carried out the policy
											and people who are living
with the consequences.
											But that wasn't what I saw.
									","
											Hikâyesi beni şoka uğrattı.
											Filmi yapmak için yola çıktığımda
											faillerin ve mağdurların basit 
bir hikayesi olacağını umuyordum.
											Politikayı uygulayan kişilerin
											ve sonuçlarıyla yaşayan 
insanların hikayeleri.
											Ancak benim gördüğüm bu değildi.
									","
											Aquela história chocou-me.
											Quando me decidi a fazer o filme,
											esperava que fosse uma história simples
de perpetradores e vítimas.
											As pessoas que levaram a efeito a política
											e as pessoas que viviam
com as consequências dela.
											Mas não foi isso que vi.
									","
											Ihre Geschichte schockierte mich.
											Als ich mich ans Filmen machte,
											dachte ich, ich würde auf einfache
Täter-Opfer-Geschichten stoßen.
											Menschen, die Ihre Pflicht taten
											und andere, die mit
den Konsequenzen leben mussten.
											Aber so etwas fand ich nicht.
									",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
"
","
","
","
",What it was like to grow up under China's one-child policy,Nanfu Wang,5:56,"TED Fellows,storytelling,movies,china,film,social change,culture,society"
