en,es,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
											In 1978, Louise Brown became 

											the world's first baby to be born
by in vitro fertilization, or IVF.
											Her birth revolutionized 
the field of reproductive medicine.
											Given that approximately one in eight
heterosexual couples
											has difficulty conceiving,
											and that homosexual couples
and single parents
											often need clinical help to make a baby,
											the demand for IVF has been growing.
											IVF is so common, that more than 5 million
babies have been born through this technology.
									","
											En 1978, Louise Brown se convirtió
											en la primer bebé del mundo nacida
por fertilización in vitro, o FIV.
											Su nacimiento revolucionó el campo
de la medicina reproductiva.
											Dado que cerca de 1 de cada 8
parejas heterosexuales
											tiene dificultades para concebir,
											y que las parejas homosexuales
y las familias monoparentales
											a menudo necesitan ayuda 
clínica para tener un bebé,
											la demanda de la FIV
ha ido en aumento.
											La FIV es tan común que más de 5 millones
de bebés nacieron con esta tecnología.
									","
											1978'de Louise Brown,
											tüpte döllenme ile doğan ilk bebektir.
											Onun doğumu üreme 
alanındaki bir devrimdir.
											Yaklaşık sekiz çiftten birinde 
görülen bu durum
											tasarıda zordur.
											Bu çiftlerin ve yalnız anne veya babanın
											bebek sahibi olabilmek için 
yöntemlere ihtiyacı vardır.
											Tüp bebeğe olan rağbet 
gitgide büyümektedir.
											Bu teknoloji sayesinde doğan 
5 milyondan fazla bebek bulunmaktadır.
									","
											En 1978, Louise Brown est devenue
											le premier bébé dans le monde à naître 
suite à une fertilisation in vitro ou FIV.
											Sa naissance a révolutionné 
le domaine de la médecine reproductrice.
											Etant donné qu'environ 
un couple hétérosexuel sur huit
											éprouve des difficultés à concevoir
											et que les couples homosexuels 
et parents seuls
											ont souvent besoin d'aide médicale 
pour faire un bébé,
											la demande pour la FIV est en croissance.
											La FIV est si commune 
que plus de 5 millions de bébés
											sont ainsi nés.
									","
											Em 1978, Louise Brown foi
o primeiro bebé do mundo
											a nascer por fertilização in vitro,
ou FIV.
											Este nascimento revolucionou
o campo da medicina de reprodução.
											Dado que um em cada oito
casais heterossexuais
											tem dificuldade em conceber,
											e que os casais homossexuais
e pais solteiros
											precisam de ajuda clínica
para terem um bebé,
											a procura da FIV tem vindo a aumentar.
											A FIV é tão vulgar que já nasceram
mais de cinco milhões de bebés
											por intermédio desta tecnologia.
									",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
","
","
","
","
",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
											IVF works by mimicking the brilliant
design of sexual reproduction.
											In order to understand IVF,
											we first need to take a look 
at the natural process of baby making.
											Believe it or not, 
it all starts in the brain.
											Roughly fifteen days 
before fertilization can happen,
											the anterior pituitary gland secretes
follicle stimulating hormone, FSH,
											which ripens a handful 
of follicles of the ovary
											that then release estrogen.
											Each follicle contains one egg,
											and on average, 
only one follicle becomes fully mature.
											As it grows and continues 
to release estrogen,
											this hormone not only helps coordinate
growth and preparation of the uterus,
											it also communicates to the brain
how well the follicle is developing.
											When the estrogen level is high enough,
											the anterior pituitary releases a surge
of luteinizing hormone, LH,
											which triggers ovulation
											and causes the follicle to rupture
and release the egg.
									","
											La FIV funciona imitando el brillante
diseño de la reproducción sexual.
											Para entender la FIV
											primero tenemos que analizar el
proceso natural de la concepción.
											Créase o no, todo
empieza en el cerebro.
											Unos 15 días antes de 
ocurrida la fertilización,
											la glándula pituitaria anterior segrega
la hormona folículo estimulante, FSH,
											que madura un puñado 
de folículos del ovario
											que luego liberan estrógeno.
											Cada folículo contiene un óvulo
											y, en promedio, solo un folículo
madura por completo.
											Conforme crece y sigue
liberando estrógeno,
											la hormona no solo ayuda a coordinar el
crecimiento y la preparación del útero,
											también comunica al cerebro lo bien
que el folículo se está desarrollando.
											Cuando el nivel de estrógenos
es suficientemente alto,
											la hipófisis anterior libera una 
oleada de hormona luteinizante, LH,
											que desencadena la ovulación
											y hace que se rompa
el folículo y libere el óvulo.
									","
											Tüp bebek yöntemi, cinsel üremenin 
mükemmel bir taklidi ile işe yarar.
											Tüp bebek yöntemini anlamak için
											bebek yapımının doğal 
yöntemlerine bir göz atmalıyız.
											İster inanın ister inanmayın,
herşey beyinde başlıyor.
											Aşılamadan önceki 15 gün zorlu olabilir.
											Hipofiz bezi, folikül stimule 
edici hormon (FSH) salgılar.
											Bu hormon bir avuç yumurtalık 
folikülünü olgunlaştırır
											ve böylece östrojen hormonu açığa çıkar.
											Her folikül bir yumurta içerir.
											Ortalama olarak sadece bir folikül
tamamıyla olgunlaşabilir.
											Büyürken ve bir yandan 
östrojen salgılarken
											sadece büyümeyi koordine 
edip döl yatağını hazırlamaz.
											Ayrıca folikül gelişimini iyi hale 
getirmek için beyin ile iletişim kurar.
											Östrojen seviyesi en yüksek 
seviyeye geldiği zaman
											hipofiz bezi fazlaca 
luteinizan hormon (LH) salgılar.
											Bu hormon, yumurtlamayı tetikler.
											Ayrıca folikülün patlamasına ve 
yumurtanın salınmasına neden olur.
									","
											La FIV fonctionne par imitation 
du brillant système
											de reproduction sexuée.
											Pour comprendre la FIV,
											nous devons tout d'abord observer
le processus naturel de reproduction.
											Aussi incroyable que ça puisse paraître,
tout commence dans le cerveau.
											Environ quinze jours avant 
que la fertilisation puisse avoir lieu,
											l'hypophyse antérieure sécrète l'hormone 
folliculo-stimulante, FSH
											qui mène un nombre de follicules
à maturation dans l'ovaire
											qui relâche ensuite de estrogène.
											Chaque follicule contient un ovule
et en moyenne,
											seulement un follicule 
mûrit entièrement.
											Tout en mûrissant 
et en relâchant de estrogène,
											cette hormone aide à coordonner 
la croissance
											et la préparation de l'utérus,
											ainsi qu'à communiquer au cerveau
l'état de développement du follicule.
											Quand le taux d'estrogène
est suffisamment élevé,
											l'hypophyse antérieure libère une poussée 
d'hormone lutéinisante, LH
											qui provoque l'ovulation
											et cause la rupture du follicule 
et la libération de l'ovule.
									","
											A FIV funciona imitando
o brilhante processo da reprodução sexual.
											Para perceber a IFV,
											precisamos primeiro de observar
o processo natural de fazer um bebé.
											Podem não acreditar,
mas tudo começa no cérebro.
											Uns 15 dias antes de ocorrer
uma fertilização,
											a glândula pituitária anterior segrega
a hormona folículo-estimulante, a FSH,
											que amadurece uns quantos
folículos do ovário
											que depois libertam estrogénio.
											Cada folículo contém um ovo,
											e, em média, só um folículo
atinge plena maturidade.
											À medida que cresce e continua
a libertar estrogénio,
											esta hormona ajuda a coordenar
o crescimento e a preparação do útero
											e também comunica ao cérebro
como se está a desenvolver o folículo.
											Quando o nível de estrogénio
está suficientemente alto,
											a pituitária anterior liberta
um fluxo de hormona luteinizante, LH,
											que desencadeia a ovulação
											e faz com que o folículo se rompa
e liberte o ovo.
									",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
","
","
","
","
",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
											Once the egg leaves the ovary,
											it is directed into the Fallopian tube
by the finger-like fimbriae.
											If the egg is not fertilized 
by sperm within 24 hours,
											the unfertilized egg will die,
											and the entire system will reset itself,
											preparing to create a new egg
and uterine lining the following month.
									","
											Una vez que el óvulo sale del ovario,
											se dirige a la trompa de Falopio
por las fimbrias de dedo.
											Si el óvulo no es fecundado
por el esperma en 24 horas,
											el óvulo no fecundado morirá.
											El sistema se reiniciará automáticamente
											y se dispondrá a crear un nuevo óvulo y el
revestimiento uterino del mes siguiente.
									","
											Yumurta yumurtalığı terkettiği zaman
											döl yatağı borusuna doğru yol alır.
											Eğer yumurta sperm tarafından 
24 saat içinde döllenmezse
											döllenmeyen yumurta ölür
											ve tüm sistem kendini resetler.
											Yeni bir yumurta ve gelecek aylarda 
devam edecek döl yatağı oluşumu başlar.
									","
											Une fois que l'ovule quitte l'ovaire,
											il est dirigé à l'intérieur
de la trompe utérine
											par la fimbria en forme de doigts.
											Si l'ovule n'est pas fécondé 
par le sperme dans les 24 heures,
											l'ovule non fécondé mourra,
											et le système entier se remettra à zéro,
											pour préparer un nouvel ovule 
et une muqueuse utérine
											pour le mois suivant.
									","
											Depois de o ovo sair do ovário,
											é direcionado para a trompa de Falópio
pelas fímbrias, com o aspeto de dedos.
											Se o ovo não for fertilizado
pelo esperma no prazo de 24 horas,
											o ovo não fertilizado morrerá
											e todo o sistema volta a iniciar-se,
											preparando-se para criar um novo ovo
e o revestimento uterino, no mês seguinte.
									",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
","
","
","
","
",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
											The egg is the largest cell in the body
											and is protected by a thick, 
extracellular shell of sugar
											and protein called the zona pellucida.
											The zona thwarts the entry and fusion
of more than one sperm,
											the smallest cell in the body.
									","
											El óvulo es la célula
más grande del cuerpo
											y está protegido por una gruesa
capa extracelular de azúcar
											y proteína llamada zona pelúcida.
											La zona impide la entrada y la fusión
de más de un espermatozoide,
											la célula más pequeña del cuerpo.
									","
											Yumurta vücuttaki en büyük hücredir
											ve hücre dışı kalın şeker kabuğu ve 

											zona pellusuda adındaki bir 
protein tarafından korunur.
											Zona pellusuda tüm girişlere ve 
birden fazla spermin girişine engel olur.
											Sperm, vücuttaki en küçük hücredir.
									","
											L'ovule est la plus grande 
cellule du corps
											et il est protégé par une épaisse 
coquille externe de sucre
											et de protéine nommée zone pellucide.
											La zone empêche l'entrée et la fusion
de plus d'un spermatozoïde,
											la plus petite cellule dans le corps.
									","
											O ovo é a maior célula do corpo
											e está protegido por uma espessa
camada extracelular de açúcar e proteína,
											chamada a zona pelúcida.
											Esta zona impede a entrada 
e a fusão com mais de um esperma,
											a célula mais pequena do corpo.
									",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
","
","
","
","
",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
"
											It takes a man two to three months
to make sperm,
											and the process constantly renews.
											Each ejaculation during sexual intercourse
releases more than 100 million sperm.
											But only 100 or so will ultimately
make it to the proximity of the egg,
											and only one will successfully penetrate
through the armor of the zona pellucida.
									","
											Al hombre le lleva de 2 a 3 meses
producir espermatozoides,
											y el proceso se renueva constantemente.
											Cada eyaculación en
las relaciones sexuales
											libera más de 100 millones
de espermatozoides.
											Pero solo 100 o menos, al final,
llegan a la proximidad del óvulo
											y solo uno penetrará con éxito
la armadura de la zona pelúcida.
									","
											Bir insanda sperm üretimi 
iki ile üç ay sürer
											ve bu işlem durmaksızın yenilenir.
											Cinsel ilişki sırasındaki her boşalmada 
100 milyondan fazla sperm salınır.
											Fakat sadece yaklaşık 100 tanesi 
en sonunda yumurtayla yakınlık kurabilir
											ve sadece bir tanesi zona pellusudanın 
zırhından içeri nüfuz edebilir.
									","
											Il faut deux à trois mois à un homme 
pour fabriquer du sperme
											et le processus se renouvelle en continu.
											Chaque éjaculation relâche 
plus de 100 millions de spermatozoïdes.
											Qu'une centaine se rapprochera
de l'ovule,
											et qu'un seul pénétrera à travers
l'armure de la zone pellucide.
									","
											Um homem leva dois a três meses
a produzir esperma
											e o processo está em renovação permanente.
											Cada ejaculação,
durante uma relação sexual,
											liberta mais de 100 milhões
de espermatozoides.
											Mas só uns 100 acabam
por se aproximar do ovo
											e só um conseguirá penetrar
a armadura da zona pelúcida.
									",How in vitro fertilization (IVF) works,Nassim Assefi and Brian A. Levine,6:42,"TED-Ed,human body,pregnancy,children,biology,science,animation,physiology,invention,technology"
