en,fr,es,tr,title,speaker,duration,tags
"
","
","
","
",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
											I met 273 start-up founders last year.
											And each one was looking for money.
											As a tech investor,
											my goal was to sort through
everyone that I met
											and make a quick determination
											about which ones had the potential
to make something really big.
									","
											J'ai rencontré 273 fondateurs
de start-ups l'année dernière.
											Ils cherchaient tous de l'argent.
											En tant qu'investisseuse,
											mon objectif était de trier
tous les gens rencontrés
											et déterminer rapidement
											lesquels avaient le potentiel
de créer quelque chose de grandiose.
									","
											El año pasado conocí a 273 fundadores 
de empresas emergentes.
											Y todos buscaban dinero.
											Como inversora tecnológica,
											mi objetivo fue hacer 
una selección de esas personas
											y decidir rápidamente
											cuáles tienen el potencial para crear 
algo verdaderamente grande.
									","
											Geçen yıl, iş dünyasına yeni atılmış
273 girişimci ile tanıştım.
											Her biri para arıyordu.
											Bir teknoloji yatırımcısı olarak
											hedefim; tanıştığım herkesi
sınıflandırarak
											ve hızlıca karar vererek
											hangilerinin gerçekten büyük bir şeyler
yapacak kapasitesi olduğunu anlamaktı.
									",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
","
","
","
",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
											But what makes a great founder?
											This is a question I ask myself daily.
											Some venture capitalists place bets
											based on a founder's previous background.
											Did they go to an Ivy League school?
											Have they worked at a blue-chip company?
											Have they built out a big vision before?
											Effectively, how smart is this person?
									","
											Qu'est-ce qui fait un bon fondateur ?
											C'est une question
que je me pose au quotidien.
											Certains investisseurs font des paris
											d'après les antécédents du fondateur.
											Est-il allé dans une grande école ?
											A-t-il travaillé dans une grande boîte ?
											A-t-il déjà concrétisé un grand rêve ?
											En gros, à quel point cette personne
est-elle intelligente ?
									","
											Pero ¿qué es un gran emprendedor?
											Es algo que me pregunto todos los días.
											Algunos capitalistas de riesgo apuestan
											teniendo en cuenta
los antecedentes del fundador.
											¿Fue a una universidad prestigiosa?
											¿Trabajó en alguna empresa destacada?
											¿Ha llevado a cabo alguna gran idea?
											¿En la práctica, es inteligente?
									","
											Fakat insanı harika
bir girişimci yapan şey nedir?
											Bu, kendime her gün sorduğum bir soru.
											Bazı girişim yatırımcılar,
											girişimcilerin geçmişlerine göre
para yatırırlar.
											Bir Ivy League okuluna mı gitti mi?
											Bir blue-chip şirketinde çalıştı mı?
											Büyük bir vizyon geliştirdiler mi?
											Efektif olarak ne kadar akıllı birisi?
									",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
","
","
","
",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
											Other VCs asses a founder's
emotional quotient, or EQ.
											How well will this person build teams
											and build rapport
across customers and clients?
									","
											D'autres investisseurs estiment
le quotient émotionnel d'un fondateur.
											Quelle est sa performance
à monter des équipes
											et créer des rapports avec les clients ?
									","
											Otros capitalistas de riesgo evalúan
el coeficiente emocional.
											¿Será efectivo para formar equipos
											y construir buenas relaciones
con los clientes y consumidores?
									","
											Diğer yatırımcılar, girişimcileri
duygusal yani EQ yönünden değerlendirir.
											İyi takımlar oluşturabiliyor mu?
											Yahut müşteriler ve servis alanlar
arasında uyum sağlayabiliyor mu?
									",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
","
","
","
",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
											I have a different methodology
to assess start-up founders, though,
											and it's not complicated.
											I look for signs of one specific trait.
											Not IQ, not EQ.
											It's adaptability:
											how well a person reacts
to the inevitability of change,
											and lots of it.
											That's the single most important
determinant for me.
											I subscribe to the belief
											that adaptability itself
is a form of intelligence,
											and our adaptability quotient, or AQ,
											is something that can be measured,
tested and improved.
									","
											J'ai une méthodologie différente
pour évaluer les fondateurs
											et elle n'est pas compliquée.
											Je cherche des signes
d'un trait en particulier.
											Pas le QI, pas le QE.
											C'est l'adaptabilité :
											comment cette personne réagit
face à l'inéluctabilité du changement,
											de beaucoup de changement.
											C'est le facteur déterminant
le plus important pour moi.
											Je crois que l'adaptabilité en elle-même
est une forme d'intelligence
											et notre quotient d'adaptabilité, ou QA,
											peut être mesuré, testé et amélioré.
									","
											Yo tengo una metodología diferente 
para evaluar a los fundadores,
											y no es complicada.
											Busco indicios de 
una cualidad en concreto.
											No es el coeficiente intelectual
ni el emocional.
											Es la adaptabilidad:
											cuán bien reacciona una persona
ante la inevitabilidad del cambio,
											de muchos cambios.
											Para mí ese es el factor determinante.
											Estoy de acuerdo con la creencia
											de que la adaptabilidad
es una forma de inteligencia,
											y nuestro coeficiente de adaptabilidad,
											es algo que se puede medir,
poner a prueba y mejorar.
									","
											Benim, girişimcileri değerlendirmek
için farklı bir yöntemim var.
											Ve bu karmaşık değil.
											Belirli bir kişisel özelliğin
belirtilerini arıyorum.
											IQ yahut EQ değil.
											Uyum yeteneği:
											Değişimin kaçınılmaz olduğu durumlarda
kişinin nasıl tepki verdiği
											ve daha fazlası.
											Bu, benim için en önemli belirleyici.
											Adaptasyonun bir nevi 

											zekâ formu olduğu düşüncesine tutuldum
											ve bizim adaptasyon katsayımızın,
yani AQ'muzun ölçülebilen,
											test edilebilen ve geliştirilebilen
bir şey olduğu inancına.
									",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
","
","
","
",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
"
											AQ isn't just useful
for start-up founders, however.
											I think it's increasingly
important for all of us.
											Because the world is speeding up.
											We know that the rate
of technological change is accelerating,
											which is forcing our brains to react.
											Whether you're navigating
changing job conditions
											brought on by automation,
											shifting geopolitics
in a more globalized world,
											or simply changing family dynamics
and personal relationships.
											Each of us, as individuals, groups,
											corporations and even governments
											are being forced to grapple
with more change
											than ever before in human history.
									","
											Le QA n'est pas seulement utile
aux fondateurs de start-ups.
											Je pense que c'est incroyablement
important pour tous.
											Car le monde s'accélère.
											Nous savons que le rythme du changement
technologique s'accélère,
											ce qui force notre cerveau à réagir.
											Que vous traversiez des conditions
de travail changeantes
											dues à l'automatisation,
											la géopolitique en mutation
dans un monde mondialisé
											ou simplement des dynamiques familiales
et des relations personnelles changeantes.
											Chacun d'entre nous,
en tant qu'individu, groupe,
											entreprise, et même gouvernement
											est forcé à composer
avec plus de changement
											que jamais auparavant
dans l'histoire de l'humanité.
									","
											Pero la adaptabilidad no es útil
solo para nuevos emprendedores.
											Cada vez es más importante 
para todos nosotros,
											porque el mundo se está acelerando.
											Sabemos que velocidad del cambio
tecnológico se está acelerando,
											lo que obliga nuestro 
cerebro a reaccionar.
											Ya sea que atravesemos
cambios en el trabajo
											debido a la automatización,
											cambios geopolíticos
en un mundo más globalizado,
											o simplemente cambios en la dinámica
familiar y las relaciones personales.
											Cada uno de nosotros, 
como individuos, grupos,
											corporaciones, e incluso gobiernos,
											nos vemos forzados a lidiar 
con más cambios que nunca
											en la historia humana.
									","
											AQ, sadece girişimciler için 
yararlı değildir
											bununla birlikte bence hepimiz için
giderek daha önemli hâle geliyor
											çünkü dünya hızlanıyor.
											Teknolojik değişim oranının 
hızlandığını biliyoruz,
											bu da beynimize reaksiyon
göstermesi için baskı yapıyor.
											Otomasyon tarafından gelişerek değişen
											iş koşullarına yön vermek gibi
											yahut gittikçe küreselleşen dünyada
değişken jeopolitik durumlara,
											basitçe değişen aile dinamiklerine
ve kişisel ilişkilere uyum sağlamak gibi.
											Bireyler, gruplar,
											şirketler ve hatta hükûmetler 
yani her birimiz
											insanlık tarihinde her zamankinden 
daha fazla bir şekilde
											değişimle uğraşmaya zorlanıyoruz.
									",3 ways to measure your adaptability — and how to improve it,Natalie Fratto,6:31,"start-up,leadership,business,entrepreneur,investment,intelligence,personal growth"
