pt,tr,en,fr,title,speaker,duration,tags
"
","
","
","
","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
											Ciência.
											A ciência permitiu-nos conhecer tanto
											sobre os confins do universo,
											o que, ao mesmo tempo, 
é tremendamente importante
											e extremamente remoto,
											e ainda assim, muito mais próximas,
											muito mais relacionadas diretamente connosco,
											há muitas coisas que não compreendemos.
											E uma delas é a extraordinária
											complexidade social dos animais em nosso redor,
											e hoje eu quero contar-vos algumas histórias
											sobre a complexidade animal.
									","
											Bilim,
											bilim evrenin uzak ufukları hakkında
											birçok şey bilmemizi sağlarken
											aynı anda hem çok büyük bir öneme sahip
											ve bize çok uzak olan,
											fakat aynı zamanda çok daha yakın
											ve bizimle çok daha yakından ilgili
											pek anlamadığımız birçok şey var.
											Bunlardan biri çevremizdeki hayvanların
											olağanüstü sosyal karmaşıklığıdır
											ve bugün size hayvanların karmaşıklıkları
											hakkında birkaç şey anlatmak istiyorum.
									","
											Science,
											science has allowed us to know so much
											about the far reaches of the universe,
											which is at the same time tremendously important
											and extremely remote,
											and yet much, much closer,
											much more directly related to us,
											there are many things we don't really understand.
											And one of them is the extraordinary
											social complexity of the animals around us,
											and today I want to tell you a few stories
											of animal complexity.
									","
											La science,
											la science nous a permis 
de savoir tant de choses
											sur les immensités de l'univers,
											ce qui est à la fois 
incroyablement important,
											et extrêmement lointain,
et pourtant, bien plus proche de nous,
											bien plus directement lié à nous,
											il y a de nombreuses choses
que nous ne comprenons pas.
											Une de ces choses est 
l'extraordinaire
											complexité sociale
des animaux autour de nous
											et aujourd'hui, je veux vous raconter
quelques histoires
											sur la complexité animale.
									","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
","
","
","
","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
											Em primeiro lugar, a que chamamos complexidade?
											O que é complexo?
											Bem, complexo não significa complicado.
											Algo complicado envolve muitas partes pequenas,
											diferentes entre si, e cada uma delas
											tem o seu papel preciso no mecanismo.
											Por outro lado, um sistema complexo
											é feito de muitas partes semelhantes,
											e é a sua interação
											que produz um comportamento 
globalmente coerente.
											Sistemas complexos têm muitas partes interagentes
											que se comportam segundo regras simples, 
individuais
											e isto resulta em propriedades emergentes.
											O comportamento do sistema como um todo
											não pode ser previsto
											usando apenas as regras individuais.
											Como Aristóteles escreveu,
											O todo é maior que a soma das suas partes.
											Mas de Aristóteles, vamos partir para
											um exemplo concreto de sistemas complexos.
									","
											Fakat önce, karmaşıklığı nasıl tanımlarız?
											Karmaşık nedir?
											Karmaşık, karışık değildir.
											Karışık bir şey hepsi birbirinden farklı
											birçok küçük parçadan oluşur ve hepsi de
											sistem içerisinde kendi özel rolüne sahiptir.
											Buna karşılık, karmaşık bir sistem
											birbirine benzeyen birçok küçük parçadan meydana gelir
											ve çevreyle uyumlu davranışı ortaya çıkaran
											bu parçaların birbiriyle etkileşimidir.
											Karmaşık sistemler basit, kendine özgü kurallara göre
											hareket eden birçok etkileşimli parça barındırır
											ve bu yeni özellikler doğurur.
											Sistemin bir bütün olarak işleyişi
											birbirinden bağımsız
											kurallara bakarak öngörülemez.
											Aristo'nun dediği gibi:
											Bütün, parçaların toplamından fazlasıdır.
											Fakat Aristo'yu bir kenara bırakıp,
											karmaşık sistemlere daha somut bir örnek verelim.
									","
											But first, what do we call complexity?
											What is complex?
											Well, complex is not complicated.
											Something complicated comprises many small parts,
											all different, and each of them
											has its own precise role in the machinery.
											On the opposite, a complex system
											is made of many, many similar parts,
											and it is their interaction
											that produces a globally coherent behavior.
											Complex systems have many interacting parts
											which behave according to simple, individual rules,
											and this results in emergent properties.
											The behavior of the system as a whole
											cannot be predicted
											from the individual rules only.
											As Aristotle wrote,
											the whole is greater than the sum of its parts.
											But from Aristotle, let's move onto
											a more concrete example of complex systems.
									","
											Mais d'abord, 
qu'est-ce que la complexité ?
											Que veut dire complexe ?
											Eh bien, complexe n'est pas 
la même chose que compliqué.
											Quelque chose de compliqué 
se compose
											plusieurs petites parties,
toutes différentes,
											et chacune d'entre elles joue un rôle 
bien précis au sein du mécanisme.
											A l'inverse, un système complexe
											est composé de nombreuses parties
toutes similaires,
											et c'est leur interaction
											qui produit un comportement
globalement cohérent.
											Les systèmes complexes ont 
de nombreuses parties en interaction
											qui se comportent selon des règles
simples et individuelles,
											et ça donne naissance à
des nouvelles propriétés.
											Le comportement du système
comme ensemble
											ne peut être prévu à partir 
des seules règles individuelles.
											Aristote a écrit : le tout est plus
que la somme des parties.
											Mais passons d'Aristote
											à un exemple plus concret
de systèmes complexes.
									","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
","
","
","
","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
											Estes são Terriers escoceses.
											No princípio, o sistema está desorganizado.
											Então, surge uma perturbação: leite.
											Todos os indivíduos começam a empurrar 
numa direção
											e é isto que acontece.
											Este moinho é uma propriedade emergente
											das interações entre os cachorrinhos
											cuja única regra é tentar manter acesso ao leite
											e, como tal, empurrar numa direção aleatória.
									","
											Bunlar İskoç Teriyerleri.
											Başlangıçta, organize bir sistemleri yoktu.
											Sonra, bir dış faktör geliyor: süt.
											Her birey diğerini bir yönde ittirmeye başlıyor
											ve ortaya bu çıkıyor.
											Sonradan ortaya çıkan bu fırıldak hareketi
											yavrular arasında, tek amacı süte erişimi
											sürekli tutmaya çalışmak olan, bu sebepten
											rastgele bir yönde ittirmeye yol açan bir özellik.
									","
											These are Scottish terriers.
											In the beginning, the system is disorganized.
											Then comes a perturbation: milk.
											Every individual starts pushing in one direction
											and this is what happens.
											The pinwheel is an emergent property
											of the interactions between puppies
											whose only rule is to try to keep access to the milk
											and therefore to push in a random direction.
									","
											Voici des Scottish terriers.
											Au début, 
leur système est désorganisé.
											Puis vient l'élément perturbateur : 
du lait.
											Chaque individu commence à
pousser dans une direction
											et voici ce qui arrive.
											Le moulin à vent est une
nouvelle propriété
											des interactions entre ces chiots
											dont la seule règle est d'essayer
d'atteindre le lait
											et donc de pousser
dans une direction aléatoire.
									","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
","
","
","
","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
											Logo, temos de encontrar as regras simples
											das quais surge a complexidade.
											Eu chamo a isto simplificar a complexidade,
											e é o que fazemos na cadeira de 
""Design"" de Sistemas
											no Instituto Federal de Tecnologia de Zurique.
											Colecionamos informação de populações animais,
											analisamos padrões complexos, 
procuramos explicá-los.
											Isso requer físicos que trabalhem com biólogos,
											com matemáticos e cientistas informáticos,
											e é nas suas interações que se produzem
											competências além-fronteiras
											para resolver estes problemas.
											Logo, de novo, o todo é maior
											do que a soma das suas partes.
											De certa forma, colaboração
											é outro exemplo de sistema complexo.
									","
											Yani, olay sadece karmaşıklığa yol açan
											basit kuralları bulabilmekte.
											Ben buna karmaşıklığı basitleştirmek diyorum
											ve ETH Zurich Sistem Dizaynı bölümünde
											yaptığımız şey bu,
											hayvan toplulukları hakkında veriler topluyoruz,
											karmaşık motifleri analiz ediyoruz ve onları açıklamaya çalışıyoruz.
											Biyologlar, matematikçiler
											ve bilgisayar bilimcileriyle çalışan fizikçilerin
											ve onlar arasındaki etkileşimin
											birleşimiyle
											çözüme ulaşmak mümkün oluyor.
											Ve yine, bütün,
											parçaların toplamından fazlası.
											Bir açıdan, işbirliği de
											karmaşık sisteme başka bir örnektir.
									","
											So it's all about finding the simple rules
											from which complexity emerges.
											I call this simplifying complexity,
											and it's what we do at the chair of systems design
											at ETH Zurich.
											We collect data on animal populations,
											analyze complex patterns, try to explain them.
											It requires physicists who work with biologists,
											with mathematicians and computer scientists,
											and it is their interaction that produces
											cross-boundary competence
											to solve these problems.
											So again, the whole is greater
											than the sum of the parts.
											In a way, collaboration
											is another example of a complex system.
									","
											Il s'agit donc de trouver 
les règles simples
											dont émerge la complexité.
											C'est ce que j'appelle 
« simplifier la complexité. »
											Et c'est ce que nous faisons à l’École
Polytechnique Fédérale de Zurich.
											Nous recueillons des données 
sur des populations d'animaux
											et nous analysons des schémas complexes
pour essayer de les expliquer.
											Ça implique des physiciens travaillant 
avec des biologistes,
											des mathématiciens 
et des informaticiens,
											et c'est leur interaction qui crée 
une compétence transverse
											pour résoudre ces problèmes.
											Une fois encore, le tout est plus que
la somme des parties.
											D'une certaine façon, 
la collaboration
											est un autre exemple 
de système complexe.
									","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
","
","
","
","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
"
											E vocês provavelmente perguntam-se
											de que lado estou eu, biologia ou física?
											Na verdade, é um pouco diferente,
											e para me explicar, preciso de vos contar
											uma pequena história sobre mim.
											Quando eu era uma criança,
											eu adorava construir coisas, e criar 
máquinas complicadas.
											Portanto, dediquei-me ao estudo da 
engenharia eletrotécnica
											e robótica,
											e o meu projeto final
											consistia em construir um robô chamado ER-1
											— que era assim —
											para recolher informação do seu ambiente
											e seguir uma linha branca no chão.
											Era muito, muito complicado,
											Mas funcionou lindamente na nossa sala de testes,
											e no dia da demonstração, os Professores 
reuniram-se para avaliar o projeto.
											Nós levámos o ER-1 para a sala de testes.
											Descobrimos que a luz naquela sala
											estava ligeiramente diferente.
											O sistema de visão do robô ficou confuso.
											À primeira curva na linha,
											abandonou o trajeto e foi contra uma parede.
											Nós tínhamos passado semanas a construí-lo,
											e o que bastou para o destruir
											foi uma alteração ligeira na cor da luz
											daquela sala.
											Foi aí que eu percebi que
											quanto mais complicada se constrói 
uma máquina,
											mais provável é que ela falhe
											devido a algo completamente inesperado.
											E eu decidi que, de facto,
											não queria construir mais nada complicado.
											Eu queria compreender a complexidade,
											a complexidade do mundo à nossa volta
											e especialmente no reino animal.
									","
											Belki soruyorsunuzdur,
											ben ne taraftayım, biyoloji mi fizik mi?
											Aslında, bu biraz farklı
											ve açıklamak için size kendimle ilgili
											kısa bir hikaye anlatacağım.
											Ben çocukken,
											birşeyler yapmaya, karmaşık makineler üretmeye bayılırdım.
											Bu yüzden elektrik mühendisliği
											ve robotik okumaya başladım.
											Master projem
											ER-1 adında bir robot yapmaktı.
											Böyle görünen,
											çevreden bilgi toplayarak
											yerdeki beyaz bir çizgiyi takip eden bir robot.
											Bu oldukça karışıktı
											fakat test odamızda oldukça güzel bir şekilde çalıştı.
											Ve gösterim gününde profesörlerin projeye not vermesi için
											ER-1'i değerlendirme odasına soktuk.
											Sonradan anlaşıldı ki odadaki ışık
											normalde olduğundan biraz farklıymış.
											Robotun görüş sistemi şaşırmıştı.
											çizgideki ilk dönüşte
											robot yoldan çıktı ve duvara çarptı.
											Robotu yapmak için haftalarımızı harcamamıza rağmen
											odadaki ışığın rengindeki
											ufak bir değişim onu bozmaya
											yetti.
											O zaman anladım ki
											bir makineyi ne kadar karmaşık yaparsanız
											tamamen beklenmeyen bir sebepten dolayı
											başarısız olma ihtimali o kadar artar.
											Ve aslında karmaşık bir şeyler
											yapmak istemediğime karar verdim.
											Karmaşıklığı anlamak istiyordum.
											Çevremizdeki ve özellikle de
											hayvanlar alemindeki karmaşıklığı.
									","
											And you may be asking yourself
											which side I'm on, biology or physics?
											In fact, it's a little different,
											and to explain, I need to tell you
											a short story about myself.
											When I was a child,
											I loved to build stuff, to
create complicated machines.
											So I set out to study electrical engineering
											and robotics,
											and my end-of-studies project
											was about building a robot called ER-1 —
											it looked like this—
											that would collect information from its environment
											and proceed to follow a white line on the ground.
											It was very, very complicated,
											but it worked beautifully in our test room,
											and on demo day, professors had 
assembled to grade the project.
											So we took ER-1 to the evaluation room.
											It turned out, the light in that room
											was slightly different.
											The robot's vision system got confused.
											At the first bend in the line,
											it left its course, and crashed into a wall.
											We had spent weeks building it,
											and all it took to destroy it
											was a subtle change in the color of the light
											in the room.
											That's when I realized that
											the more complicated you make a machine,
											the more likely that it will fail
											due to something absolutely unexpected.
											And I decided that, in fact,
											I didn't really want to create complicated stuff.
											I wanted to understand complexity,
											the complexity of the world around us
											and especially in the animal kingdom.
									","
											Vous vous demandez peut-être
où je me situe :
											la biologie ou la physique ?
											En fait, c'est un peu différent.
											Pour vous l'expliquer, je dois passer par
une petite histoire sur moi-même.
											Quand j'étais enfant,
j'adorais construire,
											créer des machines compliquées.
											J'ai donc entrepris des études 
d'ingénierie électrique et de robotique.
											Mon projet de fin d'étude
											était la construction d'un robot, le ER-1,
											qui ressemblait à ça,
											qui recueillerait des informations
à partir de son environnement
											et suivrait une ligne blanche
sur le sol.
											C'était très, très compliqué,
											mais il fonctionnait à merveille
dans notre labo.
											Et le jour de la démonstration, 
les professeurs se sont réunis
											pour évaluer le projet.
											Nous avons donc apporté ER-1
dans la salle d'évaluation,
											il s'est avéré que la lumière 
dans cette salle
											était légèrement différente.
											Le système de vision du robot
était perturbé.
											Dès le premier virage, 
il a quitté sa trajectoire
											et s'est écrasé contre un mur.
											Nous avions passé des semaines
à le construire,
											et il a suffi d'un léger changement 
dans la couleur
											de la lumière de la salle
pour le détruire.
											C'est alors que j'ai réalisé que 
plus on fabrique une machine compliquée,
											plus il est probable qu'elle échouera
à cause d'imprévus.
											Et j'ai décidé qu'en fait,
je ne voulais pas vraiment
											construire des choses compliquées.
											Je voulais comprendre la complexité.

											La complexité du monde 
qui nous entoure,
											et en particulier dans le monde animal,
											ce qui nous amène aux chauves-souris.
									","Puppies! Now that I’ve got your attention, complexity theory",Nicolas Perony,13:45,"TEDx,animals,complexity"
