en,pt,tr,fr,de,es,title,speaker,duration,tags
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											What are you doing on this stage
											in front of all these people?
									","
											O que é que estás a fazer neste palco
											em frente de todas estas pessoas?
									","
											Sahnede, tüm bu insanların önünde
											ne yapıyorsun?
									","
											Qu'est-ce que tu fais sur cette scène
											devant tous ces gens ?
									","
											Was tust du auf dieser Bühne
											vor all diesen Leuten?
									","
											¿Qué estás haciendo en este escenario
											frente a todas estas personas?
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risas)
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											Run!
									","
											Foge!
									","
											Kaç!
									","
											Cours !
									","
											Lauf weg!
									","
											¡Corre!
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risas)
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											Run now.
									","
											Foge já!
									","
											Kaç hemen.
									","
											Cours maintenant.
									","
											Lauf jetzt weg.
									","
											Corre ahora.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											That's the voice of my anxiety talking.
											Even when there's absolutely
nothing wrong,
											I sometimes get
this overwhelming sense of doom,
											like danger is lurking
just around the corner.
									","
											Esta é a voz da minha ansiedade a falar.
											Mesmo quando não há nada de errado,
											por vezes tenho esta esmagadora
sensação de condenação,
											como se o perigo estivesse
à espreita a um canto.
									","
											Bu, endişemin bana ikazıydı.
											Yanlış hiçbir şey olmasa da,
											Bazen tehlike yanı başımda
dolaşıyormuşcasına,
											bu yoğun hissi yaşıyorum.
									","
											C'est la voix de mon anxiété qui parle.
											Même s'il y a absolument rien de mal.
											Je ressens quelquefois
ce sentiment de malheur,
											comme si le danger me guettait
au coin de la rue.
									","
											Da spricht die Stimme meiner Angst.
											Auch wenn absolut nichts falsch läuft,
											bekomme ich manchmal dieses
überwältigende Gefühl von Unheil,
											als lauerte die Gefahr nur um die Ecke.
									","
											Esa es la voz de mi ansiedad.
											Incluso si no hay absolutamente nada malo,
											a veces tengo esa abrumadora 
sensación de fatalidad,
											como si el peligro acechara 
a la vuelta de la esquina.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
											You see, a few years ago,
											I was diagnosed with generalized anxiety
											and depression —
											two conditions that often go hand in hand.
											Now, there was a time
I wouldn't have told anybody,
											especially not in front of a big audience.
											As a black woman,
											I've had to develop
extraordinary resilience to succeed.
											And like most people in my community,
											I had the misconception that depression
was a sign of weakness,
											a character flaw.
											But I wasn't weak;
											I was a high achiever.
											I'd earned a Master's degree
in Media Studies
											and had a string of high-profile jobs
in the film and television industries.
											I'd even won two Emmy Awards
for my hard work.
											Sure, I was totally spent,
											I lacked interest in things
I used to enjoy,
											barely ate,
											struggled with insomnia
											and felt isolated and depleted.
											But depressed?
											No, not me.
									","
											É que, aqui há uns anos,
											fui diagnosticada com
Ansiedade Generalizada
											e Depressão:
											duas doenças que andam muitas 
vezes de mãos dadas.
											Houve um tempo em que eu 
não o diria a ninguém,
											muito menos em frente
de um grande público.
											Como mulher negra,
											tive de desenvolver uma resiliência 
extraordinária para ser bem-sucedida.
											E como tantos outros da minha comunidade,
											tinha a ideia errada de que a depressão 
era um sinal de fraqueza,
											um defeito de carácter.
											Mas eu não era fraca;
											eu era bem-sucedida.
											Tinha um mestrado em Estudos dos ""Media""
											e tinha uma série de altos cargos
na indústria da televisão e do cinema.
											Até ganhei dois Prémios Emmy
pelo meu enorme esforço.
											Sim, estava completamente gasta,
											não tinha interesse nas coisas 
de que costumava gostar,
											mal comia,
											sofria de insónias
											e sentia-me isolada e esgotada.
											Mas deprimida?
											Não, eu cá não.
									","
											Birkaç yıl önce,
											birbirinden ayrı düşünülmeyen
											yaygın anksiyete
											ve depresyon teşhisi konuldu.
											Pekâlâ, kimseye, özellikle geniş kitleye
											bahsetmediğim bir şeyden
bahsetmenin vakti geldi.
											Siyahi bir kadın olarak,
											başarılı olabilmek için
olağanüstü bir çaba sarf etmeliydim.
											Toplumumdaki çoğu insan gibi,
											benim de depresyonun
zayıflık, karakter kusuru
											olduğuna dair inancım vardı.
											Fakat ben zayıf değildim;
											üstün başarılıydım.
											Medya üzerine yüksek lisansım,
											film ve televizyon sektörlerinde
üst düzey iş geçmişim vardı.
											Yoğun çabalarım sayesinde
2 Emmy Ödülü bile kazanmıştım.
											Tabii bitap bir haldeydim,
											eskiden sevdiğim şeylere ilgim azalmış,
											iştahım yok denecek seviyedeydi,
											uykusuzlukla boğuştum
											ve yalnız ve bitkin hissettim.
											Ama depresif?
											Sanmam, ben değil.
									","
											Vous voyez, il y a quelques années,
											on m'a diagnostiquée 
une anxiété généralisée
											et une dépression —
											deux conditions qui souvent vont de pair.
											Il fut un temps
où je ne l'aurais dit à personne,
											surtout pas devant un grand public.
											En tant que femme noire,
											j'ai dû développer une force
extraordinaire pour réussir.
											Comme la plupart des gens
de ma communauté,
											j'avais cette idée fausse que
la dépression était signe de faiblesse,
											un défaut de caractère.
											Mais je n'étais pas faible ;
											je connaissais un grand succès.
											J'ai obtenu un Master
en Etude des médias
											et avais une série d'emplois à haut niveau
dans les industries du ciné et de la télé.
											J'ai même remporté deux Emmy Awards
pour mon travail.
											Bien évidemment, j'étais déprimée,
											je ne m'intéressais plus aux mêmes choses,
											mangeais à peine,
											je souffrais d'insomnie
											et me sentais seule et épuisée.
											Mais faire une dépression ?
											Non, pas moi.
									","
											Wissen Sie, vor einigen Jahren
											diagnostizierte man bei mir
eine generalisierte Angststörung
											und Depression —
											zwei Erkrankungen,
die oft Hand in Hand gehen.
											Früher hätte ich es niemandem erzählt,
											besonders nicht vor einem großen Publikum.
											Als schwarze Frau
											musste ich besondere Belastbarkeit
entwickeln, um Erfolg zu haben.
											Wie viele Menschen meiner Gemeinschaft
											erlag ich dem Fehlglauben,
Depression sei ein Zeichen von Schwäche,
											eine Charakterschwäche.
											Aber ich war nicht schwach;
											ich war eine Überfliegerin.
											Ich hatte einen Abschluss
in Medienwissenschaften
											und eine Reihe von wichtige Positionen
in der Film- und Fernsehbranche inne.
											Ich hatte für meine harte Arbeit
sogar zwei Emmys gewonnen.
											Klar, ich war total ausgelaugt,
											hatte keine Interesse an Dingen,
die ich vorher gemocht hatte,
											ich aß kaum,
											kämpfte mit Schlaflosigkeit
											und fühlte mich isoliert und erschöpft.
											Aber depressiv?
											Nein, nicht ich.
									","
											Saben, hace unos años
											me diagnosticaron ansiedad generalizada
											y depresión.
											Dos condiciones que a menudo 
van de la mano.
											Hubo un tiempo que 
no se lo habría dicho a nadie,
											especialmente ante una gran audiencia.
											Como mujer negra,
											tuve que desarrollar una capacidad de 
resiliencia notable para tener éxito.
											Y, como la mayoría de las 
personas en mi comunidad,
											tenía el falso concepto de que 
la depresión era un signo de debilidad,
											un defecto de carácter.
											Pero no era débil,
											era una gran triunfadora.
											Obtuve una maestría en Estudios de Medios
											y experiencia en trabajos de alto perfil 
en la industria del cine y la televisión.
											Incluso había ganado dos Premios Emmy 
por mi arduo trabajo.
											Claro, estaba totalmente agotada,
											me faltaba interés por las cosas 
que solía disfrutar,
											apenas comía,
											luchaba contra el insomnio
											y me sentía aislada y exhausta.
											Pero, ¿deprimida?
											No, yo no.
									",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
"
","
","
","
","
","
",Don't suffer from your depression in silence,Nikki Webber Allen,6:35,"activism,community,depression,TED Residency,identity,illness,personal growth,race,social change,mental health"
