tr,fr,en,es,title,speaker,duration,tags
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Gece gökyüzünde
yıldızlara baktığınızda
											görebildiğiniz inanılmazdır.

											Güzeldir.
											Ancak daha da inanılmaz
olan göremediğiniz şeylerdir
											çünkü artık biliyoruz ki
											her yıldızın ya da
neredeyse her yıldızın
											çevresinde bir ya da
											birkaç gezegen bulunuyor.
									","
											La nuit, quand vous regardez les étoiles,
											ce que vous voyez
est extraordinaire, magnifique.
											Ce que vous ne voyez pas
est encore plus extraordinaire
											car nous savons aujourd'hui
											qu'autour de toutes les étoiles
ou de presque toutes,
											il y a une planète
											ou probablement plusieurs.
									","
											So when you look out
at the stars at night,
											it's amazing what you can see.
											It's beautiful.
											But what's more amazing
is what you can't see,
											because what we know now
											is that around every star
or almost every star,
											there's a planet,
											or probably a few.
									","
											Al mirar las estrellas en la noche,
											es increíble lo que se ve.
											Es hermoso.
											Pero lo más increíble 
es lo que no se puede ver,
											porque lo que sabemos ahora
											es que alrededor de cada estrella
o de casi toda estrella,
											hay un planeta,
											o quizá varios.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Yani bu resmin göstermediği şey
											uzayda varlığını bildiğimiz
											bütün gezegenler.
											Ancak gezegenleri düşündüğümüzde,
çok uzaklardaki şeyleri düşünürüz
											kendi gezegenimizden farklı olanları.
											Anca biz de bir gezegendeyiz
											ve Dünya hakkında o kadar
çok inanılmaz şey var ki
											benzerini bulmak için çok
uzak ve enginlere bakıyoruz.

											Ve araştırdıkça da
şahane şeyler buluyoruz.
											Ama ben size Dünya'da olan
şahane bir şeyi anlatmak istiyorum.
											Bu da her dakika
											180 kilo hidrojen
											ve neredeyse üç kilo helyumun
											Dünya'dan uzaya kaçması.
											Ve bu gaz çıkıyor ve
asla geri gelmiyor.
											Hidrojen, helyum ve bir çok şey
											Dünya'nın atmosferi olarak
bilinen şeyi oluşturuyor.
											Atmosfer sadece bu ince
mavi çizgiyi oluşturan gazlar,
											burada Uluslararası Uzay
İstasyonu'ndan
											astronotların çektiği
fotoğrafta görünüyor.
											Gezegenimizin çevresindeki
bu incecik kisve
											hayatın gelişmesini sağlayan şey.
											Gezegenimizi çok fazla
çarpışma, meteor
											ve benzerlerinden koruyor.
											O kadar şahane bir görüngü ki
											kayboluyor olduğu gerçeği
											bir nebze de olsa
sizi korkutmalı.
									","
											Ce que cette image ne vous montre pas,
											ce sont toutes les planètes
que nous connaissons dans l'espace.
											Quand nous pensons à des planètes,
nous les imaginons lointaines
											et très différentes de la nôtre.
											Mais nous sommes sur une planète
											et il y a tant de choses
extraordinaires à propos de la Terre
											que nous cherchons partout
pour trouver de telles choses.
											Et, ce faisant, nous trouvons
des choses extraordinaires.
											Mais je veux vous parler
d'une chose extraordinaire sur Terre.
											A chaque minute,
											200 kg d'hydrogène
											et près de 3,5 kg d'hélium
											s'échappent de la Terre
et vont dans l'espace.
											C'est du gaz qui s'en va
et ne revient jamais.
											L'hydrogène, l'hélium
et beaucoup d'autres choses,
											font partie de ce que l'on appelle
l'atmosphère de la Terre.
											L'atmosphère, ce ne sont
que des gaz formant une fine ligne bleue
											qui est vue ici depuis
la Station spatiale internationale,
											une photo prise par des astronautes.
											Ce revêtement ténu autour de notre planète
											est ce qui permet la vie.
											Il protège notre planète
des impacts trop nombreux,
											des météorites et autres.
											C'est un phénomène si extraordinaire
											que le fait qu'il soit
en train de disparaître
											devrait nous effrayer,
au moins un petit peu.
									","
											So what this picture isn't showing you
											are all the planets that we know about
											out there in space.
											But when we think about planets,
we tend to think of faraway things
											that are very different from our own.
											But here we are on a planet,
											and there are so many things
that are amazing about Earth
											that we're searching far and wide
to find things that are like that.
											And when we're searching,
we're finding amazing things.
											But I want to tell you
about an amazing thing here on Earth.
											And that is that every minute,
											400 pounds of hydrogen
											and almost seven pounds of helium
											escape from Earth into space.
											And this is gas that is going off
and never coming back.
											So hydrogen, helium and many other things
											make up what's known
as the Earth's atmosphere.
											The atmosphere is just these gases
that form a thin blue line
											that's seen here from
the International Space Station,
											a photograph that some astronauts took.
											And this tenuous veneer around our planet
											is what allows life to flourish.
											It protects our planet
from too many impacts,
											from meteorites and the like.
											And it's such an amazing phenomenon
											that the fact that it's disappearing
											should frighten you,
at least a little bit.
									","
											Lo que esta foto no muestra
											son los planetas que conocemos
											en el espacio.
											Pero al pensar en los planetas,
solemos pensar en cosas lejanas
											muy diferentes de las nuestras.
											Pero aquí estamos en un planeta,
											y hay tantas cosas increíbles 
en la Tierra
											que estamos buscando arduamente
para encontrar cosas así.
											Y al buscar, encontramos cosas asombrosas.
											Pero quiero contarles 
algo increíble de la Tierra.
											Y es que cada minuto,
											180 kilos de hidrógeno
											y unos 3 kilos de helio
											emite la Tierra al espacio.
											Es gas que se fuga y nunca vuelve.
											El hidrógeno, el helio 
y muchas otras cosas
											componen lo que se conoce
como atmósfera terrestre.
											La atmósfera son esos gases 
que forman la delgada línea azul
											que se ve desde la 
Estación Espacial Internacional,
											una foto que algunos astronautas tomaron.
											Y esta tenue capa alrededor del planeta
											permite que la vida florezca.
											Protege al planeta de muchos impactos
											de meteoritos y cosas así.
											Y es un fenómeno tan asombroso
											que el hecho de que desaparezca
											debería asustarlos, al menos un poco.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											Benim incelediğim şey de bu süreç
											ve buna atmosferik kaçış deniyor.
											Atmosferik kaçış sadece
Dünya gezegenine özgü değil.
											Bana sorarsanız gezegen
olmanın bir parçası bu
											çünkü sadece Dünya değil
evrendeki bütün gezegenler
											atmosferik kaçış yaşayabilir.
											Bunun gerçekleşme şekli de
gezegenler hakkında çok şey söylüyor.
											Çünkü güneş sistemini düşündüğünüzde
											bu resmi düşünebilirsiniz.
											Ve sekiz ya da dokuz gezegen
olduğunu söyleyebilirsiniz.
											Bu resme tahammül edemeyenler,
											sizin için birini ekleyeceğim.
									","
											J'étudie ce processus,
											appelé « échappement atmosphérique ».
											L'échappement atmosphérique
n'est pas propre à la planète Terre.
											Il est inhérent à la nature
des planètes, à mon avis,
											car les planètes, pas uniquement sur Terre
mais à travers l'univers,
											peuvent subir
un échappement atmosphérique.
											Souvent, la façon dont cela se produit
nous informe sur les planètes.
											Car, en pensant au système solaire,
											vous pensez peut-être à cette image.
											Et vous diriez qu'il y a
huit planètes, peut-être neuf.
											Pour ceux d'entre vous
que cette image stresse,
											je vais la compléter.
									","
											So this process is something that I study
											and it's called atmospheric escape.
											So atmospheric escape
is not specific to planet Earth.
											It's part of what it means
to be a planet, if you ask me,
											because planets, not just here on Earth
but throughout the universe,
											can undergo atmospheric escape.
											And the way it happens actually tells us
about planets themselves.
											Because when you think
about the solar system,
											you might think about this picture here.
											And you would say, well,
there are eight planets, maybe nine.
											So for those of you
who are stressed by this picture,
											I will add somebody for you.
									","
											Así que estudio este proceso
											llamado fuga atmosférica.
											La fuga atmosférica no es 
específica del planeta Tierra.
											Es parte de lo que significa
ser un planeta, si me preguntan,
											porque los planetas, no solo la Tierra
sino en todo el universo,
											pueden sobrellevar fugas atmosféricas.
											Y la forma en que eso ocurre nos habla 
realmente de los propios planetas.
											Porque si pensamos en el sistema solar,
											podríamos pensar en esta imagen.
											Y diríamos, bueno, 
hay ocho planetas, quizá nueve.
											Para quienes estén estresados
por esta imagen,
											añadiré algo para Uds.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											(Gülüşmeler)
									","
											(Rires)
									","
											(Laughter)
									","
											(Risas)
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
","
","
","
",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
"
											New Horizons izniyle,
Pluto'yu ekliyoruz.
											Buradaki şey şu ki
											bu konuşma ve atmosferik
kaçışı açıklamak için
											Pluto benim aklımda bir gezegen,
											yıldızların çevresinde
göremediğimiz gezegenlerin de
											gezegen olması gibi.
											Gezegenlerin temel niteliği
											onların yer çekimi tarafından
											bir arada tutulan kitleler olduğudur.
											Yani bu çekici kuvvet tarafından
bir arada tutulan
											bir çok metaldir.
											Bu kitleler oldukça büyük
ve yüksek çekime sahipler.
											Yuvarlak olmaları bu yüzden.
											Bütün bunlara baktığınızda
											Pluto da dahil
											hepsi yuvarlak.
									","
											Avec l'autorisation de New Horizons,
nous incluons Pluton.
											Le fait est que pour cette présentation
et en termes d'échappement atmosphérique,
											Pluton est une planète pour moi
											et les planètes que nous ne voyons pas
qui sont autour d'autres étoiles
											sont aussi des planètes.
											Les caractéristiques
fondamentales des planètes
											incluent le fait que ce sont des corps
											que la gravité maintient ensemble.
											C'est beaucoup de matière
agrégée par cette force d'attraction.
											Ces corps sont si gros
et ont tellement de gravité.
											C'est pourquoi ils sont ronds.
											Quand vous les regardez,
											même Pluton,
											ils sont ronds.
									","
											Courtesy of New Horizons,
we're including Pluto.
											And the thing here is,
											for the purposes of this talk
and atmospheric escape,
											Pluto is a planet in my mind,
											in the same way that planets
around other stars that we can't see
											are also planets.
											So fundamental characteristics of planets
											include the fact that they are bodies
											that are bound together by gravity.
											So it's a lot of material
just stuck together
											with this attractive force.
											And these bodies are so big
and have so much gravity.
											That's why they're round.
											So when you look at all of these,
											including Pluto,
											they're round.
									","
											Cortesía de Nuevos Horizontes,
incluimos a Plutón.
											Y esto de aquí,
											a fines de esta charla
y de la fuga atmosférica,
											Plutón es un planeta en mi mente,
											al igual que los planetas que orbitan
otras estrellas que no podemos ver
											también son planetas.
											Una de las características 
fundamentales de los planetas
											es que son cuerpos
											unidos por la gravedad.
											Mucho material unido
											por esta fuerza que atrae.
											Y estos cuerpos son muy grandes
y tienen mucha gravedad.
											Por eso son redondos.
											Por eso al mirarlos,
											incluso Plutón,
											son redondos.
									",Why Earth may someday look like Mars,Anjali Tripathi,11:55,"biosphere,environment,future,rocket science,Mars,science,solar system,technology,TEDx,universe,Planets,astronomy,astrobiology"
