en,pt,es,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											What does it mean to be a witness?
											Why is it important to bear witness
											to people's suffering,
											especially when those people
are isolated from us?
											And what happens when we turn away?
									","
											O que significa ser uma testemunha?
											Porque é que é importante
prestar testemunho
											do sofrimento das pessoas,
											especialmente quando essas pessoas
estão isoladas de nós?
											E o que acontece quando viramos as costas?
									","
											¿Qué significa ser un testigo?
											¿Por qué es importante atestiguar
											el dolor de la gente
											especialmente cuando esa gente 
está aislada de nosotros?
											¿Y qué pasa si nosotros nos alejamos?
									","
											Tanık olmanın anlamı nedir?
											İnsanların acısına tanıklık etmek
											neden bu kadar önemli,
											özellikle bu insanlar
bizden uzak olduğunda.
											Peki biz bu duruma
yüzümüzü çevirsek ne olur?
									","
											Was bedeutet es, ein Zeuge zu sein?
											Warum ist es wichtig,
											das Leid der Menschen zu bezeugen,
											besonders wenn sie von uns
vollkommen isoliert sind?
											Was passiert, wenn wir
unsere Augen verschließen?
									","
											Qu'est-ce que cela signifie
d'être témoin ?
											Pourquoi est-il important de témoigner
											la souffrance des gens,
											surtout quand ces gens
sont isolés de nous ?
											Et que se passe-t-il quand
nous les ignorons ?
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											Three years ago, I traveled
to the Central African Republic
											to report on its ongoing war.
											I'd heard warnings of massacres
											in the country's jungles and deserts,
											but no one could locate these massacres
											or tell me who was killed, or when.
											I drove into this war
											with little information.
											I witnessed scenes
that were tragic and unreal,
											and only at the end did I realize
											that I had witnessed
the slow preparation of ethnic cleansing.
									","
											Há três anos, viajei para 
a República Centro-Africana
											para relatar a guerra em curso.
											Ouvi falar de massacres
											nas selvas e desertos do país,
											mas ninguém conseguia
localizar esses massacres
											ou dizer-me quem fora morto, ou quando.
											Eu dirigi-me a esta guerra
											com poucas informações.
											Testemunhei cenas trágicas e irreais,
											e só no final consegui perceber
											que tinha testemunhado a lenta
preparação de uma limpeza étnica.
									","
											Hace tres años viajé a
la República Centroafricana
											para informar sobre la guerra en curso.
											Había oído advertencias de genocidios
											en las selvas y desiertos del país,
											pero nadie podía saber 
donde ocurrían estos genocidios
											o decirme a quién 
habían asesinado o cuándo.
											Irrumpí en la guerra
											con poca información.
											Presencié escenas trágicas e irreales,
											y al final, pude darme cuenta
											que fui testigo del minucioso
plan de limpieza étnica.
									","
											Üç yıl önce o zamanlarda devam eden
Orta Afrika savaşını
											haber yapmak için bölgeye gitmiştim.
											Ülkenin ormanlarında ve çöllerinde
											katliam yapıldığı uyarısını almıştım,
											fakat hiç kimse bu katliamların
yerini tespit edememiş
											ve kimin öldürüldüğünü ya da
nerede öldürüldüğünü söyleyememişti.
											Çok az bilgiyle
											bu savaşın içine daldım.
											Feci ve gerçek dışı anlara tanıklık ettim
											ve sadece en sonunda etnik bir temizliğin
											uzun süren hazırlığına
tanıklık ettiğimi fark ettim.
									","
											Vor drei Jahren reiste ich in
die Zentralafrikanische Republik,
											um über den laufenden Krieg zu berichten.
											Ich wurde vor Massakern in den Wüsten
und Dschungeln des Landes gewarnt.
											Doch niemand wusste 
die Orte dieser Massaker,
											oder konnte mir sagen,
wer getötet wurde, oder wann.
											Ich fuhr in diesen Krieg
mit wenigen Vorkenntnissen.
											Ich erlebte tragische Szenen,
die mir unwirklich vorkamen
											und erst am Schluss
wurde mir klar, dass ich Zeuge
											der schleichenden Vorbereitungen
einer ethnischen Säuberung war.
									","
											Il y a trois ans, j'ai voyagé
en République centrafricaine
											pour faire un rapport
de la guerre en cours.
											J'avais entendu des avertissements
de massacres
											dans les jungles et les déserts du pays,
											mais personne ne pouvait
localiser ces massacres,
											ni me dire qui a été tué, ou quand.
											J'ai foncé dans cette guerre
											avec peu d'informations.
											J'ai assisté à des scènes
tragiques et irréelles,
											et c'est seulement à la fin
que j'ai réalisé
											que j'avais assisté à la lente préparation
d'un nettoyage ethnique.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											The Central African Republic
is a country of about five million people
											the size of Texas
											in the center of Africa.
											The country has known chronic violence
since French colonial rule ended in 1960.
											The war I reported on
											was between the minority
Muslim government,
											called the Seleka,
											and citizen militias,
											mostly Christian,
											called the anti-balaka.
									","
											A República Centro-Africana é um país
com cerca de 5 milhões de habitantes,
											do tamanho do Texas
											no centro de África.
											O país tem sofrido uma violência crónica
desde a descolonização francesa em 1960.
											A guerra que eu relatei
											era entre o governo minoritário muçulmano,
											chamado Seleka,
											e milícias civis,
											maioritariamente cristãs,
											chamadas os anti-balaka.
									","
											La República Centroafricana es un país
de alrededor de 5 millones de personas,
											tan enorme como Texas,
											en el centro de África.
											El país sufría de grave violencia desde
la caída de la colonia francesa en 1960.
											La guerra de la que yo informé
											era entre el gobierno 
minoritario musulmán,
											llamados los Seleka,
											y las milicias civiles,
											en su mayoría cristiana,
											llamada los anti-balaka.
									","
											Orta Afrika Cumhuriyeti,
yaklaşık beş milyon nüfuslu,
											Teksas büyüklüğünde,
											Afrika'nın merkezinde bir ülke.
											Ülke, 1960'da sona eren Fransız sömürgeci
yönetimden dolayı şiddeti iyi biliyor.
											Haberini yaptığım savaş,
											Seleka adındaki
											Müslüman azınlık idaresi ile
											çoğunluğu Hristiyan olan
											Anti-balaka adındaki
											yerli milisler arasındaydı.
									","
											Die Zentralafrikanische Republik ist
ein Land mit 5 Millionen Einwohnern,
											so groß wie Texas, im Herzen Afrikas.
											Das Land erlebte andauernde Gewalt
											seit dem Ende der französischen
Kolonialherrschaft im Jahr 1960.
											Der Krieg, über den ich berichtete,
											wurde zwischen der muslimischen
Minderheitsregierung,
											Séléka genannt,
											und Bürgermilizen,
											hauptsächlich Christen,
											den Anti-Balaka ausgetragen.
									","
											La République centrafricaine est un
pays d'environ cinq millions de personnes,
											de la taille du Texas,
											au centre de l'Afrique.
											Elle connaît une violence chronique
											depuis la fin de la colonisation
française, en 1960.
											La guerre que j'ai rapportée
											était entre le gouvernement
musulman minoritaire,
											appelé la Seleka,
											et les milices citoyennes,
											à majorité chrétienne,
											appelées l'anti-balaka.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											The first sign of the impending cleansing
											was the breakdown of trust
within communities.
											Three days after I arrived in the country,
											I watched the small city
of Gaga be abandoned.
											A battle was about to break out.
											And to save themselves,
											many people were working
as government spies,
											identifying friends and neighbors
											to be killed.
											Cities and towns,
											any place with humans, had become unsafe.
											So people moved to the jungle.
											I felt strangely isolated
											as pigs and livestock
moved into the empty homes.
											In a war zone,
											you know that you are near the killing
when people have left.
									","
											O primeiro sinal da limpeza iminente
											foi a quebra de confiança 
dentro das comunidades.
											Três dias depois da minha chegada ao país,
											vi a pequena cidade de Gaga 
a ser abandonada.
											Uma batalha estava quase a rebentar.
											E para se salvarem,
											muitas pessoas estavam a trabalhar
como espiões do governo,
											identificando amigos e vizinhos
											para serem mortos.
											Cidades e vilas,
											qualquer lugar com seres humanos,
tinha-se tornado inseguro.
											Então as pessoas foram para a selva.
											Senti-me estranhamente isolado
											enquanto porcos e gado
ocupavam as casas vazias.
											Numa zona de guerra,
											sabemos que a matança está perto
quando as pessoas já partiram.
									","
											La primera señal de limpieza inminente
											era la crisis de confianza
dentro de las comunidades.
											Tres días después de mi llegada al país,
											Vi que la pequeña ciudad 
estaba abandonada.
											Una guerra iba a estallar.
											Para poder salvarse,
											muchos se convirtieron 
en espías del gobierno,
											entregando a amigos y vecinos
											para matarlos.
											Las ciudades y aldeas,
											cualquier lugar donde hubiera
humanos era ya inseguro.
											Así que, la gente se mudó a la selva.
											Me sentí muy aislado
											cuando los cerdos y el ganado
entraban a las casas vacías.
											En una zona de guerra,
											sabes que estás cerca de la muerte
cuando la gente ya no está.
									","
											Eli kulağında olan temizliğin ilk işareti,
											toplumlar arası güven ortamının 
yıkılmasıyla başlamıştı.
											Ülkeye vardıktan üç gün sonra,
											Gaga adındaki küçük bir şehrin 
boşaltıldığını gördüm.
											Savaş başlamak üzereydi.
											Kendilerini korumak için
											birçok insan,
											arkadaşlarını ve komşularını,
											öldürülmeleri için teşhis ederek
hükumet ajanlığı yapıyorlardı.
											Şehirler ve kasabalar,
											insanların olduğu herhangi bir yer
artık güvensizdi.
											Birçok insan ormana taşındı.
											Domuzlar ve çiftlik hayvanları 
boş evlere taşındığından
											kendimi garip bir şekilde 
yalnız hissettim.
											Savaş bölgesinde,
											insanlar ayrılmaya başladığında ölümün
eşiğinde olduğunuzu bilirsiniz.
									","
											Das erste Anzeichen der
bevorstehenden Säuberung
											war der Vertrauensverlust
innerhalb der Gemeinschaften.
											Drei Tage nach meiner Ankunft,
											wurde ich Zeuge der Aufgabe 
des Dorfes Gaga.
											Der Kampf stand unmittelbar bevor.
											Und um sich selbst zu retten,
											spionierten viele für die Regierung.
											Sie identifizierten Freunde und Nachbarn
											als Ziele des Militärs.
											Städte und Orte,
											jeder Platz mit Menschen wurde unsicher.
											Also zogen die Menschen in den Dschungel.
											Ich fühlte mich seltsam isoliert,
											als Schweine und Viehherden in den
verlassenen Häusern umherliefen.
											In einem Kriegsgebiet
											erkennt man die kommenden Kämpfe
anhand verlassener Häuser.
									","
											Le premier signe de
la purification imminente
											était la rupture de confiance
au sein des communautés.
											Trois jours après mon arrivée au pays,
											j'ai vu que la petite ville
de Gaga allait être abandonnée.
											Une bataille allait éclater.
											Et afin de sauver leurs vies,
											beaucoup de gens travaillaient
en tant qu'espions pour le gouvernement,
											identifiant les amis et les voisins
											à tuer.
											Les cités et les villes,
											n'importe quel endroit habité,
était devenu dangereux.
											Alors les gens ont fui dans la jungle.
											Je me sentais bizarrement isolé
											comme les porcs et le bétail
qui se déplaçaient dans les maisons vides.
											Dans une zone de guerre,
											vous savez que vous êtes près de la mort
quand les gens sont partis.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
","
","
","
","
","
",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
"
											The war moved across the jungle
and reached Gaga,
											and I was surrounded
by the thunder of bombs.
											Government forces drove into the jungle
to attack a town sheltering a militia.
											I rode on motorcycle for hours,
											crossing jungle streams
and tall elephant grass,
											but I only got to the town
											after the government had burned it
											and its people were gone.
									","
											A guerra atravessou a selva
e chegou a Gaga.
											Eu estava cercado pelo
ribombar das bombas.
											Forças do governo entraram na selva para
atacar uma cidade que acolhia milícias.
											Andei horas na minha motoreta,
											atravessando riachos e capim muito alto,
											mas só consegui chegar à cidade
											depois de o governo a ter queimado
											e as pessoas tinham desaparecido.
									","
											La guerra se movía hacia la selva
llegando hasta Gaga.
											El estruendo de bombas me rodeaba.
											El gobierno fue a la selva para atacar
a las milicias escondidas en la ciudad.
											Conduje una moto por horas,
											atravesando la selva 
y el alto pasto elefante.
											Sin embargo, cuando llegué a la aldea,

											el gobierno ya la había incendiado
											y su gente había huido.
									","
											Savaş ormanı aşmış ve Gaga'ya ulaşmıştı
											ve bomba gürültüsü tarafından 
etrafım sarılmıştı.
											Hükumet güçleri, milis barındıran bir
kasabaya saldırmak için ormana girdiler.
											Orman nehirlerini ve uzun çayırları aşarak
											saatler boyu motosiklet kullandım
											fakat hükümet şehri yaktıktan,
											insanlar terk ettikten sonra
											oraya ulaşabildim.
									","
											Der Krieg zog sich über
den Dschungel nach Gaga
											und ich war umgeben von Bombendonner.
											Regierungstruppen stürmten den Dschungel 
und griffen eine Stadt an,
											die Rebellenmilizen Zuflucht gab.
											Ich fuhr auf meinem Motorrad stundenlang
											über Dschungelflüsse
und durch hohes Elefantengras
											doch erreichte die Stadt erst,
											nachdem die Regierung sie
niedergebrannt hatte
											und die Menschen gegangen waren.
									","
											La guerre se déplaçait à travers
la jungle jusqu'à Gaga,
											et j'étais entouré
par un tonnerre de bombes.
											Les forces ont foncé dans la jungle pour
attaquer une ville abritant une milice.
											J'ai conduit une moto pendant des heures,
											traversant des jungles
et des grandes herbes.
											Mais je me suis retrouvé à la ville
											après que le gouvernement l'a brûlée
											et que ses habitants avaient fui.
									",Why I risked my life to expose a government massacre,Anjan Sundaram,7:34,"TED Fellows,Africa,journalism,corruption,war"
