es,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Este hombre lleva lo que llamamos
											una barba de abejas. (Risas)
											Una barba llena de abejas.
									","
											This man is wearing what we call
											a bee beard. (Laughter)
											A beard full of bees.
									","
											Cet homme porte ce que nous appelons
											une barbe d'abeilles. (Rires)
											Une barbe pleine d'abeilles.
									","
											Dieser Mann trägt einen so genannten
											Bienenbart. (Lachen)
											Einen Bart voller Bienen.
									","
											Bu adam, “arı sakalı” 
diyebileceğimiz bir sakala sahip.
											(Kahkahalar)
											Arılardan oluşan bir sakal.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Esto puede ser lo que muchos de ustedes se imaginan
											cuando piensan en las abejas, los insectos
											o tal vez todo aquello que tiene más de dos patas.
											Y permítanme empezar por decirles que los comprendo.
											Los entiendo. Pero, hay muchas cosas que deben saber,
											y quiero que abran sus mentes,
											que las mantengan abiertas y cambien su perspectiva acerca de las abejas.
									","
											Now, this is what many of you might picture
											when you think about honeybees, maybe insects,
											or maybe anything that has more legs than two.
											And let me start by telling you, I gotcha.
											I understand that. But, there are many things to know,
											and I want you to open your minds here,
											keep them open, and change your perspective about honeybees.
									","
											C'est ce que beaucoup d'entre vous pourraient imaginer
											quand vous pensez à des abeilles, peut-être à des insectes,
											ou peut-être à tout ce qui a plus de deux pattes.
											Et permettez-moi de commencer par vous dire, je vous comprends.
											Je comprends ça. Mais, il y a beaucoup de choses à savoir,
											et je veux que vous ouvriez votre esprit ici,
											gardez-le ouvert et changiez votre point de vue sur les abeilles.
									","
											Viele von Ihnen stellen sich vielleicht dies vor,
											wenn Sie an Honigbienen oder Insekten denken
											oder irgendetwas, das mehr als nur zwei Beine hat.
											Und ich kann Ihnen gleich sagen: Ich verstehe Sie.
											Ich kann das nachvollziehen. Aber es gibt noch so vieles
											und ich möchte hier Ihren Horizont erweitern,
											das Bewusstsein öffnen und Ihre Sicht auf Honigbienen ändern.
									","
											Bu; arılar, böcekler ya da ikiden 
fazla bacaklı herhangi bir canlıyı
											düşündüğünüz zaman 
hayal edebileceğiniz bir şey.
											Öncelikle şunu belirteyim, sizi anlıyorum.
											Fakat öğrenecek çok şey var
											ve ben burada sizlerin zihinlerini açmak
											ve bal arılarına farklı bir perspektiften
yaklaşmanızı sağlamak istiyorum.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Observen que a este hombre las abejas no lo pican .
											Probablemente tiene una abeja reina atada a su mentón,
											que atrae a las otras abejas.
											Esto realmente demuestra nuestra relación con las abejas
											que se remonta a miles de años atrás.
											Hemos coevolucionado, ya que dependemos de las abejas
											para la polinización y, más recientemente,
											como un bien económico.
									","
											Notice that this man is not getting stung.
											He probably has a queen bee tied to his chin,
											and the other bees are attracted to it.
											So this really demonstrates our relationship with honeybees,
											and that goes deep back for thousands of years.
											We're very co-evolved, because we depend on bees
											for pollination and, even more recently,
											as an economic commodity.
									","
											Notez que cet homme ne se fait pas piquer.
											Il a probablement une reine des abeilles collée sur son menton,
											et les autres abeilles sont attirées par elle.
											Donc ça démontre vraiment notre relation avec les abeilles,
											et elle remonte très loin, à des milliers d'années.
											Nous sommes très co-évolutifs, car nous dépendons des abeilles
											pour la pollinisation et encore plus récemment,
											comme produit économique.
									","
											Dieser Mann wird nicht gestochen.
											An seinem Kinn sitzt wahrscheinlich eine Bienenkönigin,
											die die anderen Bienen anzieht.
											Das ist eine gute Darstellung unserer Beziehung zu Bienen,
											die sich über tausende von Jahren zurück erstreckt.
											Wir haben uns zusammen entwickelt, denn wir hängen
											von der Bestäubung durch Bienen ab
											und sie liefern uns auch einen Rohstoff.
									","
											Fark ettiyseniz arılar 
bu adamı sokmuyorlar.
											Muhtemelen çenesine bağlı
bir kraliçe arı var
											ve diğer arılar da ona doğru gidiyor.
											İşte bu durum, bizim 
arılarla olan ilişkimizi açıklıyor
											ve bu ilişki binlerce yıl
öncesine dayanıyor.
											Biz arılarla ortaklaşa evrimleştik
											çünkü tozlaşma ve daha da 
fazlası son zamanlarda
											ekonomik bir ürün olarak
arılara bağımlıyız.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Muchos de ustedes han oído que las abejas melíferas están desapareciendo,
											no solo mueren, sino que están desapareciendo.
											Ni siquiera encontramos cadáveres.
											Esto se conoce como el «síndrome de colapso de la colonia»
											y es extraño. Los investigadores de todo el mundo
											todavía no saben qué lo causa,
											pero lo que sí sabemos es que, con la disminución del número
											de abejas, los costos de 130 cultivos de frutas y hortalizas
											de los que dependemos para alimentarnos, están subiendo de precio.
									","
											Many of you may have heard that honeybees are disappearing,
											not just dying, but they're gone.
											We don't even find dead bodies.
											This is called colony collapse disorder,
											and it's bizarre. Researchers around the globe
											still do not know what's causing it,
											but what we do know is that, with the declining numbers
											of bees, the costs of over 130 fruit and vegetable crops
											that we rely on for food is going up in price.
									","
											Bon nombre d'entre vous avez peut-être entendu que les abeilles disparaissent,
											non seulement elles meurent, mais elles sont parties.
											Nous ne trouvons même pas de cadavres.
											C'est ce qu'on appelle un effondrement de colonie,
											et c'est bizarre. Les chercheurs du monde entier
											ne savent toujours pas quelle en est la cause,
											mais ce que nous savons, c'est que, avec la diminution du nombre
											des abeilles, les coûts de plus de 130 fruits et légumes,
											dont nous dépendons pour nous nourrir augmentent.
									","
											Viele von Ihnen haben gehört, dass Bienen verschwinden,
											sie sterben nicht nur, sondern sind weg.
											Wir finden nicht einmal tote Körper.
											Das nennt man Völkerkollaps und er ist
											total bizarr. Forscher auf dem ganzen Planeten
											verstehen immer noch nicht die Gründe,
											aber wir wissen, dass bei abnehmenden Bienenzahlen
											die Kosten für mehr als 130 Arten von Obst und Gemüse
											unserer Nahrungsmittelgrundlage steigen.
									","
											Birçoğunuz bal arılarının ortadan
kaybolduğunu duymuştur,
											sadece ölmüyorlar
ama ortadan kayboluyorlar.
											Ölülerini bile bulamıyoruz.
											Bu duruma koloni çöküşü
sendromu adı veriliyor
											ve bu olay çok tuhaf.
											Dünyanın her yerinde, araştırmacılar 
bu durumun sebebini bilmiyor
											fakat şimdilik bildiğimiz şey şu ki
											sayıdaki bu düşüş yaşamımız için 
hayli önemli 130’dan fazla
											meyve ve sebzenin fiyatlarında 
artışa sebep olacak.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
","
","
","
","
",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
"
											Así que las abejas tienen una función importante tanto en la economía
											como en la agricultura.
											Aquí vemos algunas fotos de lo que se denomina
											techos verdes o agricultura urbana.
											Estamos familiarizados con la imagen de la izquierda que muestra
											un jardín de un vecindario local (el South End, en Boston) .
											Es lo que llamo hogar. Tengo una colmena en el patio trasero
											y tal vez tenga un techo verde en el futuro,
											cuando usemos más las zonas urbanas
											donde hay muchos espacios de jardines.
									","
											So honeybees are important for their role in the economy
											as well as in agriculture.
											Here you can see some pictures of what are called
											green roofs, or urban agriculture.
											We're familiar with the image on the left that shows
											a local neighborhood garden in the South End.
											That's where I call home. I have a beehive in the backyard.
											And perhaps a green roof in the future,
											when we're further utilizing urban areas,
											where there are stacks of garden spaces.
									","
											Les abeilles sont donc importantes pour leur rôle dans l'économie
											autant que dans l'agriculture.
											Ici vous voyez des photos de ce qu'on appelle
											des toits verts, ou agriculture urbaine.
											Nous sommes familiers avec l'image à gauche qui montre
											un jardin de quartier local dans South End.
											C'est chez moi. J'ai une ruche dans le jardin.
											Et peut-être un toit vert dans le futur,
											quand nous utiliserons plus les zones urbaines,
											où il y a des tas de jardins.
									","
											Honigbienen haben also eine Schlüsselrolle in der Wirtschaft
											und in der Landwirtschaft.
											Hier sehen Sie ein paar Bilder von so genannten
											Gründächern oder urbaner Landwirtschaft.
											Die Ansicht auf der Linken ist uns bekannt,
											dort sehen wir einen kleinen Garten im South End.
											Das ist mein Zuhause. Ich habe einen Bienenstock im Garten.
											Und vielleicht auch einmal ein Gründach,
											wenn wir urbane Gebiete weiter nutzen werden,
											wo es eine Menge Flecken für Gärten gibt.
									","
											Yani, bal arılarının tarımda olduğu kadar
ekonomide de önemli bir rolü var.
											Kentsel tarım da diyebileceğimiz
											yeşil çatıların 
fotoğraflarını görüyorsunuz.
											Sol tarafta görülen 
South End'de bir mahalledeki
											yerel bahçenin resmiyle aşinayız.
											Burası evim ve arka bahçede
bir arı kovanım var.
											Yığınla bahçe olmaya 
elverişli şehir alanlarından
											faydalanmaya başladığımız zaman
											belki ileride benim de
yeşil bir çatım da olur.
									",Every city needs healthy honey bees,Noah Wilson-Rich,12:43,"TEDx,animals,bees,cities,global issues,insects,science,environment,nature,agriculture,activism,biology,botany,plants,climate change,sustainability,infrastructure,ecology,urban planning,natural resources"
