en,fr,de,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
											In the 1600s
											the Dutch East India Company 
employed hundreds of ships
											to trade gold, porcelain, spices, 
and silks around the globe.
											But running this massive 
operation wasn’t cheap.
											In order to fund their expensive voyages,
											the company turned to private citizens–
											individuals who could invest money 
to support the trip
											in exchange for a share 
of the ship’s profits.
											This practice allowed the company 
to afford even grander voyages,
											increasing profits for both 
themselves and their savvy investors.
									","
											Au 17e siècle,
											la Compagnie néerlandaise des Indes 
orientales et ses nombreux navires
											firent du commerce d'or, de porcelaine, 
d'épices et de soie à travers le monde.
											Mais cette vaste opération avait un coût :
											afin de financer ses voyages onéreux,
											elle fit appel à des particuliers
											qui finançaient ces voyages en échange
											d'une part des bénéfices du navire.
											Grâce à cette pratique, la Compagnie
a pu se permettre de plus grands voyages,
											augmentant ainsi ses bénéfices ainsi
que ceux de ses investisseurs bien avisés.
									","
											Die Vereinigte Ostindien-Kompanie setzte
im 17. Jahrhundert hunderte Schiffe ein,
											um weltweit Gold, Porzellan,
Gewürze und Seide zu handeln.
											Das gewaltige Unternehmen
war nicht gerade billig.
											Um ihre teuren Seereisen zu finanzieren,
											wandte sich die Kompanie
an Privatpersonen —
											Einzelne, die Geld einsetzen konnten,

											um im Tausch gegen Gewinnbeteiligung
die Reise zu unterstützen.
											Dies ermöglichte es der Kompanie,
sich noch größere Reisen zu leisten,
											um den Gewinn für sich selbst
und ihre klugen Investoren zu mehren.
									","
											No início do século XVII,
											a Companhia Holandesa das Índias Orientais
empregava centenas de barcos
											para comercializar ouro, porcelanas,
especiarias e sedas por todo o globo.
											Mas não era barato
dirigir toda esta enorme operação.
											Para financiar as dispendiosas viagens,
											a companhia recorria a cidadãos privados
											— indivíduos que podiam investir
dinheiro para financiar a viagem
											em troca duma parte dos lucros do navio.
											Esta prática permitia que a companhia
realizasse viagens mais importantes,
											aumentando os lucros para si mesma
e para os seus sagazes investidores.
									","
											1600'lü yıllarda,
											Hollanda Doğu Hindistan Şirketi,
yüzlerce gemiyle tüm dünyada
											altın, porselen, baharat 
ve ipek ticareti yürütüyordu.
											Fakat bu devasa operasyonu 
yürütmek masraflıydı.
											Bu maliyetli seferleri finanse etmek için
											şirket sivil vatandaşlara yöneldi.
											Yani geminin kârından pay karşılığında
											seferlere destek için
para yatıracak bireylere.
											Bu yöntem, şirketin daha büyük
seferleri finanse edebilmesini sağladı.
											Hem şirketin hem de onun 
akıllı yatırımcılarının kârı arttı.
									",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
","
","
","
","
",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
											Selling these shares in coffee houses 
and shipping ports across the continent,
											the Dutch East India Company unknowingly
invented the world’s first stock market.
											Since then, companies have been 
collecting funds from willing investors
											to support all kinds of businesses.
											And today,
											the stock market has schools, careers,
and even whole television channels
											dedicated to understanding it.
											But the modern stock market is 
significantly more complicated
											than its original incarnation.
											So how do companies and investors
use the market today?
									","
											En vendant ces parts dans les cafés
et ports maritimes à travers le continent,
											la Compagnie a inventé le premier
marché boursier au monde.
											Depuis, les entreprises collectent des
fonds auprès d'investisseurs intéressés
											afin de financer tout genre d'activités.
											Et aujourd'hui,
											des écoles, carrières et mêmes des
chaînes de télévision se concentrent
											sur la compréhension de ce marché.
											Mais le marché boursier moderne
est bien plus compliqué
											que sa version originale.
											Comment les sociétés et les investisseurs
utilisent alors ce marché aujourd'hui ?
									","
											Durch den Aktienverkauf in Kaffeehäusern
und Häfen auf dem ganzen Kontinent
											erfand die Vereinigte Ostindien-Kompanie
unbewusst die erste Börse der Welt.
											Seitdem sammelten Unternehmen
von bereitwilligen Investoren Gelder,
											um allerlei Geschäfte zu unterstützen.
											Heute widmen sich Schulen, Karrieren
und sogar Fernsehkanäle,
											den Aktienmarkt zu verstehen.
											Aber der moderne Aktienmarkt
ist eindeutig komplizierter
											als seine ursprüngliche Verkörperung.
											Wie nutzen Unternehmen und Investoren
den Aktienmarkt heutzutage?
									","
											Ao vender essas quotas em cafés
e portos de embarque pelo continente,
											a Companhia Holandesa das Índias Orientais
inventou, sem o saber,
											o primeiro mercado de ações do mundo.
											Desde então, as empresas
têm arranjado fundos
											de investidores dispostos a sustentar
todo o tipo de negócios.
											E, atualmente,
											o mercado de ações tem escolas,
carreiras e até canais de televisão,
											dedicados a percebê-lo.
											Mas o moderno mercado de ações
é muito mais complicado
											do que a sua invenção original.
											Então, como é que as empresas
e os investidores usam esse mercado, hoje?
									","
											Bu hisseleri Avrupa'daki liman
ve kahvehanelerde satarak
											Hollandalı şirket, farkında olmadan
dünyanın ilk borsasını icat etmiş oldu.
											O zamandan beri şirketler, 
her türlü işe destek bulmak için
											istekli yatırımcılardan fon sağlıyorlar.
											Günümüzde ise borsayı anlamaya 
kendini adamış okullar, kariyerler,
											hatta televizyon kanalları mevcut.
											Fakat modern borsalar ilk hallerine 
oranla çok daha karmaşık.
											Peki, bugün şirketler ve yatırımcılar 
borsayı nasıl kullanıyor?
									",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
","
","
","
","
",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
											Let’s imagine a new coffee company 
that decides to launch on the market.
											First, the company will advertise itself 
to big investors.
											If they think the company is a good idea,
											they get the first crack at investing,
											and then sponsor the company’s initial 
public offering, or IPO.
											This launches the company onto the 
official public market,
											where any company or individual who 
believes the business could be profitable
											might buy a stock.
											Buying stocks makes those investors 
partial owners in the business.
									","
											Imaginez une nouvelle entreprise de café
qui se lance sur le marché.
											Tout d'abord, elle se vend
auprès de gros investisseurs.
											S'ils considèrent son plan rentable,
											ils ont la première chance d'investir,
											et ils sponsorisent l'offre publique
initiale (ou IPO)
											Ceci lance l'entreprise
sur le marché public officiel,
											où n'importe quelle société ou particulier
inspiré par le projet
											peut acheter une action.
											En achetant des actions, ces investisseurs
en deviennent en partie propriétaires.
									","
											Angenommen eine neue Kaffee-Firma
entscheidet sich zur Markteintritt:
											Zuerst wird die Firma sich selbst
bei großen Investoren bewerben.
											Wenn sie meinen,
die Firma sei eine gute Idee,
											verschaffen sie die Anschubfinanzierung
											und unterstützen den Börsengang,
der als IPO bezeichnet wird.
											Das führt das Unternehmen
in den in offiziellen Verkaufsmarkt ein,
											wo jedes Unternehmen oder Einzelperson,
die an ein profitables Geschäft glaubt,
											vielleicht eine Aktie kauft.
											Der Aktienkauf macht diese Investoren
zu teilweisen Eigentümern des Geschäfts.
									","
											Imaginemos uma nova empresa de café
que decide lançar-se no mercado.
											Primeiro, a empresa apresenta-se
a grandes investidores.
											Se eles acharem que essa empresa
é uma boa ideia,
											obtêm a primeira fatia de investimento
											e depois patrocinam a oferta pública
inicial da empresa, ou seja, uma OPI.
											Isso lança a empresa no mercado
público oficial
											onde qualquer empresa ou indivíduo
											que acredite que o negócio
pode ser lucrativo
											pode comprar uma ação.
											Comprar ações torna esses investidores
proprietários parciais do negócio.
									","
											Piyasaya girme kararı alan
yeni bir kahve şirketini ele alalım.
											Şirket önce büyük yatırımcılara 
kendini tanıtacaktır.
											Bu şirket onlara mantıklı gelirse
											ilk yatırımı yaparlar.
											Sonra şirketin ilk halka arzına
mali destek sağlarlar.
											Böylece şirket resmi olarak halka açılır.
											Bu şirketin kâr getireceğine inanan 
şirket veya bireyler hisse satın alabilir.
											Hisse almak, bu yatırımcıları 
kısmi patron haline getirir.
									",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
","
","
","
","
",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
											Their investment helps 
the company to grow,
											and as it becomes more successful,
											more buyers may see potential 
and start buying stocks.
											As demand for those stocks increases,
											so does their price, increasing 
the cost for prospective buyers,
											and raising the value of the company's 
stocks people already own.
											For the company,
											this increased interest helps 
fund new initiatives,
											and also boosts its overall market value
											by showing how many people 
are willing to invest in their idea.
									","
											Leurs investissements
l'aident à se développer -
											et l'entreprise, plus prospère,
											attire de nouveaux acheteurs 
qui achètent des actions.
											A mesure que la demande
pour ces actions augmente,
											leur prix aussi, augmentant ainsi le coût
pour les acheteurs potentiels
											et accroissant la valeur des actions
de l'entreprise déjà achetées.
											Pour l'entreprise,
											cet intérêt croissant permet de financer
de nouvelles initiatives,
											ainsi que de stimuler
sa valeur marchande globale
											en montrant le nombre de personnes
prêtes à investir dans leur idée.
									","
											Ihre Geldanlage hilft
dem Unternehmen zu wachsen
											und während es erfolgreicher wird,
											sehen mehr Käufer das Potential
und beginnen Aktien zu kaufen.
											Wenn die Nachfrage für die Aktien steigt,
											steigt auch ihr Preis und erhöht
die Kosten für zukünftige Käufer
											und steigert den Wert der Aktien,
die Leute bereits besitzen.
											Das gesteigerte Interesse hilft der Firma
neue Aktionen zu finanzieren
											und treibt ihren Marktwert
insgesamt in die Höhe,
											denn es zeigt, wie viele Leute
bereit sind, in ihre Idee zu investieren.
									","
											O seu investimento ajuda
a empresa a crescer,
											e à medida que ela vai tendo mais êxito,
											mais compradores veem o seu potencial
e começam a comprar ações.
											Quando a procura dessas ações aumenta,
											o preço também aumenta, aumentando
o custo para novos compradores
											e aumentando o valor das ações
da empresa que as pessoas já possuem.
											Para a empresa,
											este valor acrescido ajuda
a financiar novas iniciativas
											e também aumenta o valor do mercado,
											mostrando como tanta gente
está disposta a investir na ideia.
									","
											Onların yatırımı 
şirketin büyümesini sağlar.
											Şirket başarı kazandıkça
											artan sayıda alıcı, potansiyeli 
görür ve hisse almaya başlar.
											Hisselere talep arttıkça
											hisse fiyatları da yükselir, 
sonraki alıcılar için maliyet artar.
											Halihazırda satılmış olan
şirket hisselerinin değeri yükselir.
											Şirket açısından artan ilgi,
											ne kadar insanın bu fikre yatırım 
yapmaya istekli olduğunu gösterir.
											Yeni girişimlerin fonlanmasını,
											şirketin piyasa değerinin 
artmasını sağlar.
									",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
","
","
","
","
",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
"
											However, if for some reason a company 
starts to seem less profitable
											the reverse can also happen.
											If investors think their stock 
value is going to decline,
											they’ll sell their stocks with the hopes 
of making a profit
											before the company loses more value.
											As stocks are sold and demand 
for the stock goes down,
											the stock price falls,
											and with it, the company’s market value.
											This can leave investors with big losses–
											unless the company starts to look 
profitable again.
									","
											Cependant, si, pour une certaine raison,
l'entreprise semble moins rentable,
											l'inverse peut aussi se produire.
											Si les investisseurs pensent que
leurs actions valent moins,
											ils les vendent alors en
espérant en tirer un profit
											tant que l'entreprise
a toujours de la valeur.
											A mesure que les actions sont vendues
et que leur demande chute,
											leur prix chute également,
											et, avec eux, la valeur
marchande de l'entreprise.
											Les investisseurs peuvent ainsi
subir de lourdes pertes -
											à moins que l'entreprise regagne en gains
et une image positive.
									","
											Scheint eine Firma allerdings
weniger profitabel zu sein,
											kann auch das Gegenteil passieren.
											Wenn Investoren denken,
dass ihr Aktienwert abnehmen wird,
											werden sie ihre Aktien, mit der Hoffnung
einen Gewinn zu machen, verkaufen,
											bevor die Firma mehr an Wert verliert.
											Während Aktien verkauft werden
und die Nachfrage für sie nachlässt,
											fällt der Aktienpreis und mit ihm
der Marktwert des Unternehmens.
											Das kann Investoren
mit großen Verlusten zurücklassen,
											außer die Firma sieht 
wieder profitabel aus.
									","
											Mas se, por qualquer razão, a empresa
começa a parecer menos lucrativa,
											também pode acontecer o contrário.
											Se os investidores pensarem
que o valor das suas ações vai diminuir,
											vendem as ações, na esperança
de terem algum lucro
											antes de a empresa perder mais valor.
											À medida que as ações são vendidas
e a procura das ações diminui,
											o preço das ações desce
											e, com ele, o valor de mercado da empresa.
											Isso pode provocar grandes perdas
aos investidores
											— a não ser que a empresa
começa a parecer lucrativa, de novo.
									","
											Ama bir sebeple şirket 
daha az kârlı görünmeye başlarsa
											tam tersi de gerçekleşebilir.
											Yatırımcılar hisselerinin
değer kaybedeceğini düşünürse
											şirket daha fazla değer kaybetmeden
											kâr etmek ümidiyle
hisselerini satacaklardır.
											Hisseler satıldıkça 
ve hisse talebi düştükçe
											hisse fiyatları
											ve beraberinde şirketin 
piyasa değeri düşer.
											Şirket yeniden kârlı görünmeye başlamazsa
											yatırımcılar büyük zarara girebilir.
									",How does the stock market work?,Oliver Elfenbaum,4:09,"animation,TED-Ed,economics,money,investment,entrepreneur,business,behavioral economics,finance"
