en,tr,es,de,fr,title,speaker,duration,tags
"
","
","
","
","
",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
											HR jargon makes me crazy.
											We have to have all these stupid acronyms
											that describe things that nobody
understands: OKRs and PIPs.
											I think we can run our businesses
											by just talking to each other
like regular human beings.
											We might actually get more done.
									","
											İK jargonu beni çıldırtıyor.
											Hiç kimsenin anlamadığı şeyleri tanımlayan
											o saçmasapan kısaltmaları kullanıyoruz:
OKR'ler, PIP'ler...
											Bence sadece birbirimizle
insan gibi konuşarak
											işletmelerimizi yürütebiliriz.
											Daha çok şey başarabiliriz.
									","
											La jerga de RR. HH. me vuelve loca.
											Tenemos todos estos ridículos acrónimos
											que describen cosas 
que nadie entiende, como ORC.
											Creo que podemos manejar nuestros negocios
											tan solo hablándonos
como seres humanos normales.
											Tal vez seamos más eficientes.
									","
											HR Jargon macht mich verrückt.
											Wir müssen all diese dummen Kürzel haben,
											die Dinge beschreiben, die niemand
versteht: OKRs und PIPs.
											Ich denke, wir können
unsere Firmen führen,
											indem wir wie normale
Menschen miteinander reden.
											Wir bekämen vielleicht
sogar mehr erledigt.
									","
											Le jargon des RH me rend folle.
											Tous ces acronymes stupides
											qui décrivent des choses
que personne ne comprend.
											Je crois qu’on peut diriger une entreprise
											en se parlant simplement
comme des humains normaux.
											On pourrait même en faire plus.
									",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
","
","
","
","
",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
											[The Way We Work]
									","
											[Çalışma Şeklimiz]
									","
											[Cómo trabajamos]
									","
											[Wie wir arbeiten]
									","
											[Notre façon de travailler]
									",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
","
","
","
","
",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
											I really always wanted to be
an HR professional,
											I wanted to be able to speak
the language of management.
											And you know what I've learned
after all this time?
											I don't think any of it matters.
											There's all kinds of things
that we call ""best practices""
											that aren't best practices at all.
											How do we know it's best?
We don't measure this stuff.
											In fact, I've learned
that ""best practices"" usually means
											copying what everybody else does.
											Our world is changing
and evolving all the time.
											Here are some lessons to help you adapt.
									","
											Ben hep İK uzmanı olmak istemiştim,
											yönetim dilini konuşabilmek istedim.
											Tüm bu zaman içinde ne mi öğrendim?
											Bunların hiçbir önemi olmadığını.
											''En iyi yöntemler'' dediğimiz
bir dizi şey var
											ama en iyi falan değiller.
											En iyi olduğunu nasıl anlarız ki?
Bunu ölçemeyiz.
											''En iyi yöntemler''in genellikle
											başkalarının yaptığını
kopyalamak olduğunu öğrendim.
											Dünyamız sürekli değişiyor
ve evrim geçiriyor.
											Uyum sağlamanıza
yardım edecek bazı dersler.
									","
											Siempre quise ser profesional de RR. HH.
											Quería hablar el lenguaje de los gerentes.
											¿Y saben qué aprendí
después de todo este tiempo?
											Que nada de eso importa.
											Hay muchas cosas
que llamamos ""buenas prácticas""
											que no son para nada buenas.
											¿Cómo sabemos que son buenas?
No medimos estas cosas.
											De hecho, aprendí que ""buenas prácticas""
por lo general significa
											copiar lo que hacen los demás.
											Nuestro mundo cambia
y evoluciona todo el tiempo.
											Aquí hay algunas lecciones
para ayudarlos a adaptarse.
									","
											Ich wollte wirklich schon immer
eine HR Expertin werden,
											ich wollte die Sprache
des Managements sprechen.
											Was ich nach all dieser Zeit gelernt habe?
											Nichts davon bedeutet etwas.
											Es gibt alle möglichen Dinge,
die wir ""optimales Vorgehen"" nennen,
											die kein optimales Vorgehen sind.
											Wie wissen wir, dass es optimal ist?
Wir messen das Zeug nicht.
											Tatsächlich lernte ich,
dass ""optimales Vorgehen""
											meistens bedeutet,
zu kopieren, was alle anderen tun.
											Unsere Welt ändert
und entwickelt sich ständig.
											Hier ein paar Lektionen,
die Ihnen beim Anpassen helfen.
									","
											J’ai vraiment toujours voulu
travailler dans les RH,
											je voulais être capable
de parler la langue du management.
											Savez-vous ce que j’ai appris
après tout ce temps ?
											Rien de tout ça n’est important.
											Il y a plein de choses que
nous appelons « bonnes pratiques »
											mais qui n'en sont pas du tout.
											Comment savoir ce qui est bon ?
On ne le mesure pas.
											J'ai appris que les « bonnes pratiques »
sont, en fait, habituellement
											la copie de ce que les autres font.
											Notre monde évolue en permanence.
											Ces leçons vous aideront à vous y adapter.
									",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
","
","
","
","
",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
											Lesson one: Your employees are adults.
											You know, we've created so many layers
											and so many processes
and so many guidelines
											to keep those employees in place
											that we've ended up with systems
that treat people like they're children.
											And they're not.
											Fully formed adults
walk in the door every single day.
											They have rent payments,
they have obligations,
											they're members of society,
											they want to create
a difference in the world.
											So if we start with the assumption
											that everybody comes to work
to do an amazing job,
											you'd be surprised what you get.
									","
											Bir: Çalışanlarınız yetişkin.
											Çalışanları hizada tutmak adına
											o kadar çok tabaka, o kadar çok süreç
											ve o kadar çok ilke yarattık ki
											onlara çocuk gibi davranmamıza
yol açan sistemlerle kalakaldık.
											Ama çocuk değiller.
											Her gün o kapıdan girenler
tamamen yetişkin.
											Kira ödüyorlar, sorumlulukları var,
											toplumun bir parçasılar,
											dünyada bir fark yaratmak istiyorlar.
											Herkesin iş yerinde harika bir iş
çıkarmak istediği
											varsayımıyla işe koyulursak
											sonuçlar sizi çok şaşırtacaktır.
									","
											Lección 1: sus empleados son adultos.
											Hemos creado tantas capas,
tantos procesos y tantas normas
											para mantener a esos 
empleados en su lugar,
											que terminamos con sistemas
que tratan a la gente como niños.
											Y no lo son.
											Todos los días, entran por la puerta
adultos hechos y derechos.
											Tienen que pagar su alquiler,
tienen obligaciones,
											son miembros de la sociedad, quieren
marcar una diferencia en el mundo.
											Si empezamos con la suposición
											de que todos vienen al trabajo
para hacer algo increíble,
											se sorprenderían de lo que consiguen.
									","
											Lektion eins: Ihre
Angestellten sind Erwachsene.
											Wir haben so viele Ebenen
											und so viele Prozesse und Richtlinien,
											um diese Angestellten zu regulieren,
											dass wir mit Systemen enden,
die Leute wie Kinder behandeln.
											Und das sind sie nicht.
											Komplett erwachsene Menschen
kommen jeden Tag zur Tür herein.
											Die haben Mietzahlungen,
die haben Pflichten,
											sind Teil der Gesellschaft,
											wollen einen Unterschied
in der Welt machen.
											Geht man davon aus,
											dass jeder arbeitet,
um einen klasse Job zu machen,
											wäre man vom Ergebnis überrascht.
									","
											Leçon n°1 : vos salariés sont des adultes.
											Nous avons créé tant de strates,
											de processus et de directives
											pour les garder à leur place
											que nous avons fini par avoir
des systèmes infantilisant les gens.
											Or, ils sont adultes.
											Des adultes formés viennent
travailler tous les jours.
											Ils ont des loyers, des obligations,
											ils font partie de la société
											et ils veulent changer le monde.
											Donc si on part du principe
											que les gens vont donner
leur meilleur au travail,
											vous serez surpris du résultat.
									",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
","
","
","
","
",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
"
											Lesson two: The job of management
isn't to control people,
											it's to build great teams.
											When managers build great teams,
here's how you know it.
											They've done amazing stuff.
											Customers are really happy.
											Those are the metrics that really matter.
											Not the metrics of:
""Do you come to work on time?""
											""Did you take your vacation?""
""Did you follow the rules?""
											""Did you ask for permission?""
									","
											İki: İdarenin görevi insanları
kontrol etmek değil,
											iyi ekipler oluşturmak.
											Harika bir ekip oluşturduğunuzu
nasıl bilirsiniz?
											Harika bir iş çıkarırlar.
											Müşteriler gerçekten mutludur.
											Bunlar önemi olan değerlendirmeler.
											Ama bunlar değil:
''İşe zamanında mı geldin?''
											''Tatil hakkını kullandın mı?''
''Kurallara uydun mu?''
											''İzin aldın mı?''
									","
											Lección 2: el trabajo de gestión
no es controlar a la gente,
											sino crear grandes equipos.
											Cuando los gerentes crean grandes equipos,
											lo sabemos porque han hecho
un gran trabajo.
											Los clientes están contentos.
											Ese es el parámetro que importa,
											no el parámetro de ""¿Llegas
puntual al trabajo?"",
											""¿Te tomaste vacaciones?"",
""¿Seguiste las reglas?"",
											""¿Pediste permiso?"".
									","
											Lektion zwei: Der Job des Managements
ist nicht, Leute zu kontrollieren,
											sondern top Teams zu bilden.
											Wenn Manager gute Teams
zusammenstellen, zeigt sich das so:
											Sie haben Geniales geschafft.
											Die Kunden sind zufrieden.
											Das sind die Metriken,
die wirklich wichtig sind.
											Nicht Metriken wie:
""Bist du pünktlich auf der Arbeit?""
											""Hast du Urlaub genommen?""
""Hast du den Regeln gehorcht?""
											""Hast du um Erlaubnis gefragt?""
									","
											Leçon n°2 : le travail de la direction
n'est pas de contrôler les gens,
											mais de créer des équipes de choc.
											Quand ils le font,
voilà comment vous le savez.
											Ils ont fait un super travail.
											Les clients sont satisfaits.
											Ce sont ces indicateurs
qui comptent vraiment.
											Pas les indicateurs comme
arriver à l'heure au travail,
											prendre des vacances, suivre les règles
											ou demander la permission.
									",8 lessons on building a company people enjoy working for,Patty McCord,5:10,"work-life balance,work,business,happiness"
