en,tr,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
											The humanitarian model has barely changed
											since the early 20th century.
											Its origins are firmly rooted
											in the analog age.
											And there is a major shift coming on the horizon.
											The catalyst for this change
											was the major earthquake that struck Haiti
											on the 12th of January in 2010.
											Haiti was a game changer.
											The earthquake destroyed the capital of Port-au-Prince,
											claiming the lives of some 320,000 people,
											rendering homeless
											about 1.2 million people.
											Government institutions were completely decapitated,
											including the presidential palace.
											I remember standing
											on the roof of the Ministry of Justice
											in downtown Port-au-Prince.
											It was about two meters high,
											completely squashed
											by the violence of the earthquake.
									","
											20. yüzyılın başından beri
											yardımlaşmanın modeli hemen hemen hiç değişmedi.
											Kökleri kesin bir şekilde
											analog çağa dayanıyor.
											Ve ufukta büyük bir değişiklik görünüyor.
											Bu değişimi hızlandıran etkense
											12 Ocak 2010'da Haiti'yi vuran
											büyük deprem oldu.
											Haiti oyunun kurallarını değiştirdi.
											Deprem, başkent Port-au-Prince'la birlikte
											320,000 insanın hayatını yok etti;
											yaklaşık 1.2 milyon insanı da
											evsiz bıraktı.
											Başkanlık sarayı da dahil olmak üzere
											devlet kurumlarının tümü yıkıldı.
											Port-au-Prince şehir merkezinde
											Adalet Bakanlığı'nın çatısında
											durduğumu hatırlıyorum.
											Yaklaşık iki metre yüksekliğindeydi,
											depremin etkisiyle
											tamamen yıkılmıştı.
									","
											El modelo humanitario ha cambiado poco
											desde principios del siglo XX.
											Sus orígenes están profundamente arraigados
											a ese período.
											Y se ve venir un gran cambio en el horizonte.
											El catalizador de este cambio
											fue el gran terremoto que azotó a Haití
											el 12 de enero de 2010.
											Haití cambió las cartas sobre la mesa.
											El terremoto destruyó la capital Puerto Príncipe
											cobrando la vida de unas 320.000 personas,
											dejando sin casa
											alrededor de 1,2 millones de personas.
											Se destruyeron totalmente las instituciones gubernamentales,
											incluyendo el palacio presidencial.
											Recuerdo que estaba
											en el tejado del Ministerio de Justicia
											en el centro de Puerto Príncipe.
											Estaba a unos dos metros de altura,
											completamente aplastado
											por la violencia del terremoto.
									","
											O modelo humanitário pouco mudou
											desde o inicio do século XX.
											As suas origens estão profundamente enraízadas
											na Era analógica.
											E está no horizonte uma grande mudança.
											O catalista para esta mudança
											foi o grande terramoto que atingiu o Haiti
											no dia 12 de Janeiro de 2010.
											O que aconteceu no Haiti foi inovador.
											O terramoto destruiu a capital Port-au-Prince,
											tirando a vida a algumas 320,000 pessoas,
											e tirando a casa
											a cerca de 1.2 milhões de pessoas.
											As instituições governamentais foram completamente destruídas,
											incluindo o palácio presidencial.
											Lembro-me de estar
											no telhado do Ministério da Justiça
											na baixa de Port-au-Prince.
											Tinha à volta de 2 metros de altura,
											completamente esmagado
											pela violêncai do terramoto.
									","
											Le modèle humanitaire n'a guère changé
											depuis le début du 20e siècle.
											Ses origines sont fermement enracinées
											dans l'ère analogique.
											Et il y a un changement majeur qui se profile à l'horizon.
											Le catalyseur de ce changement
											a été le tremblement de terre majeur qui a frappé Haïti
											le 12 Janvier en 2010.
											Haïti a changé la donne.
											Le séisme a détruit la capitale de Port-au-Prince,
											coûté la vie à quelques 320 000 personnes,
											et fait environ 1,2 millions
											de sans-abris.
											Les institutions gouvernementales ont été complètement décapitées,
											y compris le palais présidentiel.
											Je me revois debout
											sur le toit du ministère de la Justice
											dans le centre de Port-au-Prince.
											Il faisait environ deux mètres de haut,
											complètement écrasé
											par la violence du tremblement de terre.
									","
											Das Modell der humanitären Hilfe hat sich seit dem
											frühen 20. Jahrhundert kaum verändert.
											Die Ursprünge liegen tief verwurzelt
											im analogen Zeitalter.
											Und genau da deutet sich eine große Veränderung an.
											Auslöser für diese Veränderung
											war das starke Erdbeben auf Haiti
											am 12. Januar 2010.
											Seit Haiti gelten andere Spielregeln.
											Das Erdbeben zerstörte die Hauptstadt Port-au-Prince,
											kostete etwa 320 000 Menschen das Leben
											und zerstörte die Unterkünfte
											von etwa 1,2 Millionen Menschen.
											Regierungseinrichtungen wurden völlig vernichtet,
											der Präsidentenpalast inbegriffen.
											Ich erinnere mich, dass ich
											auf dem Dach des Justizministeriums
											in der Innenstadt von Port-au-Prince stand.
											Es war ungefähr zwei Meter hoch,
											komplett zerstört
											durch die schiere Macht des Erdbebens.
									",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
","
","
","
","
","
",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
											For those of us on the ground in those early days,
											it was clear for even the most disaster-hardened veterans
											that Haiti was something different.
											Haiti was something we hadn't seen before.
											But Haiti provided us with something else unprecedented.
											Haiti allowed us to glimpse into a future
											of what disaster response might look like
											in a hyper-connected world
											where people have access
											to mobile smart devices.
									","
											Bu tarz olayların daha ilk zamanlarında saha görevinde olan bizim gibiler
											ve hatta en kıdemlilerimiz için bile
											Haiti depreminin diğerlerinden tamamen farklı olduğu çok açıktı.
											Haiti depremi bizim daha önce hiç görmediğimiz bir şeydi.
											Ama Haiti depremi bize başka örneği olmayan bir şey daha gösterdi.
											Haiti bize, insanların akıllı telefonlara
											erişiminin olduğu
											hiper-bağlantılı bir dünyada
											afete müdahalenin nasıl olacağına dair
											geleceğe bir göz atmamızı sağladı.
									","
											Para los que estábamos en tierra en esos primeros días,
											e incluso para los veteranos más acostumbrados a los desastres, era evidente
											que Haití era un caso particular.
											Haití era algo que no habíamos visto antes.
											Pero Haití nos trajo algo sin precedentes.
											Nos permitió vislumbrar un futuro
											sobre la posible respuesta a los desastres
											en un mundo hiperconectado
											donde la gente tiene acceso
											a dispositivos móviles inteligentes.
									","
											Para aqueles de nós no local nos dias iniciais,
											foi claro até para os mais experientes veteranos
											que o que aconteceu no Haiti foi algo diferente.
											O Haiti foi algo que não tínhamos visto antes.
											Mas o Haiti deu-nos uma outra coisa sem precedentes.
											O Haiti permitiu-nos ter uma visão de um futuro
											de como uma resposta a um desastre deve ser
											num mundo hiper-conectado
											onde as pessoas têm acesso
											a dispositivos móveis.
									","
											Pour ceux d'entre nous sur le terrain dans les premiers jours,
											il était clair, même pour les plus endurcis des les vétérans des catastrophes
											que Haïti était quelque chose de différent.
											Haïti était quelque chose que nous n'avions jamais vu avant.
											Mais Haïti nous a fourni quelque chose d'autre sans précédent.
											Haïti nous a permis d'entrevoir un avenir
											de ce à quoi la réponse aux catastrophes pourrait ressembler
											dans un monde hyper-connecté
											où les gens ont accès
											à des appareils mobiles intelligents.
									","
											Unter denen, die von Beginn an vor Ort waren,
											war selbst den abgehärtetsten Katastrophenveteranen klar,
											dass Haiti etwas anderes war.
											So etwas wie Haiti hatten wir noch nicht vorher gesehen.
											Aber Haiti bot uns noch etwas nie zuvor Dagewesenes.
											Haiti erlaubte uns einen Blick in die Zukunft darüber,
											wie Katastrophenhilfe in einer
											hypervernetzten Welt aussehen könnte,
											in der die Menschen Zugang
											zu smarten Mobilfunkgeräten haben.
									",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
","
","
","
","
","
",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
											Because out of the urban devastation
											in Port-au-Prince
											came a torrent of SMS texts —
											people crying for help,
											beseeching us for assistance,
											sharing data, offering support,
											looking for their loved ones.
											This was a situation
											that traditional aid agencies had never before encountered.
											We were in one of the poorest countries on the planet,
											but 80 percent of the people
											had mobile devices in their hands.
											And we were unprepared for this,
											and they were shaping the aid effort.
									","
											Port-au-Prince'taki
											kentsel tahribat yüzünden
											SMS'lerden oluşan bir sağanak geldi —
											insanlar yardım istiyor,
											yardım etmemiz için yalvarıyor,
											veri paylaşıyor, desteklerini sunuyor,
											sevdiklerini arıyorlardı.
											Bu, geleneksel yardım kuruluşlarının
											daha önce hiç karşılaşmadığı bir durumdu.
											Dünyanın en fakir ülkelerinden birindeydik,
											ama insanların yüzde 80'inin
											ellerinde mobil cihazları vardı.
											Bu duruma karşı hazırlıksızdık
											ve yardım uğraşını onlar şekillendiriyordu.
									","
											Debido a la devastación urbana
											en Puerto Príncipe
											llegó un torrente de SMS:
											gente pidiendo ayuda,
											implorando asistencia,
											compartiendo información, ofreciendo apoyo,
											buscando a los seres queridos.
											Era una situación
											que las agencias de ayuda tradicionales nunca antes habían experimentado.
											Estábamos en uno de los países más pobres del planeta,
											sin embargo, el 80% de las personas
											tenía un dispositivo móvil.
											No estábamos preparados para esto,
											y ellos daban forma a los esfuerzos de ayuda.
									","
											Porque fora da devastação urbana
											em Port-au-Prince
											veio uma avalanche de mensagens SMS —
											pessoas a chorar por ajuda,
											a suplicar-nos assistência,
											a partilhar dados, a oferecer suporte,
											à procura dos seus entes queridos.
											Esta era uma situação
											que as agências tradicionais de ajuda nunca encontraram antes.
											Estavamos num dos países mais pobres do planeta,
											mas 80 por cento das pessoas
											tinha telemóveis nas suas mãos.
											E nós não estávamos preparados para isto,
											e eles estávam a moldar o esforço da ajuda.
									","
											Parce que de la dévastation urbaine
											à Port-au-Prince
											un torrent de textes SMS a déferlé -
											les gens qui criaient au secours,
											nous suppliant de les aider,
											qui partageaient des données, offraient un soutien,
											étaient à la recherche de leurs proches.
											C'était une situation
											que les associations humanitaires traditionnelles n'avaient jamais rencontrée.
											Nous étions dans l'un des pays les plus pauvres de la planète,
											mais 80 % des gens
											avaient des appareils mobiles entre leurs mains.
											Et nous n'étions pas préparés pour cela,
											et ils donnaient forme à l'aide.
									","
											Denn aus dieser städtischen Verwüstung
											in Port-au-Prince
											ergoss sich eine Sturzflut von SMS:
											Menschen, die um Hilfe riefen,
											uns um Beistand anflehten,
											Informationen teilten, Unterstützung anboten,
											nach ihren Angehörigen suchten.
											Mit einer solchen Situation
											waren die traditionellen Hilfsorganisationen noch nie zuvor konfrontiert.
											Wir befanden uns in einem der ärmsten Länder der Welt,
											aber 80 % der Menschen
											hatten Mobilfunkgeräte zur Hand.
											Darauf waren wir nicht vorbereitet
											und sie gaben den Hilfeleistungen Form.
									",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
","
","
","
","
","
",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
											Outside Haiti also, things were looking different.
											Tens of thousands of so-called digital volunteers
											were scouring the Internet,
											converting tweets
											that had already been converted from texts
											and putting these into open-source maps,
											layering them with all sorts of important information —
											people like Crisis Mappers and Open Street Map —
											and putting these on the Web for everybody —
											the media, the aid organizations and the communities themselves —
											to participate in and to use.
									","
											Haiti'nin dışında da her şey farklı gözüküyordu.
											On binlerce dijital gönüllü
											interneti tarıyor,
											yazılardan dönüştürülmüş
											tweetleri dönüştürüyor
											ve bunları açık-kaynaklı haritalara koyuyor,
											bir sürü önemli bilgiyle dolduruyorlardı —
											Crisis Mappers ve Open Street Map'teki gibi insanlar —
											ve bu bilgileri Web'e herkes için koyuyorlardı —
											medya, yardım kuruluşları ve toplulukların kendilerinin —
											katılmaları ve kullanmaları için.
									","
											Fuera de Haití también las cosas se veían diferentes.
											Miles de los llamados voluntarios digitales
											navegaban por Internet,
											convertían los tweets
											ya convertidos vía SMS
											y los ponían en mapas de código abierto,
											agregándoles todo tipo de información importante
											-gente como Crisis Mappers y Open Street Map-
											y poniéndola a disposición de todos en la Web
											-medios de comunicación, organizaciones de ayuda y las comunidades mismas-
											para que participaran y utilizaran.
									","
											Mesmo fora do Haiti, as coisas pareciam diferentes.
											Dezenas de milhar de ""voluntários digitais""
											estavam a vasculhar a internet,
											convertendo mensagens de twitter
											que já tinham sido convertidas de SMS's
											e colocando-as em mapas ""open-source"",
											inserindo camadas com todo o tipo de informação —
											pessoas como ""Crisis Mappers"" e ""Open Street Map"" —
											e disponibilizando-as na Internet para todos —
											os media, as organizações de ajuda e as comunidades em si —
											para participar e para usar.
									","
											En dehors d'Haïti aussi, les choses étaient différentes.
											Des dizaines de milliers de soi-disant volontaires numériques
											parcouraient Internet,
											convertissaient des tweets
											qui avait déjà été convertis à partir de sms
											et les mettaient sur des cartes open-source
											en y superposant toutes sortes d'informations importantes -
											des gens comme Crisis Mappers et Open Street Map -
											et les mettaient sur le web à la disposition de tout le monde —
											les médias, les organisations d'aide et les communautés elles-mêmes -
											pour qu'ils participent et les utilisent.
									","
											Auch außerhalb von Haiti sahen die Dinge anders aus.
											Zehntausende sogenannte digitale freiwillige Helfer
											durchsuchten das Internet,
											wandelten Tweets um,
											die vorher schon aus SMS umgewandelt worden waren,
											und legten sie in Open-Source-Karten an
											schichteten alle möglichen wichtigen Informationen darin übereinander –
											Leute wie Crisis Mappers und Open Street Map –
											und stellten sie für jeden zugänglich ins Internet –
											für Medien, Hilfsorganisationen und die Gemeinden selbst –
											um daran teilzunehmen und die Daten zu nutzen.
									",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
","
","
","
","
","
",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
"
											Back in Haiti,
											people were increasingly turning
											to the medium of SMS.
											People that were hungry and hurting
											were signaling their distress,
											were signaling their need for help.
											On street sides all over Port-au-Prince,
											entrepreneurs sprung up
											offering mobile phone charging stations.
											They understood more than we did
											people's innate need
											to be connected.
									","
											Haiti'deki insanlar
											git gide artan biçimde
											SMS diline dönüyorlardı.
											Acıkan ve canı acıyan insanlar
											sıkıntılarını belirtiyorlar,
											yardıma olan ihtiyaçlarını duyuruyorlardı.
											Port-au-Prince'ın tüm sokaklarında
											cep telefonu şarj eden istasyonlar
											sunan girişimciler türemişti.
											İnsanın doğuştan gelen
											iletişimde kalma dürtüsünü
											bizden çok daha iyi anlamışlardı.
									","
											Volviendo a Haití,
											la gente recurría cada vez más
											a los SMS.
											La gente hambrienta y herida
											manifestaba su angustia
											y la necesidad de ayuda.
											Por todos lados en las calles de Puerto Príncipe
											aparecieron empresarios
											ofreciendo estaciones de recarga de teléfonos móviles.
											Entendieron mejor que nosotros
											la necesidad instintiva
											de estar conectados.
									","
											De volta ao Haiti,
											as pessoas estavam a virar-se cada vez mais
											para a utilização de SMS.
											As pessoas estavam com fome, e em sofrimento
											estavam a sinalizar a sua angústia,
											estavam a sinalizar que precisavam de ajuda.
											Nas bermas da estrada por toda Port-au-Prince,
											empreendedores surgiram
											ofrecendo estações de carregamento de telemóveis.
											Eles perceberam melhor que nós
											a necessidade inata das pessoas
											de estarem conectadas.
									","
											Pendant ce temps en Haïti,
											les gens se tournaient de plus en plus
											vers l'utilisation des SMS.
											Les gens qui avaient faim et souffraient
											manifestaient leur détresse,
											manifestaient leur besoin d'aide.
											Sur les côtés des rues partout à Port-au-Prince,
											des entrepreneurs ont surgi
											en offrant des stations de recharge de téléphones portables.
											Ils ont compris plus que nous
											le besoin inné que les gens
											ont d'être connectés
									","
											In Haiti
											nutzten die Menschen zunehmend
											das Medium SMS.
											Hungrige und verletzte Menschen
											signalisierten ihre Not,
											signalisierten ihre Hilfebedürftigkeit.
											Überall in Port-au-Prince
											kamen Unternehmer hervor
											und boten Ladestationen für Mobiltelefone.
											Sie verstanden, weit besser als wir,
											das innere Bedürfnis der Menschen
											nach Verbundenheit.
									",How mobile phones power disaster relief,Paul Conneally,10:57,"TEDx,disaster relief,global issues,natural disaster,social media,technology"
