en,fr,tr,pt,de,title,speaker,duration,tags
"
","
","
","
","
",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
											(Cello music)
									","
											(Musique de violoncelle)
									","
											(Çello müziği)
									","
											(Música)
									","
											(Cellomusik)
									",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
","
","
","
","
",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
											(Music ends)
									","
											(Fin de la musique)
									","
											(Müzik sona erer)
									","
											(A música termina)
									","
											(Musik endet)
									",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
","
","
","
","
",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
											On the flight here,
											I was reminded about my mom.
											I'm a self-taught cellist,
I've never had a lesson.
											I studied double bass, but I just
picked up the cello and started playing
											because I love doing it.
											But my mom was an inspiration to me.
											I did not realize she was an inspiration,
											because she got her music degree
through a mail-order course,
											the US School of Music.
											While raising two kids,
											she received a lesson a week in the mail,
											and practiced.
											And at the end of a couple of years,
she put on a recital.
											And I'll be 50 this month,
and it took me that long to realize
											that she was that big of an inspiration.
											I'm just going to keep —
yeah, thanks, mom.
									","
											Dans l'avion, en venant ici,
											je me suis souvenu de ma mère.
											Je suis violoncelliste autodidacte,
je n'ai jamais eu de cours.
											J'ai étudié la contrebasse,
											mais j'ai juste pris 
le violoncelle et commencé à en jouer
											parce que j'adore ça.
											Mais ma mère m'a inspiré.
											Je n'ai pas réalisé qu'elle était
ma source d'inspiration,
											car elle a obtenu son diplôme en musique
											grâce à un cours par correspondance
de l'US School of Music.
											Tout en élevant deux enfants,
											elle recevait par courrier
une leçon par semaine
											et elle s'entraînait.
											Et après quelques années,
elle a donné un récital.
											J'aurai 50 ans ce mois-ci, et il m'a fallu
tout ce temps pour me rendre compte
											qu'elle était une source
d'inspiration si importante.
											Je vais juste continuer...
ouais, merci, maman.
									","
											Buraya yolculuğum esnasında
											annemi hatırladım.
											Çelloyu kendi başıma öğrendim,
hiç ders almadım.
											Çifte baz çalışmıştım ama sadece
çelloyu seçtim ve çalmaya başladım
											çünkü bunu çok seviyorum.
											Ancak ilham kaynağım annemdi.
											Onun ilham kaynağı olduğunu
fark etmemiştim,
											çünkü müzik diplomasını
posta yollu bir kursla almıştı;
											ABD Müzik Okulu.
											İki çocuk büyütürken
											posta yoluyla haftada bir ders geliyordu
											annem ona çalışıyordu.
											İki yılın ardından
bir resital gerçekleştirdi.
											Annemin böylesi büyük
bir ilham kaynağı olduğunun
											50. yaşıma gelene kadar
farkına varamamıştım.
											Ben sadece...
evet, teşekkürler, anne.
									","
											No voo para cá,
											lembrei-me da minha mãe.
											Sou violoncelista autodidata,
nunca tive aulas.
											Estudei contrabaixo, mas peguei
num violoncelo e comecei a tocar
											porque adoro fazê-lo.
											Mas a minha mãe foi
uma inspiração para mim.
											Não me apercebi que ela tinha
sido uma inspiração
											porque ela fez o curso de Música 
por correspondência,
											na Escola de Música dos EUA.
											Enquanto educava dois filhos,
											recebia uma lição por semana,
pelo correio
											e praticava.
											Ao fim de dois anos, fez um recital.
											Eu vou fazer 50 anos este mês, 
e levei este tempo todo a aperceber-me
											que ela tinha sido uma grande inspiração.
											Eu vou continuar...sim, obrigada mãe.
									","
											Auf dem Flug hierher,
											wurde ich an meine Mutter erinnert.
											Ich bin ein autodidaktischer Cellist,
ich hatte nie Unterricht.
											Ich habe Kontrabass gelernt,
											aber ich habe einfach angefangen,
Cello zu spielen, weil ich es liebe.
											Aber meine Mutter inspirierte mich.
											Ich merkte nicht,
dass sie mich inspirierte,
											weil sie ihren Musikabschluss
durch einen Fernkurs erlangt hatte,
											an der US School of Music.
											Während sie zwei Kinder großzog,
											erhielt sie pro Woche
eine Lektion in der Post
											und übte.
											Nach ein paar Jahren
hatte sie eine Aufführung.
											Ich werde diesen Monat 50 und ich habe
so lange gebraucht, um zu verstehen,
											dass sie eine so große
Inspiration für mich war.
											Ich werde einfach weitermachen —
ja, danke, Mama.
									",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
","
","
","
","
",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Applaus)
									",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
","
","
","
","
",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
"
											She's also one of the most
extraordinary people I know,
											beyond being a wonderful musician.
											I want to play a little bit for mom
and your moms as well, actually.
									","
											C'est aussi l'une des personnes 
les plus remarquables que je connaisse,
											en plus d'être
une musicienne exceptionnelle.
											En fait, je veux jouer un peu pour
ma maman et pour vos mamans aussi.
									","
											Kendisi aynı zamanda tanıdığım
en sıra dışı insanlardan,
											harika bir müzisyen olmanın da ötesinde.
											Hem kendi annem hem de
sizlerin anneleri için çalmak istiyorum.
									","
											Ela é também uma das pessoas 
mais extraordinárias que eu conheço,
											para além de ser uma música maravilhosa.
											Quero tocar um pouco para a minha mãe
e para as vossas mães também.
									","
											Abgesehen von einer wundervollen Musikerin
											ist sie eine der außergewöhnlichsten
Personen, die ich kenne.
											Ich möchte ein bisschen für meine Mutter
spielen, und auch für Ihre Mütter.
									",How my mom inspired my approach to the cello,Paul Rucker,4:11,"music,cello,performance art,performance,TED Fellows"
