en,es,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
											As other speakers have said, it's a rather daunting experience —
											a particularly daunting experience — to be speaking in front of this audience.
											But unlike the other speakers, I'm not going to tell you about
											the mysteries of the universe, or the wonders of evolution,
											or the really clever, innovative ways people are attacking
											the major inequalities in our world.
											Or even the challenges of nation-states in the modern global economy.
											My brief, as you've just heard, is to tell you about statistics —
											and, to be more precise, to tell you some exciting things about statistics.
											And that's —
											(Laughter)
											— that's rather more challenging
											than all the speakers before me and all the ones coming after me.
											(Laughter)
											One of my senior colleagues told me, when I was a youngster in this profession,
											rather proudly, that statisticians were people who liked figures
											but didn't have the personality skills to become accountants.
											(Laughter)
											And there's another in-joke among statisticians, and that's,
											""How do you tell the introverted statistician from the extroverted statistician?""
											To which the answer is,
											""The extroverted statistician's the one who looks at the other person's shoes.""
											(Laughter)
											But I want to tell you something useful — and here it is, so concentrate now.
											This evening, there's a reception in the University's Museum of Natural History.
											And it's a wonderful setting, as I hope you'll find,
											and a great icon to the best of the Victorian tradition.
											It's very unlikely — in this special setting, and this collection of people —
											but you might just find yourself talking to someone you'd rather wish that you weren't.
											So here's what you do.
											When they say to you, ""What do you do?"" — you say, ""I'm a statistician.""
											(Laughter)
											Well, except they've been pre-warned now, and they'll know you're making it up.
											And then one of two things will happen.
											They'll either discover their long-lost cousin in the other corner of the room
											and run over and talk to them.
											Or they'll suddenly become parched and/or hungry — and often both —
											and sprint off for a drink and some food.
											And you'll be left in peace to talk to the person you really want to talk to.
									","
											Como otros conferenciantes han dicho, es una experiencia bastante intimidante -
											una experiencia particularmente intimidante - hablar enfrente de esta audiencia.
											Pero a diferencia de los demás, yo no les voy a hablar acerca
											de los misterios del universo o de las maravillas de la evolución,
											o de las maneras ingeniosas, innovadoras, en que se están atacando
											las mayores desigualdades de nuestro mundo.
											O incluso de los retos de las naciones en la economía global moderna.
											Mi trabajo, como han oído, es hablarles de estadística —
											y, para ser más preciso, contarles algunas cosas apasionantes acerca de ella.
											Y eso es —
											(Risas)
											— eso es bastante más difícil
											que lo que han hecho todos los conferenciantes antes de mí y todos los que vengan después.
											(Risas)
											Uno de mis colegas me dijo, cuando yo era un novato en esta profesión,
											orgullosamente, que los estadísticos eran personas a quienes les gustaban los números
											pero no tenían la personalidad para ser contables.
											(Risas)
											Y hay otro chiste entre estadísticos que es:
											“¿Cómo distingues al estadístico introvertido del estadístico extrovertido?
											Cuya respuesta es,
											“El estadístico extrovertido es el que mira los zapatos de la otra persona.”
											(Risas)
											Pero quiero decirles algo útil – y aquí está, así que concéntrense.
											Esta tarde, hay una recepción en el Museo de Historia Natural de la Universidad.
											Y es un lugar maravilloso, como espero que noten,
											y un gran icono de lo mejor de la tradición victoriana.
											Es muy improbable – en este lugar especial, con este grupo de gente —
											pero puede ser que se encuentren hablando con alguien indeseable.
											Así que aquí está lo que deben hacer.
											Cuando les pregunten ”¿A qué se dedica?” Responden: “Soy estadístico”.
											(Risas)
											Bueno, excepto porque ahora están advertidos, y sabrán que se lo está inventando.
											Entonces una de dos cosas pasará.
											O descubrirán a un primo perdido en la otra esquina de la habitación
											y correrán a hablar con él,
											o de repente se sentirán sedientos y/o hambrientos – a menudo ambas—
											y correrán a por un trago y algo de comida.
											Y a usted lo dejarán en paz para hablar con la persona con quien realmente quería.
									","
											Comme d'autres conférenciers l'ont dit, c'est plutôt intimidant —
											particulièrement intimidant — de parler devant vous.
											Mais contrairement à d'autres, je ne vous parlerai pas
											des mystères de l'univers, des merveilles de l'évolution,
											ou des manières intelligentes et innovantes de s'attaquer
											aux grandes inégalités de notre monde.
											Ni même des défis des états-nations dans l'économie mondiale moderne.
											Mon exposé, comme on vous l'a annoncé, parle de statistiques —
											et, pour être plus précis, d'aspects vraiment passionnants desstatistiques .
											Et c'est —
											(Rires)
											— c'est plus un défi pour moi
											que pour tous les autres conférenciers avant et après moi.
											(Rires)
											Un de mes aînés m'a dit, quand je débutais dans ce métier,
											plutôt fièrement, que les statisticiens étaient des gens qui aimaient les chiffres
											mais n'avaient pas la personnalité requise pour devenir comptables.
											(Rires)
											Il y a une autre blague que les statisticiens font à propos d'eux-mêmes,
											""Quelle est la différence entre un statisticien introverti et un statisticien extraverti ?""
											Et la réponse est,
											""L'extraverti est celui qui regarde les chaussures de l'autre.""
											(Rires)
											Mais je veux vous parler de quelque chose d'utile — concentrez-vous.
											Ce soir, il y a une réception au musée d'histoire naturelle de l'université.
											Le cadre est magnifique, j'espère que vous en conviendrez,
											et il est très représentatif du meilleur de la tradition victorienne.
											Dans ce décor magnifique, avec tous ces gens réunis — c'est peu probable
											mais vous pourriez vous vous retrouver dans une conversation et vouloir en sortir.
											Dans ce cas voici ce que vous faites.
											Quand on vous demande, ""Que faites-vous dans la vie ?"" — vous dites, ""Je suis statisticien.""
											(Rires)
											Sauf que maintenant ils sont prévenus, et qu'ils sauront que vous mentez.
											Alors il peut se passer deux choses.
											Soit ils vont se trouver un lointain cousin à l'autre bout de la salle
											et courir pour aller lui parler.
											Soit ils vont soudain avoir très soif ou faim — et souvent les deux —
											et filer se servir à boire à ou manger.
											Et vous pourrez tranquillement parler avec qui vous voulez.
									","
											Wie schon andere vor mir gesagt haben, ist es eine recht einschüchternde Sache –
											eine besonders einschüchternde Erfahrung – vor dieser Zuhörerschaft zu sprechen.
											Aber im Gegensatz zu anderen Rednern werde ich Ihnen nichts von den
											Wundern des Universums oder den Wundern der Evolution erzählen,
											oder über die wirklich schlauen und innovativen Methoden, mit denen die Leute
											die größten Ungleichheiten auf der Welt angehen.
											Oder von den Herausforderungen der Nationalstaaten in der modernen globalen Wirtschaft.
											Mein Auftrag, wie sie es eben gehört haben, ist Ihnen etwas über Statistik zu erzählen –
											um noch genauer zu sein, Ihnen einige aufregende Dinge über Statistik zu erzählen.
											Und das ist –
											(Gelächter)
											– das ist noch viel herausfordernder
											als all die Redner vor mir und all die, die nach mir kommen werden.
											(Gelächter)
											Einer meiner älteren Kollegen sagte mir – als ich noch Berufsanfänger war –
											mit einigem Stolz, Statistiker seien Menschen, die Zahlen mögen,
											aber ohne besondere Fähigkeiten im Umgang mit Menschen, um Buchhalter zu werden.
											(Gelächter)
											Ein anderer Insiderwitz der Statistiker ist:
											""Wie kann man den introvertierten vom extrovertierten Statistiker unterscheiden?""
											Was beantwortet wird mit:
											""Der extrovertierte Statistiker sieht auf die Schuhe der Anderen.""
											(Gelächter)
											Aber ich will Ihnen etwas nützliches erzählen – also los geht's, konzentrieren Sie sich.
											Heute Abend ist ein Empfang im Museum für Naturgeschichte der Universität.
											Eine wunderbare Umgebung, wie Sie hoffentlich finden werden,
											und ein großartiges Symbol bester viktorianischer Tradition.
											Es ist sehr unwahrscheinlich – bei dieser speziellen Umgebung und dieser Auswahl an Personen –
											aber vielleicht geraten Sie in ein Gespräch mit jemandem, mit dem Sie lieber nicht reden wollen.
											Dann machen Sie Folgendes:
											Wenn man Sie fragt, ""Was machen Sie beruflich?"" – sagen Sie: ""Ich bin Statistiker.""
											(Gelächter)
											Nun, wenn sie nicht gewarnt wurden und wissen, dass Sie sich das ausdenken,
											wird eins von zwei Dingen passieren.
											Sie entdecken einen lang verschollenen Cousin am Ende des Raums
											und laufen zu ihm, um mit ihm zu reden.
											Oder sie werden plötzlich unglaublich durstig oder hungrig – meist beides –
											und laufen davon, um sich einen Drink und etwas zu essen zu besorgen.
											Dann haben Sie Ihre Ruhe und können mit einer Person Ihrer Wahl sprechen.
									","
											Como outros oradores já disseram,
											é uma experiência assustadora
falar em frente desta audiência.
											Mas, ao contrário dos outros oradores,
											não vou falar dos mistérios do universo
nem das maravilhas da evolução,
											nem das formas inteligentes e inovadoras
											com que as pessoas estão a atacar
as desigualdades no nosso mundo.
											Nem mesmo dos problemas das nações-estados
na moderna economia mundial.
											Como já ouviram dizer,
vou falar de estatísticas
											e, para ser mais preciso, vou falar
de coisas apaixonantes na estatística.
											(Risos)
											Para mim, é muito mais desafiador,
											do que todos os oradores antes de mim
e dos que vierem depois.
											(Risos)
											Um dos meus colegas mais velhos disse-me,
quando eu era novato nesta profissão,
											orgulhosamente, que os estatísticos
eram pessoas que gostavam de números,
											mas não tinham a personalidade necessária
para serem contabilistas.
											(Risos)
											Há uma outra piada,
entre os estatísticos, que é:
											""Qual a diferença entre um estatístico
introvertido e um extrovertido?""
											E a resposta é:
											""O estatístico extrovertido é aquele
que olha para os sapatos dos outros"".
											(Risos)
											Mas eu quero falar-vos de uma coisa
útil — cá vai, por isso concentrem-se.
											Esta noite, há uma receção no Museu
de História Natural da Universidade.
											É um ambiente magnífico,
espero que apreciem,
											é um muito representativo
do melhor da tradição vitoriana.
											É pouco provável — neste ambiente especial
e com este grupo de pessoas —
											mas talvez se encontrem a falar com alguém
com quem preferiam não falar.
											Nesse caso, façam o seguinte:
Quando vos perguntarem:
											""O que é que faz?"", digam:
""Sou estatístico"".
											(Risos)
											O pior é que agora já estão avisados
e sabem que vocês estão a fingir.
											Então, acontece uma destas duas coisas.
											Ou descobrem um primo distante
no outro canto da sala
											e vão a correr falar com ele,
											ou ficam com sede ou fome,
ou as duas coisas,
											e vão à procura duma bebida
e de qualquer coisa para comer.
											E vocês ficam à vontade para falarem
com a pessoa que pretendem.
									",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
","
","
","
","
",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
											It's one of the challenges in our profession to try and explain what we do.
											We're not top on people's lists for dinner party guests and conversations and so on.
											And it's something I've never really found a good way of doing.
											But my wife — who was then my girlfriend —
											managed it much better than I've ever been able to.
											Many years ago, when we first started going out, she was working for the BBC in Britain,
											and I was, at that stage, working in America.
											I was coming back to visit her.
											She told this to one of her colleagues, who said, ""Well, what does your boyfriend do?""
											Sarah thought quite hard about the things I'd explained —
											and she concentrated, in those days, on listening.
											(Laughter)
											Don't tell her I said that.
											And she was thinking about the work I did developing mathematical models
											for understanding evolution and modern genetics.
											So when her colleague said, ""What does he do?""
											She paused and said, ""He models things.""
											(Laughter)
											Well, her colleague suddenly got much more interested than I had any right to expect
											and went on and said, ""What does he model?""
											Well, Sarah thought a little bit more about my work and said, ""Genes.""
											(Laughter)
											""He models genes.""
									","
											Es uno de los retos de nuestra profesión intentar explicar lo que hacemos.
											No estamos en la cima de las listas de invitados a cenar, a charlar y a cosas así.
											Y es algo que nunca he encontrado cómo hacer.
											Pero mi esposa – entonces mi novia -
											lo logró mucho mejor de lo que yo jamás he podido.
											Hace muchos años, cuando empezábamos a salir, ella trabajaba para la BBC en Gran Bretaña,
											y yo estaba, en ese momento, trabajando en Estados Unidos.
											Yo estaba de vuelta visitándola.
											Le dijo lo siguiente a una de sus compañeras de trabajo, quien preguntó: “¿Bien, qué es lo que hace tu novio?”
											Sarah pensó bastante acerca de las cosas que yo le había explicado -
											y se concentró, aquellos días, en escuchar.
											(Risas)
											No le digan que dije eso.
											Y estaba pensando en el trabajo que yo hacía desarrollando modelos matemáticos
											para comprender la evolución y la genética modernas.
											Así que cuando su compañera le preguntó: “¿Qué hace?”
											Ella hizo una pausa y dijo: “Modela cosas”.
											(Risas)
											Bueno, su compañera súbitamente se interesó mucho más de lo que cabía esperar
											y siguió preguntando: “¿Qué es lo que modela?”
											Bien, Sarah pensó un poco más acerca de mi trabajo y dijo: “Genes”.
											(Risa)
											""Modela genes”.
									","
											C'est un des défis de notre profession d'essayer d'expliquer ce que nous faisons.
											Nous ne sommes pas les meilleurs convives dans les dîners en ville et les conversations mondaines...
											Et je ne suis pas vraiment doué pour cela.
											Mais ma femme — ma petite amie alors —
											le faisait beaucoup mieux que moi.
											Il y a longtemps, quand nous nous sommes rencontrés, elle travaillait pour la BBC en Grande Bretagne,
											et je travaillais, à ce moment-là, en Amérique.
											J'étais de retour pour la voir.
											Elle l'a dit à une de ses collèges, qui a demandé ""Et que fait-il dans la vie ?""
											Sarah s'est mise à réfléchir à ce que je lui avais raconté —
											et elle faisait l'effort d'écouter, à cette époque.
											(Rires)
											Ne lui dites pas que j'ai dit ça.
											Et elle pensait à mon travail sur la conception de modèles mathématiques
											pour comprendre l'évolution et la génétique moderne.
											Alors quand son collègue lui a dit ""Que fait-il?""
											Elle a hésité et a dit, ""Il fait du design""
											(Rires)
											Alors sa collègue s'est sentie vivement intéressée, étrangement,
											et elle a dit, ""Et que fait-il comme design ?""
											Alors Sarah a réfléchi un peu plus et a dit, ""des jeans"" (ndt gènes)
											(Rires)
											""Il design des jeans."" (des gènes)
									","
											Das ist eine der Herausforderungen unseres Berufs; der Versuch ihn zu erklären.
											Wir stehen nie oben auf der Gästeliste einer Dinnerparty oder bei Unterhaltungen.
											Und ich habe auch nie wirklich einen guten Weg dafür gefunden.
											Meine Frau jedoch – die damals noch meine Freundin war –
											kam damit viel besser zurecht, als ich es je konnte.
											Vor vielen Jahren, als wir begannen auszugehen, arbeitete sie für BBC in England,
											und ich arbeitete damals in Amerika.
											Ich kam zu Besuch.
											Sie erzählte das einem ihrer Kollegen, der sagte ""Nun, was macht er denn beruflich?""
											Sarah dachte angestrengt an die Dinge, die ich ihr erklärt hatte –
											und sie hörte damals aufmerksam zu.
											(Gelächter)
											Sagen sie ihr nicht, dass ich das gesagt habe.
											Und sie dachte über meine Arbeit an mathematischen Modellen nach,
											die ein Verständnis von Evolution und moderner Genetik fördern sollten.
											Als ihr Kollege also fragte: ""Was macht er beruflich?""
											Machte sie ein Pause und sagte, ""Er modelliert Dinge.""
											(Gelächter)
											Nun, ihr Kollege wurde plötzlich viel neugieriger als ich hätte erwarten dürfen,
											und fragte weiter, ""Was modelliert er?""
											Tja, Sarah dachte ein wenig mehr über meine Arbeit nach und sagte, ""Gene.""
											(Gelächter)
											""Er modelliert Gene.""
									","
											É um dos problemas na nossa profissão
tentar explicar o que fazemos.
											Não somos os melhores convivas
para jantares nem para conversas.
											E é uma coisa
para que nunca tive muito jeito
											Mas a minha mulher — que, na altura,
era minha namorada —
											conseguia-o muito melhor do que eu.
											Há muitos anos, quando começámos a sair,
ela trabalhava para a BBC, na Grã-Bretanha
											e eu, naquela altura, trabalhava nos EUA.
											Eu tinha vindo visitá-la.
											Ela disse isso a uma colega,
que perguntou:
											""O que é que o teu namorado faz?""
											Sarah pôs-se a refletir
nas coisas que eu lhe contava
											— naquele tempo, fazia um esforço
para me escutar.
											(Risos)
											Não lhe digam que eu contei isto.
											Pensava no trabalho que eu fazia
a desenvolver modelos matemáticos
											para compreender a evolução
e a genética moderna.
											Por isso, quando a colega perguntou:
""O que é que ele faz?""
											ela respondeu: ""Modela coisas"".
											(Risos)
											A colega ficou muito mais interessada
do que eu tinha o direito a esperar
											e continuou a perguntar:
""O que é que ele modela?""
											Sarah pensou um pouco mais
no meu trabalho e disse: ""Genes"".
											(Risos)
											""Modela genes"".
									",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
","
","
","
","
",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
											That is my first love, and that's what I'll tell you a little bit about.
											What I want to do more generally is to get you thinking about
											the place of uncertainty and randomness and chance in our world,
											and how we react to that, and how well we do or don't think about it.
											So you've had a pretty easy time up till now —
											a few laughs, and all that kind of thing — in the talks to date.
											You've got to think, and I'm going to ask you some questions.
											So here's the scene for the first question I'm going to ask you.
											Can you imagine tossing a coin successively?
											And for some reason — which shall remain rather vague —
											we're interested in a particular pattern.
											Here's one — a head, followed by a tail, followed by a tail.
									","
											Este es mi primer amor, y de ello les voy a hablar un poco.
											Lo que sobre todo quiero conseguir es que piensen acerca
											del lugar que la incertidumbre, el azar y la probabilidad ocupan en nuestro mundo,
											y cómo reaccionamos frente a ello, y que tan bien razonamos o no respecto a esto.
											Así que lo han tenido bastante fácil hasta ahora —
											algunas risas y cosas por el estilo – en las conferencias hasta ahora.
											Tienen que pensar, y voy a hacerles algunas preguntas.
											Así que aquí está el escenario de la primera pregunta que tengo:
											¿Pueden imaginarse lanzando una moneda sucesivamente?
											Y por alguna razón – la cual tendrá que quedar sin precisar —
											estamos interesados en un patrón en particular.
											Aquí hay uno: cara, seguida de cruz, seguida de otra cruz.
									","
											C'est mon premier amour, je n'en dirai pas plus.
											Plus généralement je voudrais que vous pensiez
											au rôle de l'incertain, de l'aléatoire et du hasard dans notre monde,
											comment nous y réagissons, et comment nous voyons les choses.
											Bon. Ca a été plutôt facile pour vous jusqu'ici —
											vous avez ri, etc — dans les conférences jusqu'à celle-ci.
											Vous allez devoir réfléchir, et je vais vous poser des questions.
											Pour ma première question, imaginez la situation suivante.
											Si vous lancez une pièce plusieurs fois d'affilée,
											Pour une raison donnée — que je n'expliquerai pas pour le moment —
											nous nous intéressons à un séquence particulière.
											En voici une — face, suivi de pile, suivi de pile.
									","
											Das ist meine erste Liebe, und darüber werde ich Ihnen ein klein wenig erzählen.
											Etwas allgemeiner will ich Sie dazu bewegen, darüber nachzudenken,
											welchen Stellenwert Unsicherheit und Wahllosigkeit und Zufall in unserer Welt haben,
											wie wir darauf reagieren und wie gut oder nicht wir darüber nachdenken.
											Bis jetzt war es für Sie ziemlich einfach –
											einige Lacher, und all so was – in den Vorträgen bislang.
											Sie denken jetzt, ich werde Ihnen einige Fragen stellen.
											Hier also die Szene für meine erste Frage an Sie:
											Können Sie sich vorstellen, wieder und wieder eine Münze zu werfen?
											Und aus einem bestimmten Grund – der recht vage bleiben soll –
											interessiert uns ein bestimmtes Muster.
											Dieses zum Beispiel – Kopf, dann Zahl, dann Zahl.
									","
											É esse o meu primeiro amor,
e não vos digo mais nada sobre isso.
											O que eu queria, de modo geral,
é pôr-vos a pensar
											no papel da incerteza, do aleatório
e do acaso, no nosso mundo,
											e como reagimos a isso,
como pensamos nisso, bem ou mal.
											Vocês já passaram um bom bocado,
até agora
											— umas gargalhadas, e isso tudo —
nas palestras até aqui.
											Vão ter que pensar e eu vou fazer
umas perguntas.
											Este é o cenário para a primeira pergunta
que vou fazer.
											Imaginem uma moeda
a ser lançada ao ar, sucessivamente.
											Por alguma razão
— que se vai manter bastante vaga —
											estamos interessados num padrão especial.
											É este — uma cara, seguida
por uma coroa, seguida por uma coroa
									",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
","
","
","
","
",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
											So suppose we toss a coin repeatedly.
											Then the pattern, head-tail-tail, that we've suddenly become fixated with happens here.
											And you can count: one, two, three, four, five, six, seven, eight, nine, 10 —
											it happens after the 10th toss.
											So you might think there are more interesting things to do, but humor me for the moment.
											Imagine this half of the audience each get out coins, and they toss them
											until they first see the pattern head-tail-tail.
											The first time they do it, maybe it happens after the 10th toss, as here.
											The second time, maybe it's after the fourth toss.
											The next time, after the 15th toss.
											So you do that lots and lots of times, and you average those numbers.
											That's what I want this side to think about.
									","
											Así que supongan que lanzamos una moneda repetidamente.
											Entonces la pauta cara-cruz-cruz, con la que nos hemos obsesionado, aparece.
											Y pueden contar: uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez —
											ocurre después del décimo lanzamiento.
											Deben de pensar que hay cosas más interesantes que hacer, pero síganme la corriente un momento.
											Imagínense que cada uno en este lado de la audiencia saca una moneda y la lanza
											hasta que logra el patrón cara-cruz-cruz.
											La primera vez que lo hacen, tal vez pase después del décimo lanzamiento, como aquí.
											La segunda vez, tal vez sea después del cuarto.
											Y la próxima, después del decimoquinto.
											Así que lanzan la moneda muchas, muchas veces, y calculan la media de esos números.
											En eso es en lo que quiero que este lado piense.
									","
											Supposez donc que nous lancions une pièce plusieurs fois de suite.
											La séquence, face-pile-pile, qui nous tient à coeur, se produit.
											Si l'on compte : un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix —
											elle se produit après le 10e lancer.
											Vous pouvez penser qu'il y a des choses plus intéressantes à faire, mais laissez moi poursuivre.
											Imaginez que cette moitié d'entre vous a des pièces, et les lance
											jusqu'à voir la séquence face-pile-pile.
											La première fois, ça se passera peut-être après le 10e lancer, comme ici.
											La seconde fois, ce sera peut-être après le 4e lancer.
											La fois suivante, après le 15e.
											Vous relancez de nombreuses fois, et vous calculez la moyenne de ces chiffres.
											Je veux que ce côté de la salle y réfléchisse.
									","
											Stellen wir uns vor, wir werfen wiederholt eine Münze.
											Dann kommt das Muster auf das wir jetzt so gespannt sind.
											Und wir zählen: eins, zwei, drei, vier, fünf, sechs, sieben, acht, neun, zehn –
											es kommt nach dem zehnten Wurf.
											Sie können sich vielleicht interessantere Dinge vorstellen, aber tun Sie mir den Gefallen.
											Stellen Sie sich diese Hälfte des Publikums vor, jeder nimmt eine Münze und wirft sie,
											bis zum ersten Mal das Kopf-Zahl-Zahl-Muster auftaucht.
											Beim ersten Mal kommt es vielleicht nach dem zehnten Wurf, wie hier.
											Beim zweiten Mal vielleicht beim vierten Wurf.
											Beim nächsten Mal nach dem 15. Wurf.
											Sie machen das viele, viele Male und mitteln diese Zahlen.
											Ich möchte, dass diese Seite darüber nachdenkt.
									","
											Suponham que atiram
uma moeda ao ar, repetidas vezes.
											Então, o padrão caras-coroa-coroa,
que escolhemos, ocorre aqui.
											Podemos contar: um, dois, três, quatro,
cinco, seis, sete, oito, nove, dez
											— acontece após o 10.º lançamento.
											Podem pensar que há coisas 
mais interessantes para fazer,
											mas tenham paciência.
											Imaginem que esta metade da audiência
tem moedas e as lançam ao ar,
											até que veem o padrão
cara-coroa-coroa.
											Pode acontecer que a primeira vez
ocorra depois do 10.º lançamento.
											A segunda vez talvez após o quarto.
											A vez seguinte, após o 15.º.
											Fazemos muitos lançamentos
e tiramos a média a esses números.
											É nisso que eu quero que este lado pense.
									",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
","
","
","
","
",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
"
											The other half of the audience doesn't like head-tail-tail —
											they think, for deep cultural reasons, that's boring —
											and they're much more interested in a different pattern — head-tail-head.
											So, on this side, you get out your coins, and you toss and toss and toss.
											And you count the number of times until the pattern head-tail-head appears
											and you average them. OK?
											So on this side, you've got a number —
											you've done it lots of times, so you get it accurately —
											which is the average number of tosses until head-tail-tail.
											On this side, you've got a number — the average number of tosses until head-tail-head.
									","
											El otro lado de la audiencia no quiere cara-cruz-cruz —
											piensan que, por razones culturales, es aburrido —
											y están mucho más interesados en otro patrón – cara-cruz-cara.
											Así que en este lado, sacan sus monedas, y las lanzan y lanzan y lanzan.
											Y cuentan los lanzamientos hasta que el patrón cara-cruz-cara aparece
											y sacan la media. ¿De acuerdo?
											Así que en este lado, tienen un número —
											lo han hecho muchas veces, así que el número es preciso –
											que es el número promedio de volados hasta conseguir cara-cruz-cruz.
											En este lado, tienen otro número – el número promedio de lanzamientos hasta conseguir cara-cruz-cara.
									","
											L'autre moitié de l'assistance, elle, n'aime pas face-pile-pile —
											ils trouvent ça ennuyeux, pour d'obscures raisons culturelles —
											et ils sont plus intéressés par une séquence différente — face-pile-face.
											Donc, de ce côté; vous prenez vos pièces, et vous les lancez et relancez.
											Et vous comptez le nombre de lancers jusqu'à la séquence face-pile-face
											et vous faites la moyenne. OK ?
											De ce côté-ci, vous obtenez un nombre —
											Vous l'avez beaucoup fait, donc vous obtenez un nombre exact —
											le nombre moyen de lancers pour obtenir face-pile-pile.
											De ce côté-là — le nombre moyen de lancers jusqu'à face-pile-face.
									","
											Die andere Hälfte des Publikums mag Kopf-Zahl-Zahl nicht –
											aus tiefgehenden, kulturellen Gründen halten sie es für langweilig –
											und finden ein anderes Muster viel interessanter – Kopf-Zahl-Kopf.
											Auf dieser Seite nehmen Sie also Ihre Münzen hervor und werfen sie immer wieder.
											Sie zählen, wie oft Sie werfen bis das Kopf-Zahl-Kopf-Muster erscheint,
											und Sie mitteln die Zahlen. Klar?
											Auf dieser Seite haben Sie also eine Zahl –
											und weil Sie oft geworfen haben, ist sie recht genau –
											sie ist die durchschnittliche Anzahl der Würfe bis Kopf-Zahl-Zahl kommt.
											Auf dieser Seite haben Sie eine Zahl – die durchschnittliche Anzahl der Würfe bis Kopf-Zahl-Kopf kommt.
									","
											A outra metade da audiência
não gosta de cara-coroa-coroa.
											Por profundas razões culturais,
pensam que é aborrecida.
											Estão mais interessados
noutro padrão — cara-coroa-cara.
											Deste lado, recebem as moedas
e começam os lançamentos.
											Contam o número de vezes,
até aparecer o padrão cara-coroa-cara
											e fazem a média. Ok?
											Então, deste lado, têm um número
											— fizeram isso montes de vezes,
têm um número exato —
											que é o número médio
de lançamentos até cara-coroa-coroa.
											Deste lado, têm o número médio
de lançamentos até cara-coroa-cara.
									",How juries are fooled by statistics,Peter Donnelly,21:20,"culture,genetics,science,statistics,technology"
