es,en,fr,tr,title,speaker,duration,tags
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Hay algo que me gustaría mostrarles.
									","
											There's something that I'd like you to see.
									","
											Il y a quelque chose que j'aimerais vous montrer.
									","
											Görmenizi istediğim bir şey var.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											(Video) Periodista: Se trata de una historia 
que conmovió profundamente
											a millones de personas en China:
											el video de una niña de dos años
											que es atropellada por una camioneta, y es dejada sangrando en la calle por los transeúntes,
											es un video demasiado gráfico como para mostrarlo.
											Todo el accidente fue filmado.
											El conductor frena 
luego de haber atropellado a la niña,
											las ruedas traseras quedan encima de ella por más de un segundo.
											Y en el lapso de dos minutos, tres personas 
pasaron por al lado de Wang Yue.
											El primero, pasa por al lado de la niña herida 
y la ignora por completo
											Otros la miran antes de seguir su camino.
									","
											(Video) Reporter: It's a story that's deeply unsettled
											millions in China:
											footage of a two-year-old girl
											hit by a van and left bleeding in the street by passersby,
											footage too graphic to be shown.
											The entire accident is caught on camera.
											The driver pauses after hitting the child,
											his back wheels seen resting on her for over a second.
											Within two minutes, three people pass two-year-old Wang Yue by.
											The first walks around the badly injured toddler completely.
											Others look at her before moving off.
									","
											(Vidéo) Journaliste : C'est une histoire
qui a profondément choqué
											des millions de personnes en Chine :
											la vidéo d'une fillette de deux ans
											percutée par une camionnette et laissée pour morte dans la rue devant les passants,
											une vidéo trop choquante pour être montrée.
											Tout a été enregistré par la caméra.
											Le conducteur s’arrête après avoir percuté l'enfant,
											ses roues arrières encore sur l'enfant
pendant plus d'une seconde.
											En deux minutes, trois personnes passent
à côté de Wang Yue.
											Le premier évite complètement l'enfant blessé.
											Les autres la regardent
avant de continuer leur chemin.
									","
											(Video) Sunucu: Çin’de milyonları derinden 


											sarsmış bir olay bu: 
Gösterilemeyecek kadar
											rahatsız edici görüntülerde
											iki yaşındaki bir kıza minibüs çarpıyor
											ve gelip geçenler kızı sokakta 
yaralı hâlde bırakıyor.
											Kaza olduğu gibi kameralara yansımış.
											Sürücü çocuğa çarptıktan sonra duraksıyor,
											arka tekerleklerinin
bir saniyeden uzun bir süre
											çocuğun üzerinde kaldığı görülüyor.
											İki dakika içerisinde üç kişi
											iki yaşındaki Wang Yue’nin
yanından geçiyor.
											İlki ağır yaralı çocuğun 
çevresinden dolanıyor.
											Diğerleri ise devam etmeden önce 
çocuğa bakıyor.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Peter Singer: También pasaron otras personas
											al lado de Wang Yue,
											y una segunda camioneta 
pasó por encima de sus piernas
											antes de que un barrendero público 
alertara al respecto.
											La llevaron de urgencia al hospital, 
pero ya era muy tarde. Y murió.
									","
											Peter Singer: There were other people
											who walked past Wang Yue,
											and a second van ran over her legs
											before a street cleaner raised the alarm.
											She was rushed to hospital, but it was too late. She died.
									","
											Peter Singer : D'autres personnes
											sont passées devant Wang Yue,
											et une deuxième camionnette
a roulé sur ses jambes
											avant qu'un balayeur ne donne l'alerte.
											Elle fut emmenée rapidement à l’hôpital, 
mais c'était trop tard. Elle est morte.
									","
											Peter Singer : 
Wang Yue’nin yanından geçip giden
											başka kişiler de vardı
											ve bir sokak temizlik görevlisi 
olaya dikkat çekmeden önce
											çocuğun bacaklarının üzerinden 
ikinci bir minibüs daha geçti.
											Onu apar topar hastaneye götürdüler, 
ancak çok geçti. Ölmüştü.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Me pregunto cuántos de Uds., observando esto,
											se dijeron en este momento, 
""Yo no habría hecho eso.
											Me habría detenido a ayudar"".
											Levanten sus manos si pensaron esto.
									","
											I wonder how many of you, looking at that,
											said to yourselves just now, ""I would not have done that.
											I would have stopped to help.""
											Raise your hands if that thought occurred to you.
									","
											Je me demande combien d'entre vous,
en regardant ça,
											se disent : « Je n'aurais pas fait ça.
											Je me serais arrêté pour l'aider. »
											Levez votre main si vous vous êtes dit ça.
									","
											Şimdi, aranızdan kaç kişinin 
olan bitene bakıp
											kendi kendine 
“Ben olsaydım böyle yapmazdım,
											durup yardım ederdim” 
dediğini merak ediyorum.
											Aklınızdan bu geçtiyse elinizi kaldırın.
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
","
","
","
",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
"
											Tal como pensé, son la mayoría.
											Y les creo. Estoy seguro de que tienen razón.
											Pero antes de que se den tanto crédito,
											miren esto.
											UNICEF informa que en 2011,
											6,9 millones de niños menores de 5 años,
											murieron de enfermedades prevenibles,
relacionadas con la pobreza.
											UNICEF cree que eso es una buena noticia
											porque esta cifra ha disminuido de forma continua
											de los 12 millones en 1990. Y eso es bueno.
											Pero aun así, 6,9 millones
											son 19.000 niños que mueren a diario.
											¿Realmente importa
											que no estemos pasando por su lado en las calles?
											¿Importa de verdad que estén lejos?
											No creo que eso haga
una diferencia moral relevante.
											El hecho de que no estén frente a nosotros,
											el hecho de que, por supuesto, 
sean de otra nacionalidad,
											o raza; nada de eso 
me parece moralmente relevante.
											Lo que realmente importa
											es saber si podemos reducir esa tasa de mortalidad.
											¿Podemos salvar algunos de esos 19.000 niños 
que mueren a diario?
									","
											As I thought, that's most of you.
											And I believe you. I'm sure you're right.
											But before you give yourself too much credit,
											look at this.
											UNICEF reports that in 2011,
											6.9 million children under five
											died from preventable, poverty-related diseases.
											UNICEF thinks that that's good news
											because the figure has been steadily coming down
											from 12 million in 1990. That is good.
											But still, 6.9 million
											is 19,000 children dying every day.
											Does it really matter
											that we're not walking past them in the street?
											Does it really matter that they're far away?
											I don't think it does make a morally relevant difference.
											The fact that they're not right in front of us,
											the fact, of course, that they're of a different nationality
											or race, none of that seems morally relevant to me.
											What is really important is,
											can we reduce that death toll? Can we save
											some of those 19,000 children dying every day?
									","
											Je m'y attendais, la plupart d'entre vous.
											Je vous crois.
Je suis sûr que vous êtes sincères.
											Mais avant de vous accorder trop d'estime,
											regardez ça.
											L'UNICEF a rapporté qu'en 2011
											6,9 millions d'enfants de moins de cinq ans
											sont morts à cause de maladies évitables
liées à la pauvreté.
											L'UNICEF pense que c'est une bonne nouvelle
											car ce chiffre a constamment baissé
											depuis celui de 12 millions en 1990. 
C'est une bonne nouvelle.
											Mais 6,9 millions,
											c'est encore 19000 enfants
qui meurent chaque jour.
											Est-ce que ça change quelque chose
											que l'on ne passe pas devant eux dans la rue ?
											Est-ce que ça importe qu'ils soient loin ?
											Je ne pense pas que
cela soit une différence moralement excusable.
											Le fait qu'ils ne soient pas devant nous,
											le fait, bien sûr,
qu'ils soient de nationalité différente,
											d'origine différente,
rien ne me paraît moralement pertinent.
											Ce qui est vraiment important est,
											est- ce qu'on peut réduire le nombre de victimes ?
Peut-on sauver
											certains de ces 19000 enfants ?
									","
											Düşündüğüm gibi, çoğunluksunuz.
											Ve size inanıyorum. 
Doğru söylediğinize eminim.
											Ama kendinize fazlaca değer biçmeden önce
											şuna bir bakın.
											UNICEF, 2011’de beş yaş altı 
6,9 milyon çocuğun
											önlenebilir, yoksulluk kaynaklı
											hastalıklardan öldüğünü bildirmiş.
											UNICEF’e göre bu iyi haber,
											çünkü bu sayı 1990’daki
12 milyon ölümden beri
											istikrarlı bir şekilde düşüyor. Bu iyi.
											Ama yine de yılda 6,9 milyon
											her gün 19.000 çocuğun ölmesi demek.
											Sokakta yanlarından geçmiyor
											olmamız gerçekten önemli mi?
											Uzakta olmaları gerçekten önemli mi?
											Ben bunun ahlaki açıdan 
bir fark yarattığını düşünmüyorum.
											Bana kalırsa hemen karşımızda olmamaları,
											farklı bir ulustan ya da ırktan olmaları,
											bunların hiçbiri ahlaki açıdan 
bir fark yaratmıyor.
											Asıl önemli olan şu:
											Ölüm sayısını düşürebilir miyiz?
											Her gün ölen 19.000 çocuktan
bazılarını kurtarabilir miyiz?
									",The why and how of effective altruism,Peter Singer,17:19,"global issues,philanthropy,philosophy,social change"
