es,en,de,title,speaker,duration,tags
"
","
","
","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
											Mi momento de verdad
											no llegó de una sola vez.
											En 2010, tuve la oportunidad 
de ser considerada
											para un ascenso en mi trabajo
											a directora de 
política de planificación
											en el Departamento de Estado de EE. UU.
											Era mi momento para inclinarme,
											impulsarme hacia adelante
											por lo que realmente es 
uno de un puñado
											de puestos de trabajo muy 
altos en política exterior,
											y acababa de terminar un 
gran proyecto de 18 meses
											para la Secretaria Clinton, con éxito,
											y sabía que podía hacerme 
cargo de un trabajo mayor.
									","
											So my moment of truth
											did not come all at once.
											In 2010, I had the chance to be considered
											for promotion from my job
											as director of policy planning
											at the U.S. State Department.
											This was my moment to lean in,
											to push myself forward
											for what are really only a handful
											of the very top foreign policy jobs,
											and I had just finished a big, 18-month project
											for Secretary Clinton, successfully,
											and I knew I could handle a bigger job.
									","
											Mein Moment der Wahrheit
											kam nicht mit einem Schlag.
											Im Jahr 2010 hatte ich die Gelegenheit,
											für eine Beförderung
											zur Leiterin des Planungsstabes
											im US-Außenministerium
vorgeschlagen zu werden.
											Das war mein Moment,
um aufs Ganze zu gehen,
											mich ins Zeug zu legen,
											für eine der wirklich seltenen
											hohen Funktionen im Außenministerium.
											Ich hatte gerade ein großes
18-monatiges Projekt
											für Ministerin Clinton erfolgreich beendet
											und wusste, dass ich einer
größeren Aufgabe gewachsen sein würde.
									","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
","
","
","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
											La mujer que pensé que era
											hubiera dicho que sí.
											Pero había estado viajando 
diariamente durante dos años
											entre Washington y Princeton, New Jersey,
											donde mi esposo y mis 
dos hijos adolescentes vivían,
											y eso no estaba yendo bien.
											Medité la idea de seguir otros dos años
											en Washington, o tal vez 
desarraigar a mis hijos
											de su escuela y a mi esposo de su trabajo,
											y pedirles que se unieran a mí.
											Pero en el fondo, sabía que
											la decisión correcta era ir a casa,
											incluso no reconociendo 
plenamente a la mujer
											que estaba tomando esa elección.
									","
											The woman I thought I was
											would have said yes.
											But I had been commuting for two years
											between Washington and Princeton, New Jersey,
											where my husband and my two teenage sons lived,
											and it was not going well.
											I tried on the idea of eking out another two years
											in Washington, or maybe uprooting my sons
											from their school and my husband from his work
											and asking them to join me.
											But deep down, I knew
											that the right decision was to go home,
											even if I didn't fully recognize the woman
											who was making that choice.
									","
											Die Frau, die ich zu sein glaubte,
											hätte ja gesagt.
											Aber ich war seit zwei Jahren
											zwischen Washington und
Princeton in New Jersey gependelt,
											wo mein Mann und meine beiden
jugendlichen Söhne lebten,
											und es lief nicht gut.
											Ich erwog, zwei weitere Jahre
in Washington durchzuhalten,
											oder meine Söhne aus ihrer Schule
											und meinen Mann
von seiner Arbeit loszureißen
											und sie zu bitten, zu mir zu kommen.
											Aber tief im Innern wusste ich,
											dass die richtige Entscheidung war, 
nach Hause zu gehen,
											auch wenn ich die Frau,
die diese Entscheidung traf,
											gar nicht richtig wieder erkannte.
									","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
","
","
","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
											Esa era una decisión basada en el amor
											y la responsabilidad.
											Yo no podía seguir viendo a mi hijo mayor
											tomar malas decisiones
											sin poder estar allí para él
											cuando y si él me necesitaba.
											Pero el verdadero cambio 
llegó de forma más gradual.
											Durante el año siguiente,
											mientras mi familia estaba enderezándose,
											comencé a darme cuenta de
											que incluso si pudiera 
volver atrás al gobierno,
											no quería hacerlo.
											No quería perderme los últimos cinco años
											en que mis hijos estarían en casa.
											Finalmente me permití a mí misma aceptar
											lo que era realmente 
más importante para mí,
											no lo que estaba condicionada a querer
											o tal vez lo que me había condicionado 
a mí misma a querer,
											y esa decisión dio lugar a 
una nueva valoración
											de la narrativa feminista 
con la que crecí
											y que siempre he defendido.
									","
											That was a decision based on love
											and responsibility.
											I couldn't keep watching my oldest son
											make bad choices
											without being able to be there for him
											when and if he needed me.
											But the real change came more gradually.
											Over the next year,
											while my family was righting itself,
											I started to realize
											that even if I could go back into government,
											I didn't want to.
											I didn't want to miss the last five years
											that my sons were at home.
											I finally allowed myself to accept
											what was really most important to me,
											not what I was conditioned to want
											or maybe what I conditioned myself to want,
											and that decision led to a reassessment
											of the feminist narrative that I grew up with
											and have always championed.
									","
											Es war eine Entscheidung aus Liebe
											und Verantwortungsgefühl.
											Ich konnte meinem ältesten Sohn
nicht länger zusehen,
											wie er schlechte Entscheidungen traf,
											ohne für ihn da sein zu können,
											wenn und falls er mich bräuchte.
											Aber der eigentliche Wandel
kam schrittweise.
											Im folgenden Jahr,
											während meine Familie
wieder zu sich fand,
											wurde mir klar,
											dass, selbst wenn ich zur Regierung
zurückkehren könnte,
											ich dies nicht wollte.
											Ich wollte die letzten fünf Jahre,
											die meine Söhne zu Hause verbrachten,
nicht verpassen.
											Schließlich erlaubte ich mir,
zu akzeptieren,
											was für mich wirklich
an erster Stelle stand;
											nicht, was ich zu wollen
konditioniert war
											oder mich selbst zu wollen
konditioniert hatte.
											Diese Entscheidung führte
zu einer Neubewertung
											des feministischen Leitbildes,
mit dem ich aufgewachsen bin
											und das ich stets gemeistert habe.
									","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
","
","
","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
											Todavía estoy completamente comprometida
											con la causa de la igualdad 
entre hombres y mujeres,
											pero vamos a pensar en lo que 
realmente significa esa igualdad,
											y la mejor manera de lograrla.
											Siempre acepté la idea de que
											las personas más respetadas 
y poderosas en nuestra sociedad
											son los hombres
en lo más alto de sus carreras,
											al punto de que la medida de la igualdad 
entre hombres y mujeres
											debería ser qué cantidad de mujeres 
están en esas posiciones:
											primeros ministros, 
presidentes, directores ejecutivos,
											directores, gerentes, 
premios Nobel, líderes.
											Aún pienso que debemos hacer 
todo lo posible
											para lograr ese objetivo.
											Pero eso es solo la mitad 
de la igualdad real,
											y ahora creo que nunca vamos a llegar
											a menos de que reconozcamos la otra mitad.
											Sugiero que la igualdad real,
											la igualdad total,
											no solo significa la valoración 
de las mujeres
											en términos de los hombres.
											Significa la creación de una gama 
mucho más amplia
											de opciones respetadas por igual
											para las mujeres y los hombres.
											Y para llegar allí, tenemos que cambiar 
nuestros lugares de trabajo,
											nuestras políticas y nuestra cultura.
									","
											I am still completely committed
											to the cause of male-female equality,
											but let's think about what that equality really means,
											and how best to achieve it.
											I always accepted the idea
											that the most respected and powerful people
											in our society are men at the top of their careers,
											so that the measure of male-female equality
											ought to be how many women are in those positions:
											prime ministers, presidents, CEOs,
											directors, managers, Nobel laureates, leaders.
											I still think we should do everything we possibly can
											to achieve that goal.
											But that's only half of real equality,
											and I now think we're never going to get there
											unless we recognize the other half.
											I suggest that real equality,
											full equality,
											does not just mean valuing women
											on male terms.
											It means creating a much wider range
											of equally respected choices
											for women and for men.
											And to get there, we have to change our workplaces,
											our policies and our culture.
									","
											Ich stehe noch immer voll und ganz
											hinter der Gleichheit von Mann und Frau,
											aber überlegen wir einmal,
was diese Gleichheit wirklich bedeutet
											und wie man sie am besten erreicht.
											Ich vertrat immer die Ansicht,
											dass die am meisten respektierten
und mächtigsten Menschen
											unserer Gesellschaft Männer sind,
die am Gipfel ihrer Karriere stehen;
											sodass das Maß der Gleichberechtigung
zwischen Mann und Frau sein sollte,
											wie viele Frauen
in solchen Positionen sind:
											Premierministerinnen,
Präsidentinnen, Geschäftsführerinnen,
											Direktorinnen, Managerinnen,
Nobelpreisträgerinnen, Führungskräfte.
											Ich denke noch immer,
dass wir unser Möglichstes tun sollten,
											um dieses Ziel zu erreichen.
											Aber das ist nur die eine Hälfte
wahrhaftiger Gleichberechtigung,
											und ich denke, dass wir sie
nicht erreichen werden,
											solange wir die andere Hälfte
nicht anerkennen.
											Ich meine, dass
wirkliche Gleichberechtigung,
											vollständige Gleichberechtigung, 
nicht einfach bedeutet,
											Frauen an männlichen Kriterien zu messen.
											Es bedeutet, ein viel
umfassenderes Spektrum
											gleichermaßen respektierter
Wahlmöglichkeiten
											für Männer und Frauen zu schaffen.
											Um das zu ermöglichen,
müssen wir unsere Arbeitsplätze,
											unsere Grundsätze
und unsere Kultur verändern.
									","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
","
","
","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
											En el lugar de trabajo,
											igualdad real significa 
valorar a la familia
											tanto como al trabajo,
											y la comprensión de que los dos 
se refuerzan mutuamente.
											Como líder y como gerente,
											siempre he actuado en el mantra:
											Si la familia viene primero,
											el trabajo no viene segundo,
											la vida es una.
											Si trabajas para mí, y tienes 
un problema familiar,
											espero que lo atiendas,
											y estoy segura,
											y mi confianza siempre ha sido confirmada,
											de que el trabajo será hecho, y hecho mejor.
											Los trabajadores que tienen 
una razón para llegar a casa
											para cuidar de sus hijos 
o a los miembros de su familia
											son más centrados, más eficientes,
											más centrados en los resultados.
											Y el sostén de la familia, que 
también es un cuidador,
											tiene una gama mucho más amplia
											de experiencias y contactos.
											Piensen en el abogado que 
dedica parte de su tiempo
											a los eventos escolares de sus hijos
											hablando con otros padres.
											Es mucho más probable que traiga
											nuevos clientes a su firma
											que un abogado que nunca 
abandona su oficina.
											Y el cuidado en sí mismo
											desarrolla paciencia
											—mucha paciencia—
											y empatía, creatividad, 
resiliencia, adaptabilidad.
											Esos son todos los atributos que 
son cada vez más importantes
											en una veloz, horizontal,
											economía global en red.
									","
											In the workplace,
											real equality means valuing family
											just as much as work,
											and understanding that the two reinforce each other.
											As a leader and as a manager,
											I have always acted on the mantra,
											if family comes first,
											work does not come second —
											life comes together.
											If you work for me, and you have a family issue,
											I expect you to attend to it,
											and I am confident,
											and my confidence has always been borne out,
											that the work will get done, and done better.
											Workers who have a reason to get home
											to care for their children or their family members
											are more focused, more efficient,
											more results-focused.
											And breadwinners who are also caregivers
											have a much wider range
											of experiences and contacts.
											Think about a lawyer who spends part of his time
											at school events for his kids
											talking to other parents.
											He's much more likely to bring in
											new clients for his firm
											than a lawyer who never leaves his office.
											And caregiving itself
											develops patience —
											a lot of patience —
											and empathy, creativity, resilience, adaptability.
											Those are all attributes that are ever more important
											in a high-speed, horizontal,
											networked global economy.
									","
											Am Arbeitsplatz
											bedeutet echte Gleichberechtigung,
											die Familie genauso
wertzuschätzen wie die Arbeit
											und zu verstehen, dass beides 
sich gegenseitig unterstützt.
											Als Vorgesetzte und als Managerin
											habe ich immer
nach dem Grundsatz gehandelt:
											Wenn die Familie an erster Stelle steht,
											steht die Arbeit damit
nicht an zweiter Stelle —
											das Leben ist ein Ganzes.
											Wenn Sie für mich arbeiten
und ein familiäres Problem haben,
											erwarte ich, dass Sie sich darum kümmern.
											Ich bin zuversichtlich —
											und meine Zuversicht
hat sich stets ausgezahlt —
											dass die Arbeit dann
sogar besser getan wird.
											Mitarbeiter, die einen Grund haben,
nach Hause zu kommen,
											um für ihre Kinder oder
Familienmitglieder zu sorgen,
											sind konzentrierter, effizienter
											und zielstrebiger.
											Und Brotverdiener,
die auch Fürsorger sind,
											haben ein viel größeres Spektrum
											an Erfahrungen und Kontakten.
											Denken Sie an einen Anwalt,
der einen Teil seiner Zeit
											auf den Schulveranstaltungen
seiner Kinder verbringt
											und sich mit anderen Eltern austauscht.
											Er wird viel eher
											neue Klienten für seine Kanzlei gewinnen
											als ein Anwalt,
der nie sein Büro verlässt.
											Durch die Fürsorge selbst
											entwickelt man Geduld —
											viel Geduld —
											und Empathie, Kreativität,
Belastbarkeit und Anpassungsvermögen.
											All diese Eigenschaften
											gewinnen in einer rasenden, horizontalen,
											vernetzten, globalen Wirtschaft
immer mehr an Bedeutung.
									","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
"
","
","
","Can we all ""have it all""?",Anne-Marie Slaughter,17:11,"inequality,men,policy,women,work,work-life balance,gender equality"
