fr,pt,tr,title,speaker,duration,tags
"
","
","
",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
											Les gens ont beaucoup
d'idées fausses sur la science,
											sur comment elle fonctionne
et ce qu'elle est.
											Notamment, la science serait
un simple empilement de faits.
											Or, ce n'est pas vrai !
Ce n'est pas même le but de la science.
											La science est un processus.
											C'est une façon de penser.
											Amasser des faits en fait partie,
mais ce n'est pas le but.
											Le but ultime de la science
est de comprendre la réalité objective,
											du mieux que nous pouvons,
											en s'appuyant sur des preuves.
									","
											As pessoas têm muitas ideias erradas
sobre a ciência.
											sobre como funciona e o que ela é.
											Uma bastante comum é a de que a ciência
é só uma grande e velha pilha de factos.
											Isso não é verdade,
esse não é sequer o objectivo da ciência.
											A ciência é um processo.
											É uma forma de pensar.
											Reunir factos é apenas uma parte dela,
mas não é o seu objectivo.
											O derradeiro objectivo da ciência
é compreender a realidade objectiva
											da melhor maneira que sabemos,
											e isso baseia-se em provas.
									","
											Günümüzde insanlar, bilimin nasıl işlediği
											ve tam olarak ne olduğu konusunda
pek çok yanılgıya sahipler.
											En büyük yanılgılardan biri,
											bilimin sadece gerçeklerden
oluşan bir yığın olduğu.
											Fakat bu, doğru değil — bu, bilimin
hedeflediği bir şey bile değil.
											Bilim bir süreçtir.
											Bir düşünme biçimidir.
											Gerçekleri toplamak, bunun sadece
bir parçasıdır ama amaç bu değil.
											Bilimin en temel amacı, 
objektif gerçekliği anlamaktır,
											yani neyin nasıl 
gerçekleştiğini bilme şeklimiz
											ve bu da kanıtlara dayalıdır.
									",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
","
","
",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
											Le problème, c'est que
les gens sont imparfaits.
											Nous pouvons être dupés,
											nous sommes même champions
pour nous duper nous-mêmes.
											Et c'est ainsi que nous en venons
à minimiser nos erreurs dans le processus.
											Alors, pour résumer peut-être
plus que nécessaire,
											voici comment ça marche.
											Pour faire de la science,
											vous faites d'abord une observation,
											comme, par exemple :
« Le ciel est bleu. Tiens, pourquoi ? »
											Vous interrogez les faits.
											Puis une idée vous vient
qui pourrait l'expliquer :
											une hypothèse.
											« Au fait, les océans sont bleus !
											Peut-être le ciel reflète-t-il
les couleurs de l'océan ? »
											Génial, mais maintenant,
à vous de vérifier !
											Alors, vous anticipez ce que ça entraîne
											et faites une prédiction :
											« Bon, si le ciel reflète
la couleur de l'océan,
											alors il sera plus bleu près des côtes
											qu'au milieu des terres. »
											Bien, c'est cohérent. Mais il faut
vérifier si la prédiction se réalise.
											Donc, vous prenez un avion,
quittez Denver par un beau jour gris,
											volez vers L.A., levez les yeux,
et là, le ciel est d'un bleu glorieux.
											Hourra ! Votre thèse est démontrée !
											Démontrée ? Vraiment ? Non !
											Vous disposez d'une seule observation.
											Il vous faut réfléchir à votre hypothèse,
aux moyens de la vérifier,
											et ne pas vous arrêter trop vite.
											Pourquoi ne pas vous rendre
ailleurs dans le pays
											ou choisir un autre moment de l'année,
											et jeter alors un œil à la météo.
											Une autre bonne idée,
c'est de parler à d'autres gens.
											Leurs idées et leurs perspectives
sont différentes,
											et ils peuvent vous aider.
											C'est ce qu'on appelle
l'évaluation par les pairs.
											Et ça vous économisera sûrement
beaucoup d'argent et de temps
											en vols transcontinentaux
pour vérifier la météo !
									","
											O problema
é que as pessoas são imperfeitas.
											Nós podemo-nos enganar
											nós somos muito bons
a enganar-nos a nós próprios.
											Incluída neste processo
está uma forma de minimizarmos
											os nossos próprios preconceitos.
											Então, de uma forma resumida,
provavelmente mais do que devia,
											isto funciona da seguinte forma:
											se querem fazer um pouco de ciência,
o que têm de fazer é observar algo.
											Por exemplo: ""O céu é azul.
Porque será?""
											Vocês questionam.
											O passo seguinte é criar uma ideia
que possa explicar isso:
											uma hipótese.
											E sabem o que mais?
O mar é azul.
											Talvez o céu reflicta as cores do oceano.
											Boa, mas agora vocês têm de o testar,
											então vocês palpitam
o que isso possa significar.
											A vossa teoria seria:
											""Se o céu reflecte a cor do mar,
											então será mais azul nas zonas costeiras
do que no interior do país."".
											Ok, está tudo certo,
											mas vocês têm de testar a vossa teoria,
											por isso metem-se num avião,
deixam Denver num belo dia cinzento,
											voam para Los Angeles, olham para o céu,
e este é de um azul glorioso.
											Viva! A vossa teoria está comprovada.
											Mas será que está mesmo?
Não.
											Vocês fizeram uma observação.
											Vocês têm de pensar na vossa teoria,
pensar em como testá-la,
											e façam-no mais do que uma vez.
											Talvez pudessem ir
a uma parte diferente do país,
											ou numa época do ano diferente,
											e ver como o tempo está nessa altura.
											Outra boa ideia é falar
com outras pessoas;
											elas têm ideias 
e perspectivas diferentes,
											e podem ajudar-vos.
											Isto é aquilo a que nós chamamos
revisão pelos pares.
											Na verdade, isso deverá poupar-vos
imenso dinheiro e imenso tempo,
											em vez de voar de costa a costa
só para ver como está o tempo.
									","
											Buradaki sorun, insanların kusurlu olması.
											Bizi kandırmak mümkün,
											kendimizi kandırmakta da oldukça iyiyiz.
											Bu sürecin ayrılmaz parçası da 
ön yargılarımızı en aza indirgemek.
											Daha da öze inmek, 
muhtemelen işe yarayacaktır.
											Şöyle anlatayım:
											Bilimle ilgilenmek istiyorsanız
											yapmak istediğiniz şey aslında
bir şeyleri gözlemlemektir...
											Diyelim ki ""Gök mavi. Acaba neden?""
											Bunu sorguluyorsunuz.
											Yapacağınız ikinci şey,
buna açıklama getirecek bir fikir üretmek,
											yani bir hipotez.
											Bakın ne diyeceğim,
okyanuslar mavi.
											Belki de gökyüzü 
okyanusun rengini yansıtıyordur?
											Güzel ama şimdi bunu test etmeniz lazım
											ki bunun ne anlama geldiğini 
tahmin edebilesiniz.
											Tahmininiz şu olsun:
											""Gökyüzü okyanusun rengini yansıtıyorsa
											ülkenin orta kesimine nazaran
											kıyı kesimlerde gökyüzünün rengi 
daha mavi olur.""
											Tamam, buraya kadar mantıklı
											fakat bu tahmini test etmelisiniz.
											Bir uçağa atlayıp bulutlu bir günde
Denver'den yola çıkıyorsunuz,
											Los Angeles'e varıyorsunuz, 
bakıyorsunuz ki gökyüzü muhteşem bir mavi.
											Yaşasın! Teziniz kanıtlandı.
											Peki, gerçekten kanıtlandı mı? Hayır.
											Tek bir gözlemde bulundunuz.
											Hipotezinize kafa yormalı, 
bunu nasıl test edeceğinizi düşünmeli
											ve birden fazla test yapmalısınız.
											Belki ülkenin farklı bir bölgesine
											ya da farklı bir iklime gidip
											oradaki havayı görmelisiniz.
											Bir başka iyi fikir, 
insanlarla konuşmak olacaktır.
											Onların da farklı fikirleri,
farklı bakış açıları var;
											size yardım edebilirler.
											Buna akran denetimi diyoruz.
											Aslına bakarsanız bu yöntem size 
çokça para ve zaman tasarrufu sağlar,
											sadece havayı görmek için
kıyı kıyı gezmek zorunda kalmazsınız.
									",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
","
","
",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
											Mais que se passe-t-il si votre hypothèse
fonctionne assez correctement, sans plus ?
											C'est tout à fait acceptable,
											car ce que vous pouvez faire alors,
c'est la modifier légèrement
											et recommencer toute la démarche :
											faire des prédictions, les vérifier...
											Au fil des itérations,
vous affûtez votre idée.
											Si elle devient suffisamment bonne,
											elle pourra être admise
par la communauté scientifique,
											au moins provisoirement,
											comme une bonne explication du phénomène,
											du moins jusqu'à ce qu'une idée meilleure,
											ou une preuve contraire, surgisse.
									","
											O que acontece se a vossa hipótese
é razoável, mas não é perfeita?
											Não tem mal,
											podem mudá-la ligeiramente
e refazer todo o processo outra vez
											— construir teorias, testá-las —
											e à medida que o fazem uma e outra vez,
vão aprimorando esta ideia.
											Se ficar boa o suficiente,
											pode ser aceite
pela comunidade científica,
											pelo menos provisoriamente,
											como uma boa explicação
do que acontece,
											pelo menos até que surja uma ideia melhor
											ou provas que a contradigam.
									","
											Peki ya hipoteziniz düzgün işliyorsa
fakat mükemmel değilse ne olacak?
											Bu da kabul edilebilir,
											zira bu noktada hipotezi 
biraz elden geçirebilirsiniz,
											sonra da aynı süreci 
baştan uygularsınız —
											tahmin yürütme, test etme —
											ve siz bu süreci tekrarlarken
fikriniz özüne ulaşarak iyileşir.
											Yeteri kadar iyileşirse
											bilim camiası da fikrinizi kabul edebilir;
											en azından geçici bir süre 
ne olup bittiğine dair
											iyi bir açıklama olarak kabul edilebilir,
											en azından daha iyi bir fikir
											ya da zıt yönde bir kanıt 
ortaya çıkana kadar.
									",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
","
","
",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
											Une partie du processus,
c'est admettre qu'on a parfois tort.
											Et ça peut être vraiment très, très dur.
											Or, les forces comme les faiblesses
de la science en dépendent.
											L'une des forces de la science
est qu'elle est faite par des gens,
											et aussi qu'elle a fait ses preuves.
											Nous comprenons l'univers assez bien
grâce aux sciences.
											L'une des faiblesses de la science
est qu'elle est faite par des gens,
											nous apportons ainsi
bien des choses avec nous
											quand nous faisons de la recherche.
											Nous sommes égocentriques,
											nous sommes entêtés,
nous sommes superstitieux,
											nous sommes tribaux, nous sommes humains.
											Voilà bien des défauts humains,
or les scientifiques sont des humains.
											Bref, nous devons en être conscients
quand nous étudions la science
											et quand nous essayons
de construire nos thèses.
											Mais un élément vital de l'ensemble,
											de ce processus scientifique,
											de la méthode scientifique,
											est de reconnaître ses torts.
											Je le sais car je suis passé par là.
									","
											Parte deste processo
é admitir quando estamos errados.
											Isso pode ser muito, muito difícil.
											A ciência tem os seus pontos fortes
e tem as suas fraquezas,
											e eles dependem disto.
											Um dos pontos fortes da ciência
é ser feita por pessoas,
											e isso tem resultado muito bem.
											Compreendemos bem o Universo
devido à ciência.
											Um dos pontos fracos da ciência
é o ser feita por pessoas;
											nós trazemos muita bagagem connosco
quando investigamos as coisas.
											Nós somos vaidosos,
											teimosos, supersticiosos,
											tribais, somos humanos
											— todos estes são traços humanos
e os cientistas são humanos.
											Temos de ter noção disso
quando estudamos ciência
											e quando tentamos desenvolver
as nossas teses.
											Mas uma parte de tudo isto,
											parte deste processo científico,
											parte do método científico,
											é admitir quando estamos errados.
											Eu sei, já passei por isso.
									","
											İşin bu kısmında, yanılınca
bunu kabul etmeniz gerekli.
											Bu da zor, hem de çok zor olabiliyor.
											Bilimin de güçlü ve zayıf kasları vardır
											ve bu da kabullenmeye bağlıdır.
											Bilimin güçlü yanlarından biri,
insanlar tarafından yapılması
											ve kendi kendini kanıtlaması.
											Bilim sayesinde evreni oldukça 
iyi biçimde kavrayabiliyoruz.
											Bilimin zayıf yönlerinden biri ise,
yine insanlar tarafından yapılması,
											bir şeyleri araştırırken 
işe sırtımızda yüklerle giriyoruz.
											Egoistiz,
											inatçıyız ve batıl inançlıyız,
											kabile halindeyiz, insanız —
											bunların hepsi insanın özellikleri
ve bilimle uğraşanlar da insan.
											Dolayısıyla bilimle ilgilenirken
ve tezlerimizi geliştirmeye çabalarken
											bunun farkında olmalıyız.
											Fakat bütün bunların,
											bilimsel sürecin,
											bilimsel yöntemlerin
											bir parçası da hatalıysanız
bunu kabul etmektir.
											Biliyorum, benim de başıma geldi.
									",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
","
","
",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
"
											J'ai autrefois travaillé
au télescope spatial Hubble,
											et un scientifique de mes collègues
m'a apporté des données en me disant :
											« Je pense qu'il y a peut-être là
l'image d'une planète
											tournant autour d'une étoile
autre que le Soleil. »
											Il n'y avait encore jamais eu d'image
de planète autour d'une autre étoile !
											Donc, si c'était exact,
											ce serait une première et nous serions
à l'origine de cette découverte.
											Ce n'était pas une mince affaire !
											J'étais très excité,
											et me suis donc immédiatement
plongé dans ces données.
											J'ai passé longtemps à tenter
de découvrir si c'était une planète.
											Mais les planètes sont pâles
alors que les étoiles sont brillantes !
											Identifier un signal clair
dans les données
											était comme essayer d'entendre un murmure
dans un concert de heavy metal.
											C'était très compliqué !
											J'ai essayé autant que j'ai pu,
											mais au terme d'un mois de labeur,
											j'ai fini par comprendre...
Je n'y arriverai pas !
											Il me fallait renoncer !
											Et il me fallait annoncer à mon collègue :
											« Les données sont illisibles.
Impossible de dire si c'est une planète. »
											Et c'était dur.
											Par la suite, Hubble a fourni
des données complémentaires
											et il s'est avéré
que ce n'était pas une planète.
											C'était une étoile plus éloignée,
ou une galaxie, quelque chose du genre.
									","
											Há muitos anos, estava eu a trabalhar
no telescópio espacial Hubble,
											um cientista que trabalhava comigo
trouxe-me alguns dados,
											e disse-me:
											""Acho que pode haver aqui uma imagem
de um planeta a orbitar outra estrela.""
											Ainda não tínhamos quaisquer imagens
de planetas a orbitar outras estrelas,
											por isso, se isto fosse verdade,
											esta seria a primeira,
e seríamos nós a descobri-la.
											Era algo importante.
											Fiquei muito entusiasmado,
											por isso mergulhei nestes dados.
											Passei muito tempo a tentar perceber
se aquilo era um planeta ou não.
											O problema é que os planetas são ténues,
e as estrelas são brilhantes,
											por isso, tentar isolar o sinal
											era como tentar ouvir um sussurro 
num concerto de ""heavy metal"",
											era muito difícil.
											Tentei tudo o que podia,
											mas passado um mês a trabalhar nisto,
											cheguei a uma conclusão...
não conseguia fazê-lo.
											Tinha de desistir.
											Tive de dizer ao outro cientista:
											""Os dados estão muito confusos.
											Não conseguimos dizer
se é um planeta ou não.""
											Foi difícil.
											Mais tarde, fizemos observações
complementares com o Hubble,
											e estas mostraram que não era um planeta.
											Era uma estrela de fundo,
ou uma galáxia, algo assim.
									","
											Yıllar yıllar önce,
Hubble Uzay Teleskobu'nda çalışıyordum
											ve birlikte çalıştığım
bir bilim insanı elinde veriyle geldi
											ve dedi ki ""Sanırım burada
bir başka yıldız etrafında dönen
											bir gezegenin görüntüsü olabilir.""
											Henüz elimizde başka yıldızların etrafında
dönen gezegenlerin görüntüsü yoktu.
											Bu yüzden eğer doğruysa 
bu ilk görüntü olacaktı
											ve bunu yakalayanlar biz olacaktık.
											Yani mevzu çok büyüktü.
											Çok heyecanlandım,
											hemen veri yığınına gömüldüm.
											Bu şeyin bir gezegen olup olmadığını 
anlamak için çok zaman harcadım.
											Sorun şu ki gezegenler soluk olur
ve yıldızlar da parlak,
											dolayısıyla bu veriden bir şey çıkarmak
											heavy metal konserinde 
bir fısıltıyı duymaya çalışmak gibiydi,
											gerçekten çok zordu.
											Elimden gelen her yolu denedim
											fakat verinin üzerinde 
bir ay çalıştıktan sonra
											şunu anladım: Olmuyor.
											Peşini bırakmam lazım.
											Diğer bilim insanına şunu demem gerekti:
											""Veriler çok dağınık.
											Bunun bir gezegen 
olup olmadığını söyleyemeyiz.""
											Bunu yapmak da zordu.
											Sonra Hubble ile bu süreci 
takip eden gözlemler yaptık
											ve gördük ki o şey bir gezegen değilmiş.
											Arka plandaki bir yıldız 
ya da galaksi gibi bir şeymiş.
									",The secret to scientific discoveries? Making mistakes,Phil Plait,11:08,"TEDx,science,space,astronomy,technology,nature,discovery,solar system,Planets,universe,NASA"
