en,pt,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											One hot October morning,
											I got off the all-night train
											in Mandalay,
											the old royal capital of Burma,
											now Myanmar.
											And out on the street, I ran into
a group of rough men
											standing beside their bicycle rickshaws.
											And one of them came up
											and offered to show me around.
											The price he quoted was outrageous.
											It was less than I would pay
for a bar of chocolate at home.
									","
											Numa quente manhã de Outubro,
											saí do comboio da noite
											em Mandalay,
											a velha capital real da Birmânia,
hoje Myanmar.
											Na rua, deparei com
um grupo de homens endurecidos,
											parados ao lado dos seus
riquexós de bicicleta.
											Um deles aproximou-se
											e propôs-me dar uma volta.
											O preço que propôs era escandaloso.
											Era mais baixo do que eu pagaria
por uma tablete de chocolate no meu país.
									","
											An einem heißen Oktobermorgen
											stieg ich in Mandalay aus dem Nachtzug.
											Das ist die alte Residenzstadt
von Burma, dem heutigen Myanmar.
											Auf der Straße begegnete ich
einer Gruppe von derben Männern,
											die neben ihren Fahrrad-Rikschas standen.
											Einer von ihnen kam auf mich zu
											und bot an, mir die Stadt zu zeigen.
											Der Preis, den er nannte, war unerhört.
											Es war weniger, als ich zu Hause
für einen Schokoriegel bezahlen würde.
									","
											Un chaud matin d'octobre,
											je suis descendu du train de nuit
											à Mandalay,
											l'ancienne capitale royale de la Birmanie,
											maintenant le Myanmar.
											Dans la rue, je suis tombé
sur un groupe de gros durs
											se tenant debout
à côté de leur pousse-pousse.
											L'un d'eux s'est approché
											et m'a proposé de faire un tour.
											Le prix qu'il demandait était scandaleux.
											C'était moins que ce que je paierais
pour une barre chocolatée à la maison.
									","
											Sıcak bir Ekim sabahı
											Mandalay'da
											gece treninden indim,
											Burma'nın eski kraliyet merkezi,
											şimdi Myanmar.
											Caddeye çıkınca 
bisikletlerinin başında bekleyen
											bir grup kaba saba adama rastladım.
											İçlerinden biri yaklaşıp
											bana etrafı gezdirmeyi teklif etti.
											Talep ettiği fiyat şok ediciydi.
											Kendi ülkemde bir kalıp çikolataya 
verdiğimden daha azdı.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											So I clambered into his trishaw,
											and he began pedaling us slowly
between palaces and pagodas.
											And as he did, he told me how
he had come to the city from his village.
											He'd earned a degree in mathematics.
											His dream was to be a teacher.
											But of course, life is hard
under a military dictatorship,
											and so for now, this was the only way
he could make a living.
											Many nights, he told me,
he actually slept in his trishaw
											so he could catch the first visitors
off the all-night train.
									","
											Então, subi para o tri-quexó,
											e ele começou a pedalar lentamente
entre palácios e pagodes.
											Enquanto o fazia, contou-me
											como tinha saído
da sua aldeia para a cidade.
											Tinha feito um curso de matemática.
											O seu sonho era ser professor.
											Mas, claro, a vida é dura
numa ditadura militar
											e, por agora, esta era a única forma
que ele tinha de ganhar a vida.
											Disse-me que dormia muitas noites
no seu tri-quexó,
											para poder apanhar os primeiros turistas
dos comboios da noite.
									","
											Also kletterte ich in seine Rikscha.
											Er fuhr uns langsam zwischen
Palästen und Pagoden hindurch.
											Unterdessen erzählte er mir, wie er
aus seinem Dorf in die Stadt gekommen war.
											Er hatte einen Abschluss in Mathematik.
											Er wollte gerne Lehrer sein.
											Aber das Leben in einer Militärdiktatur
ist natürlich sehr hart.
											Vorerst war dies die einzige Möglichkeit,
seinen Lebensunterhalt zu verdienen.
											Er erzählte, dass er oft 
in seiner Rikscha schlafe,
											damit er die ersten Besucher
aus den Nachtzügen abfangen könne.
									","
											Je suis donc monté dans son pousse-pousse,
											et il a commencé à nous faire passer
entre les palaces et les pagodes.
											Ce faisant, il m'a raconté comment
il était arrivé de son village à la ville.
											Il avait obtenu un diplôme
en mathématiques.
											Son rêve était de devenir enseignant.
											Mais évidemment, la vie est dure
sous une dictature militaire
											et, pour l'instant, c'était la seule façon
possible pour lui de gagner sa vie.
											Beaucoup de nuits, m'a-t-il dit,
il a dormi dans son pousse-pousse
											pour pouvoir attraper
les premiers visiteurs du train de nuit.
									","
											Üç tekerli bisikletine bindim
											ve sarayların ve tapınakların arasında 
yavaşça pedal çevirmeye başladı.
											Yolda giderken köyünden şehre
nasıl geldiğinden bahsetti.
											Matematik okumuştu.
											Hayali öğretmen olmaktı.
											Tabii askeri diktatörlüğün 
altında yaşam zordu
											ve şimdilik geçimini 
sağlayabileceği tek yol buydu.
											Çoğu geceler üç tekerli
bisikletinde uyuduğunu,
											böylece gece treninden ilk inenleri
yakalayabildiğini anlattı.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											And very soon, we found
that in certain ways,
											we had so much in common —
											we were both in our 20s,
											we were both fascinated
by foreign cultures —
											that he invited me home.
									","
											Em breve, descobrimos
que, de certa forma,
											tínhamos muito em comum.
											Andávamos na casa dos 20 anos,
											ambos tínhamos um fascínio
pelas culturas estrangeiras.
											Então, ele convidou-me
para ir a casa dele.
									","
											Sehr bald merkten wir,
											dass wir viel gemeinsam hatten —
											wir waren beide in unseren 20ern,
											fremde Kulturen faszinierten uns —
											sodass er mich zu sich nach Hause einlud.
									","
											Très rapidement, nous avons constaté
que sous bien des abords,
											nous avions tant en commun,
											tous les deux la vingtaine,
											fascinés par les cultures étrangères,
											qu'il m'a invité chez lui.
									","
											Çok geçmeden birçok açıdan
											ortak yönlerimiz olduğunu keşfettik;
											ikimiz de 20 yaşındaydık,
											yabancı kültürlere ilgi duyuyorduk
											ve beni eve davet etti.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											So we turned off the wide,
crowded streets,
											and we began bumping
down rough, wild alleyways.
											There were broken shacks all around.
											I really lost the sense of where I was,
											and I realized that anything
could happen to me now.
											I could get mugged or drugged
											or something worse.
											Nobody would know.
									","
											Abandonámos as ruas largas
e apinhadas
											e começámos a descer
por ruas íngremes.
											Havia cabanas arruinadas por toda a parte.
											Perdi a noção de onde estava,
											e percebi que estava
completamente vulnerável.
											Podia ser roubado ou ser drogado,
											ou qualquer coisa ainda pior.
											Ninguém saberia.
									","
											Wir verließen die breiten
und überfüllten Straßen
											und rumpelten die holprigen
und wüsten Gässchen hinunter.
											Überall standen kaputte Baracken.
											Ich verlor komplett die Orientierung
											und begriff, dass mir jetzt
irgendetwas passieren könnte.
											Ich könnte überfallen oder betäubt werden,
											oder etwas Schlimmeres.
											Niemand würde es merken.
									","
											Nous avons donc quitté
la large rue bondée
											et nous avons descendu
des ruelles délabrées.
											Il y avait des cabanes détruites partout.
											J'ai vraiment perdu mes repères
											et j'ai compris que n'importe quoi
pourrait m'arriver maintenant.
											Je pourrais me faire détrousser,
être drogué
											ou pire.
											Personne ne saurait.
									","
											Sonra geniş, kalabalık caddelerden geçip
											taşlı, ıssız dar yollarda sarsıla sarsıla
yol almaya başladık.
											Her yerde derme çatma gecekondular vardı.
											Nerede olduğumu gerçekten bilmiyordum,
											o an başıma bir şey
gelebileceğini fark ettim.
											Soyulabilir ya da uyuşturulabilirdim,
											daha kötüsü de olabilirdi.
											Kimse de bilmezdi.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
","
","
","
","
",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
"
											Finally, he stopped and led me into a hut,
											which consisted of just one tiny room.
											And then he leaned down,
											and reached under his bed.
											And something in me froze.
											I waited to see what he would pull out.
											And finally he extracted a box.
											Inside it was every single letter
he had ever received
											from visitors from abroad,
											and on some of them he had pasted
											little black-and-white worn snapshots
											of his new foreign friends.
									","
											Por fim, ele parou e levou-me a uma cabana
											que consistia apenas num pequeno quarto.
											Depois, abaixou-se
											e procurou qualquer coisa debaixo da cama.
											Fiquei gelado.
											Esperei para ver o que saía dali.
											Por fim, ele tirou uma caixa.
											Lá dentro, havia todas as cartas
que ele tinha recebido
											de visitantes estrangeiros.
											Nalgumas delas, tinha colado
											pequenos instantâneos já gastos,
a preto e branco,
											dos seus novos amigos estrangeiros.
									","
											Schließlich hielt er an
und führte mich in eine Hütte,
											die nur aus einem winzigen Raum bestand.
											Dann beugte er sich hinunter
											und langte unter sein Bett.
											Etwas in mir erstarrte.
											Ich wartete darauf, 
was er hervorziehen würde.
											Schließlich zog er eine Schachtel heraus.
											Darin befanden sich alle Briefe,
											die er jemals von Besuchern
aus dem Ausland erhalten hatte.
											Auf einige hatte er
											kleine verknickte
schwarz-weiße Schnappschüsse
											seiner neuen 
ausländischen Freunde geklebt.
									","
											Enfin, il s'est arrêté
et m'a conduit dans sa cabane,
											qui consistait en une seule petite pièce.
											Ensuite, il s'est penché
											et a fouillé sous son lit.
											Quelque chose en moi s'est figé.
											J'ai attendu de voir
ce qu'il allait sortir.
											Et finalement, il a sorti une boite.
											Dedans se trouvait toutes les lettres
qu'il avait reçues
											de visiteurs étrangers
											et, sur certaines, il avait collé
											une petite photo usée en noir et blanc
											de ses nouveaux amis étrangers.
									","
											Sonunda durdu ve beni
tek bir odadan ibaret olan
											bir kulübeye doğru götürdü.
											Eğildi ve
											yatağın altına uzandı.
											İçimde bir şeyler donup kaldı.
											Ne çıkaracağını görmeyi bekledim.
											Sonunda bir kutu çıkardı.
											İçinde yurt dışından gelenlerden aldığı
											mektuplar vardı,
											birkaç tanesinin üzerine
											yeni yabancı arkadaşlarının
siyah-beyaz küçük
											şipşak fotoğraflarını yapıştırmıştı.
									",The beauty of what we'll never know,Pico Iyer,10:05,"adventure,aging,humanity,identity,illusion,intelligence,personal growth,self,writing"
