en,fr,es,pt,de,title,speaker,duration,tags
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											Computer algorithms today
are performing incredible tasks
											with high accuracies, at a massive scale,
using human-like intelligence.
											And this intelligence of computers
is often referred to as AI
											or artificial intelligence.
											AI is poised to make an incredible impact
on our lives in the future.
											Today, however,
we still face massive challenges
											in detecting and diagnosing
several life-threatening illnesses,
											such as infectious diseases and cancer.
											Thousands of patients every year
											lose their lives
due to liver and oral cancer.
									","
											Les algorithmes réalisent aujourd'hui,
des tâches incroyables,
											avec haute précision,
à une échelle massive,
											basés sur une intelligence
similaire à l'homme.
											Cette forme d'intelligence des ordinateurs
est souvent appelée IA,
											l'intelligence artificielle.
											L'IA est sur le point d'avoir un impact
extraordinaire sur nos vies.
											Toutefois, il nous reste des défis majeurs
											pour détecter et diagnostiquer
plusieurs maladies mortelles
											comme les maladies infectieuses
ou le cancer.
											Chaque année, des milliers de patients
											perdent la vie à cause du cancer
du foie ou buccal.
									","
											Hoy, los algoritmos computacionales
pueden realizar tareas asombrosas
											con gran precisión, a una escala enorme
y con inteligencia parecida a la humana.
											Y esta inteligencia computacional
es a la que solemos llamar IA
											o inteligencia artificial.
											La IA está preparada para tener un gran
impacto en nuestras vidas en el futuro.
											Hoy, sin embargo, todavía
nos enfrentamos a retos enormes
											en cuanto a la detección y el diagnóstico
de varias enfermedades terminales,
											como las enfermedades
contagiosas y el cáncer.
											Cada año, miles de pacientes
											pierden la vida a causa 
del cáncer hepático u oral.
									","
											Hoje em dia, os algoritmos de computadores
desempenham tarefas incríveis
											com grande precisão, em grande escala,
											utilizando uma inteligência
parecida com a humana.
											Esta inteligência dos computadores
é frequentemente chamada IA,
											ou seja, inteligência artificial.
											É previsto que a IA tenha, no futuro,
um enorme impacto na nossa vida.
											Porém, hoje em dia, ainda 
enfrentamos desafios enormes
											na detecção e diagnóstico 
de muitas doenças letais,
											tais como doenças infecciosas e cancro.
											Milhares de doentes, todos os anos,
											perdem a vida devido
a um cancro do fígado ou da boca.
									","
											Heute verrichten Computeralgorithmen
unglaubliche Aufgaben
											mit großer Präzision, von enormem Umfang,
durch menschenähnliche Intelligenz.
											Diese Intelligenz von Computern
wird oft als KI bezeichnet
											oder künstliche Intelligenz.
											KI wird eine unglaubliche Auswirkung
auf unser Leben in der Zukunft zu haben.
											Heute stehen wir jedoch
enormen Herausforderungen gegenüber
											beim Erkennen und der Diagnose von
einigen lebensgefährlichen Krankheiten,
											so wie Infektionskrankheiten und Krebs.
											Jedes Jahr verlieren tausende Patienten
											ihr Leben wegen Leber- und Mundkrebs.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											Our best way to help these patients
											is to perform early detection
and diagnoses of these diseases.
											So how do we detect these diseases today,
and can artificial intelligence help?
											In patients who, unfortunately,
are suspected of these diseases,
											an expert physician first orders
											very expensive
medical imaging technologies
											such as fluorescent imaging,
CTs, MRIs, to be performed.
											Once those images are collected,
											another expert physician then diagnoses
those images and talks to the patient.
											As you can see, this is
a very resource-intensive process,
											requiring both expert physicians,
expensive medical imaging technologies,
											and is not considered practical
for the developing world.
											And in fact, in many
industrialized nations, as well.
									","
											Notre meilleur moyen à disposition
pour aider ces patients
											est une détection et un diagnostic
précoces de ces affections.
											Comment ces maladies sont-elles détectées
et l'usage de l'IA fait-il sens ?
											Quand un patient, malheureusement,
semble avoir une de ces affections,
											le spécialiste va d'abord requérir
											des analyses très onéreuses
											avec des technologies
d'imagerie médicale
											telles l'imagerie par fluorescence,
une tomodensitométrie ou un IRM.
											Une fois les images à disposition,
											un autre spécialiste en fait un diagnostic
et parle avec le patient.
											Vous le constatez, ce processus exige
beaucoup de ressources,
											deux médecins spécialistes, 
de l'imagerie médicale très onéreuse,
											et ce n'est pas envisageable
dans les pays en développement.
											Ni d'ailleurs dans de nombreuses
nations industrialisées.
									","
											La mejor forma de ayudar a estos pacientes
											es realizar un diagnóstico precoz
de esas enfermedades.
											¿Cómo las detectamos hoy y cómo 
la inteligencia artificial puede ayudar?
											Cuando se sospecha que el paciente
tiene alguna de estas enfermedades,
											un médico especialista pide
tecnologías de escaneo muy caras
											como la captación de imágenes por 
fluorescencia, los TAC o las RM.
											Una vez que se obtienen las imágenes,
											otro médico especialista hace 
el diagnóstico y habla con el paciente.
											Como pueden ver, es un proceso
que requiere de muchos recursos,
											médicos especialistas
											y costosos equipos
de diagnóstico por escáner,
											y no se considera práctico
para los países en desarrollo.
											De hecho, ni siquiera en 
muchos países desarrollados.
									","
											A melhor maneira 
de ajudar esses doentes
											é realizar a detecção e o diagnóstico
dessas doenças mais cedo.
											Então, como detectamos essas doenças
e como a IA pode ajudar?
											Em doentes em quem, infelizmente,
haja suspeitas dessas doenças,
											um médico especialista pede, primeiro,
											uma qualquer tecnologia dispendiosa
de imagiologia médica,
											como a imagiologia por fluorescência,
um TC, ou um MRI.
											Depois de colhidas essas imagens,
											outro especialista faz o diagnóstico 
das imagens e fala com o doente.
											Como podem ver, este é 
um processo muito dispendioso
											que requer médicos especialistas, 
tecnologia de imagiologia médica cara
											e não é considerado prático
para os países em desenvolvimento.
											O mesmo acontece
com as nações industrializadas.
									","
											Unser bester Weg,
diesen Patienten zu helfen,
											ist eine Früherkennung und Diagnose
dieser Krankheiten durchzuführen.
											Wie entdecken wir also diese Krankheiten
und kann künstliche Intelligenz helfen?
											Bei Patienten mit Verdacht
auf eine solche Krankheit
											weist ein Facharzt zuerst
											sehr teure Technologien der Bilddiagnose
											wie fluoreszierende Bildgebung,
CTs, MRTs, zur Ausführung an.
											Sobald diese Bilder gesammelt worden sind,
											macht ein anderer Experte die Bilddiagnose
und spricht mit dem Patienten.
											Wie Sie sehen, ist dies ein sehr
ressourcenintensiver Prozess,
											der sowohl Fachärzte als auch
teure Bildgebungsverfahren benötigt
											und für Entwicklungsländer
als ungeeignet angesehen wird.
											Und im Grunde auch
in vielen Industrieländern.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											So, can we solve this problem
using artificial intelligence?
											Today, if I were to use traditional
artificial intelligence architectures
											to solve this problem,
											I would require 10,000 —
											I repeat, on an order of 10,000
of these very expensive medical images
											first to be generated.
											After that, I would then go
to an expert physician,
											who would then analyze
those images for me.
											And using those two pieces of information,
											I can train a standard deep neural network
or a deep learning network
											to provide patient's diagnosis.
											Similar to the first approach,
											traditional artificial
intelligence approaches
											suffer from the same problem.
											Large amounts of data, expert physicians
and expert medical imaging technologies.
									","
											Peut-on résoudre ce problème
avec l'intelligence artificielle ?
											Actuellement, si nous utilisons
les architectures classiques d'IA
											pour résoudre ce problème,
nous aurions besoin de 10 000 —
											j'insiste — de générer 10 000
de ces images médicales si chères.
											Ensuite, nous les confierions
à un spécialiste
											qui les analyserait à notre attention.
											A partir ces deux informations,
											je peux former un réseau de neurones,
ou réseau d'apprentissage profond,
											à réaliser des diagnostics de patients.
											D'autres approches similaires,
											des approches traditionnelles de l'IA,
sont pénalisées par le même problème :
											un volume important de données,
des médecins spécialistes
											et des experts en imagerie médicale.
									","
											¿Podemos resolver este problema 
con la inteligencia artificial?
											Hoy, si fuera a utilizar arquitecturas
de inteligencia artificial tradicionales
											para resolver este problema,
											necesitaría obtener 10 000...
											Repito, cerca de 10 000 de
estos costosos aparatos médicos,
											y eso para empezar.
											Luego, consultaría a un especialista,
											que analizaría esas imágenes.
											Y con esos dos datos,
											puedo entrenar una red neuronal profunda
o una red de aprendizaje profundo
											para diagnosticar a los pacientes.
											Parecido al primer enfoque,
											los enfoques tradicionales de IA
											tienen el mismo problema.
											Gran cantidad de datos, especialistas
y equipos profesionales de escaneo.
									","
											Podemos resolver isto
com a inteligência artificial?
											Hoje, se eu fosse usar arquitecturas
tradicionais de inteligência artificial
											para resolver este problema,
											seriam necessárias dez mil
											— repito, cerca de dez mil —
dessas imagens médicas muito caras
											só para serem geradas.
											Depois disso, iria
a um médico especialista,
											que analisaria essas imagens.
											Usando estes dois bocados de informações,
											posso treinar uma rede neural profunda
ou uma rede de aprendizagem profunda
											para fazer os diagnósticos a doentes.
											Tal como a primeira abordagem,
											a abordagem tradicional
da inteligência artificial
											passa pelo mesmo problema.
											Uma grande quantidade de dados,
médicos especialistas
											e especialistas
de tecnologias de imagiologia.
									","
											Können wir also dieses Problem lösen,
indem wir künstliche Intelligenz nutzen?
											Wenn ich heute traditionelle Architektur
künstlicher Intelligenz nutzen würde,
											um dieses Problem zu lösen,
											würde ich 10.000 brauchen —
											Ich wiederhole, etwa 10.000 von
diesen sehr teuren medizinischen Bildern
											müssen zuerst erstellt werden.
											Danach ginge ich zu einem Facharzt,
											der für mich diese Bilder
analysieren würde.
											Indem ich diese zwei Informationen nutze,
											kann ich ein normales
""Deep Learning""-Netzwerk trainieren,
											Diagnosen für Patienten zu erstellen.
											Ähnlich wie beim ersten Ansatz
											leiden Ansätze traditioneller KI
unter dem gleichen Problem.
											Große Datenmengen, Fachärzte
und High-Tech in der Bilddiagnostik.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											So, can we invent more scalable, effective
											and more valuable artificial
intelligence architectures
											to solve these very important
problems facing us today?
											And this is exactly
what my group at MIT Media Lab does.
											We have invented a variety
of unorthodox AI architectures
											to solve some of the most important
challenges facing us today
											in medical imaging and clinical trials.
									","
											Pourrions-nous concevoir
des architectures d'IA
											plus évolutives,
plus efficaces et plus utiles,
											pour résoudre ces problèmes cruciaux
auxquels nous sommes confrontés ?
											C'est précisément ce que nous faisons
au Media Lab du MIT.
											Nous avons inventé une série
d'architectures d'IA inhabituelles
											pour résoudre les défis
les plus importants
											dans l'imagerie médicale
et les tests cliniques.
									","
											¿Podemos entonces inventar
arquitecturas de inteligencia artificial
											más escalables, efectivas y más útiles
											para resolver estos problemas
a los que hoy nos enfrentamos?
											Esto es exactamente lo que hace
mi grupo en el MIT Media Labs.
											Hemos inventado una variedad de
arquitecturas de IA no convencionales
											para resolver algunos de los retos
más importantes que enfrentamos hoy
											en los escáneres y estudios clínicos.
									","
											Será que podemos inventar
arquitecturas de IA
											mais evolutivas, mais eficazes
e mais valiosas,
											para resolver esses problemas 
importantes que hoje enfrentamos?
											É exactamente isto o que faz
o meu grupo no MIT Media Lab.
											Inventámos uma variedade
de arquitecturas IA pouco ortodoxas
											para resolver alguns dos desafios
mais importantes que temos hoje
											em imagiologia médica e testes clínicos.
									","
											Können wir also skalierbare, effektivere
											und wertvollere Architekturen
künstlicher Intelligenz erfinden,
											um diese sehr wichtigen Probleme zu lösen,
vor denen wir heute stehen?
											Genau das macht meine Gruppe
beim MIT Media Lab.
											Wir erfanden eine Reihe an
unorthodoxen KI-Architekturen,
											um einige der wichtigsten
Herausforderungen
											bei Bilddiagnostik und
klinischen Prozessen zu lösen.
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
","
","
","
","
",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
"
											In the example I shared
with you today, we had two goals.
											Our first goal was to reduce
the number of images
											required to train
artificial intelligence algorithms.
											Our second goal — we were more ambitious,
											we wanted to reduce the use
of expensive medical imaging technologies
											to screen patients.
											So how did we do it?
									","
											Dans l'exemple que je vous ai montré,
nous avions deux objectifs.
											Le premier consiste
à réduire le nombre d'images
											nécessaire pour former
les algorithmes de l'IA.
											Notre deuxième objectif, plus ambitieux,
											est de vouloir réduire l'usage
de technologies d'imagerie médicale chères
											pour examiner les patients.
											Comment avons-nous fait ?
									","
											En el ejemplo que compartí hoy
teníamos dos objetivos.
											El primero era reducir
el número de imágenes
											necesarias para entrenar a
los algoritmos de inteligencia artificial.
											Con el segundo fuimos más ambiciosos,
											queríamos reducir el uso de 
estos costosos equipos de tecnología
											para escaner los pacientes.
											¿Cómo lo hicimos?
									","
											No exemplo que partilho aqui
tínhamos dois objetivos.
											O nosso primeiro objectivo era
reduzir o número de imagens
											necessárias para treinar o algoritmo
da inteligência artificial.
											No segundo objetivo fomos mais ambiciosos.
											Queríamos reduzir o uso de tecnologia
de imagiologia médica cara
											para examinar doentes.
											Então, como o fizemos?
									","
											In dem Beispiel, das ich heute nannte,
hatten wir zwei Ziele.
											Unser erstes Ziel war es,
die Anzahl der Bilder zu reduzieren,
											die benötigt werden,
um KI-Algorithmen zu trainieren.
											Unser zweites Ziel war ambitionierter,
											nämlich den Einsatz
der teuren Bilddiagnose zu reduzieren,
											um die Patienten zu screenen.
											Wie haben wir das gemacht?
									",How AI is making it easier to diagnose disease,Pratik Shah,4:59,"medicine,TED Fellows,AI,technology,medical imaging,future,cancer,health care,innovation,illness,machine learning,science,medical research,health"
