en,fr,es,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
											I want to share with you
something my father taught me:
											no condition is permanent.
											It's a lesson he shared with me
again and again,
											and I learned it to be true the hard way.
									","
											Je veux partager avec vous
une chose que mon père m'a apprise :
											aucune situation n'est permanente.
											C'est une leçon qu'il a partagée
avec moi à plusieurs reprises
											et j'ai appris à mes dépens
que c'était vrai.
									","
											Me gustaría compartir con Uds.
algo que me enseñó mi padre:
											ninguna situación es permanente.
											Es una lección que compartió
una y otra vez,
											y aprendí que era cierta por las malas.
									","
											Quero partilhar convosco
uma coisa que o meu pai me ensinou:
											""Nenhuma situação é permanente"".
											É uma lição que ele me ensinou
vezes e vezes sem conta
											e eu aprendi que era verdade
da maneira mais difícil.
									","
											Sizinle babamın benimle paylaştığı
bir şeyi paylaşmak istiyorum:
											Hiçbir durum kalıcı değildir.
											Bu benimle tekrar tekrar 
paylaştığı bir dersti,
											ve ben de bunun doğru olduğunu 
en zor şekilde öğrendim.
									",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
","
","
","
","
",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
											Here I am in my fourth-grade class.
											This is my yearbook picture
taken in my class in school
											in Monrovia, Liberia.
											My parents migrated from India
to West Africa in the 1970s,
											and I had the privilege
of growing up there.
											I was nine years old,
											I loved kicking around a soccer ball,
											and I was a total math and science geek.
											I was living the kind of life
that, really, any child would dream of.
											But no condition is permanent.
									","
											Me voilà avec ma classe de CM1.
											C'est ma photo de classe
prise dans mon école
											à Monrovia, au Liberia.
											Mes parents ont émigré d'Inde
en Afrique de l'Ouest dans les années 70
											et j'ai eu de le privilège
de grandir là-bas.
											J'avais neuf ans,
											j'adorais jouer au foot
											et j'étais passionné
par les maths et la science.
											Je vivais le genre de vie
dont tout enfant rêverait.
											Mais aucune situation n'est permanente.
									","
											Aquí estoy en mi clase de cuarto.
											Esta es la fotografía de mi anuario,
tomada en mi escuela
											de Monrovia, Liberia.
											Mis padres migraron de India
a África occidental en los años 70,
											y tuve el privilegio de crecer allí.
											Tenía 9 años.
											Me encantaba pegar patadas al balón,
											y era un friki
de las matemáticas y la ciencia.
											Estaba viviendo la vida
que cualquier niño hubiese soñado.
											Pero, ninguna situación es permanente.
									","
											Aquele sou eu no 4.º ano,
											Esta é a fotografia do livro de curso
tirada na minha turma da escola,
											em Monróvia, na Libéria.
											Os meus pais emigraram da Índia
para a África Ocidental nos anos 70
											e eu tive o privilégio de crescer ali.
											Tinha nove anos.
											Adorava andar aos pontapés a uma bola
											e era fanático por matemática e ciências.
											Vivia o tipo de vida
com que qualquer criança sonharia.
											Mas nenhuma situação é permanente.
									","
											Burada dördüncü sınıftayım.
											Bu okul yıllığındaki resmim
											Monrovia, Liberya'da
okulumdaki sınıfımda çekildi.
											Annem ve babam Hindistan'dan
Batı Afrika'ya 1970'lerde göç etmişlerdi,
											ben de Liberya'da
büyüme şansını yakalamıştım.
											Dokuz yaşındaydım,
											futbol oynamayı çok seviyordum
											ve tam bir matematik ve fen kurduydum.
											Tüm çocukların hayal ettiği
türden bir yaşam sürüyordum.
											Ama hiçbir durum kalıcı değildir.
									",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
","
","
","
","
",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
											On Christmas Eve in 1989,
											civil war erupted in Liberia.
											The war started in the rural countryside,
											and within months, rebel armies
had marched towards our hometown.
											My school shut down,
											and when the rebel armies captured
the only international airport,
											people started panicking and fleeing.
											My mom came knocking one morning
and said, ""Raj, pack your things —
											we have to go.""
											We were rushed to the center of town,
											and there on a tarmac,
we were split into two lines.
											I stood with my family in one line,
											and we were stuffed into the cargo hatch
											of a rescue plane.
											And there on a bench,
I was sitting with my heart racing.
											As I looked out the open hatch,
											I saw hundreds of Liberians
in another line,
											children strapped to their backs.
											When they tried to jump in with us,
											I watched soldiers restrain them.
											They were not allowed to flee.
									","
											Lors du réveillon de Noël en 1989,
											la guerre civile a éclaté au Liberia.
											La guerre a démarré dans la campagne
											et, en quelques mois, des armées rebelles
avaient marché jusqu'à notre ville.
											Mon école a été fermée
											et quand les armées rebelles se sont
emparées du seul aéroport international,
											les gens ont commencé à paniquer et fuir.
											Un matin, ma mère a frappé à ma porte
et a dit : « Raj, fais tes valises —
											nous devons partir. »
											On nous a emmenés dans le centre ville
											et, sur le tarmac,
on nous a divisés en deux files.
											Je me suis tenu avec ma famille
dans une file,
											on nous a tassés
dans la trappe de cargaison
											d'un avion de sauvetage.
											J'étais assis là sur un banc,
le cœur battant à 100 à l'heure.
											En regardant par la trappe ouverte,
											j'ai vu des centaines de Libériens
dans une autre file,
											les enfants sanglés dans leur dos.
											Quand ils ont essayé de rentrer avec nous,
											j'ai regardé des soldats les retenir.
											Ils n'avaient pas le droit de fuir.
									","
											En Nochebuena del año 1989,
											estalló la guerra civil en Liberia.
											La guerra empezó en las zonas rurales,
											y en cosa de meses los ejércitos rebeldes
marchaban hacia nuestra ciudad.
											Mi escuela cerró,
											y cuando los ejércitos rebeldes
tomaron el único aeropuerto internacional,
											la gente entró en pánico y huyó.
											Una mañana mi madre llamó a la puerta
y dijo Raj, guarda tus cosas,
											tenemos que irnos"".
											Nos apresuramos en ir
al centro de la ciudad,
											y allí en el asfalto,
nos separaron en dos filas.
											Estaba en una fila con mi familia,
											y nos metieron en la bodega de carga
											de un avión de rescate.
											Estaba sentado en un banco
con el pulso acelerado.
											Mientras miraba hacia el portón abierto,
											vi cientos de liberianos en la otra fila,
											con niños subidos en sus espaldas.
											Cuando intentaron entrar con nosotros
											vi a los soldados contenerlos.
											No les estaba permitido volar.
									","
											Na véspera do Natal, em 1989,
											rebentou a guerra na Libéria.
											A guerra começou na zona rural,
											e, em poucos meses, os exércitos rebeldes
avançaram até à nossa cidade.
											A minha escola foi encerrada
											e, quando os exércitos rebeldes
tomaram o único aeroporto internacional,
											as pessoas entraram em pânico
e começaram a fugir.
											Um dia, a minha mãe
bateu à porta e disse:
											""Raj, arranja as tuas coisas,
temos que ir"".
											Fomos levados à pressa
para o centro da cidade
											e ali, no meio da estrada,
fomos divididos em duas filas.
											Eu fiquei com a minha família
numa das filas
											e enfiaram-nos pela porta do porão
											de um avião de resgate.
											Fiquei ali, sentado num banco,
com o coração aos pulos.
											Olhei pela porta aberta
											e vi centenas de libérios na outra fila,
											as crianças atadas às costas.
											Quando tentaram embarcar
para o pé de nós,
											vi que os soldados os impediam.
											Não lhes permitiam fugir.
									","
											1989 Noel arifesinde
											Liberya'da iç savaş çıktı.
											Savaş köylerde başladı
											ve birkaç ay içinde asi orduları 
mahallemize kadar geldiler.
											Okulum kapandı
											ve asi orduları tek uluslarası 
hava limanını ele geçirince
											insanlar paniğe kapılıp kaçmaya başladı.
											Annem bir gün sabah kapımı çalıp
											''Raj, eşyalarını topla,
gitmeliyiz'' dedi.
											Şehir merkezine koştuk
											ve tarlanın üstünde iki sıraya dizildik.
											Ailemle bir sırada durdum
											ve sonra bir kurtarma uçağının
											kargosuna sıkıştırıldık.
											Orada öylece otururken
kalbim hızla çarpıyordu.
											Açık kargo kapısından dışarı baktığımda
											diğer sırada yüzlerce Liberyalıyı
											çocukları sırtlarına bağlı
bir şekilde dururken gördüm.
											Bizimle uçağa girmeye çalıştıklarında
											askerlerin onları durduruşunu izledim.
											Onların kaçmalarına izin yoktu.
									",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
","
","
","
","
",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
											We were the lucky ones.
											We lost what we had,
											but we resettled in America,
											and as immigrants, we benefitted
from the community of supporters
											that rallied around us.
											They took my family into their home,
											they mentored me.
											And they helped my dad
start a clothing shop.
											I'd visit my father
on weekends as a teenager
											to help him sell sneakers and jeans.
											And every time business would get bad,
											he'd remind me of that mantra:
											no condition is permanent.
											That mantra and my parents' persistence
and that community of supporters
											made it possible for me
to go through college
											and eventually to medical school.
											I'd once had my hopes crushed in a war,
											but because of them,
											I had a chance to pursue my dream
to become a doctor.
											My condition had changed.
									","
											Nous étions les chanceux.
											Nous avons perdu ce que nous avions
											mais nous sommes réinstallés en Amérique
											et, étant des immigrants, avons bénéficié
de la communauté de soutien
											qui s'est réunie autour de nous.
											Ils ont accueilli ma famille
dans leur maison, m'ont guidé.
											Ils ont aidé mon père à ouvrir un magasin.
											J'allais voir mon père
le week-end quand j'étais ado
											pour l'aider à vendre
des baskets et jeans.
											Dès que les affaires allaient mal,
											il me rappelait ce mantra :
											aucune situation n'est permanente.
											Ce mantra, la persévérance de mes parents
et cette communauté de soutien
											ont rendu possible
que j'aille à l'université
											puis en école de médecine.
											Mes espoirs avaient été détruits
durant une guerre
											mais grâce à eux,
											j'ai eu la chance de réaliser mon rêve
de devenir médecin.
											Ma situation avait changé.
									","
											Éramos los afortunados.
											Perdimos lo que teníamos,
											pero nos reasentamos en EE.UU.,
											y como inmigrantes nos beneficiamos
de la comunidad de apoyo
											reunida a nuestro alrededor.
											Acogieron a mi familia a su hogar,
											me dieron consejos.
											Ayudaron a mi padre
a abrir una tienda de ropa.
											Me gustaba visitar a mi padre
los fines de semana
											para ayudarle a vender 
vaqueros y zapatillas.
											Y cada vez que la empresa iba mal,
											él me recordaba ese mantra:
											ninguna situación es permanente.
											Ese mantra, la perseverancia
de mis padres, y el apoyo de la comunidad
											me permitió ir a la universidad
											y finalmente
a la facultad de Medicina.
											Una vez perdí las esperanzas
en una guerra,
											pero gracias a ellas,
											tuve la oportunidad de perseguir 
mi sueño de hacerme médico.
											Mi situación había cambiado.
									","
											Nós éramos os que tínhamos sorte.
											Perdemos tudo o que tínhamos,
											mas fomos enviados para os EUA,
											e, enquanto imigrantes, beneficiámos
da comunidade de apoiantes
											que se reuniram à nossa volta.
											Levaram a minha família
para casa deles,
											tomaram conta de mim.
											Ajudaram o meu pai
a iniciar uma loja de vestuário.
											Eu visitava o meu pai
aos fins-de-semana, em adolescente,
											para ajudá-lo a vender ténis e ""jeans"".
											Sempre que os negócios corriam mal,
											ele recordava-me aquele mantra:
											""Nenhuma situação é permanente"".
											Aquele mantra, a persistência dos meus pais
e aquela comunidade de apoiantes
											tornaram possível
que eu fosse para a universidade
											e conseguir entrar
na faculdade de medicina.
											As minhas esperanças tinham sido
despedaçadas por uma guerra
											mas, graças a eles,
											tive a sorte de concretizar
o meu sonho de ser médico.
											A minha situação tinha mudado.
									","
											Biz şanslı olanlardık.
											Sahip olduğumuz her şeyi kaybettik
											fakat Amerika'da yeniden bir düzen kurduk,
											mülteciler olarak bize destek olan
											birçok topluluktan faydalandık.
											Ailemi kendi evlerine aldılar,
											beni eğittiler.
											Babama bir kumaş dükkanı 
açmasında yardım ettiler.
											Gençken haftasonları babamı ziyaret edip
											ayakkabı ve kot pantolon
satmasında yardım ederdim.
											Ne zaman işler kötü olsa
											bana hep aynı mantrayı hatırlatırdı:
											Hiçbir durum kalıcı değildir.
											Bu mantra ve ailemin sabrı
ve ayrıca destekleyici topluluklar
											üniversiteye gitmemi mümkün kıldı
											ve sonra tıp fakültesini bitirmemi.
											Savaşta tüm hayallerimi kaybetmiştim
											ama onlar sayesinde,
											doktor olma hayalimi 
gerçekleştirme şansım olmuştu.
											Durumum değişmişti.
									",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
","
","
","
","
",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
"
											It had been 15 years
since I escaped that airfield,
											but the memory of those two lines
had not escaped my mind.
											I was a medical student in my mid-20s,
											and I wanted to go back
											to see if I could serve
the people we'd left behind.
											But when I got back,
											what I found was utter destruction.
											The war had left us with just 51 doctors
											to serve a country of four million people.
											It would be like the city of San Francisco
having just 10 doctors.
											So if you got sick in the city
where those few doctors remain,
											you might stand a chance.
											But if you got sick in the remote,
rural rainforest communities,
											where you could be days
from the nearest clinic —
											I was seeing my patients die
from conditions no one should die from,
											all because they were
getting to me too late.
											Imagine you have a two-year-old
who wakes up one morning with a fever,
											and you realize she could have malaria,
											and you know the only way to get her
the medicine she needs
											would be to take her to the riverbed,
											get in a canoe, paddle to the other side
											and then walk for up to two days
through the forest
											just to reach the nearest clinic.
									","
											Cela faisait 15 ans
que j'avais fui cet aérodrome
											mais le souvenir de ces deux files
ne m'avait jamais quitté.
											J'étais un étudiant en médecine,
j'avais environ 25 ans
											et je voulais y retourner
											pour voir si je pouvais servir
les gens laissés pour compte.
											Quand j'y suis retourné,
											j'ai trouvé une destruction totale.
											La guerre nous avait laissés
avec 51 médecins
											pour servir un pays
de 4 millions d'habitants.
											C'est comme si la ville de San Francisco
n'avait que 10 médecins.
											Si vous tombiez malade dans la ville
où il restait un médecin,
											vous aviez une chance.
											Si vous tombiez malade dans une communauté
éloignée, dans la forêt tropicale,
											où vous étiez à des jours
de toute clinique —
											je voyais mes patients mourir de maladies
dont personne ne devrait mourir,
											juste parce qu'ils arrivaient trop tard.
											Imaginez qu'un enfant de deux ans
se réveille avec de la fièvre un matin
											et vous réalisez qu'il pourrait
avoir la malaria
											et la seule façon qu'il ait
les médicaments nécessaires
											serait de l'amener à la rivière,
											de prendre un canoë jusqu'à l'autre côté
											puis de marcher pendant deux jours
à travers la forêt
											pour atteindre la clinique la plus proche.
									","
											Habían pasado 15 años
desde que escapé de ese aeropuerto,
											pero esas dos filas
no se habían ido de mi mente.
											Era un estudiante de medicina
de unos 25 años
											y quería volver
											para ver si podía tratar
a la personas que dejamos atrás.
											Cuando volví,
											encontré un desastre.
											La guerra nos dejó con tan solo 51 médicos
											para atender a un país
de 4 millones de personas.
											Sería como si San Francisco
tuviese solo 10 médicos.
											Si enfermas en la ciudad
donde están esos médicos
											podrías tener una posibilidad.
											Pero si enfermas en un lugar remoto 
de la selva tropical,
											a días de la clínica más cercana...
											Mis pacientes morían de enfermedades 
por las que nadie debería morir.
											Todo por que llegaban a mí 
demasiado tarde.
											Imaginen que tienen una hija de 2 años
que despierta el lunes con fiebre,
											y se dan cuenta que podría tener malaria,
											saben que la única forma de conseguir
el medicamento que necesita
											sería llevarla a la orilla del río,
											subirla a una canoa, 
remar hacia el otro lado
											y caminar casi dos días
a través de la selva
											solo para llegar
a la clínica más cercana.
									","
											Tinham passado 15 anos
desde que fugira naquele aeroporto
											mas a recordação daquelas duas filas
não me saía da cabeça.
											Eu era estudante de medicina
com vinte e tal anos
											e queria voltar lá
											para ver se podia servir
as pessoas que tinham ficado para trás.
											Mas quando lá voltei,
só encontrei uma destruição total.
											A guerra tinha-nos deixado
apenas com 51 médicos,
											para servir um país
de quatro milhões de pessoas.
											Seria como se San Francisco
só tivesse 10 médicos.
											Se adoecermos na cidade
em que restam esses poucos médicos,
											podemos ter uma hipótese
											mas. se adoecermos numa comunidade
distante, no meio da floresta tropical,
											onde estamos a dias de distância
da clínica mais próxima
											— eu via os meus doentes a morrer
com situações em que ninguém devia morrer,
											tudo porque vinham ter comigo
tarde demais.
											Imaginem que têm uma criança de dois anos
que acorda uma manhã com febre
											e percebem que ela pode estar com malaria.
											Sabem que a única forma
de lhe arranjar o remédio que ela precisa
											será ir até ao rio,
											meter-se numa canoa,
remar até à outra margem
											e depois caminhar pela floresta
durante dois dias
											para chegar à clínica mais próxima.
									","
											O hava alanından kaçışın üstünden
15 yıl geçmiş olsa da
											iki ayrı sıranın varlığı 
hiç aklımdan çıkmamıştı.
											20'li yaşlarımın ortasında
tıp öğrencisiyken
											geri dönüp
											geride bıraktığımız insanlara
hizmet etmeyi düşündüm.
											Ama geri döndüğümde
											bulduğum şey büyük bir yıkımdı.
											Savaş dört milyon nüfuslu ülkede
											sadece 51 doktor bırakmıştı.
											Bu San Francisco'da yalnızca
10 doktorun olması gibi bir şey.
											Eğer o doktorların bulunduğu
şehirlerden birindeyseniz
											bir şansınız olabilir.
											Ancak, uzakta yağmur ormanları
içindeki topluluklardaysanız,
											en yakın klinikten günlerce
uzakta yaşıyorsanız —
											hastalarımın kimsenin ölmemesi gereken
nedenlerden öldüğünü görüyordum,
											sadece bana gelmekte geç kaldıkları için.
											İki yaşındaki çocuğunuzun
bir sabah ateşle uyanmasıyla
											sıtmaya yakalanmış olabileceğini düşünün,
											ve ona ihtiyacı olan ilaçları almak için
											onu nehir ağzına götürmeniz gerektiğini,
											bir kanoya binip karşıya
kürek çektiğinizi,
											ve ormanın içinde
iki gün boyunca yürüyerek
											kliniğe vardığınızı düşünün.
									",No one should die because they live too far from a doctor,Raj Panjabi,20:30,"Africa,collaboration,ebola,disease,health,global issues,health care,humanity,medicine,illness,society,technology,virus,TED Prize,global development,Audacious Project"
