es,en,title,speaker,duration,tags
"
","
",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
											Agarrados de las manos,
mirábamos la puerta,
											y estábamos perforando la puerta
con nuestras miradas intensas.
											Mis hermanos y yo estábamos esperando
a que mamá volviera del hospital,
											donde mi abuela estaba siendo operada
por un cáncer avanzado.
											Por fin las puertas se abrieron,
											y mi mamá dijo:
											“No sobrevivió a la operación”.
											Ella estalló en llanto
y, entre sollozos, nos dijo:
											“El último deseo de tu abuela fue
ser enterrada en su hogar, en Corea”.
									","
											Holding hands,
											we watched the door,
											boring holes in it
with our intense stares.
											My siblings and I were waiting for our mom
to come back from the hospital,
											where my grandmother was having surgery
for advanced cancer.
											Finally, the doors opened,
											and my mom said,
											""She didn't survive the operation.""
											She burst into tears
and between sobs, said,
											""Your grandmother's last wish
was to be buried in her home, in Korea.""
									",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
","
",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
											Yo tenía apenas 12 años con este episodio
											y cuando me recuperé de ese shock inicial,
											las palabras de mi madre
estaban retumbando en mis oídos.
											La abu quería ser enterrada ""en su hogar"".
											Nosotros habíamos emigrado
de Corea a Argentina hacía seis años ya,
											cuando no sabíamos nada de español,
											ni sabíamos cómo íbamos
a ganarnos la vida.
											Éramos inmigrantes en una nueva tierra,
											en donde lo habíamos perdido
todo a través de una estafa
											y habíamos trabajado muy duro
para poder rehacer nuestras vidas.
											Por eso, no me imaginaba
que después de tantos años,
											nuestro hogar seguía siendo Corea.
											Me hizo preguntarme: ""¿Dónde querría
yo ser enterrada algún día?
											¿Dónde estaría mi hogar?""
											Y la verdad, no tenía una respuesta
a estas preguntas
											y eso me angustiaba muchísimo.
									","
											I was only 12 when this happened,
											and when I recovered
from the initial shock,
											my mom's words echoed in my ears:
											Grandma wanted to be buried in her ""home.""
											We had emigrated from Korea to Argentina
six years earlier.
											We knew no Spanish,
or how we were going to make a living.
											We were immigrants in a new land,
											where we had lost everything
on account of a scam,
											and we had worked very hard
to rebuild our lives.
											That's why I couldn't imagine
that after so many years,
											our home would still be Korea.
											It made me wonder:
Where do I want to be buried someday?
											Where is my home?
											To be honest, I didn't have
an answer to these questions,
											and that really worried me.
									",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
","
",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
											Este episodio desencadenó
una búsqueda existencial de mi identidad.
											Yo había nacido en Corea,
la tierra del kimchi,
											crecí en Argentina,
											donde nunca faltaba el asado en la mesa,
											así que, la verdad, no me extrañaría
si yo hoy soy ochenta por ciento vaca.
									","
											This episode triggered
an existential search for my identity.
											I was born in Korea, the land of kimchi,
											and I grew up in Argentina,
where there was always meat on the table;
											truly, it would not be surprising
if today I were 80 percent cow.
									",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
","
",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
											(Risas)
									","
											(Laughter)
									",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
","
",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
											Y en Estados Unidos me eduqué,
											donde me hice adicta
a la mantequilla de maní.
											Durante la infancia, la verdad,
que yo me sentía muy argentina,
											pero mi apariencia me delataba.
									","
											I was educated in the United States,
											where I became addicted to peanut butter.
											During childhood,
I honestly felt very Argentine,
											but my appearance always gave me away.
									",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
"
","
",El valor de nuestra diversidad interna,Rebeca Hwang,12:14,"TED en Español,identity,self,children,education,humanity,community,society,diversity,family"
