fr,en,es,tr,title,speaker,duration,tags
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Voici un sanatorium,
											et à l'époque où cette photo a été prise,
à la fin des année 1800,
											une personne sur sept
											mourait de tuberculose.
											Nous n'avions aucune idée
de ce qui causait cette maladie.
											L'hypothèse était d'ailleurs
											que notre constitution nous rendait
plus ou moins vulnérable.
											Et c'était une maladie
hautement romancée.
											Elle était aussi appelée « consommation »,
											c'était la pathologie des poètes,
											des artistes et des intellectuels.
											Certaines personnes pensaient d'ailleurs
que cela augmentait votre sensibilité
											et vous donnait un certain génie créatif.
									","
											This is a tuberculosis ward,
											and at the time this picture was taken
in the late 1800s,
											one in seven of all people
											died from tuberculosis.
											We had no idea
what was causing this disease.
											The hypothesis was actually
											it was your constitution
that made you susceptible.
											And it was a highly romanticized disease.
											It was also called consumption,
											and it was the disorder of poets
											and artists and intellectuals.
											And some people actually thought
it gave you heightened sensitivity
											and conferred creative genius.
									","
											Este es un pabellón 
para pacientes con tuberculosis,
											cuando se tomó esta fotografía, 
a fines del siglo XIX,
											una de cada siete personas
											moría de tuberculosis.
											No teníamos idea de las causas
de esta enfermedad.
											La hipótesis era
											que la Constitución te hacía propenso.
											Era una enfermedad muy romantizada;
											también se le llamaba tisis,
											y era la enfermedad de los poetas,
											artistas e intelectuales.
											De hecho, algunos pensaban que causaba 
una sensibilidad exacerbada
											y que confería genio creativo.
									","
											Bu bir tüberküloz koğuşu
											ve 1880'lerin sonunda
bu fotoğraf çekildiğinde,
											buradaki her yedi kişiden biri
											tüberkülozdan öldü.
											Hastalığa neden olan şey
hakkında hiçbir fikrimiz yoktu.
											Aslında sizi duyarlı kılan şeyin
											sizin yapınız olduğu varsayıldı.
											Ve fazlasıyla da
romantikleştirilmiş bir hastalık.
											Ayrıca verem olarak da adlandırılıyor
											ve şairlerin,
sanatçıların, entelektüellerin de
											rahatsızlığı bu.
											Ve bazı insanlar bunun
kişiye abartılmış bir hassasiyet ve
											yaratıcı dehalık verdiğini düşündüler.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											À partir des années 50,
											nous savions que
la tuberculose était causée
											par une maladie infectieuse
hautement contagieuse,
											ce qui est moins romantique,
											mais cela avait le mérite
											de nous permettre de développer
des médicaments pour la traiter.
											Les docteurs avaient découvert
un nouveau médicament : l'iproniazide.
											Ils pensaient que
cela pourrait traiter la tuberculose.
											Ils l'ont donné à des patients
											et ces patients étaient ravis.
											Ils étaient plus sociables,
plus énergétiques.
											Un rapport médical déclare même
qu'ils « dansaient dans les couloirs ».
											Et malheureusement,
											ce n'était pas forcément
parce qu'ils guérissaient.
											Beaucoup d'entre eux mouraient toujours.
											Un autre rapport médical les décrit
comme « heureux de manière inappropriée ».
											Et c'est ainsi que le premier
antidépresseur a été découvert.
									","
											By the 1950s,
											we instead knew
that tuberculosis was caused
											by a highly contagious
bacterial infection,
											which is slightly less romantic,
											but that had the upside
											of us being able to maybe
develop drugs to treat it.
											So doctors had discovered
a new drug, iproniazid,
											that they were optimistic
might cure tuberculosis,
											and they gave it to patients,
											and patients were elated.
											They were more social, more energetic.
											One medical report actually says
they were ""dancing in the halls.""
											And unfortunately,
											this was not necessarily
because they were getting better.
											A lot of them were still dying.
											Another medical report describes them
as being ""inappropriately happy.""
											And that is how the first
antidepressant was discovered.
									","
											En la década de los cincuenta,
											descubrimos, en cambio,
que la tuberculosis era causada
											por una infección bacteriana
altamente contagiosa,
											lo cual no era tan romántico,
											pero tenía la ventaja
											de que, tal vez, pudiéramos desarrollar
medicamentos para tratarla.
											Los doctores descubrieron
una nueva medicina: iproniazida,
											la cual, creían, podría curar
la tuberculosis.
											Se la dieron a los pacientes,
											y los pacientes se sentían eufóricos;
											se volvieron más sociales, más enérgicos.
											De hecho, un reporte médico decía
que ""bailaban por los pasillos"".
											Desafortunadamente,
											esto no significaba 
que estuvieran mejorando:
											muchos de ellos seguían muriendo.
											Otro informe médico los describía
como ""inapropiadamente felices"".
											Así fue como se descubrió 
el primer antidepresivo.
									","
											1950'lere kadar
											tüberkülozun nispeten daha az
romantik olan,
											bulaşıcı bir bakteri enfeksiyonundan
kaynaklandığını biliyorduk,
											fakat onu tedavi etmek için
											ilaç üretebilme ihtimalimiz
											her şeyi tersine çevirdi.
											Böylece doktorlar iproniazit
adında yeni bir ilaç keşfetti ve
											tüberkülozu tedavi edebileceği
konusunda olumlu düşünüyorlardı,
											ilacı hastalara verdiler ve
											hastalar memnun olmuştu.
											Daha sosyal, daha enerjiklerdi.
											Tıbbi bir raporda hastaların
""koridorlarda dans ettikleri"" söylenmişti.
											Ve ne yazık ki
											bunun nedeni iyileşiyor olmaları değildi.
											Çoğu hâlâ ölüyordu.
											Başka bir tıbbi rapor onların
""uygunsuzca mutlu"" olduklarını söylüyordu.
											Ve antidepresan bu şekilde keşfedildi.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Les découvertes accidentelles
ne sont donc pas rares, en science,
											mais cela demande plus
qu'un heureux accident.
											Il faut être capable de la reconnaître,
pour faire une découverte.
									","
											So accidental discovery
is not uncommon in science,
											but it requires more
than just a happy accident.
											You have to be able to recognize it
for discovery to occur.
									","
											Los descubrimientos accidentales
no son poco comunes en la ciencia,
											pero se requiere más 
que solo un accidente feliz;
											Se debe ser capaz de reconocerlo
para que éste ocurra.
									","
											Bilimde tesadüfi
keşif alışılmış bir şeydir,
											fakat bunun için sevindirici
bir tesadüften fazlası gerekir.
											Keşfin meydana gelmesi
için onu anlayabilmeniz gerekir.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											En tant que neuroscientifique,
je vais vous parler un peu
											de ma propre expérience
											avec le contraire de la chance du hasard ;
											appelons ça la chance réfléchie.
											Mais d'abord, un petit peu de contexte.
									","
											As a neuroscientist,
I'm going to talk to you a little bit
											about my firsthand experience
											with whatever you want to call
the opposite of dumb luck —
											let's call it smart luck.
											But first, a bit more background.
									","
											Como neurocientífica, les hablaré un poco
											de mi experiencia personal

											con lo que conocemos
como opuesto a la suerte casual,
											yo le llamo suerte inteligente.
									","
											Bir nörolog olarak sizlere
birinci ağızdan tecrübelerimi
											anlatacağım,
											dilerseniz buna acemi şansının
tam tersi diyebilirsiniz —
											en iyisi zekâ şansı diyelim.
											Öncelikle biraz daha
arka plandan bahsedeceğim.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
","
","
","
",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
"
											Heureusement, depuis les années 50,
											nous avons développé d'autres médicaments
qui soignent enfin la tuberculose.
											Et aux États-Unis, même si ce n'est pas
forcément le cas dans d'autres pays,
											les sanatoriums ont fermé.
											La plupart d'entre vous ne s'inquiètent
pas trop de la tuberculose (TB).
											Mais beaucoup de ce qui était vrai
dans les années 1900,
											à propos des maladies infectieuses,
											peut être dit maintenant
pour les troubles psychiatriques.
									","
											Thankfully, since the 1950s,
											we've developed some other drugs
and we can actually now cure tuberculosis.
											And at least in the United States,
though not necessarily in other countries,
											we have closed our sanitoriums
											and probably most of you
are not too worried about TB.
											But a lot of what was true
in the early 1900s
											about infectious disease,
											we can say now
about psychiatric disorders.
									","
											Pero antes, un poco más de historia.
											Afortunadamente, desde la década
de los cincuentas,
											hemos desarrollado otros medicamentos
y ahora podemos curar la tuberculosis.
											Al menos en EE. UU.,
quizá no en otros países,
											cerramos nuestros sanatorios
											quizá a la mayoría de Uds. 
no les preocupe mucho la tuberculosis.
									","
											Neyse ki, 1950'lerden bu yana
											başka ilaçlar geliştirdik ve
artık tüberkülozu tedavi edebiliyoruz.
											Diğer ülkelerde olmasa bile,
en azından Amerika'da,
											sanatoryumlarımızı kapattık
											ve muhtelemen çoğunuz
tüberküloz endişesi duymuyor.
											Fakat 1900'lerin
başında bulaşıcı hastalıkla ilgili
											doğru olan şeyler,
											artık psikiyatrik 
hastalıklar için geçerli.
									",Could a drug prevent depression and PTSD?,Rebecca Brachman,18:23,"brain,chemistry,depression,health care,health,happiness,history,humanity,illness,medical research,medicine,mental health,mind,neuroscience,pharmaceuticals,PTSD,science,TEDx"
