pt,es,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											Às segundas e quintas-feiras,
aprendo a morrer.
											Chamo-lhes os meus dias terminais.
											A minha esposa, a Fernanda,
não gosta do termo,
											mas, na minha família muitos
morreram com melanomas, cancro,
											incluindo os meus pais e avós.
											Eu pensava: um dia, posso estar
no médico, ele olha para os exames e diz:
											""Ricardo, isto não está bem.
Tens entre seis meses e um ano de vida"".
									","
											Los lunes y los jueves, aprendo a morir.
											Los llamo mis días terminales.
											A mi esposa Fernanda
no le gusta el término,
											pero muchos miembros de mi familia
murieron de melanoma
											y mis padres y abuelos lo tuvieron.
											Pensé que algún día podría
estar sentado frente a un médico
											que viendo mis exámenes diría:
											""Ricardo, las cosas no se ven muy bien.
											Te quedan 6 meses, o un año, de vida"".
									","
											On Mondays and Thursdays,
I learn how to die.
											I call them my terminal days.
											My wife Fernanda doesn't like the term,
											but a lot of people in my family died
of melanoma cancer
											and my parents and grandparents had it.
											And I kept thinking, one day I could
be sitting in front of a doctor
											who looks at my exams and says,
											""Ricardo, things don't look very good.
											You have six months or a year to live.""
									","
											Les lundis et jeudis,
j'apprends à mourir.
											Je les appelle mes jours terminaux.
											Mon épouse Fernanda n'aime pas ce terme,
											mais beaucoup de membres de ma famille
sont morts d'un cancer du mélanome
											et mes parents et grands-parents
l'ont eu aussi.
											Et je pensais qu'un jour je serais
peut-être assis face à un médecin
											qui regarderait mes examens et dirait :
											« Ricardo, les résultats ne sont pas bons.
											Vous avez six mois ou un an à vivre. »
									","
											Montags und donnerstags
lerne ich zu sterben.
											Ich nenne sie meine ""letzten Tage"".
											Meine Frau Fernanda mag
diese Bezeichnung nicht.
											Aber viele meiner Familienmitglieder
starben an Hautkrebs,
											und meine Eltern und
Großeltern hatten auch Krebs.
											Ich dachte immer, eines Tages
werde ich vor einem Arzt sitzen,
											der meine Befunde ansieht und sagt:
											""Ricardo, es sieht nicht gut aus.
											Sie haben nur noch sechs Monate
oder ein Jahr zu leben.""
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											Começamos a pensar no que faríamos
com esse tempo, e dizemos:
											""Vou passar mais tempo com os miúdos.
Vou visitar estes lugares.
											""Vou escalar montanhas e descer falésias
											""e fazer tudo o que não fiz
quando tinha tempo"".
											Mas, sabemos que seriam
memórias com um sabor amargo.
											Seria um período difícil, provavelmente
chorávamos a maior parte do tempo.
											Por isso, disse que ia fazer outra coisa:
									","
											Y que empezaría a pensar
qué hacer con este tiempo.
											Diría: ""Pasaré más tiempo
con los niños.
											Visitaré estos lugares,
											recorreré montañas y lugares
											y haré todas las cosas que
no hice por falta de tiempo"".
											Pero claro, todos sabemos
											que tendremos recuerdos agridulces.
											Es algo muy difícil de hacer.
											Probablemente pasaríamos 
buena parte del tiempo llorado.
											Por eso me dije ""Haré algo más"".
									","
											And you start thinking about
what you would do with this time.
											And you say, ""I'm going to spend 
more time with the kids.
											I'm going to visit these places,
											I'm going to go up and down
mountains and places
											and I'm going to do all the things
I didn't do when I had the time.""
											But of course, we all know
											these are very bittersweet memories 
we're going to have.
											It's very difficult to do.
											You spend a good part of the time
crying, probably.
											So I said, I'm going to do something else.
									","
											Et là, vous commencez à réfléchir à ce que
vous feriez de ce temps.
											Vous dites : « Je vais passer
plus de temps avec les enfants.
											Je vais visiter tels endroits,
											je vais escalader des montagnes
et explorer des lieux
											et je vais faire toutes ces choses que
je n'ai jamais pris le temps de faire. »
											Mais bien sûr, nous savons tous
											que ce seront des souvenirs
doux-amers que nous aurons.
											C'est très difficile à faire.
											Vous passez probablement une bonne
partie du temps à pleurer.
											Donc j'ai décidé 
que j'allais faire autre chose.
									","
											Dann überlegt man, was man
mit dieser Zeit machen will.
											Man sagt sich: ""Ich werde mehr Zeit
mit den Kindern verbringen.
											Ich werde neue Orte besuchen,
ich werde auf Berge steigen
											und ich werde all das tun, was ich
nicht getan habe, als ich die Zeit hatte.""
											Aber natürlich wissen wir alle,
											dass diese Erinnerungen 
sehr bittersüß schmecken werden.
											Es ist schwer umzusetzen.
											Wahrscheinlich weint man 
einen Großteil der Zeit.
											Also beschloss ich, es anders zu machen.
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											""Todas as segundas e quintas,
vou usar os meus dias terminais.
											""Nesses dias, farei o que
faria se estivesse prestes a morrer"".
											(Risos)
									","
											Los lunes y los jueves
serán mis días terminales.
											En esos días haré
											lo que haría de recibir esa noticia.
											(Risas)
									","
											Every Monday and Thursday,
I'm going use my terminal days.
											And I will do, during those days,
											whatever it is I was going to do
if I had received that piece of news.
											(Laughter)
									","
											Chaque lundi et jeudi,
j'utiliserai mes jours terminaux.
											Et je ferai, ces jours-là,
											ce que j'aurais fait si
j'avais reçu cette nouvelle.
											(Rires)
									","
											Jeden Montag und Donnerstag werde
ich meine ""letzten Tage"" nutzen.
											Ich werde an diesen Tagen das tun,
											was ich tun würde, wenn ich
diese Nachricht bekommen hätte.
											(Lachen)
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											(Aplausos)
											Quando pensamos
no que é o contrário do trabalho,
											cremos com frequência
que é o lazer.
											Dizemos:
""Sim, preciso de tempo de lazer"".
											Mas, a verdade é que
o lazer ocupa muito tempo.
											Jogamos golfe e ténis,
e conhecemos pessoas,
											e saímos para almoçar,
e chegamos atrasados ao cinema...
											Andamos sempre ocupados.
											O oposto do trabalho é a ociosidade.
											Poucos de nós sabem
o que fazer com a ociosidade.
											Ao analisar a forma
como a vida é distribuída, em geral,
											percebemos que, nos períodos em que
temos muito dinheiro, temos pouco tempo,
											e quando finalmente temos tempo,
nem temos o dinheiro, nem a saúde.
									","
											Si lo piensan...
											(Aplausos)
											cuando pensamos lo opuesto al trabajo,
											muchas veces pensamos que es descansar.
											Pensamos ""necesito tiempo libre"",
y cosas así.
											Pero, de hecho, el ocio
requiere mucho esfuerzo.
											Es ir a jugar al golf y al tenis,
conocer gente,
											ir a almorzar, ir al cine
y acostarse tarde.
											Todo es muy ajetreado.
											Lo opuesto al trabajo es la inactividad.
											Pocas personas saben qué hacer
con la inactividad.
											Si vemos la distribución
de la vida en general,
											nos damos cuenta de que
cuando tenemos mucho dinero
											tenemos muy poco tiempo.
											Y cuando finalmente tenemos tiempo,
nos falta el dinero o la salud.
									","
											When you think about —
											(Applause)
											when you think about the opposite of work,
											we, many times, think it's leisure.
											And you say, ah, I need 
some leisure time, and so forth.
											But the fact is that,
leisure is a very busy thing.
											You go play golf and tennis,
and you meet people,
											and you're going for lunch,
and you're late for the movies.
											It's a very crowded thing that we do.
											The opposite of work is idleness.
											But very few of us know
what to do with idleness.
											When you look at the way
that we distribute our lives in general,
											you realize that in the periods
in which we have a lot of money,
											we have very little time.
											And then when we finally have time,
we have neither the money nor the health.
									","
											Quand on pense à —
											(Applaudissements)
											Quand on pense au contraire du travail,
											nous pensons souvent aux loisirs.
											Et on se dit qu'on a besoin de temps
pour nos loisirs, etc.
											Mais le fait est que les loisirs
nous occupent beaucoup.
											Vous jouez au golf, au tennis,
voyez du monde,
											et vous allez déjeuner,
et vous êtes en retard au cinéma.
											Les loisirs, c'est une activité prenante.
											Le contraire du travail est l'oisiveté.
Mais très peu d'entre nous
											savent quoi faire de l'oisiveté.
											Quand vous regardez la façon dont nous
divisons notre vie en général,
											vous remarquez que les moments où
nous avons beaucoup d'argent,
											sont ceux où nous avons
très peu de temps.
											Et quand nous avons finalement le temps,
nous n'avons ni l'argent ni la santé.
									","
											Wenn wir an ...
											(Applaus)
											Das Gegenteil von Arbeit
ist für uns oft Freizeit.
											Wir sagen uns: ""Ich brauche
Freizeit"", und so weiter.
											Aber tatsächlich sind wir in
unserer Freizeit sehr beschäftigt.
											Wir spielen Golf und
Tennis, treffen Leute,
											gehen zum Mittagessen und
kommen zu spät ins Kino.
											Es ist eine sehr angefüllte Zeit.
											Das Gegenteil von Arbeit ist Müßiggang.
											Aber sehr wenige von uns wissen
mit Müßiggang umzugehen.
											Wenn wir uns ansehen,
wie wir unser Leben aufteilen,
											stellen wir fest: In den Phasen,
in denen wir viel Geld haben,
											haben wir sehr wenig Zeit.
											Wenn wir endlich Zeit haben,
											haben wir weder das nötige Geld 
noch die Gesundheit.
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
											Então, começámos a pensar nisto
enquanto empresa, nos últimos 30 anos.
											É uma empresa complicada,
com milhares de funcionários,
											centenas de milhões de dólares
em volume de negócios,
											que produz sistemas
de propulsão de foguetes,
											gere 4000 caixas multibanco
no Brasil,
											trata da declaração do IRS
de dezenas de milhares de pessoas.
									","
											Como compañía, pensamos en eso
desde hace 30 años.
											Esta es una empresa complicada,
tiene miles de empleados,
											cientos de millones
de dólares en negocios
											que hace sistemas 
propulsores de cohetes,
											administra 4000 cajeros 
automáticos en Brasil,
											gestiona impuestos a decenas de miles.
											No es un negocio simple.
									","
											So we started thinking about that
as a company for the last 30 years.
											This is a complicated company
with thousands of employees,
											hundreds of millions
of dollars of business
											that makes rocket fuel propellent systems,
runs 4,000 ATMs in Brazil,
											does income tax preparation
for dozens of thousands.
											So this is not a simple business.
									","
											En tant qu'entreprise, nous avons commencé
à y penser il y a une trentaine d'années.
											C'est une entreprise compliquée,
avec des milliers d'employés,
											qui brasse des centaines
de millions de dollars,
											crée des systèmes de propulsion, gère
4 000 distributeurs d'argent au Brésil,
											fait la déclaration d'impôts
de dizaines de milliers de personnes.
											Donc, ce n'est pas une entreprise simple.
									","
											Darüber haben wir als Firma in
den letzten 30 Jahren nachgedacht.
											Unsere Firma ist komplex.
											Wir haben tausende Mitarbeiter
											und machen Geschäfte in Höhe von
Hunderten Millionen Dollar.
											Die Firma stellt
Raketentreibstoff-Systeme her,
											betreibt 4 000 Geldautomaten in Brasilien,
											und bereitet die Einkommenssteuer
für mehrere Tausende vor.
											Es ist also kein einfaches Geschäft.
									",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
"
","
","
","
","
",How to run a company with (almost) no rules,Ricardo Semler,21:42,"business,creativity,philosophy,work,leadership"
