en,de,tr,pt,title,speaker,duration,tags
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											Michael Browning: engineer,
											innovator —
											inventor, really —
											and inspiring father.
											He had a passion for flight,
as you can kind of sense
											from that rather dubious
1970s office-leaving present.
											And some 40 years after that was created,
											a small group of us got together
											to have a go,
											a run at the whole challenge of flight
that inspired people for years,
											and do it in a very different kind of way.
											And that's the journey I'd like
to share with you now.
									","
											Michael Browning: Ingenieur,
											Innovator —
											Erfinder, eigentlich —
und inspirierender Vater.
											Er hatte eine Leidenschaft fürs Fliegen,
											was Sie an dem dubiosen Abschiedsgeschenk
aus den 70ern erkennen können.
											Und ca. 40 Jahre nachdem 
dies erschaffen wurde,
											kam unsere kleine Gruppe zusammen,
											um die Herausforderung des Fliegens,
— was Leute über Jahre inspiriert hat —
											auf eine ganz andere Art anzugehen.
											Diese Reise möchte ich
jetzt mit Ihnen teilen.
									","
											Michael Browning: Mühendis,
											yenilikçi —
											aslında daha çok bir mucit —
											ve ilham verici bir baba.
											Bu şaibeli 70'lerden kalma 
''ofisten ayrılma'' hediyesinden de
											anlayabileceğiniz gibi uçma tutkunuydu.
											Ve bu yapıldıktan 40 yıl kadar sonra
											biz bir grup olarak bir araya gelip
											yıllardır insanlara ilham veren
											uçabilme konusuna meydan okumaya
ve bunu da kendi değişik yöntemlerimizle
											yapmaya karar verdik.
											İşte sizinle şimdi paylaşmak
istediğim yolculuk bu.
									","
											Michael Browning: engenheiro,
											inovador
											inventor, na realidade,
											e pai inspirador.
											Ele tinha uma paixão por voar,
como podem ver
											pelo dúbio presente de despedida do
escritório nos anos 70.
											E uns 40 anos depois daquilo
ter sido criado,
											alguns de nós juntaram-se
num pequeno grupo
											para experimentar,
											experimentar o desafio de voar
que inspirou pessoas durante anos,
											e fazê-lo de uma maneira diferente.
											E essa é a viagem que quero 
partilhar com vocês agora.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											The starting hypothesis was one
of the human mind and body,
											which, as you've seen
for the last few days here,
											is an amazing construct.
											What if you augmented
that wonderful machine
											with just the right technology?
											If you approach flight
in that kind of real way,
											where could you get to?
									","
											Die Start-Hypothese war,
											dass der menschliche Geist und Körper,
wie hier in den letzten Tagen gesehen,
											ein erstaunliches Konstrukt ist.
											Was, wenn Sie diese wundervolle Maschine
											mit der richtigen Technologie
verbessern würden?
											Wenn man das Fliegen so anginge,
wohin würde das führen?
									","
											Başlangıç hipotezi 
insan zekâsı ve bedeninin,
											inanılmaz bir yapı oluşuyla ilgili.
											Nitekim bunu burada 
son birkaç gündür fark etmişsinizdir.
											Peki bu mükemmel makineyi
doğru teknolojiyle
											harmanlasanız ne olurdu?
											Uçmaya bu şekilde, yani gerçekçi şekilde
yaklaşsanız, bu sizi nereye götürürdü?
									","
											A hipótese inicial foi uma da mente
e corpo humano,
											que, como viram nos últimos dias aqui,
											é uma construção extraordinária.
											E se aumentassem a maravilhosa máquina
											com a tecnologia certa?
											Se pensassem na aviação nesse 
aspecto mais real,
											onde chegariam?
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											So my training partner here
back in London, Denton,
											is doing a much better job
of that kind of stuff than me.
											Guess what? It's London.
											The idea was that you augment that.
											And so, how do you augment that?
											Well, we bought one of these.
									","
											Mein früherer Trainingspartner
in London, Denton,
											macht in solchen Sachen 
einen besseren Job als ich.
											Das ist London!
											Die Idee war, das zu verbessern.
											Und wie verbessert man das?
											Wir kauften dieses Ding.
									","
											Bu gördüğünüz benim Londra'daki 
çalışma partnerim Denton
											ve bu konu üstüne benden
çok daha iyi bir iş çıkarıyor.
											Burası neresi? Burası Londra.
											Fikir, bunu harmanlamak.
											Peki bunu nasıl yaparsınız?
											Biz bunlardan bir adet satın aldık.
									","
											O meu companheiro de treino 
aqui em Londres, Denton,
											está a fazer um trabalho muito
melhor que eu neste tipo de coisa.
											Adivinhem? É Londres.
											A ideia era aumentar isto.
											E então, como aumentam isto?
											Bom, comprámos um destes.
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											This is a micro gas turbine.
											This was ground zero,
											so that little piece of kit
proved really quite impressive,
											so we got two in a field.
											The real hero here, by the way,
is, right in the background,
											there's a lady tending some vegetables,
											who does a brilliant job
of trying to ignore us for a while —
									","
											Das ist eine Mikro-Gasturbine.
											Das war der Startpunkt,
											dieses kleine Gerät erwies sich 
als wirklich eindrucksvoll.
											Wir haben zwei auf ein Feld mitgenommen.
											Nebenbei, der echte Held hier 
ist im Hintergrund:
											eine Dame, die sich um ihr Gemüse kümmert
											und uns eine Weile sehr erfolgreich ignoriert.
									","
											Bu bir mikro gaz türbini.
											Burası ilk başladığımız yerdi,
											bu küçük alet çok etkileyiciydi,
											bu yüzden biz de iki tane
alarak tarlaya çıktık.
											Buradaki asıl kahraman 
aslında tam arkamızda duran
											sebzelerine bakım yapmakta olan bu bayan,
											bizi bir süreliğine
göz ardı etmeyi başarıyor.
									","
											Isto é turbina de micro gás.
											Isto é em ""ground zero"",
											aquele pequeno objecto mostrou-se 
muito impressionante,
											então juntámos dois num terreno.
											O verdadeiro herói aqui, está lá atrás,
											está uma senhora a 
cuidar dos vegetais,
											que faz um trabalho impressionante
a tentar ignorar-nos...
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
","
","
","
",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risos)
									",How I built a jet suit,Richard Browning,7:08,"adventure,collaboration,design,engineering,flight,entrepreneur,future,innovation,invention,motivation,demo,potential,technology"
