es,pt,tr,en,de,title,speaker,duration,tags
"
","
","
","
","
",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
											Tenía unos diez años
											y fui a acampar con mi papá
											en las montañas Adirondack, 
un área agreste
											al norte del estado 
de Nueva York.
											Era un día hermoso.
											El bosque centelleaba.
											El sol hacía que las hojas 
brillaran como un vitral,
											y de no ser por el 
camino que seguíamos,
											casi podíamos fingir que éramos
											los primeros seres humanos 
en pisar esa tierra.
									","
											Eu tinha cerca de 10 anos
											e ia acampar com o meu pai
											nas Montanhas Adirondack, uma zona selvagem
											no norte do estado de Nova Iorque.
											Estava um dia lindo.
											A floresta brilhava.
											O sol fazia as folhas cintilarem como vitrais
											e, não fosse pelo caminho que estávamos a seguir,
											quase podíamos fingir que éramos
											os primeiros seres humanos a pisar aquela terra.
									","
											Yaklaşık on yaşındaydım
											ve babamla beraber
											New York eyaletinin kuzey kısmında vahşi bir alan olan
											Adirondack dağlarında bir kamp gezisindeydik.
											Güzel bir gündü.
											Orman parlıyordu.
											Güneş yaprakları buzlu cam gibi parlatıyordu,
											ve takip ettiğimiz patika olmasaydı,
											adeta o topraklarda yürüyen ilk insanların
											bizler olduğunu zannedebilirdik.
									","
											I was about 10 years old
											on a camping trip with my dad
											in the Adirondack Mountains, a wilderness area
											in the northern part of New York State.
											It was a beautiful day.
											The forest was sparkling.
											The sun made the leaves glow like stained glass,
											and if it weren't for the path we were following,
											we could almost pretend we were
											the first human beings to ever walk that land.
									","
											Ich war etwa 10 Jahre alt
											und auf einem Camping-Ausflug 
mit meinem Vater
											im Adirondack-Gebirge, 
einem Wildnisgebiet
											im nördlichen Teil des Staates New York.
											Es war ein wunderschöner Tag.
											Der Wald funkelte.
											Die Sonne ließ die Blätter 
wie gefärbtes Glas aussehen,
											und wenn da kein Pfad gewesen wäre,
											hätte man beinahe annehmen können,
											dass wir die ersten Menschen wären, 
die durch diesen Wald gehen.
									",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
","
","
","
","
",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
											Llegamos a nuestro campamento.
											Era un cobertizo en un risco
											con vista a un hermoso lago cristalino
											cuando descubrí algo horrible.
											Detrás del cobertizo 
había un basurero,
											de unos 4 metros cuadrados
											con corazones de 
manzana podridos
											bolas de papel aluminio,
											y calzado viejo.
											Y estaba anonadada,
											estaba muy enojada e 
increíblemente confundida.
											Los campistas que 
eran demasiado perezosos
											como para sacar lo 
que habían traído,
											¿quién pensaban que 
iba a limpiar su basura?
									","
											Chegámos ao acampamento.
											Era um alpendre numa ribanceira
											com vista para um lago lindo e cristalino,
											onde descobri algo horrível.
											Atrás do alpendre havia uma lixeira,
											com cerca de 4 m²
											com caroços de maçãs podres,
											papel de alumínio amarrotado
											e um ténis perdido.
											E eu estava estupefacta,
											muito zangada, e profundamente confusa.
											Os campistas demasiado preguiçosos
											para levarem o que tinham trazido com eles,
											quem é que eles achavam que limparia o lixo deles?
									","
											Kamp yerimize vardık.
											Uçurumda, berrak,
											güzel bir göle bakan bir kulübeydi,
											ve o anda korkunç bir şey keşfettim.
											Kulübenin arkasında bir çöplük vardı,
											belki 40 metre karelik,
											çürümüş elma artıkları,
											top gibi sarılmış alüminyum folyolar,
											ve eski bir ayakkabı ile dolu.
											Ve hayret içinde kaldım,
											çok sinirliydim, ve kafam çok karışmıştı.
											Getirdiklerini çöpe atamayacak
											kadar tembel olan kampçılar,
											arkalarından kimlerin temizlediğini zannediyor?
									","
											We got to our campsite.
											It was a lean-to on a bluff
											looking over a crystal, beautiful lake,
											when I discovered a horror.
											Behind the lean-to was a dump,
											maybe 40 feet square
											with rotting apple cores
											and balled-up aluminum foil,
											and a dead sneaker.
											And I was astonished,
											I was very angry, and I was deeply confused.
											The campers who were too lazy
											to take out what they had brought in,
											who did they think would clean up after them?
									","
											Wir kamen zu unserem Zeltplatz.
											Ich sah die kleine Hütte auf einer Klippe
											und blickte über einen kristallklaren, 
wunderschönen See,
											als mir etwas Schreckliches auffiel.
											Hinter dem Dach war eine Müllkippe,
											vielleicht 4 Quadratmeter,
											mit Apfel-Kerngehäusen,
											zusammengeballter Aluminiumfolie
											und einem alten Turnschuh.
											Ich war erstaunt,
											ich war wütend und verwirrt.
											Die Zeltenden waren zu faul,
											um wegzubringen, 
was sie hergebracht hatten –
											wer, dachten sie, würde 
nach ihnen aufräumen?
									",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
","
","
","
","
",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
											Esa pregunta siguió conmigo,
											y se simplificó un poco.
											¿Quién limpia nuestra basura?
											Sin importar como organicen
											o dónde coloquen la ""nuestra"",
											¿quién limpia nuestra 
basura en Estambul?
											¿Quién limpia nuestra basura en Río
											o en París o en Londres?
											Aquí en Nueva York,
											el Departamento de Sanidad 
limpia nuestra basura,
											a razón de 11 000 toneladas 
de desperdicios
											y 2 000 toneladas de productos 
reciclables todos los días.
											Quería conocerlos como individuos.
											Quería entender 
quién hace ese trabajo.
											¿Qué se siente usar el uniforme
											y llevar esa carga?
									","
											Essa questão ficou comigo,
											e simplificou-se um pouco.
											Quem limpa o nosso lixo?
											Independentemente de como o configuramos
											ou onde colocamos o 'nós',
											quem limpa por nós em Istambul?
											Quem limpa por nós no Rio
											ou em Paris ou em Londres?
											Aqui em Nova Iorque,
											o Departamento de Saneamento limpa por nós,
											na ordem das 10 toneladas de lixo
											e 2 toneladas de recicláveis todos os dias.
											Eu queria conhecê-los enquanto indivíduos.
											Queria compreender quem faz o trabalho.
											Como é usar o uniforme
											e suportar esse fardo?
									","
											O soru benle kaldı,
											ve biraz basitleşti.
											Kim arkamızdan temizliyor?
											Nasıl ve nerede
											yaşadığınız önemli değil,
											İstanbul'da arkamızdan kim temizliyor?
											Rio'da, Paris'te ya da Londra'da
											arkamızdan kim temizliyor?
											Burada New York'ta,
											Temizlik Departmanı arkamızdan temizliyor,
											her gün 11.000 ton çöp ve
											2.000 ton geri dönüştürülebilen atık topluyor.
											Onları kişisel olarak tanımak istedim.
											Kimin bu işi aldığını anlamak istedim.
											Üniformayı giymek ve bu yükü
											taşımak nasıl bir şey?
									","
											That question stayed with me,
											and it simplified a little.
											Who cleans up after us?
											However you configure
											or wherever you place the us,
											who cleans up after us in Istanbul?
											Who cleans up after us in Rio
											or in Paris or in London?
											Here in New York,
											the Department of Sanitation cleans up after us,
											to the tune of 11,000 tons of garbage
											and 2,000 tons of recyclables every day.
											I wanted to get to know them as individuals.
											I wanted to understand who takes the job.
											What's it like to wear the uniform
											and bear that burden?
									","
											Die Frage blieb mir
											und ich verallgemeinerte sie:
											Wer räumt nach uns auf?
											Wie man es auch dreht
											oder wo das ""uns"" auch sein mag,
											wer räumt hinter uns in Istanbul auf?
											Wer räumt hinter uns in Rio auf?
											Oder in Paris oder in London?
											Hier in New York
											räumt die Stadtreinigung jeden Tag
											ungefähr 11.000 Tonnen Müll
											und 2000 Tonnen Recycling-Stoffe auf.
											Ich wollte sie kennenlernen 
– als Individuen.
											Ich wollte verstehen, wer den Job macht.
											Wie ist es, eine Uniform zu tragen
											und diese Bürde zu tragen?
									",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
","
","
","
","
",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
											Así que comencé un proyecto 
de investigación con ellos.
											Viajé en los camiones 
y caminé por sus trayectos
											y entrevisté a personas 
en oficinas e instalaciones
											en toda la ciudad,
											y aprendí mucho,
											pero todavía era una intrusa.
											Necesitaba adentrarme más.
									","
											Então comecei um projeto de investigação com eles.
											Andei nos camiões, fiz os percursos
											e entrevistei pessoas nos escritórios e nas instalações
											por toda a cidade,
											e aprendi muito,
											mas continuava como uma pessoa externa.
											Eu precisava ir mais fundo.
									","
											Bu nedenle onlarla bir araştırma projesi başlattım.
											Kamyonlara bindim ve yollarda yürüdüm
											ve şehir boyunca ofis ve tesislerde insanlarla
											konuştum,
											ve çok şey öğrendim,
											ama hala yabancı biriydim.
											Daha derine inmeliydim.
									","
											So I started a research project with them.
											I rode in the trucks and walked the routes
											and interviewed people in offices and facilities
											all over the city,
											and I learned a lot,
											but I was still an outsider.
											I needed to go deeper.
									","
											Also startete ich 
ein Forschungsprojekt mit ihnen.
											Ich fuhr mit den Lastwagen, 
lief die Routen ab
											und interviewte Menschen 
in Büros und Anlagen
											in der ganzen Stadt.
											Ich lernte eine Menge,
											aber ich war immer noch 
ein Außenseiter.
											Ich musste noch tiefer gehen.
									",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
","
","
","
","
",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
"
											Así que comencé a trabajar 
como recolectora de basura.
											Ahora no simplemente viajaba 
en los camiones. Yo los conducía.
											Y operaba las escobas 
mecánicas y barría la nieve.
											Fue un notable privilegio
											y un asombroso aprendizaje.
									","
											Então, comecei a trabalhar na recolha de lixo.
											Eu não andava apenas nos camiões. 
Eu conduzia-os.
											Manobrei as vassouras mecânicas e limpei a neve.
											Foi um privilégio excecional
											e uma educação extraordinária.
									","
											O nedenle temizlik işçisi olarak işe girdim.
											Artık sadece kamyonlara binmiyordum. Onları kullanıyordum.
											Ve mekanik süpürgelerini kullandım ve karları temizledim.
											Olağanüstü bir ayrıcalık
											ve inanılmaz bir eğitimdi.
									","
											So I took the job as a sanitation worker.
											I didn't just ride in the trucks now. I drove the trucks.
											And I operated the mechanical brooms and I plowed the snow.
											It was a remarkable privilege
											and an amazing education.
									","
											Also nahm ich einen Job 
als Reinigungskraft an.
											Ich fuhr nicht nur mit den Lastwagen. 
Ich fuhr die Lastwagen.
											Und ich bediente die mechanischen Besen 
und pflügte den Schnee.
											Es war ein bemerkenswertes Privileg
											und eine aufregende Erfahrung.
									",What I discovered in New York City  trash,Robin Nagle,7:52,"anthropology,business,culture,sanitation"
