es,pt,tr,title,speaker,duration,tags
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											De lo que quisiera hablar hoy es acerca de uno
											de mis temas favoritos,
											la neurociencia del sueño.
									","
											O que eu gostaria de fazer hoje,
											era falar de um dos meus temas favoritos,
											que é a neurociência do sono.
									","
											Bugün, en sevdiğim konulardan biri olan
											uykunun nörobiliminden
											bahsetmek istiyorum.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Ahora, hay un sonido...
											(Reloj despertador)
											Ah, funcionó.
											un sonido que es desesperadamente 
familiar a la mayoría de nosotros,
											y por supuesto es el sonido de la alarma del reloj.
											Y lo que hace ese sonido verdaderamente 
espantoso y horrible
											es interrumpir la experiencia más importante 
del comportamiento
											que tenemos, que es dormir.
											Si son un tipo de persona promedio,
											pasarán el 36% de su vida dormidos,
											lo que significa que si viven 90 años,
											entonces 32 años los habrán pasado durmiendo.
									","
											Há um som...
											(Trrriimmmm)
											Ah, funcionou...
											um som que é desesperadamente familiar
para a maior parte de nós
											e que, claro, é o som do despertador.
											O que esse som verdadeiramente 
horrível, atroz, faz
											é interromper a experiência comportamental
											mais importante e única que temos,
que é o sono.
											Se somos uma pessoa comum,
											passamos 36% da nossa vida a dormir,
											o que significa que,
se vivermos até aos 90,
											passaremos 32 anos inteiramente a dormir.
									","
											Şimdi bir ses var —
											(Çalar saat) —
											aah, çalıştı —
											birçoğumuza son derece, son derece tanıdık gelen bir ses,
											ve tabii ki bu çalar saatin sesi.
											Ve bu feci, korkunç ses, sahip olduğumuz
											tek en önemli davranışsal deneyimi durdurur:
											Uyku.
											Ortalama bir insansanız,
											yaşamınızın yüzde 26'sı uyuyarak geçecek.
											Yeni 90 yaşına kadar yaşarsanız,
											o zaman 32 yılınız tamamen uykuda geçecek.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Lo que esos 32 años nos están diciendo
											es que dormir es de alguna manera importante.
											Y sin embargo, para la mayoría de nosotros, 
no le damos importancia al dormir.
											Lo desechamos.
											Realmente no pensamos en el sueño.
											Y lo que me gustaría hacer hoy
											es cambiar sus puntos de vista,
											cambiar sus ideas y sus pensamientos sobre el sueño.
											Y para lo que quiero enseñarles
											debemos empezar volviendo en el tiempo.
									","
											O que esses 32 anos nos dizem
											é que dormir é importante a algum nível.
											No entanto, a maior parte de nós
não pensa duas vezes nesse assunto.
											Ignoramo-lo.
											Nós simplesmente
não pensamos no sono.
											Portanto, o que eu gostaria de fazer hoje
											era mudar a vossa visão,
											mudar as vossas ideias e os vossos 
pensamentos em relação ao sono.
											A viagem para que vos quero levar,
											temos de iniciá-la recuando no tempo.
									","
											İşte bu 32 yıl bize
											uykunun bir derecede önemli olduğunu söylüyor.
											Oysa ki çoğumuz uykuyu önemsemeyiz
											Heba ederiz.
											Gerçekten uyku hakkında düşünmeyiz.
											Bu yüzden ben bugün
											uyku hakkındaki görüşlerinizi,
											fikirlerinizi ve düşüncelerinizi değiştirmek istiyorum.
											Ve sizi bir yolculuğa çıkarmak istiyorum.
											Zamanda geriye giderek başlamalıyız.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											""Disfruta el plácido, dulcísimo rocío del sueño"".
											¿Alguna idea de quién dijo eso?
											Julio César de Shakespeare.
											Sí, déjenme darles algunas citas más.
											""Sueño, dulce sueño, suave nodriza de la naturaleza,
											¿qué espanto te he causado?"".
											Shakespeare de nuevo, de —no se los diré—
											la obra escocesa. [Corrección: Enrique IV, parte 2]
											(Risas)
											De la misma época:
											""El sueño es la cadena de oro
											que une la salud y nuestros cuerpos"".
											Extremadamente profética, de Thomas Dekker,
											otro dramaturgo isabelino.
									","
											""Apreciem o orvalho
doce e pesado do sono.""
											Têm alguma ideia de quem disse isto?
											Júlio César, de Shakespeare.
											Sim, permitam-me mais algumas citações.
											""Oh sono, sono gentil,
suave enfermeira da Natureza,
											""como te assustei?""
											Novamente Shakespeare,
de — não o direi —
											a peça escocesa.
											(Risos)
											Da mesma época:
											""O sono é a corrente dourada
											""que liga a saúde aos nossos corpos.""
											Extremamente profético, de Thomas Dekker,
											outro dramaturgo isabelino.
									","
											""Derin uykunun tadını çıkar.""
											Sizce bunu kim söylemiş?
											Shakespeare'in Julius Caesar'ı.
											Evet, birkaç alıntı daha vereyim.
											""Ey uyku, ey tatlı uyku, doğanın nazik kolları,
											seni nasıl korkuttum?
											Yine Shakespeare, — söylemeyeceğim —
											İskoç oyunu. [Düzeltme: 4. Henry, Kısım 2]
											(Gülüşme)
											Aynı zamandan:
											""Uyku, sağlık ve vücudumuzu birbirine
											bağlayan altın bir zincirdir.""
											Başka bir 16. yy oyun yazarı olan
											Thomas Dekker'dan oldukça isabetli bir söz.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											Pero si saltamos hacia delante 400 años,
											el tono sobre el sueño cambia un poco.
											Esto es de Thomas Edison, de principios del siglo XX.
											""El sueño es una pérdida criminal de tiempo
											y una herencia de nuestro pasado 
cavernícola"". Bang.
											(Risas)
											Y si saltamos también a la década de los 80,
algunos de ustedes
											recordarán que Margaret Thatcher
											dijo, ""El sueño es para los débiles"".
											Y por supuesto el infame —¿cuál era su nombre?—
											el infame Gordon Gekko de ""Wall Street"" dijo,
											""El dinero nunca duerme"".
									","
											Mas se avançarmos, saltando 400 anos,
											o tom, no que respeita ao sono,
altera-se um pouco.
											Esta é de Thomas Edison,
do início do séc. XX:
											""O sono é uma perda de tempo criminosa
											e uma herança do nosso tempo
das cavernas."" Bang!
											(Risos)
											E, se saltarmos para a década de 1980,
alguns de vós lembrar-se-ão talvez
											que Margaret Thatcher terá dito:
											""Dormir é para os fracos.""
											E, claro, o infame
— como é que se chamava? —
											o infame Gordon Gekko,
da ""Wall Street"", dizia:
											""O dinheiro nunca dorme.""
									","
											Ama 400 yıl ileri atlarsak,
											uyku hakkındaki uslüp biraz değişiyor.
											20. yüzyılın başından, Thomas Edison'dan:
											""Uyku, büyük bir vakit kaybı
											ve mağarada yaşadığımız günlerden bir mirastır."" Güm.
											(Gülüşme)
											Ve 1980'li yıllara geçersek, bazılarınız
											Margaret Thatcher'in ""Uyku pısırıklar içindir.""
											dediğinin söylendiğini hatırlayabilir.
											Ve tabii ki meşhur — neydi adı? —
											""Wall Street'ten Gordon Gekko,
											""Para uyumaz"". demiş.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
											¿Qué hacemos en el siglo XX acerca del sueño?
											Bueno, por supuesto, 
usamos el foco de Thomas Edison
											para invadir la noche y ocupar la oscuridad;
											y en el proceso de esta ocupación
											hemos tratado al sueño casi 
como una enfermedad.
											Lo hemos tratado como un enemigo.
											La mayoría ahora, supongo, toleramos 
la necesidad de dormir
											y en el peor de los casos, tal vez muchos de 
nosotros pensamos que el sueño
											es como una enfermedad que necesita 
algún tipo de cura.
											Y nuestra ignorancia sobre el sueño 
es muy profunda.
									","
											O que fazemos, no séc. XX,
a respeito do sono?
											Claro, usamos as lâmpadas elétricas 
de Thomas Edison
											para invadir a noite.
											Ocupámos o escuro, e durante
este processo de ocupação
											tratámos o sono quase como uma doença.
											Tratámo-lo como um inimigo.
											Agora, na melhor das hipóteses, parece-me,
toleramos a necessidade de dormir,
											e na pior das hipóteses talvez
muitos de nós pensem no sono
											como uma doença que precisa 
de algum tipo de cura.
											A nossa ignorância a respeito do sono
é realmente profunda.
									","
											20. yüzyılda uykuyla ilgili ne yapıyoruz?
											Tabii ki geceden kaçınmak için Thomas Edison'ın
											ampulünü kullanıyoruz, karanlığı işgal ettik
											ve bu işgal sırasında
											uykuya neredeyse hastalık mumelesi yaptık.
											Ona bir düşman gibi davrandık.
											Ve şimdi sanırım en fazla uyku ihtiyacına tahammül ediyor
											ve en kötüsü belki de çoğumuz uykunun
											bir tür tedavi gerektiren bir hastalık olduğunu düşünüyor.
											Ve uykuya dair cehaletimiz gerçekten çok derin.
									",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
"
","
","
",Why do we sleep?,Russell Foster,21:46,"health,mental health,neuroscience,science,consciousness,biology,brain,mind,memory,cognitive science"
