en,pt,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											I used to have this recurring dream
											where I'd walk into a roomful of people,
											and I'd try not to make
eye contact with anyone.
											Until someone notices me,
											and I just panic.
											And the person walks up to me,
											and says, ""Hi, my name is So-and-so.
											And what is your name?""
											And I'm just quiet, unable to respond.
											After some awkward silence, he goes,
											""Have you forgotten your name?""
											And I'm still quiet.
											And then, slowly, all the other people
in the room begin to turn toward me
											and ask, almost in unison,
									","
											Eu costumava ter um sonho recorrente
											no qual entrava num espaço
cheio de pessoas,
											tentando não estabelecer contacto visual
com ninguém.
											Até que alguém reparava em mim
											e eu entrava em pânico.
											Essa pessoa vinha falar comigo
											e dizia: ""Olá, o meu nome é tal e tal.
											""Como é que te chamas?""
											E eu ficava simplesmente calado,
sem conseguir responder.
											Após um silêncio constrangedor, ele dizia:
											""Esqueceste-te do teu nome?""
											E eu continuava calado.
											E então, devagar, todas as pessoas na sala
começavam a virar-se para mim
											e perguntavam, quase em uníssono,
									","
											Sürekli gördüğüm bir rüya vardı;
											kalabalık bir yerden geçiyorum
											ve hiç kimseyle göz temas 
kurmamaya çalışıyorum.
											Ta ki birisi beni fark edene kadar,
											o anda panik oluyorum.
											Birisi bana doğru yürüyor
											ve ""Merhaba, adım falan - filan.
											Senin adın ne?"" diyor.
											Cevap vermiyor, sadece sessizce
bekliyorum.
											Tuhaf bir sessizlikten sonra, 
devam ediyor,
											""Adını mı unuttun?""
											Ben hâlâ sessizim.
											Daha sonra odanın içindeki diğer insanlar 
yavaş yavaş bana doğru dönmeye başlıyor
											ve neredeyse tek bir ağızdan soruyorlar,
									","
											Ich hatte früher oft einen Traum,
											in dem ich einen Raum
voller Menschen betrete
											und versuche, Augenkontakt zu meiden.
											Bis mich jemand bemerkt
											und ich in Panik verfalle.
											Und diese Person kommt zu mir und sagt:
											""Hallo, ich heiße so-und-so. Und du?""
											Ich bleibe still, kann nicht antworten.
											Nach einer unangenehmen Pause fragt er:
											""Hast du deinen Namen vergessen?""
											Ich bin immer noch still.
											Dann drehen sich alle Menschen im Raum
langsam in meine Richtung
											und fragen fast einstimmig:
									","
											Solía ​​tener este sueño recurrente
											en el que yo entraba en una 
habitación llena de gente,
											e intentaba no hacer 
contacto visual con nadie.
											Hasta que alguien me observaba,
											y cundía el pánico.
											Y la persona se acercaba a mí
											y me decía: 
""Hola, mi nombre es Fulano de Tal.
											Y tú ¿cómo te llamas?""
											Y yo callado, no podía responder.
											Después de un incómodo silencio, 
él seguía:
											""¿Has olvidado tu nombre?""
											Y yo todavía callado.
											Y que luego, todas las otras personas 
de la habitación comenzaban a rodearme
											y preguntarme casi al unísono,
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Voice-over, several voices)
""Have you forgotten your name?""
											As the chant gets louder,
I want to respond, but I don't.
									","
											(Narração, várias vozes):
""Esqueceste-te do teu nome?""
											À medida que as vozes subiam de volume,
eu queria responder, mas não o fazia.
									","
											(Arkadan çeşitli sesler yükseliyor)
""Adını mı unuttun?""
											Sesi gittikçe artan ilahi gibi,
cevap vermek istiyor fakat yapamıyorum.
									","
											(Off-Ton, mehrere Stimmen)
""Hast du deinen Namen vergessen?""
											Der Chor wird lauter
und ich will antworten,
											aber ich tue es nicht.
									","
											(Voice-over, varias voces) 
""¿Ha olvidado tu nombre?""
											Y a medida que el volumen aumentaba 
quería responder, pero no podía.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											I'm a visual artist.
											Some of my work is humorous,
											and some is a bit funny but in a sad way.
											And one thing that I really enjoy doing
											is making these little animations
											where I get to do the voice-over
for all kinds of characters.
											I've been a bear.
									","
											Eu sou um artista plástico.
											Alguns dos meus trabalhos
são humorísticos
											e outros são algo engraçados
mas de uma forma triste.
											E uma coisa que realmente gosto de fazer
											são essas pequenas animações
											em que posso fazer as vozes
de todo o tipo de personagens.
											Já fui um urso.
									","
											Görsel bir sanatçıyım.
											Çalışmaların bazıları esprili,
											bazıları eğlendirici fakat üzücü.
											Yaparken gerçekten eğlendiğim bir şey var,
											karakterlerin seslendirmelerini yaptığım
											bu küçük animasyonları yapmayı seviyorum.
											Ayı oldum.
									","
											Ich bin bildender Künstler.
											Einige meiner Werke sind lustig,
											andere ein bisschen,
aber eher auf eine traurige Art.
											Aber was ich wirklich gerne mache,
											ist, kleine Animationen zu erstellen,
											in denen ich alle möglichen
Charaktere sprechen kann.
											Ich war schon ein Bär.
									","
											Soy un artista visual.
											Algunos de mis trabajos son de humor,
											y algunos son cómicos, pero tristes.
											Y una cosa que realmente me gusta hacer
											son estas pequeñas animaciones
											donde consigo poner la voz en off 
a todo tipo de personajes.
											He sido un oso.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Video) Bear (Safwat Saleem's voice): Hi.
									","
											(Vídeo)
Urso: Olá.
									","
											(Video) Ayı (Safwat Saleem'ın sesi):
Merhaba.
									","
											(Video) Bär (SS's Stimme): Hi.
									","
											(Video) Oso (Voz de Safwat Saleem): Hola.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Risas)
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											Safwat Saleem: I've been a whale.
									","
											Safwat Saleem: Já fui uma baleia.
									","
											Safwat Saleem: Balina oldum.
									","
											Safwat Saleem: Ich war ein Wal.
									","
											Safwat Saleem: He sido una ballena.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Video) Whale (SS's voice): Hi.
									","
											(Vídeo)
Baleia: Olá.
									","
											(Video) Balina (Safwat Saleem'ın sesi):
Merhaba.
									","
											(Video) Wal (SS's Stimme): Hi.
									","
											(Video) Ballena (Voz de SS): Hola.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Risas)
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											SS: I've been a greeting card.
									","
											SS: Já fui um postal.
									","
											Safwat Saleem: Tebrik kartı oldum.
									","
											SS: Ich war eine Grußkarte.
									","
											SS: He sido una tarjeta de felicitación.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Video) Greeting card (SS's voice): Hi.
									","
											(Vídeo)
Postal: Olá.
									","
											(Video) Tebrik kartı 
(SS'in sesi): Merhaba.
									","
											(Video) Grußkarte (SS's Stimme): Hi.
									","
											(Video) Tarjeta de felicitación 
(Voz de SS): Hola.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Risa)
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											SS: And my personal favorite
is Frankenstein's monster.
									","
											SS: E o meu favorito é
o monstro de Frankenstein.
									","
											SS: Benim favorim Frankenstein canavarı.
									","
											SS: Mein Favorit ist aber
Frankensteins Monster.
									","
											SS: Y mi favorito es 
el monstruo de Frankenstein.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Video) Frankenstein's monster
(SS's voice): (Grunts)
									","
											(Vídeo)
Monstro de Frankenstein: (Grunhidos)
									","
											(Video) Frankenstein'ın canavarı
(SS'in sesi): (Homurtular)
									","
											(Video) Monster (SS's Stimme): (Knurren)
									","
											(Video) Monstruo de Frankenstein 
(Voz de SS): (Gruñe)
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Lachen)
									","
											(Risas)
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
											SS: I just had to grunt
a lot for that one.
									","
											SS: Só tive de grunhir muito
para fazer esse.
									","
											SS: Onun için sadece 
birkaç kez homurdandım.
									","
											SS: Dafür musste ich nur viel knurren.
									","
											SS: En este solo tenía que gruñir mucho.
									","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
"
","
","
","
","
","Why I keep speaking up, even when people mock my accent",Safwat Saleem,10:48,"art,comedy,bullying,communication,fear,design,identity,humor,Internet,language,media,speech,society,vocals,TED Fellows,animation"
