en,pt,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											One summer afternoon in 2013,
											DC police detained, questioned
and searched a man
											who appeared suspicious
and potentially dangerous.
											This wasn't what I was wearing
the day of the detention, to be fair,
											but I have a picture of that as well.
											I know it's very frightening —
try to remain calm.
									","
											Uma tarde de verão, em 2013,
											a polícia do Distrito de Columbia
											deteve, interrogou e revistou um homem
											que parecia suspeito
e possivelmente perigoso.
											Isto não era o que eu tinha vestido
no dia da detenção, é verdade,
											mas também tenho uma foto disso.
											Eu sei que é assustador
— mantenham-se calmos.
									","
											Un après-midi de l'été 2013,
											la police de Washington a retenu,
interrogé et fouillé un homme
											qui semblait suspect
et potentiellement dangereux.
											Ce ne sont pas les vêtements
que je portais le jour de ma détention.
											Mais j'en ai une photo.
											Je sais que c'est très effrayant.
Ne paniquez pas.
									","
											An einem Nachmittag im Sommer 2013
											wurde ein verdächtig aussehender Mann,
											der womöglich gefährlich sein könnte,
											von der Polizei in Washington D.C.
festgenommen, befragt und durchsucht.
											Das ist zwar nicht die Kleidung,
die ich am Tag meiner Verhaftung trug,
											aber davon habe ich auch ein Foto.
											Ich weiß es ist beängstigend —
versuchen Sie ruhig zu bleiben.
									","
											2013 yazı, bir öğleden sonra,
											DC polisi bir adamı şüpheli ve
potansiyel tehlikeli göründüğü için
											tutukladı, sorguladı ve aradı.
											Dürüst olmak gerekirse tutuklanma
gününde bunları giymiyordum,
											ama o günden bir resmim var.
											Bayağı korkutucu olduğunu biliyorum,
sakin kalmaya çalışın.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşler)
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											At this time, I was interning
											at the Public Defender Service
in Washington DC,
											and I was visiting
a police station for work.
											I was on my way out,
											and before I could make it to my car,
											two police cars pulled up
to block my exit,
											and an officer approached me from behind.
											He told me to stop, take my backpack off
											and put my hands on the police car
parked next to us.
											About a dozen officers
then gathered near us.
											All of them had handguns,
											some had assault rifles.
											They rifled through my backpack.
											They patted me down.
											They took pictures of me
spread on the police car,
											and they laughed.
									","
											Naquela época, eu era estagiário
											no Serviço de Defesa Pública
na cidade de Washington
											e fiz uma visita de trabalho
a uma esquadra da polícia.
											Estava de saída,
											mas, antes de chegar ao meu carro,
											apareceram dois agentes da polícia
a bloquear-me a saída.
											Um oficial aproximou-se
por detrás de mim.
											Disse-me para parar,
para lhe dar a minha mochila
											e pôr as mãos sobre o carro da polícia
estacionado ali ao pé.
											Juntaram-se uma dúzia de agentes
à nossa volta.
											Todos eles tinham pistolas,
outros espingardas de assalto.
											Esvaziaram a mochila.
											Apalparam-me.
											Tiraram-me fotos
estendido sobre o carro da polícia
											e riam-se.
									","
											A l'époque, j'étais stagiaire
											au Service du défenseur public,
à Washington.
											Je visitais un poste de police
pour mon travail.
											Je venais de sortir du poste
											et avant d'atteindre ma voiture,
											deux voitures de police
ont bloqué ma sortie.
											Un officier s'est approché de moi,
par derrière.
											Il m'a demandé de m'arrêter,
de poser mon sac à dos
											et de mettre les deux mains
sur le capot de la voiture.
											Douze officiers
se sont rapprochés de nous.
											Tous avaient des armes à poing,
certains des armes d'assaut.
											Ils ont fouillé mon sac et puis moi.
											Ils ont pris des photos de moi,
les mains sur le capot
											et ça les a fait rire.
									","
											Damals war ich Praktikant
											beim Pflichtverteidigerdienst
in Washington D.C.
											Ich besuchte für die Arbeit
eine Polizeistation.
											Als ich hinausging und noch
bevor ich mein Auto erreichte,
											versperrten mir zwei Polizeiwagen den Weg.
											Ein Beamter kam von hinten auf mich zu.
											Er sagte, ich solle stehen bleiben,
meinen Rucksack abnehmen
											und meine Hände auf den Polizeiwagen
legen, der neben uns parkte.
											Etwa ein Dutzend Beamter
versammelten sich rund um uns.
											Alle hatten Pistolen,
manche sogar Sturmgewehre.
											Sie durchwühlten meinen Rucksack.
											Sie tasteten mich ab.
											Sie machten Fotos von mir auf
dem Polizeiwagen und lachten dabei.
									","
											O günlerde, Washington DC'de
											Kamu Savunma Hizmetleri'nde
staj yapıyordum
											ve de iş için karakolu
ziyaret ediyordum.
											Tam yola koyulmuştum ki
											arabama gidene kadar
											iki polis arabası çıkışı kapatmak
için önüme doğru çekildi
											ve bir polis memuru arkamdan yaklaştı.
											Durmamı, sırt çantamı çıkarmamı
											ve yanımızda duran polis arabasına
ellerimi koymamı söyledi.
											Yaklaşık bir düzine polis memuru
etrafımızda toplanmıştı.
											Hepsinin silahları vardı,
											bazılarının ise taarruz tüfekleri.
											Çantamı silahlarla aradılar.
											Pata küte üstümü aradılar.
											Polis arabasına uzanmış hâlimin
resmini çektiler
											ve güldüler.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											And as all this was happening —
											as I was on the police car trying
to ignore the shaking in my legs,
											trying to think clearly
about what I should do —
											something stuck out to me as odd.
											When I look at myself in this photo,
											if I were to describe myself,
											I think I'd say something like,
											""19-year-old Indian male,
bright T-shirt, wearing glasses.""
											But they weren't including
any of these details.
											Into their police radios
as they described me,
											they kept saying, ""Middle Eastern
male with a backpack.
											Middle Eastern male with a backpack.""
											And this description carried on
into their police reports.
											I never expected to be described
by my own government in these terms:
											""lurking,""
											""nefarious,""
											""terrorist.""
											And the detention dragged on like this.
									","
											Enquanto tudo isto se passava,
											eu estava no carro da polícia
tentando ignorar o tremor das pernas,
											tentando pensar com clareza
no que devia fazer
											— uma coisa chocou-me,
pela sua estranheza.
											Quando olho para mim,
nesta fotografia,
											se eu quisesse descrever-me,
											acho que diria qualquer coisa assim:
											""Um indiano de 19 anos,
de 'T-shirt', com óculos"".
											Mas eles não ligavam
a estes pormenores.
											Na descrição que faziam
pela rádio da polícia, diziam:
											""Um homem do Médio Oriente,
com uma mochila"".
											Um homem do Médio Oriente
com uma mochila.
											Foi esta descrição que constou
nos relatórios da polícia.
											Nunca tinha pensado ser descrito
nestes termos pelo meu governo
											""esgueirando-se""
											""nefasto""
											""terrorista"".
											E a detenção continuou assim.
									","
											Alors que je subissais tout cela,
											me tenant contre la voiture de police,
tentant d'ignorer mes frissons,
											tentant de réfléchir
à ce que je devais faire,
											quelque chose m'a paru étrange.
											Quand je m'observe sur cette photo,
											si je devais me décrire,
											je dirais ceci à mon propos :
											un jeune homme de 19 ans, indien,
un T-shirt coloré, portant des lunettes.
											Mais les policiers
ne disaient rien de tout ça.
											Ils me décrivaient dans leur radio
											comme un homme du Moyen-Orient,
avec un sac à dos.
											Un homme du Moyen-Orient,
avec un sac à dos.
											Cette description est celle
qu'ils ont mentionnée dans leurs rapports.
											Je ne m'étais jamais attendu
à ce que mon propre gouvernement
											me décrive comme rôdeur,
											malveillant,
											et terroriste.
											Ma détention s'est prolongée
sur le même ton.
									","
											Und während all dies geschah —
											während ich versuchte, meine
zitternden Beine zu ignorieren
											und überlegte, was ich tun sollte —
											kam mir etwas eigenartig vor.
											Wenn ich mich auf diesem Bild ansehe
und mich selbst beschreiben müsste,
											würde ich wahrscheinlich sagen:
											""19-jähriger indischer Mann,
trägt ein helles T-Shirt und eine Brille"".
											Aber sie erwähnten keines dieser Details.
											Als sie mich über den Polizeifunk
beschrieben, sagten sie immer wieder:
											""Orientalischer Mann mit Rucksack"".
											Diese Beschreibung
kam auch in die Polizeiakte.
											Ich hätte nie gedacht, dass meine eigene
Regierung mich so beschreiben würde:
											""herumschleichend"",
											""verachtenswert"",
											""Terrorist"".
											Die Haft ging genauso weiter.
									","
											Ve bütün bunlar yaşanırken,
											polis aracında titreyen bacaklarımı
görmezlikten gelmeye çalışırken,
											ne yapmam gerektiği hakkında
düşünmeye çalışırken,
											bir şey garibime gitti.
											Kendime bu resimde baktığımda,
											eğer kendimi tanıtsaydım,
											şöyle bir şey söylerdim;
											""19 yaşlarında Hintli genç,
renkli tişört, gözlük takıyor.""
											Ama onlar ise bu detayların
hiçbirini polis radyolarında
											beni tanıtırken söylememişlerdi;
											Sürekli: ""Orta doğulu,
sırt çantalı bir adam.
											Orta doğulu, sırt çantalı bir adam.""
deyip durmuşlardı.
											Bu tasvir de polis tutanaklarına taşındı.
											Kendi devletim tarafından hiçbir zaman
şu şekilde tasvir edilmeyi beklemezdim:
											""sinsi,""
											""hain,""
											""terörist.""
											Ve gözaltı böyle devam etti.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
","
","
","
","
",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
"
											They sent dogs trained to smell explosives
to sweep the area I'd been in.
											They called the federal government
to see if I was on any watch lists.
											They sent a couple of detectives
to cross-examine me on why,
											if I claimed I had nothing to hide,
											I wouldn't consent to a search of my car.
											And I could see
they weren't happy with me,
											but I felt I had no way of knowing
what they'd want to do next.
											At one point, the officer
who patted me down
											scanned the side of the police station
to see where the security camera was
											to see how much of this
was being recorded.
											And when he did that,
											it really sank in how completely
I was at their mercy.
									","
											Foram buscar cães treinados
a farejar explosivos,
											para limpar a área onde eu tinha estado.
											Chamaram o governo federal
											para ver se eu estava sob vigilância.
											Enviaram dois detetives
para me interrogarem por que razão,
											se eu afirmava não ter nada a esconder,
											não consentia que revistassem o meu carro.
											Eu bem via que não estavam satisfeitos,
											mas eu não conseguia perceber
o que é que iriam fazer a seguir.
											A certa altura, o agente
que me apalpara
											pesquisou a parede da esquadra
											para ver onde estava
a câmara de vigilância
											para ver o que é que estava a ser gravado.
											Depois de fazer isso,
											fiquei totalmente à mercê deles.
									","
											Une brigade canine a cherché des explosifs
aux endroits où j'avais été.
											Ils ont appelé le gouvernement fédéral
pour vérifier la liste noire.
											Plusieurs inspecteurs m'ont interrogé
sur les raisons me poussant
											à leur refuser une fouille de ma voiture,
											alors que je prétendais
n'avoir rien à cacher.
											Je voyais qu'ils n'étaient pas satisfaits
											mais je me sentais incapable
de deviner leur prochaine intention.
											Un moment, l'agent qui m'avait fouillé
											a cherché du regard la localisation
des caméras de surveillance,
											pour vérifier ce qui était
vraiment enregistré.
											A ce moment précis,
											j'ai compris que j'étais à leur merci.
									","
											Spürhunde durchsuchten den Bereich,
in dem ich war, auf Sprengstoff.
											Sie fragten bei der Bundesbehörde,
ob ich auf irgendeiner Suchliste stand.
											Kriminalbeamte befragten
mich und wollten wissen,
											warum ich sie mein Auto nicht durchsuchen
ließ, wenn ich nichts zu verbergen hätte.
											Ich sah, dass sie nicht zufrieden waren,
											aber ich hatte das Gefühl, nie zu wissen,
was sie als nächstes tun würden.
											Der Beamte, der mich durchsuchte,
sah sich die Polizeistation genau an.
											Er wollte sehen, wo die Kameras waren
und wie viel aufgezeichnet wurde.
											Dabei wurde mir bewusst,
wie sehr ich ihnen ausgeliefert war.
									","
											Bulunduğum yeri taramaları için
eğitilmiş köpekler gönderdiler.
											Herhangi bir izleme listesinde 
olup olmadığımı
											kontrol için federal hükûmeti aradılar.
											Çapraz sorgu yapmaları için
birkaç detektif gönderdiler.
											Saklayacak bir şeyim yoksa
											neden arabamın aranmasına
razı olmadım diye.
											Görebiliyordum ki benden
memnun değillerdi,
											yine de devamında ne yapacakları 
hakkında fikrim olmadığını hissettim.
											Bir noktada beni arayan polis
											ne kadarının kayıt edildiğini
görmek için karakolda
											güvenlik kamerasını aradı.
											Bunu yaptığında,
											o zaman tamamen insaflarına kaldığım
kafama dank etti.
									",How jails extort the poor,Salil Dudani,12:43,"corruption,activism,government,crime,prison,poverty,terrorism,TEDx,criminal justice,justice system"
