en,tr,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											So people tell me I'm a nice person ...
											to the point where it's part
of my personal and professional identity
											that I'm so nice
and able to get along with anyone,
											even my most fierce opponents.
											It's like my ""thing,""
it's what I'm known for.
									","
											İnsanlar iyi biri olduğumu söylüyor...
											Öyle ki bu adeta kişisel
ve profesyonel kimliğim hâline geldi,
											o kadar iyi biriyim ki
herkesle geçinebiliyorum,
											hatta en zorlu rakiplerimle bile.
											Bu benim ''huyum'' gibi,
ben böyle tanınıyorum.
									","
											La gente me dice que soy buena persona ...
											al punto de que ya es parte
de mi identidad personal y profesional.
											Y que soy tan buena que me llevo bien
con todo el mundo,
											incluso con mis peores enemigos.
											Es como mi ""característica"",
eso que me identifica.
									","
											Les gens me disent
que je suis quelqu'un de gentil...
											au point cela fait partie de mon identité
personnelle et professionnelle,
											que je sois si gentille et capable
de m'entendre avec tout le monde,
											mêmes avec mes adversaires
les plus farouches.
											C'est mon « truc »,
ce pour quoi je suis connue.
									","
											Die Leute sagen mir immer,
ich sei so ein netter Mensch.
											Das geht so weit, dass es Teil meiner
persönlichen und beruflichen Identität ist
											so nett zu sein,
und mit jedem klarzukommen
											sogar mit meinen stärksten Gegnern.
											Das ist so ""mein Ding"", so kennt man mich.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											But what no one knows ...
											is that I was a bully.
											Honestly, I didn't think
about it much myself.
											I buried the memories for years,
											and even still, a lot of it's really hazy.
											Denial, by the way, apparently
is also one of my things.
									","
											Ancak kimsenin bilmediği bir şey var ki...
											Ben bir zorbaydım.
											Açıkçası bunu çok fazla düşünmedim.
											Anıları yıllarca bastırdım,
											şu an hâlâ çoğu hayal gibi.
											Bu arada inkâr da görünen o ki
huylarımdan biri.
									","
											Pero lo que nadie sabe
											es que yo acosaba en la escuela.
											En realidad, nunca lo analicé demasiado.
											Durante años, mantuve 
esos recuerdos enterrados,
											pero aun así, gran parte
sigue siendo difusa.
											A propósito, la negación sería
otra de mis características.
									","
											Mais ce que personne ne sait...
											est que je harcelais les gens.
											Honnêtement, je n'y avais
pas tant réfléchi.
											J'ai enterré ces souvenirs
durant des années
											et même maintenant,
beaucoup de choses sont floues.
											Au passage, le déni
est aussi l'un de mes trucs.
									","
											Aber keiner weiß,
											dass ich ein Mobber war.
											Ehrlich, ich habe selbst 
nicht viel daran gedacht.
											Ich habe die Erinnerungen 
über Jahre vergraben,
											und sogar jetzt noch ist 
vieles davon sehr verschwommen.
											Verleugnung ist also wohl 
auch eines meiner ""Dinge"".
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											But the more people started to praise me
											for being a liberal who could
get along with conservatives,
											and the more I wrote articles
about being nice
											and gave talks about being nice,
											the more I felt this hypocrisy
creeping up inside me.
											What if I was actually really mean?
									","
											Muhafazakârlarla geçinebilen
bir liberal olduğum için
											insanlar beni daha çok övdükçe
											nazik olma konusunda
daha çok makale yazdım
											ve nazik olmayla ilgili konuşmalar yaptım,
											içimi yiyip bitiren bu ikiyüzlülüğü
daha çok hissettim.
											Ya gerçekten de çok kötülük yapmışsam?
									","
											Pero cuanto más me alababan
											por ser una liberal que podía
llevarse bien con los conservadores,
											cuanto más escribía
sobre lo que es ser buena persona
											y cuanto más hablaba sobre el tema,
											tanto más sentía esta hipocresía
crecer dentro de mí.
											¿Y si en realidad era una mala persona?
									","
											Mais plus les gens me complimentaient
											d'être une libérale s'entendant
avec les conservateurs,
											plus j'écrivais d'articles
sur la gentillesse
											et plus j'intervenais
pour parler d'être gentil,
											plus je ressentais cette hypocrisie
s'infiltrant en moi.
											Et si j'étais vraiment méchante ?
									","
											Je mehr mich Leute dafür lobten
											eine Liberale zu sein,
die mit Konservativen auskommt,
											je mehr Artikel
ich über das Nettsein schrieb
											und Reden darüber hielt, nett zu sein,
											desto mehr fühlte ich
die Heuchelei in mir hochsteigen.
											Was, wenn ich eigentlich 
ziemlich gemein wäre?
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											When I was 10 years old,
											there was a girl in my class
at school named Vicky.
									","
											10 yaşındayken
											sınıfımda Vicky adında bir kız vardı.
									","
											Cuando tenía 10 años,
											había una niña en mi clase,
cuyo nombre era Vicky.
									","
											Quand j'avais 10 ans,
											il y avait une fille dans ma classe
qui s'appelait Vicky.
									","
											Als ich 10 Jahre alt war,
											gab es ein Mädchen 
in meiner Klasse namens Vicky.
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
											(Sigh)
									","
											(İç çeker)
									","
											(Suspira)
									","
											(Soupir)
									","
											(Seufzen)
									",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
"
","
","
","
","
",What we can do about the culture of hate,Sally Kohn,17:46,"compassion,community,relationships,culture,society,social change"
