en,fr,pt,es,tr,title,speaker,duration,tags
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											Representation matters.
											Authentic representations of women matter.
											I think that too often,
our public representations of women
											are enveloped in the language
of the extraordinary.
											The first American woman
to become a self-made millionaire:
											Madam C. J. Walker ...
											The dresses of the first ladies
of the United States ...
											Shirley Chisholm, the first woman to seek
											the US Democratic party's
presidential nomination —
									","
											La représentation a de l'importance.
											Des représentations authentiques
de femmes ont de l'importance.
											Je pense que trop souvent,
nos représentations publiques des femmes
											sont enveloppées dans le langage
de l'extraordinaire.
											La première femme afro-américaine
à être devenue millionnaire :
											Madame C.J. Walker.
											Les robes des Premières Dames
des États-Unis.
											Shirley Chisholm, la première femme
à tenter d'obtenir
											l'investiture présidentielle
du parti démocrate américain —
									","
											A representação é importante.
											Representações autênticas
de mulheres são importantes.
											Penso que, demasiadas vezes,
as representações públicas de mulheres
											estão envoltas na linguagem
do extraordinário.
											A primeira norte-americana
a tornar-se milionária por si própria:
											a Senhora C. J. Walker...
											Os vestidos das primeiras damas
dos EUA...
											Shirley Chisholm, 
a primeira mulher a concorrer
											à presidência dos EUA
pelo Partido Democrático.
									","
											La representación es importante.
											Las representaciones auténticas 
de las mujeres importan.
											Pienso que las representaciones 
públicas de las mujeres
											suelen incluirse en el lenguaje
de lo extraordinario.
											La primera mujer de EE. UU.
en convertirse en millonaria
											por mérito propio:
											Madam C. J. Walker...
											Los vestidos de las primeras 
damas de los Estados Unidos...
											Shirley Chisholm, la primera mujer
											en postularse a la presidencia
de EE. UU. por el partido demócrata...
									","
											Temsil önemlidir.
											Kadınların özgün temsilleri önemlidir.
											Bunu sık sık düşünüyorum,
genel kadın temsilleri,
											olağan dışının diliyle kuşatılmıştır.
											Kendi kendine milyoner olan
ilk Amerikalı kadın:
											Madam C.J. Walker.
											Birleşik Devletler başkanlarının
eşlerinin giysileri.
											Shirley Chisholm, ABD Demokrat
partiden başkan adaylığı
											isteyen ilk kadın.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Alkış)
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											As a museum curator,
											I understand why these stories
are so seductive.
											Exceptional women
are inspiring and aspirational.
											But those stories are limiting.
											By definition, being extraordinary
is nonrepresentative.
											It's atypical.
											Those stories do not create a broad base
for incorporating women's history,
											and they don't reflect
our daily realities.
											If we can collectively apply
that radical notion
											that women are people,
											it becomes easier to show
women as people are:
											familiar, diverse, present.
											In everyone's everyday throughout history,
											women exist positively —
											not as a matter of interpretation,
but as a matter of fact.
											And beyond a more accurate
representation of human life,
											including women considers
the quotidian experiences
											of the almost 3.8 billion people
identified as female on this planet.
									","
											Étant conservatrice de musée,
											je comprends pourquoi ces histoires
sont si séduisantes.
											Les femmes exceptionnelles nous offrent
de l'inspiration et de l'ambition.
											Mais ces histoires nous limitent.
											Par définition, être extraordinaire
n'est pas représentatif.
											C'est atypique.
											Ces histoires ne créent pas une large base
pour incorporer l'histoire des femmes
											et elles ne reflètent pas
nos réalités quotidiennes.
											Si nous pouvons appliquer
collectivement cette notion radicale
											selon laquelle les femmes
sont des humains,
											il est plus facile de montrer
les femmes comme des humains :
											familières, diverses, présentes.
											Dans le quotidien de chacun
à travers l'histoire,
											les femmes existent de façon positive —
											il n'est pas question
d'interprétation mais de faits.
											Au-delà d'une représentation
plus correcte de la vie humaine,
											en incluant les femmes, on envisage
les expériences quotidiennes
											des près de 3,8 milliards de personnes
sur Terre considérées comme des femmes.
									","
											Como curadora de museu,
											compreendo o porquê
de estas histórias serem tão sedutoras.
											Mulheres excepcionais
são inspiradoras e ambiciosas.
											Mas estas histórias são limitativas.
											Por definição, ser extraordinário
não é representativo.
											É atípico.
											Essas histórias não criam uma base ampla
para incorporar a história das mulheres,
											e não reflectem
as nossas realidades diárias.
											Se podemos aplicar colectivamente
a noção radical
											de que as mulheres são pessoas,
											torna-se mais fácil mostrar
as mulheres como elas são:
											familiares, diversas, presentes.
											No quotidiano de toda a gente
ao longo da história,
											as mulheres existem positivamente,
											não por uma questão
de interpretação, mas de facto.
											E além de uma representação
mais precisa da vida humana,
											a inclusão de mulheres considera
as experiências diárias
											de quase 3800 milhões de pessoas 
identificadas como mulheres neste planeta.
									","
											Como curadora de museo,
											entiendo por qué estas historias
son tan seductoras.
											Las mujeres excepcionales son
inspiradoras y tienen aspiraciones.
											Pero esas historias limitan.
											Por definición, ser extraordinario
no es representativo.
											Es atípico.
											Esas historias no crean una base amplia
que incorpore la historia de las mujeres,
											y no reflejan nuestra realidad diaria.
											Si podemos aplicar 
colectivamente esa idea básica
											de que las mujeres son personas,
											se hace más fácil mostrar
a las mujeres como personas:
											familiares, diversas, presentes.
											En nuestra vida cotidiana 
a lo largo de la historia,
											las mujeres existen de manera real:
											no como algo para interpretar,
si no como un hecho.
											Y más allá de una representación
más precisa de la vida humana,
											incluir a las mujeres abarca
las experiencias cotidianas
											de las casi 3800 millones de personas
											que se identifican como 
mujeres en este planeta.
									","
											Müze yöneticisi olarak
											bu hikayelerin neden çok çekici
olduğunu anlıyorum.
											İstisnai kadınlar
ilham verici ve istek uyandırıcı.
											Fakat bu hikayeler kısıtlıdır.
											Tanım olarak, olağan dışı olmak
temsil edilemez.
											Başkadır.
											Bu hikayeler kadınların tarihini kapsamak
için geniş bir taban yaratmıyorlar
											ve günlük gerçeklerimizi yansıtmıyorlar.
											Kadınların da insanlar olduğunu
ifade eden radikal kavramını
											kitlesel olarak uygulayabilirsek,
											kadınları da insanlar olarak
göstermek kolaylaşır:
											tanıdık, çeşitli, hazır.
											Tarih boyunca herkesin her gününde,
											kadınlar olumlu olarak varlar
											bir yorumlama konusu olarak değil,
bir olgu olarak.
											Daha kesin bir insan
hayatı temsilinin ötesinde,
											kadınlar dahil, neredeyse
3,8 milyar insanın günlük tecrübeleri
											bu gezegende dişi olarak tanımlanıyor.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											In this now notorious museum scene
from the ""Black Panther"" movie,
											a white curator erroneously
explains an artifact
											to Michael B. Jordan's
character seen here,
											an artifact from his own culture.
											This fictional scene caused
real debates in our museum communities
											about who is shaping the narratives
and the bias that those narratives hold.
											Museums are actually rated
											one of the most trustworthy sources
of information in the United States,
											and with hundreds of millions of visitors
from all over the world,
											we should tell accurate histories,
											but we don't.
											There is a movement
from within museums themselves
											to help combat this bias.
											The simple acknowledgment
that museums are not neutral.
											Museums are didactic.
											Through the display of art and artifacts,
											we can incite creativity
and foster inclusion,
											but we are guilty
of historical misrepresentation.
											Our male-centered histories
have left our herstories hidden.
											And there are hard truths
about being a woman,
											especially a woman of color
in this industry,
											that prevents us from centering
inclusive examples of women's lives.
											Museum leadership:
											predominantly white and male,
											despite women comprising
some 60 percent of museum staffs.
											Pipelines to leadership
for women are bleak —
											bleakest for women of color.
											And the presence of women
does not in and of itself guarantee
											an increase in women's
public representation.
									","
											Dans cette scène maintenant célèbre
issue du film « Black Panther »,
											un conservateur blanc donne
une explication erronée d'un artefact
											au personnage de Michael B. Jordan,
											un artefact issu de sa propre culture.
											Cette scène fictive
a entraîné de vrais débats
											dans nos communautés muséales
											sur la formulation de récits
et les préjugés nourris par ces récits.
											Les musées sont considérés
											l'une des sources d'information
											les plus dignes de confiance
des États-Unis
											et, avec des centaines de millions
de visiteurs venant du monde entier,
											nous devrions raconter
des histoires exactes,
											mais ce n'est pas le cas.
											Il y a un mouvement au sein des musées
											pour essayer de contrer ce préjugé.
											Le simple fait de reconnaître
que les musées ne sont pas neutres.
											Les musées sont didactiques.
											A travers l'exposition
d'art et d'artefacts,
											nous pouvons encourager la créativité
et favoriser l'inclusion,
											mais nous sommes coupables
de déformation historique.
											Nos histoires masculines ont laissées
les histoires féminines dans l'ombre.
											Il y a des vérités
liées au fait d'être une femme,
											en particulier de couleur
dans cette industrie,
											qui nous empêche de nous concentrer
											sur des exemples inclusifs
de la vie des femmes.
											La direction des musées :
											majoritairement blanche et masculine,
											malgré le fait que les femmes représentent
60% des employés de musées.
											Pour les femmes, les voies
vers la direction sont sombres —
											encore plus pour les femmes de couleur.
											La présence de femmes
ne garantit pas en elle-même
											une augmentation de la représentation
publique des femmes.
									","
											Nesta célebre cena de museu
do filme ""Pantera Negra"",
											um curador branco explica,
erradamente, um artefacto
											à personagem de Michael B. Jordan,
											um artefacto da sua própria cultura.
											Esta cena de ficção causou debates reais
na comunidade museológica
											acerca de quem modela as narrativas
e os preconceitos que elas contêm.
											Os museus são considerados
											uma das fontes mais fidedignas 
de informação dos EUA,
											e com centenas de milhões de visitantes
de todo o mundo,
											deveríamos contar histórias correctas,
											mas não o fazemos.
											Há um movimento
dentro dos próprios museus
											para ajudar a combater estes preconceitos.
											A simples aceitação
que os museus não são neutros.
											Os museus são didácticos.
											Através da exibição de arte e artefactos,
											podemos fomentar a criatividade
e promover a inclusão,
											mas somos culpados da distorção histórica.
											As histórias centradas no masculino 
deixaram as histórias delas escondidas.
											E há verdades duras sobre ser uma mulher,
											especialmente uma mulher de cor,
nesta indústria
											que nos impede de centralizar
exemplos inclusivos da vida das mulheres.
											Líderes de museu:
											predominantemente brancos e masculinos,
											apesar de as mulheres constituírem
cerca de 60% dos funcionários dos museus.
											Os canais de liderança
para mulheres são desanimadores
											sobretudo para mulheres de cor.
											A presença de mulheres 
não garante por si só
											um aumento da representação pública
das mulheres.
									","
											En esta conocida escena de museo,
de la película ""Pantera Negra"",
											un curador de raza blanca
da una explicación equivocada
											al personaje de Michael B. Jordan,
que vemos en la imagen,
											sobre un objeto de su propia cultura.
											Esta escena ficticia causó 
debates reales dentro del museo
											sobre quién da forma
a las narrativas y qué sesgo tienen.
											Los museos están clasificados
											como una de las fuentes más confiables 
de información de los Estados Unidos,
											y con cientos de millones
de visitantes de todo el mundo,
											debemos contar historias precisas,
											pero no lo hacemos.
											Dentro de los propios museos
hay un movimiento
											para ayudar a combatir este sesgo:
											el reconocer simplemente que
los museos no son neutrales.
											Los museos son didácticos.
											A través de la exposición
de arte y objetos,
											podemos incitar a la creatividad
y fomentar la inclusión,
											pero somos culpables
de la tergiversación histórica.
											Nuestras historias, centradas en hombres,
han dejado ocultas nuestras historias.
											Y hay verdades duras sobre la mujer,
											especialmente una mujer
de color en este sector,
											que nos impide exponer ejemplos
inclusivos de la vida de las mujeres.
											El liderazgo del museo
											es predominantemente blanco y masculino,
											a pesar de que las mujeres conforman
cerca del 60 % del personal del museo.
											Los canales al liderazgo para
las mujeres son desoladores...
											y más para las mujeres de color.
											Y la presencia de las mujeres
no garantiza en sí misma
											mayor representación pública de la mujer.
									","
											""Black Panther"" filminden
kötü şöhretli bu müze sahnesinde,
											beyaz bir yönetici şurada görünen
Michael B. Jordan'ın karakterine
											bir eseri hatalı biçimde açıklıyor,
											kendi kültürüne ait bir eser.
											Bu kurgusal sahne, müze topluluklarında
gerçek tartışmalara neden oldu,
											anlatıları kimin şekillendirdiği
ve bu anlatılardaki ön yargılar konusunda.
											Birleşik Devletler'de
											müzeler aslında en güvenilir
bilgi kaynaklarından birisi
											ve dünyanın her yerinden gelen
yüz milyonlarca ziyaretçi ile
											doğru tarihler anlatmamız gerek,
											fakat yapmıyoruz.
											Müzelerde bu ön yargıyla
savaşmaya yardımcı olmak için
											bir hareket başladı.
											Müzelerin tarafsız olmadığına
dair basit ön yargı.
											Müzeler eğiticidir.
											Sanat ve eserlerin teşhiri aracılığıyla
											yaratıcılığa sevk edebilir
ve dahil olmaya teşvik edebilir,
											fakat tarihsel yanlış temsillerden
bizler suçluyuz.
											Erkek merkezli tarihlerimiz,
kadın tarihimizi gizli kıldı.
											Bir kadın olmakla ilgili de
acı gerçekler vardır,
											özellikle bu sektörde
beyaz olmayan bir kadınsanız
											bu gerçekler kadınların hayatlarındaki
kapsayıcı örneklere odaklanmamızı önler.
											Müze liderliği:
											müze kadrosunun yüzde 60'ını
kadınlar oluşturmasına rağmen
											kadro, ağırlıklı olarak
beyaz insan ve erkekten oluşur.
											Kadınlar için liderlik yolu
iç karartıcıdır,
											beyaz olmayan kadınlar içinse
en iç karartıcı.
											Kadınların varlığı da, kadınların
genel temsilinde bir yükselişi
											hiçbir şekilde garanti edemez.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
","
","
","
","
","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
"
											Not all women are gender equity allies.
											In the words of feminist
theorist bell hooks,
											""Patriarchy has no gender.""
											Women can support the system of patriarchy
											just as men can support
the fight for gender equity.
											And we often downplay
the importance of intersectionality.
											Marian Anderson was one of the most
celebrated voices of the 20th century,
											and the Smithsonian
collected her 1939 outfit.
											After the white Daughters of
the American Revolution denied her access
											to sing in Constitution Hall,
because she was black,
											she famously sang instead
on the steps of the Lincoln Memorial,
											to a crowd of over 75,000 people.
									","
											Toutes les femmes ne sont pas
des alliées de l'égalité des genres.
											Selon de la théoricienne
féministe Bell Hooks :
											« Le patriarcat n'a pas de genre. »
											Les femmes peuvent soutenir
le système patriarcal
											tout comme les hommes peuvent soutenir
la lutte pour l'égalité des genres.
											Nous minimisons souvent
l'importance de l'intersectionnalité.
											Marian Anderson a été l'une des voix
les plus célébrées du XXe siècle
											et le Smithsonian a recueilli
sa tenue de 1939.
											Après que les Filles de la révolution
américaine, blanches, lui aient refusé
											de chanter au Constitution Hall
car elle était noire,
											elle est connue pour avoir chanté
sur les marches du Lincoln Memorial
											devant une foule
de plus de 75 000 personnes.
									","
											Nem todas as mulheres são aliadas
da igualdade de género.
											Nas palavras da feminista Bell Hooks:
											""A patriarquia não tem género.""
											As mulheres podem apoiar
o sistema patriarcal
											tal como há homens que apoiam
a luta pela igualdade de género.
											Muitas vezes minimizamos
a importância da interseccionalidade.
											Marian Anderson foi uma das vozes
mais célebres do século XX,
											e o Smithsonian 
guardou o seu fato de 1939.
											Após as ""Daughters of the American 
Revolution"" — brancas —
											a terem proibido de cantar
no ""Constitution Hall"" por ela ser negra,
											ela cantou
na escadaria do Lincoln Memorial,
											para uma multidão
de mais de 75 000 pessoas.
									","
											No todas las mujeres apoyan
la igualdad de género.
											En palabras de la feminista 
teórica bell hooks,
											""El patriarcado no tiene género"".
											Las mujeres pueden apoyar el patriarcado
											así como los hombres puede apoyar
la lucha por la igualdad de género.
											Y a menudo minimizamos la importancia
de la interseccionalidad.
											Marian Anderson fue una de las voces
más reconocidas del siglo XX,
											y el Smithsoniano sumó a su colección
el atuendo que usó en 1939.
											Cuando las hijas blancas
de la Revolución norteamericana
											le prohibieron cantar en el Salón
de la Constitución por ser negra,
											hizo una histórica actuación 
en el Monumento a Lincoln,
											ante una multitud de más
de 75 000 personas.
									","
											Her kadın, cinsiyet eşitliği dostu değil.
											Feminist teorisyenlerin
çan kancası ise şu sözdür,
											""Ataerkilliğin cinsiyeti yoktur. ""
											Kadınlar ataerkilliği destekleyebilirler,
											tıpkı erkeklerin cinsiyet eşitliği için
savaşabileceği gibi.
											Ve biz sıklıkla kesişimselliğin
önemini küçümsüyoruz.
											Marian Anderson 20.yy'ın en ünlü
seslerinden biriydi
											ve Smithsonian 1939 yılında 
kendi kıyafetlerini derledi.
											Daha sonra beyaz
Amerikan Devriminin Kızları onun
											Anayasa Salonunda söylemek için
girişini reddettiler, çünkü siyahtı,
											Lincoln Anıtı'nın basamakları yerine 
çok ünlü bir şekilde
											75.000 üzerinde bir topluluğa
karşı söyledi.
									","Museums should honor the everyday, not just the extraordinary",Ariana Curtis,12:19,"museums,art,history,United States,gender equality,culture,race,identity"
